現slug	新slug候補	title	フラグ
anomamakisushitokitakatta	ano-mama-kiss-shitokitakatta	あのまま、キスしときたかった	
anoshimanouminesou	ano-shima-no-umine-sou	あの島の海音荘	
aoiishiroihanayutakanakajitsu	aoi-i-shiroi-hana-yutakana-kajitsu	青い木白い花豊かな果実	
arabiankyousoukyoku	arabian-kyousoukyoku	アラビアン狂想曲	
arisutosanninnofutago	alice-to-sannin-no-futago	アリスと3人のふたご	
arubaitaashinko	arbeiter-shinko	アルバイター新子	
arufuheimunokishibaraddotsuguminomori	alfheim-no-kishi-ballad-tsugumi-no-mori	妖精国の騎士Ballad～継ぐ視の守護者～	
arukekkonmaenofuukei	aru-kekkon-mae-no-fuukei	ある結婚前の風景	
arukimedesuhatewoyogosanai	archimedes-wa-te-o-yogosanai	アルキメデスは手を汚さない	
asagiironodensetsu	asagi-iro-no-densetsu	あさぎ色の伝説	
ashitamokiminiainiiku	ashita-mo-kimi-ni-ai-ni-iku	明日もきみに会いに行く	
ashitanoshinopushisu	ashita-no-synopsis	あしたのシノプシス	
ashitsumakatari	ashitsuma-katari	悪し妻かたり	
atamagakongaragatchigekijoukyounoyorugohanwaniku	atama-ga-kongaragacchi-gekijou-kyou-no-yorugohan-wa-niku	あたまがコんガらガっち劇場「きょうのよるごはんは29」	
awarenareirakukizokunokoiyukuhatewa	awarena-reiraku-kizoku-no-koi-yuku-hate-wa	あわれな零落貴族の恋行く果ては	
ayashikotogatari	ayashi-kotogatari	怪しことがたり	
azumangarisaikuru	azumanga-recycle	あずまんがリサイクル	
baajinjinseidokuhon	virgin-jinsei-dokuhon	バージン人生読本	
bachikaburihime	bachikaburi-hime	ばちかぶり姫	
baddodaneyoshiokun	bad-da-ne-yoshio-kun	BADだねヨシオくん!	
bakkurennayotsu	bakkurennayo	ばっくれんなよっ!	
bakumatsufuuunden	bakumatsu-fuuunden	幕末風雲伝	
banyaseinohanran	banya-sei-no-hanran	蛮	
baraironokaibutsu	barairo-no-kaibutsu	薔薇色ノ怪物	
baranosakamichi	bara-no-sakamichi	ばらの坂道	
bashousantoobasuteyamanotsuki	bashou-san-to-obasute-yama-no-tsuki	ばしょうさんとおばすて山の月	
beddononakadeshinitaino	bed-no-naka-de-shinitaino	ベッドの中で死にたいの	
beddononakanotennyo	bed-no-naka-no-tennyo	ベッドの中の天女	
benibarakurobara	beni-bara-kuro-bara	紅ばら黒ばら	
bgataheijitorimonochou	b-gata-heiji-torimonochou	B型平次捕物帖	
bokkinseerusuman	bokkin-salesman	ぼっきん性留守マン	
bokuganekodattakoro	boku-ga-neko-datta-koro	僕が猫だった頃	
bokuharounindouteipapa	boku-wa-rounin-doutei-papa	ぼくは浪人童貞パパ	
bokunoyomeninaranaika	boku-no-yome-ni-naranai-ka	僕のヨメにならないか!	
bokutachinomure	bokutachi-no-mure	ぼくたちの群れ	
bokuwajissaideichiokuenkaseida	boku-wa-jissai-de-ichioku-en-kaseida	僕は10歳で1億円稼いだ = 10-YEAR-OLD BILLIONAIRE	
boukenkyoujidai	bouken-kyou-jidai	冒険狂時代	
buroodoueinohoshi	broadway-no-hoshi	ブロードウェイの星	
buruuejjiengeeji	blue-edge-engage	ブルーエッジエンゲージ	
busabusakunikarabusayoronokan	mechamecha-busai-kun	めちゃめちゃ!ブサイくん	
butagoyahatsuinugoyaiki	butagoya-hatsu-inugoya-iki	豚小屋発犬小屋行き	
byakumonogatari	byakumonogatari	白物語	変化なし
chaariizuenjieru	charlies-angel	ちゃありぃずえんぢぇる	
chidarumakenpouonoreranitsugu	chidaruma-kenpou-onorera-ni-tsugu	血だるま剣法・おのれらに告ぐ	
chiikurettorabu	cheeklet-love	チークレット・らぶ	
chikakuheikitaihikyoutoshitenokinjobutaihaeguchitoiuraamenya	chikaku-he-ikitai-hikyou-to-shite-no-kinjo-butai-wa-eguchi-to-iu-ramen-ya	近くへ行きたい。秘境としての近所 舞台は“江ぐち”というラーメン屋。	
chikyuugaiseimeitaiiiba	chikyuugai-seimeitai-eva	地球外生命体イーバ	
chikyuuhyoukaigotokino	chikyuu-hyoukai-gotoki-no	地球氷解事紀	
chikyuunogogosanji	chikyuu-no-gogo-sanji	地球の午后三時	
chitobaranoakuma	chi-to-bara-no-akuma	血とばらの悪魔	
chiwohausakanahideonoseishunnikki	chi-o-hau-sakana-hideo-no-seishun-nikki	地を這う魚 ひでおの青春日記	
chizuninaifuukei	chizu-ni-nai-fuukei	地図にない風景	
chottooshitteruu	chotto-shitteru	ちょっとォ知ってるゥ?	
chounihonmutsukashihanashi	chou-nihon-mutsukashi-hanashi	超日本むつかし話	
chounouryokuuoozu	chounouryoku-wars	超能力ウォーズ	
chuubougafutari	chuubou-ga-futari	チュー坊がふたり	
chuushashichauzo	chu-sha-shichauzo	CHUシャしちゃうぞ!	
daboshatsunoten	dabo-shatsu-no-ten	ダボシャツの天	
daguerreotypist	daguerreotypist	ダゲレオタイピスト	変化なし
daibosatsutouge	daibosatsu-touge	大菩薩峠	
dainihontengutouekotoba	dai-nihon-tengutou-ekotoba	大日本天狗党絵詞	
daisanjisekaitaisen	daisanji-sekai-taisen	第3次世界大戦	
daisannogokudou	dai-san-no-gokudou	第三の極道	
daiyamondogeimu	diamond-game	ダイヤモンド芸夢	
dakarasasayaite	dakara-sasayaite	だからささやいて	
dakasetekurenaika	dakasete-kurenai-ka	抱かせてくれないか?	
dakishimetekurerunara	dakishimete-kureru-nara	抱きしめてくれるなら	
dashichaimashousenpai	dashichaimashou-senpai	だしちゃいましょう先輩!	
dekaiusagininatsukareta	dekai-usagi-ni-natsukareta	デカいうさぎに懐かれた!?	
desertification	desertification	Desertification	変化なし
deyuerunoouninaruotoko	yugioh-sevens-luke-bakuretsu-hadou-den	遊☆戯☆王SEVENSルーク!爆裂覇道伝!!	
discommunication	discommunication	ディスコミュニケーション	変化なし
dokushinapaatodokudamisou	dokushin-apart-dokudami-sou	独身アパートどくだみ荘	
dokutaakumahige	doctor-kuma-hige	Dr.クマひげ	
dokyoushichauzo	dokyou-shichauzo	読経しちゃうぞ!	
dongokudousuikoden	don-gokudou-suikoden	ドン 極道水滸伝	
doonatsubukkusuishiihisaichisenshuu	doughnuts-books-ishii-hisaichi-senshuu	DOUGHNUTS BOOKS ドーナツブックス いしいひさいち選集	
doshaburinohini	doshaburi-no-hi-ni	どしゃぶりのひに	
doukyoningakonoyonomonjanai	doukyonin-ga-kono-yo-no-mon-janai	同居人がこの世のモンじゃない. 第2巻	
eichipiigodesukedoootohiirugaarebashinimasen	hp-5-desu-kedo-auto-heal-ga-areba-shinimasen	HP5ですけど自動治癒があれば死にません!	
engekishoujoinochi	engeki-shoujo-inochi	演撃少女命	
enmusubireijougamoteoujinokonkatsuotetsudattaranazekakudokareteirunode	enmusubi-reijou-ga-mote-ouji-no-konkatsu-o-tetsudattara-nazeka-kudokareteiru-node	『縁結び令嬢』がモテ王子の婚活を手伝ったら、なぜか口説かれているのですが!? 上	
eruarameinnoshinden	el-alamein-no-shinden	エル・アラメインの神殿	
erufunomonchankoukousei	elf-no-mon-chan-koukousei	エルフのモンちゃん高校生!!	
erufusenseitoyobanaide	elf-sensei-to-yobanaide	エルフ先生と呼ばないで!	
fittonesujimuzuuningendoubutsuen	fitness-gym-zoo-ningen-doubutsuen	フィットネスジムZOO 人間動物園	
fuefukidensetsu	fuefuki-densetsu	笛吹伝説	
fujikoefufujioesuefutanpenpaafekutoban	fujiko-f-fujio-sf-tanpen-perfect-ban	藤子・F・不二雄 SF短編PERFECT版	
fujimotomasarunokaibuneigakan	fujimoto-masaru-no-kaibun-eigakan	フジモトマサルの回文映画館 キネマへまねき	
funsensanadamaru	funsen-sanadamaru	奮戦!真田丸	
fushigiryokouki	fushigi-ryokouki	ふしぎ旅行記	
futagozashinmetorii	futagoza-symmetry	双子座シンメトリー	
futsuunohonwaarimasen	futsuu-no-hon-wa-arimasen	普通の本はありません!	
fuuunjitachibakumatsuhen	fuuunjitachi-bakumatsu-hen	風雲児たち 幕末編	
gakeppuchireijouwakishisamanokyuuainikizukanai	gakeppuchi-reijou-wa-kishi-sama-no-kyuuai-ni-kizukanai	崖っぷち令嬢は騎士様の求愛に気づかない	
gamutsutsusshara	gamusshara	我夢っっっしゃら	
ganbaranakutcha	ganbaranakuccha	がんばらなくっチャ!	
gankawakuraikeiousendesu	ganka-wa-kurai-keiousen-desu	眼下は昏い京王線です	
garasunoshironokiroku	garasu-no-shiro-no-kiroku	ガラスの城の記録	
geemuchishikidesaikyouninattamobuheishiwashinnojitsuryokuokakushitai	game-chishiki-de-saikyou-ni-natta-mob-heishi-wa-shin-no-jitsuryoku-o-kakushitai	ゲーム知識で最強に成ったモブ兵士は、真の実力を隠したい	
geemunosekainitenseishitaoregamarumaruninarumade	game-no-sekai-ni-tensei-shita-ore-ga-marumaru-ni-naru-made	ゲームの世界に転生した俺が○○になるまで	
gekisaiuchuuken	gekisai-uchuuken	撃殺!宇宙拳	
gekkounokyoushitsu	gekkou-no-kyoushitsu	月虹の教室	
gendaijuukyouden	gendai-juukyouden	現代柔侠伝	
gendaishisounosounanshatachi	gendai-shisou-no-sounanshatachi	現代思想の遭難者たち	
genkaiotakugagisoukoibitohajimetaken	genkai-otaku-ga-gisou-koibito-hajimeta-ken	限界オタクが偽装恋人はじめた件	
genshishounenryuu	genshi-shounen-ryuu	原始少年リュウ	
gensoushoujozukan	gensou-shoujo-zukan	幻想少女図鑑	
getabakikoushien	getabaki-koushien	ゲタバキ甲子園	
ginganagareboshigin	ginga-nagareboshi-gin	銀牙-流れ星 銀-	
ginironokaminoarisa	gin-iro-no-kami-no-arisa	銀色の髪の亜里沙	
ginnanmonogatari	ginnan-monogatari	銀杏物語	
gintamasannenzuiigumiginpachisensei	gintama-sannen-z-gumi-ginpachi-sensei	銀魂3年Z組銀八先生	
gochisousamawanichoumede	gochisousama-wa-nichoume-de	ごちそうさまは二丁目で	
goddomazaanomusuko	god-mother-no-musuko	ゴッド・マザーの息子	
gohannootomooatosukoshi	gohan-no-otomo-o-ato-sukoshi	ごはんのおともをあと少し	
gokinjookusamanonaishobanashi	gokinjo-okusama-no-naisho-banashi	ご近所奥さまの内緒話	
gokujoumechamoteiinchougaidenmechamoteiinchoudattawatashigaise	gokujou-mechamote-iinchou-gaiden-mechamote-iinchou-datta-watashi-ga-ise	極上!!めちゃモテ委員長外伝めちゃモテ委員長だった私が異世界でも極上めざします!!	
goryuukokumonogatari	goryuukoku-monogatari	五龍国物語	
gosenroppyakusainofuroufushiinfuruensaaiwaku	5600-sai-no-furoufushi-influencer-iwaku	5600歳の不老不死インフルエンサーいわく。	
gozennijinohaatofizu	gozen-niji-no-heart-fizz	午前2時のハートフィズ	
gunyochanwashippaisakujanai	gunyo-chan-wa-shippaisaku-janai	ぐにょちゃんは失敗作じゃない!	
gunyoukenjuugabamentowomottashounen	gunyou-kenjuu-government-o-motta-shounen	軍用拳銃ガバメントを持った少年	
gurechawanaidene	gurechawanaidene	ぐれちゃわないでね	変化なし
gyakkounokuruchan	gyakkou-no-kuru-chan	虐幸のくるちゃん	
gyakkyounimakenaichaariiburaun	gyakkyou-ni-makenai-charlie-brown	逆境に負けないチャーリー・ブラウン	
gyuunyuuantatchaburu	gyuunyuu-untouchable	牛乳アンタッチャブル	
haatoniaozorayohou	heart-ni-aozora-yohou	ハートに青空予報	
hachigatsunousagi	hachigatsu-no-usagi	はちがつのうさぎ	
haikaburitohimitsunoyakata	haikaburi-to-himitsu-no-yakata	灰かぶりと秘密の館	
hakabakyoushitsu	hakaba-kyoushitsu	墓場教室	
hakanomachichiteinoashioto	haka-no-machi-chitei-no-ashioto	墓の町/地底の足音	
hakushinouedesayounara	hakushi-no-ue-de-sayounara	白紙の上でさようなら	
hamuhamuzukushi	hamuhamu-zukushi	はむはむづくし	
hananokikuchiyo	hana-no-kikuchiyo	花の菊千代	
hananonagareboshinagekigawa	hana-no-nagareboshi-nageki-gawa	花の流れ星/嘆き川	
hananosakitarou	hana-no-sakitarou	花の咲太郎	
hanashippanashi	hanashippanashi	はなしっぱなし	変化なし
hanazukushiomoimidarete	hanazukushi-omoi-midarete	花づくし思い乱れて	
hanihohetoiroha	hanihoheto-iroha	はにほへといろは	
harajukumonogatari	harajuku-monogatari	原宿物語	
haremusanguubashi	harem-sanguubashi	ハレム参宮橋	
haretahihagakkouwoyasunde	hareta-hi-wa-gakkou-o-yasunde	はれた日は学校をやすんで	
harukanaruhoshi	harukanaru-hoshi	はるかなる星	
harukanarukazetohikari	harukanaru-kaze-to-hikari	はるかなる風と光	
haruninarebakusanoame	haru-ni-nareba-kusa-no-ame	春になれば草の雨	
hatsukakanhanakudeshou	hatsukakan-wa-naku-deshou	20日間は泣くでしょう	
hatsukoidendoufaito	hatsukoi-dendou-fight	初恋☆電動ファイト	
hatsukoinoyukuewanidomenokisukara	hatsukoi-no-yukue-wa-nidome-no-kiss-kara	初恋のゆくえは二度目のキスから	
hayamirasenjinnobashaumadaisakusenbisu	hayami-rasenjin-no-bashauma-daisakusen-bis	速水螺旋人の馬車馬大作戦bis = Операция&quot;Рабочая лощадь&quot;bis. 赤本	
heishishuveikunobouken	heishi-svejk-no-bouken	兵士シュヴェイクの冒険	
hijikatatoshizou	hijikata-toshizou	土方歳三	
himebushoumasamunemairu	hime-bushou-masamune-mairu	姫武将まさむね参る!! ぼんたん激動編	
himeikansatsukandon	himei-kansatsukan-don	秘命監察官ドン	
himitsushireimashinkeiji999	himitsu-shirei-machine-keiji-999	ひみつ指令マシン刑事999	
hinkonmakyoutsutehiyapaka	hinkon-makyou-den-hiyapaka	貧困魔境伝ヒヤパカ	
hipunoshisumaiku	hypnosis-mic	ヒプノシスマイク	
hisshoudennougakuen	hisshou-dennou-gakuen	必勝電脳学園	
hitodamawokauotokokaikisenketsunome	hitodama-o-kau-otoko-kaiki-senketsu-no-me	人魂を飼う男/怪奇鮮血の目	
hitominookunikoi	hitomi-no-oku-ni-koi	瞳の奥に恋	
hitsujiotokonokurisumasu	hitsuji-otoko-no-christmas	羊男のクリスマス	
hitsukoindakara	hitsukoin-dakara	ひつこいんだから	
hondemotteesupaa	hondemotte-esp	ほんでもってESP	
honneoiebadakaretai	honne-o-ieba-dakaretai	本音を言えば抱かれたい	
hontoniattaetchinahanashi	honto-ni-atta-ecchi-na-hanashi	ホントにあったHな話	
hoshinohaamonii	hoshi-no-harmony	星のハーモニー	
hoshinokaabiimottopupupunamainichi	hoshi-no-kirby-motto-pupupu-na-mainichi	星のカービィもっと!!プププなまいにち	
hoshinokaabiiyuruttopupupu	hoshi-no-kirby-yurutto-pupupu	星のカービィゆるっとプププ. きょろきょろ編	
hoshinokawariniaishiteyaruyo	hoshi-no-kawari-ni-aishite-yaru-yo	星のかわりに愛してやるよ	
hoshizoranohanashi	hoshizora-no-hanashi	星空の話	
houjineguzakuson	houshin-exaxxion	砲神エグザクソン	
houkagobokakende	houkago-boka-ken-de	放課後、ボカ研で!	
houkagodeetokurabu	houkago-date-club	放課後デート倶楽部	
ichibyousakiwakoi	ichibyou-saki-wa-koi	1秒先は、恋	
ichigomashimaro	ichigo-mashimaro	苺ましまろ	
ichigotachinokoutei	ichigo-tachi-no-koutei	苺たちの校庭	
ichijouhanaowakoioshiranai	ichijou-hanao-wa-koi-o-shiranai	一条華緒は恋を知らない	
ichikushiminoshiya	itsukushimi-no-shiya	いつくしみの視野	
ichikyuukyuupeke	ichi-kyuu-kyuu-peke	いちきゅーきゅーぺけ	
ichizudegozansu	ichizu-de-gozansu	一途でござんす	
ikagoriranodoeraigenkigaderumanga	ika-gorilla-no-doerai-genki-ga-deru-manga	いかゴリラのどえらい!元気が出るマンガ	
ikasamanashinokisugashitai	ikasama-nashi-no-kiss-ga-shitai	イカサマなしのkissがしたい	
ikichiwosuuyoujo	ikichi-o-suu-youjo	生血を吸う幼女	
ikkanibunnoichi	ikka-nibunnoichi	いっかにぶんのいち	
imamadebakanisareteitakiyowareijounitenseishitaratondemonaikotoninatta	imamade-baka-ni-sareteita-kiyowa-reijou-ni-tensei-shitara-tondemonai-koto-ni-natta	今まで馬鹿にされていた気弱令嬢に転生したら、とんでもない事になった話、聞く?	
imoutonikonyakushaotoraretekonotabishuuakukoutooshitsukerarekonsuruhako	imouto-ni-konyakusha-o-torarete-kono-tabi-shuuaku-kou-to-oshitsukerare-kon-suru-hako	妹に婚約者を取られてこのたび醜悪公と押しつけられ婚する運びとなりました@COMIC	
inahokunwanisekanojonohazunanoni	inaho-kun-wa-nise-kanojo-no-hazu-nanoni	稲穂くんは偽カノジョのはずなのに	
inochikakerukaa	inochi-kakeru-kaa	命かけるかー?!	
inokashirakoukoubiisuto	inokashira-koukou-beasts	井の頭高校Beasts	
inumarudashitsu	inumaru-dashi	いぬまるだしっ	
inunekosanbikinadetemonadetemotegatarinai	inu-neko-sanbiki-nadetemo-nadetemo-te-ga-tarinai	犬猫3匹、撫でても撫でても手が足りない	
ippatsuhyakumanmoushiukesourou	ippatsu-hyakuman-moushiuke-sourou	一発百万申し受け候	
ipponbouchoumantarou	ippon-bouchou-mantarou	一本包丁満太郎	
irezumitopiasutokoigokoro	irezumi-to-pierce-to-koigokoro	刺青とピアスと恋心	
isekaidehanmanokodomoosodatetarayanderenisodatta	isekai-de-hanma-no-kodomo-o-sodatetara-yandere-ni-sodatta	異世界で半魔の子供を育てたらヤンデレに育った	
isekaidemojoousama	isekai-demo-joou-sama	異世界でも女王様	
isekaidewagendaikosumegamutekideshita	isekai-dewa-gendai-cosme-ga-muteki-deshita	異世界では現代コスメが無敵でした	
isekaikarakaettekitayuushadearuoregakabukichoudeouninaruhanashi	isekai-kara-kaette-kita-yuusha-de-aru-ore-ga-kabukichou-de-ou-ni-naru-hanashi	異世界から帰ってきた勇者であるオレが歌舞伎町で王になる話	
isekaikarakikanshitarachikyuumokanarifantajiideshitaatomakehiroindomoko	isekai-kara-kikan-shitara-chikyuu-mo-kanari-fantasy-deshita-ato-make-heroine-domo-ko	異世界から帰還したら地球もかなりファンタジーでした。あと、負けヒロインどもこっち見んな。	
isekainidomenoossandoukangaetemokoukouseiyuushayoritsuyoi	isekai-nidome-no-ossan-dou-kangaetemo-koukousei-yuusha-yori-tsuyoi	異世界二度目のおっさん、どう考えても高校生勇者より強い	
isekainobinbounoukanitenseishitanoderengaotsukutteshirootaterukotonishima	isekai-no-binbou-nouka-ni-tensei-shita-node-renga-o-tsukutte-shiro-o-tateru-koto-ni-shima	異世界の貧乏農家に転生したので、レンガを作って城を建てることにしました : @COMIC	
isekaisaihateonsenkikou	isekai-saihate-onsen-kikou	異世界サイハテ温泉紀行	
ishokuretsudenkairikinohaha	ishoku-retsuden-kairiki-no-haha	異色列伝 怪力の母	
isshoniichaokka	issho-ni-ichaokka	いっしょにいちゃおっか	
isshonikurashitai	issho-ni-kurashitai	一緒に暮らしたい!	
issokondowanumarasete	isso-kondo-wa-numarasete	いっそ今度は沼らせて	
itainoitainosoraotobe	itai-no-itai-no-sora-o-tobe	いたいのいたいのそらをとべ	
itarusenpainodamenatoko	itaru-senpai-no-dame-na-toko	至センパイのダメなとこ	
itsukamitaaoisora	itsuka-mita-aoi-sora	いつか見た青い空	
itsukaojousamaninaritaikeidanjonhaishinshagahonmononoojousamani	itsuka-ojousama-ni-naritai-kei-dungeon-haishinsha-ga-honmono-no-ojousama-ni	いつかお嬢様になりたい系ダンジョン配信者が本物のお嬢様になるまで	
itsumokokoronitaiyouwo	itsumo-kokoro-ni-taiyou-o	いつも心に太陽を!	
itsutsunohakonomonogatari	itsutsu-no-hako-no-monogatari	五つの箱の物語	
itteshimattanatsu	itte-shimatta-natsu	いってしまった夏	
jidankoushouninemu	jidan-koushounin-m	示談交渉人M	
jieekeeyuushatoinkyomaou	jk-yuusha-to-inkyo-maou	JK勇者と隠居魔王	
jieriiandaasonkomikaraizutaizen	jerry-anderson-comicalize-taizen	ジェリー・アンダーソンコミカライズ大全	
jigokudemesugahikaru	jigoku-de-mesu-ga-hikaru	地獄でメスがひかる	
jijinekokurashi	jiji-neko-kurashi	じじ猫くらし	
jimotogajapannokan	jimoto-ga-japan	ジモトがジャパン	
jirerumunasakiwanemurenai	jireru-munasaki-wa-nemurenai	焦れる胸先は眠れない	
joshiananooudou	joshi-ana-no-oudou	女子アナの王道	
joukyoukoroshiyamusume	joukyou-koroshiya-musume	上京コロシヤ娘	
jouzunigamandekirumade	jouzu-ni-gaman-dekiru-made	じょうずに我慢できるまで	
junjouhaafubeikudoomega	junjou-half-baked-omega	純情ハーフベイクドオメガ	
junshinmirakuru100paasento	junshin-miracle-100-percent	純真ミラクル100％	
juunenmenomitsugetsu	juunen-me-no-mitsugetsu	十年目の蜜月	
kaadofaitovangaadodivainzugenmakakuseihen	cardfight-vanguard-divinez-genma-kakusei-hen	カードファイト!!ヴァンガードDivinez幻真覚醒編	
kagetorakunwamodorenai	kagetora-kun-wa-modorenai	景虎君はもどれない	
kaidanshisaniwa	kaidanshi-saniwa	快男子サニワ	
kaigekinokinato	kaigeki-no-kinato	回撃のキナト	
kaijinbureikourarabai	kaijin-bureikou-lullaby	怪人無礼講ララバイ	
kaikimiirashoujo	kaiki-mira-shoujo	怪奇ミイラ少女	
kainarasejunjou	kainarase-junjou	飼いならせ純情	
kamakuramonogatari	kamakura-monogatari	鎌倉ものがたり. 魔界編	
kamennokurokishishoutaibaretanodemougakuendemomusousuru	kamen-no-kuro-kishi-shoutai-bareta-node-mou-gakuen-demo-musou-suru	仮面の黒騎士。正体バレたのでもう学園でも無双する	
kameramankintarou	cameraman-kintarou	カメラマン金太郎	
kamichamakarinchu	kamichama-karin-chu	かみちゃまかりんchu	
kamieshinooshigoto	kamieshi-no-oshigoto	神絵師のおしごと	
kaminagashijima	kaminagashijima	かみながしじま	変化なし
kaminarisamanokoigoromo	kaminari-sama-no-koigoromo	かみなり様の恋衣	
kamisamanookurimono	kamisama-no-okurimono	神様の贈り物	
kamiwokirimashouka	kami-o-kirimashouka	髪を切りましょうか	
kandaatokaratsugaininaruniwaafutaa	kanda-ato-kara-tsugai-ni-naru-niwa-after	噛んだあとから番になるにはafter	
kangofumonogatari	kangofu-monogatari	看護婦物語	
kanojotachinotsumoruhanashi	kanojo-tachi-no-tsumoru-hanashi	彼女たちのツモる話	
kanzakisantsunodetemasutsu	kanzaki-san-tsuno-detemasu	神崎さん、ツノ出てますっ!?	
karamorannosora	karamoran-no-sora	カラモランの大空	
karyuudowanemuranai	karyuudo-wa-nemuranai	狩人は眠らない	
kaseifumiyukinotokimekireshipi	kaseifu-miyuki-no-tokimeki-recipe	家政婦美幸のときめきレシピ	
kaseifunosetsunaikeiyaku	kaseifu-no-setsunai-keiyaku	家政婦の切ない契約	
kaseifuwashinderera	kaseifu-wa-cinderella	家政婦はシンデレラ	
kawaiitoittekure	kawaii-to-itte-kure	かわいいといってくれ	
kawaisounokotobonobonoehon	kawaisou-no-koto-bonobono-ehon	かわいそうのこと ぼのぼの絵本	
kazenowatokinowasunanowa	kaze-no-wa-toki-no-wa-suna-no-wa	風の輪・時の和・砂の環	
kazenoyounikazenoyouni	kaze-no-youni-kaze-no-youni	風のように風のように	
kedamonooujinonisekoihanayome	kedamono-ouji-no-nise-koi-hanayome	獣王子の偽恋花嫁	
kekkonmimannobokutachidesuga	kekkon-miman-no-bokutachi-desu-ga	結婚未満の僕たちですが	
kekkonnokenkyuu	kekkon-no-kenkyuu	結婚の研究	
kekkonttenannano	kekkon-tte-nan-nano	結婚ってなんなの!?	
kemonosamawaongaeshideharamasetai	kemono-sama-wa-ongaeshi-de-haramasetai	獣様は恩返しで孕ませたい. 邪神編	
kibunhaguruubii	kibun-wa-groovy	気分はグルービー	
kigatsukebanekogairu	ki-ga-tsukeba-neko-ga-iru	気がつけば猫がいる	
kigekishinshisoutaikei	kigeki-shinshisou-taikei	喜劇新思想大系	
kiminiaeteyokatta	kimi-ni-aete-yokatta	君に会えてよかった	
kiminohitominiochiruyoru	kimi-no-hitomi-ni-ochiru-yoru	君の瞳に堕ちる夜	
kiminokisuganaiteiru	kimi-no-kiss-ga-naiteiru	君のキスが泣いている	
kimitachihamidorinoigusuri	kimitachi-wa-midori-no-igusuri	きみたちは緑の胃ぐすり	
kimitonokoiwagaadofunou	kimi-to-no-koi-wa-guard-funou	君との恋はガード不能	
kimiwasaiainosutera	kimi-wa-saiai-no-stella	きみは最愛のステラ. 下	
kimyounayuujintachi	kimyou-na-yuujin-tachi	奇妙な友人たち	
kinironokyuupitto	kiniro-no-cupid	金色のキューピット	
kinyokushieahausu	kinyoku-sharehouse	禁欲シェアハウス	
kiramekinogaoka	kirameki-no-gaoka	きらめきのがおか	
kirawaremononoorewayarinaoshinosekaidegiteitachinigomaosuru	kirawaremono-no-ore-wa-yarinaoshi-no-sekai-de-gitei-tachi-ni-goma-o-suru	嫌われ者の俺はやり直しの世界で義弟達にごまをする	
kirinonakanojoniinaishonohanashi	kiri-no-naka-no-johnny-naisho-no-hanashi	霧の中のジョニー/ないしょの話	
