slug	title	main_prefix	main_years	intruder_vol	intruder_prefix	intruder_year	intruder_isbn
zerozero-nine-one	009ノ1	12	1988-1988	3	04	2006	9784048540551
1-yamamoto-1993	1	06	2011-2011	1	09	1993	9784091515117
2001yamonogatari	2001夜物語	901819	2003-2004	3	575	1991	9784575930764
21-emon	21エモン	09	2010-2018	5	12	1984	9784124100198
avnai-yatsura	AVない奴ら	08	2001-2001	3	8354	2015	9784835452135
angels	Angels	7973	2008-2009	1	86176	2005	9784861762161
backgammon	Backgammon	7575	2000-2001	1	87025	1998	9784870253629
cluster	CLUSTER	88317	1991-1999	6	7753	2002	9784775300565
grey	Grey	19	1986-1994	3	8211	2007	9784821184682
hasegawa-chouji	HASEGAWA長治	06	1999-1999	3	7859	2005	9784785925499
aiteii-oji-san	ITおじさん	86468	2023-2023	3	86805	2025	9784868050360
jinki-extend	JINKI:EXTEND	86127	2004-2007	1	901926	2002	9784901926065
joker-2012	JOKER	575	2012-2012	1	09	1987	9784091390141
joker-1998-3	Joker	575	2012-2012	1	592	1998	9784592128809
keep-out	Keep out!	87183	1993-1993	3	7567	1995	9784756702227
omega-7	Omega 7	7973	2002-2014	1	89048	1994	9784890484089
persona-1998	Persona	08	2001-2001	1	87025	1998	9784870254220
punch-drunk-babies	Punch drunk babies	8352	2001-2002	1	88271	1999	9784882718710
ren-ai	REN-AI	253	1989-2000	4	420	2002	9784420170390
samurai-7	SAMURAI 7	89236	2005-2005	3	06	2007	9784063722741
soil	Soil	7577	2004-2009	11	04	2011	9784047270145
strawberry-children	Strawberry children	905965	1998-1998	3	87775	2002	9784877750145
super-sub	Superサブ	7859	1985-1985	1	8342	1993	9784834230611
toy-s	Toy's	7897	2000-2000	3	344	2002	9784344801622
t-patrol-bon	T・Pぼん	09	2011-2024	4	12	1990	9784124102987
xl-saizu-desu-kekkonsasetekuremasuka	XLサイズですが、結婚させてくれますか?	910582	2023-2025	1	909460	2021	9784909460905
z	Z	253	1987-1987	2	592	1985	9784592117339
euromanga	euromanga	86410	2012-2013	1	87031	2008	9784870318571
ashitakagayaku	あした輝く	06	1985-1985	1	12	1995	9784120024610
achira-kochira-bokura	あちらこちらぼくら	09	2015-2017	3	8342	2019	9784834264487
arifureta-nichijou-de-sekai-saikyou	ありふれた日常で世界最強	86554	2018-2020	5	8240	2023	9784824003980
aru-nichi-toaru-nichi-totoaru-nichi-no-kuru	ある日とある日ととある日のクル	86495	2015-2021	1	05	2009	9784056070477
aa-warera-ga-myao-shogun	あゝ我らがミャオ将軍	19	2019-2019	4	86720	2021	9784867202326
ii-denshi	いい電子	7577	2000-2009	11	04	2011	9784047272750
itazura-oumu-no-seikatsu-zakki	いたずらオウムの生活雑記	7580	2017-2020	1	04	2015	9784046012074
ito-okashi	いとをかし	8124	2012-2013	3	8019	2015	9784801950627
inakappe-taishou	いなかっぺ大将	537	1994-1994	3	7952	1990	9784795229273
uchi-no-3-neko	うちの3ねこ	8019	2015-2023	1	8124	2013	9784812494387
uchi-wa-oppeke	うちはおっぺけ	8019	2015-2025	1	8124	2012	9784812491683
oto-maho	おと×まほ	7973	2009-2010	4	593	2012	9784593856961
omae-o-wotaku-ni-shiteyaru-kara-ore-o-riajuu-ni-shitekure	おまえをオタクにしてやるから、俺をリア充にしてくれ!	04	2014-2015	1	8401	2012	9784840147385
oruchuban-ebichuchu	おるちゅばんエビちゅちゅ～	575	2020-2023	4	391	1996	9784391920352
orochi	おろち	253	1995-1996	5	09	1977	9784091904850
onnanoko-pokopon	おんなのこポコポン	88475	1992-1995	5	8124	1998	9784812451830
onii-chan-dakedo-ai-sae-areba-kankei-nai-yonetsu	お兄ちゃんだけど愛さえあれば関係ないよねっ	8401	2012-2013	7	04	2015	9784040672861
omae-ni-dakareru-nante-kiitenai	お前に抱かれるなんて聞いてない!	909699	2020-2023	6	911186	2025	9784911186237
kashimashi-house	かしましハウス	8124	1996-2003	1	88475	1994	9784884757366
kakkoii-sukiyaki	かっこいいスキヤキ	7926	1996-1996	3	594	2020	9784594086213
gajumaru-family	がじゅまるファミリー	89742	2008-2016	9	86764	2024	9784867640180
ganbare-noukyou-seijo	がんばれ農強聖女～聖女の地位と婚約者を奪われた令嬢の農業	86699	2022-2023	5	86794	2025	9784867944431
garden-sisters	がーでん姉妹	8019	2015-2020	1	8124	2013	9784812481622
kirikiritei-no-buraun-sensei	きりきり亭のぶら雲先生	344	2002-2004	1	7962	1998	9784796297318
kirihito-sanka	きりひと讃歌	09	1989-2008	4	06	1977	9784061086340
kemonomichi-kagemaru-1980	けものみち	8211	1986-1987	1	408	2001	9784408165936
ken-mo-hororo	けんもほろろ	8124	2013-2014	4	8019	2017	9784801957183
gochisou-omega-wa-chuu-to-naku	ごちそうΩはチュウと鳴く	86123	2021-2023	4	86787	2025	9784867871539
gomenasobase	ごめんあそばせ	7897	1999-1999	3	537	2008	9784537155358
zakoken-maruchou	ざこ検〔○潮〕	09	2002-2003	1	86225	2009	9784862255082
shibainuko-san	しばいぬ子さん	8124	2012-2014	4	8019	2016	9784801953796
super-kid	すーぱあキッド	04	1990-1990	6	592	1984	9784592114567
zurui-hito-ni-hirowaremashita	ずるい男に拾われました	86123	2021-2022	4	86787	2025	9784867871263
sekkaku-cheat-o-moratte-isekai-ni-teni-shitandakara-suki-na-youni-ikite-mitai	せっかくチートを貰って異世界に転移したんだから、好きなよ	86716	2020-2025	1	89637	2018	9784896378412
soshite-boku-wa-tohou-ni-kureru	そして僕は途方に暮れる	8352	2000-2001	1	88271	1998	9784882718352
sodomu	そどむ	7966	2000-2000	3	06	2007	9784063722963
sonna-mainichi	そんな毎日	8124	2005-2014	6	8019	2017	9784801959170
sonna-kao-shite-sasotteru	そんな顔して、誘ってる?	86787	2024-2026	1	86123	2022	9784861238604
tada-no-love-nanka-dekikkonai	ただの恋愛なんかできっこない	86123	2021-2023	5	86787	2025	9784867871393
tanpopo-san-no-uta	たんぽぽさんの詩	396	1984-1986	1	575	2001	9784575825794
dakara-miyoko-desu	だから美代子です	8019	2016-2017	1	8124	2013	9784812484463
damekko-doubutsu	だめっこどうぶつ	8124	2003-2014	8	8019	2017	9784801961159
change-kitamura-2005	ちぇんじ!	06	2018-2019	1	09	2005	9784091301000
tsuki-tsuki	つきツキ!	8401	2011-2013	7	04	2016	9784040685267
tekipaki-waakin-rabu	てきぱきワーキン・ラブ	7577	2000-2001	2	89366	1998	9784893669513
dejipara	でじぱら	04	2008-2010	1	8402	2006	9784840235730
toaru-hi-no-kuru	とある日のクル	86495	2015-2021	1	05	2009	9784056070477
tokuni-aru-hibi	とくにある日々	86468	2022-2024	8	86805	2026	9784868051657
totsuon	とつおん!	8019	2015-2023	1	8124	2013	9784812483046
totoaruhi-no-kuru	ととある日のクル	86495	2015-2021	1	05	2009	9784056070477
todoroke-ichiban	とどろけ!一番	7542	2002-2002	7	09	1983	9784091404473
toraneko-folklore	とらねこフォークロア	86127	2011-2011	6	8000	2013	9784800001283
tondemo-skill-de-isekai-hourou-meshi-sui-no-daibouken	とんでもスキルで異世界放浪メシ スイの大冒険	86554	2019-2021	8	8240	2024	9784824006509
doku-doku-mori-mori	どく・どく・もり・もり	86468	2023-2024	6	86805	2026	9784868051725
nyan-koi	にゃんこい!	7973	2008-2010	6	593	2014	9784593857906
numumo-san-to-nponu-kun	ぬむもさんとんぽぬくん	909646	2019-2025	1	905447	2017	9784905447818
nekojiru-udon	ねこぢるうどん	7926	1992-1996	3	16	1999	9784160900493
barbara	ばるぼら	04	1992-1992	2	06	1982	9784061087460
hikikomari-kyuuketsuki-no-monmon	ひきこまり吸血姫の悶々	7575	2022-2023	4	301	2025	9784301000235
hitoribocchi-no-isekai-kouryaku	ひとりぼっちの異世界攻略	8240	2021-2026	1	86554	2019	9784865545500
hiyo-world	ひよわーるど	8124	2010-2013	4	8019	2015	9784801953703
pippira-note	ぴっぴら帳	575	2017-2017	3	86720	2022	9784867203767
fukushima-note	ふくしまノート	8019	2015-2017	1	8124	2013	9784812494004
boku-no-songokuu	ぼくの孫悟空	06	2010-2011	4	253	2001	9784253176200
mamotte-shugo-getten	まもって守護月天!	87025	1997-1999	10	901926	2003	9784901926645
maria-holic	まりあ✝ほりっく	8401	2007-2013	14	04	2015	9784040672410
mikio-to-mikio	みきおとミキオ	12	1988-1988	19	09	2011	9784091434562
mooretsu-atarou	もーれつア太郎	88475	1994-1994	1	09	2005	9784091935731
yata-momo	やたもも	8019	2017-2017	1	8124	2014	9784812487600
yumekuri	ゆめくり	04	2014-2017	1	8401	2012	9784840147408
ringo-chan-to-ohi-sama-no-mori-no-nakamatachi	りんごちゃんと、おひさまの森のなかまたち	925253	2014-2014	5	86626	2017	9784866260198
ruriiro-princess	るり色プリンセス	408	1988-1989	2	8342	1999	9784834271065
wagamama-diy	わがままDIY	8443	2011-2015	3	295	2018	9784295003236
watashi-no-shiawasena-kekkon	わたしの幸せな結婚	7575	2019-2024	6	301	2026	9784301003465
aqua-step-up	アクア・ステップ・アップ	7897	2001-2001	4	344	2003	9784344802131
acid-flower	アシッド・フラワー	87734	2004-2005	3	86436	2012	9784864362276
astro-kyuudan	アストロ球団	8342	1986-1986	4	87233	1999	9784872334616
atagoul	アタゴオル	88991	2000-2001	9	8401	2005	9784840113380
atom-the-beginning	アトムザ・ビギニング	86468	2015-2024	25	86805	2026	9784868051565
adolf-ni-tsugu	アドルフに告ぐ	16	1985-1985	5	06	1996	9784061759763
another-furonteia-online-seisankei-skill-o-kiwametara-cheat-na-enupiishii-o-yatoeru-youni	アナザー・フロンティア・オンライン～生産系スキルを極めた	86699	2021-2023	9	86794	2025	9784867947012
after-5-wa-kiss-no-ame	アフター5はkissの雨	8352	2000-2005	1	88271	1998	9784882717805
apollo-no-uta	アポロの歌	06	2010-2010	2	253	2007	9784253171120
alabaster	アラバスター	06	2010-2010	2	253	1995	9784253171519
alice-no-hanamichi	アリスの花道	592	1998-1998	3	04	2002	9784049249118
arinko-no-uta	アリンコの歌	87648	1988-1988	2	8342	1998	9784834283686
ansangu-cinderella	アンサングシンデレラ	86720	2020-2025	1	19	2018	9784199805325
itsu-yame	イツやめ	86123	2021-2023	6	86787	2025	9784867871461
ys	イース	04	1989-1992	7	07	1994	9784073011217
ultra-seven	ウルトラセブン	257	1986-1986	3	7759	2004	9784775910184
ultra-heaven	ウルトラヘヴン	7577	2002-2005	3	04	2009	9784047261280
emerging	エマージング	06	2004-2004	3	8458	2017	9784845850099
elite	エリート	257	1985-1985	3	7759	2005	9784775910337
elf-17	エルフ・17	592	1985-1988	6	86176	2005	9784861761942
obake	オバケ	06	1992-1992	3	334	2008	9784334901554
omega-syndrome	オメガ・シンドローム	86297	2018-2019	4	86717	2021	9784867171561
online-no-hitsujitachi	オンラインの羊たち	9910335	2018-2019	3	86468	2021	9784864687645
ooi-yamabiko	オーイ!!やまびこ	620	1988-1990	5	06	1996	9784063300222
aurora-housoukyoku	オーロラ放送局	05	1993-1993	2	257	1998	9784257903345
chaos-damonne	カオスだもんね!	7561	1994-2007	20	04	2009	9784048680387
kagaku-chop	カガクチョップ	593	2014-2017	6	86675	2019	9784866750859
katakoi-canon	カタコイ・カノン	8019	2015-2016	1	8124	2013	9784812481875
katekyo	カテキョ!	86252	2009-2010	4	86436	2012	9784864363396
kanojo-no-imouto-to-kiss-o-shita	カノジョの妹とキスをした。	7575	2022-2023	3	301	2025	9784301002147
chameleon-wa-tenohira-ni-koi-o-suru	カメレオンはてのひらに恋をする。	7575	2023-2024	4	301	2026	9784301003359
karikura	カリクラ	06	1998-1998	3	87233	2002	9784872336634
gakuran-hourouki	ガクラン放浪記	8211	1984-1985	6	916085	1999	9784916085818
gacha-o-mawashite-nakama-o-fuyasu-saikyou-no-bishoujo-gundan-o-tsukuriagero	ガチャを回して仲間を増やす最強の美少女軍団を作り上げろ	86716	2020-2025	1	89637	2018	9784896378214
gachikoi-nenchakujuu	ガチ恋粘着獣	86720	2022-2025	1	8019	2020	9784801970557
girly-hypers	ガーリーハイパーズ	7966	2000-2001	3	396	2007	9784396764197
kyattsuai	キャッツ❤アイ	08	1983-1994	21	10	2002	9784107700957
kyouhaku-dogguzu	キョウハクDOG'S	04	2017-2017	1	8402	2005	9784840229692
queen-emeraldas	クイーンエメラルダス	8354	2020-2020	1	06	1990	9784063134087
christie-london-massive	クリスティ・ロンドンマッシブ	04	2014-2017	1	8401	2012	9784840144889
crescent-noise	クレセント・ノイズ	87025	1998-1999	6	7575	2001	9784757504530
kurebatesu	クレバテス	04	2024-2026	4	86697	2022	9784866972497
gravitation	グラビテーション	7897	1996-2000	12	344	2002	9784344801172
guranpuri-tengoku	グランプリ天国	7796	2010-2016	3	89107	2007	9784891074487
kei-no-seishun	ケイの凄春	86225	2013-2013	13	88315	1995	9784883153565
gegege-no-kitarou-1987	ゲゲゲの鬼太郎	06	1987-1987	1	09	2019	9784091430229
gamerz-heaven	ゲーマーズヘブン!	901926	2003-2003	4	86127	2005	9784861271366
game-sekai-tensei-dankatsu	ゲーム世界転生〈ダン活〉～ゲーマーは〈ダンジョン就活のス	86794	2024-2025	1	86699	2022	9784866996592
kosu-puri	コスプリ!	7973	2009-2010	3	593	2012	9784593880652
kodoku-experiment	コドク・エクスペリメント	344	2016-2016	2	7897	2000	9784789783033
coyote	コヨーテ	86657	2018-2021	1	86134	2016	9784861349492
sobakistan	サバキスタン	910352	2023-2023	4	86791	2025	9784867910429
submarine-nanamarunana	サブマリン707	253	1985-1987	3	7780	2013	9784778032470
the-bokusaa	ザ・ボクサー	8211	1986-1986	3	08	2024	9784088842967
sherlock-holmes-no-bouken	シャーロック・ホームズの冒険	257	2006-2007	3	02	2009	9784022131362
shumari	シュマリ	04	1987-1987	4	06	1979	9784061087002
jientoruman	ジェントル萬	8401	2002-2002	2	7962	1999	9784796205429
jangurutaitei	ジャングル大帝	06	1977-1977	4	8354	2016	9784835453477
scrap-gakuen	スクラップ学園	253	1986-1986	3	8354	2018	9784835455631
stop-hibari-kun	ストップ!!ひばりくん!	7780	2009-2010	4	08	1984	9784088513942
thrill-hakase	スリル博士	06	1979-1979	2	591	2008	9784591103562
setsuko-yamada-no-nekozanmai	セツコ・山田の猫三昧	938396	1995-2005	4	903518	2009	9784903518350
sodateko	ソダテコ	8124	2010-2013	3	8019	2016	9784801906648
sonic-the-hedgehog	ソニック・ザ・ヘッジホッグ	910416	2021-2023	8	911348	2025	9784911348154
soldier-boy	ソルジャーボーイ	257	1985-1986	7	09	1988	9784091317674
takopon	タコポン	7577	2003-2003	2	575	1995	9784575820973
dance-in-za-vampire-bund-sledge-hammer-no-tsuioku	ダンスインザヴァンパイアバンドスレッジ・ハマーの追憶	8401	2013-2013	3	86472	2018	9784864727457
charenjaazu	チャレンジャーズ	592	1996-1998	4	87724	2004	9784877243548
tennis-boy	テニスボーイ	8342	1989-1990	14	08	1983	9784088512143
death-hunter	デスハンター	257	1985-1986	3	7759	2005	9784775910207
torimania	トリマニア	7575	2016-2019	6	592	2023	9784592166542
dragon-quest-maboroshi-no-daichi	ドラゴンクエスト幻の大地	87025	1997-1999	10	7575	2001	9784757504394
dororon-enma-kun	ドロロンえん魔くん	12	1991-1991	2	257	1985	9784257960553
nanawo-chiitoitsu	ナナヲチートイツ	8124	2011-2013	4	8019	2018	9784801962309
namuji	ナムジ	12	2003-2003	5	19	1991	9784194447193
