slug	title	vols	inv	gap_yr	worst	bad_isbn
20seiki-20-younen	20世紀少年	22	1	0	#8(2002-12)->#9(2002-08)	9784091855398
haou-densetsu-takeru	覇王伝説驍	20	1	0	#5(1992-11)->#6(1992-01)	9784063118636
pyuu-to-fuku-jaguar	ピューと吹く!ジャガー	20	1	0	#17(2009-07)->#18(2009-01)	9784088747866
suzumiya-haruhi-no-yuuutsu	涼宮ハルヒの憂鬱	20	1	0	#15(2012-12)->#16(2012-03)	9784041201855
saigo-wa-straight	最後は?ストレート!!	20	1	0	#4(2011-12)->#5(2011-03)	9784091235602
okane-ga-nai	お金がないっ	19	1	0	#1(2003-11)->#2(2003-02)	9784344802117
batsuichi	×一	19	1	0	#1(2004-10)->#2(2004-01)	9784091874122
tsuge-yoshiharu-taizen	つげ義春大全	19	5	0	#2(2020-07)->#3(2020-05)	9784065164082
rinta-no-momoiro-comic	りん太のももいろコミック	18	1	0	#1(1995-04)->#3(1995-03)	9784764817531
nantetsu-tantei-idol	なんてっ探偵・アイドル	18	1	0	#4(2001-07)->#5(2001-05)	9784091510372
sugarless	シュガーレス	18	1	0	#9(2011-11)->#10(2011-01)	9784253204071
sanada-taiheiki	真田太平記	18	1	0	#16(2019-12)->#17(2019-09)	9784022755377
kenka-ramen	喧嘩ラーメン	17	1	0	#14(1999-06)->#15(1999-01)	9784537098211
tobaku-datenroku-kaiji	賭博堕天録カイジ	17	1	0	#3(2005-06)->#4(2005-04)	9784063613766
hinotori	火の鳥	16	2	0	#3(1986-07)->#4(1986-04)	9784048520348
tenjou-tenge-yuiga-dokuson	天上天下唯我独尊	16	1	0	#1(1991-11)->#2(1991-10)	9784061022959
binbougami-ga	貧乏神が!	16	1	0	#11(2012-12)->#12(2012-04)	9784088704081
little-kyojin-kun	リトル巨人くん	15	1	0	#2(1978-11)->#3(1978-05)	9784091401939
itihasa	イティハーサ	15	1	0	#4(1989-11)->#5(1989-10)	9784087821154
mikosuri-gekijou	みこすり半劇場	15	1	0	#5(1991-10)->#6(1991-02)	9784821193257
peanuts-essence-1996	ピーナッツ・エッセンス	15	6	0	#8(1996-10)->#9(1996-09)	9784062650090
cream-lemon	くりいむレモン	14	1	0	#8(1986-06)->#9(1986-02)	9784900387294
yokohama-kaidashi-kikou	ヨコハマ買い出し紀行	14	1	0	#7(2000-02)->#8(2000)	9784063211207
haru-o-daiteita	春を抱いていた	14	1	0	#10(2007-06)->#11(2007-01)	9784862630711
makikomarete-isekai-teni-suru-yatsu-wa-taitei-cheat	巻き込まれて異世界転移する奴は、大抵チート	14	1	0	#13(2024-12)->#14(2024-12)	9784299061812
sanzokuou	山賊王	13	1	0	#3(2002-08)->#4(2002-04)	9784063338768
deru-toko-demasho	出るトコ出ましょ!	13	1	0	#2(2005-02)->#3(2005-01)	9784091866479
hajimete-no-nippon-no-rekishi	はじめての日本の歴史	13	1	0	#6(2015-11)->#7(2015-04)	9784092982079
shiki-sentaro-1979	史記	12	1	0	#4(１９８３)->#5(1983-10)	9784061018150
ryoushuu	領袖	12	1	0	#1(1993-07)->#2(1993-07)	9784643930634
tenchi-muyou-ryououki	天地無用!魎皇鬼	12	1	0	#1(1995-07)->#2(1995-04)	9784047121034
freesia	フリージア	12	1	0	#1(2003-09)->#2(2003-09)	9784091883827
yokubou-no-seijo-reijou-terejia	欲望の聖女令嬢テレジア	12	1	0	#10(2009-09)->#11(2009-01)	9784091331298
jigokudou-reikai-tsuushin	地獄堂霊界通信	12	1	0	#3(2011-04)->#4(2011-01)	9784063107968
apothecarius-argentum	薬師アルジャン	11	1	0	#8(2008-09)->#9(2008-03)	9784253195096
onidere	オニデレ	11	1	0	#10(2011-05)->#11(2011-05)	9784091228802
okinawa-de-suki-ni-natta-ko-ga-hougensugite-tsurasugiru	沖縄で好きになった子が方言すぎてツラすぎる	11	1	0	#10(2025-05)->#11(2025-02)	9784107729101
hoshi-no-hitomi-no-silhouette	星の瞳のシルエット	10	1	0	#7(1988-07)->#8(1988-01)	9784088534701
genji-monogatari	源氏物語	10	1	0	#1(1988-02)->#2(1988-02)	9784091780652
naito-gundam-story	騎士ガンダム物語	10	1	0	#4(1991-08)->#5(1991-05)	9784063216196
yume-furu-rabbit-town	夢降るラビット・タウン	10	1	0	#1(1991-09)->#2(1991-08)	9784915491870
nekogo-jiten	猫語辞典	10	1	0	#1(1997-10)->#2(1997-06)	9784845815494
osanazuma	おさなづま	10	1	0	#8(2001-06)->#9(2001-01)	
peach	PEACH!	10	1	0	#4(2002-05)->#5(2002-05)	9784091525659
juuoku-shoujo	￥十億少女	10	1	0	#1(2001-06)->#2(2001-06)	9784049248685
not-lives	NOT LIVES	10	1	0	#5(2014-09)->#6(2014-08)	9784048668460
akaya-akashiya-ayakashi-no	あかやあかしやあやかしの	10	1	0	#2(2013-12)->#3(2013-07)	9784040662640
joshi-shougakusei-hajimemashita-p	女子小学生はじめましたP!	10	1	0	#1(2015-06)->#2(2015-06)	9784592141723
futsutsukana-akujo-dewa-gozaimasuga	ふつつかな悪女ではございますが	10	1	0	#7(2024-07)->#8(2024-04)	9784758096324
aishite-knight	愛してナイト	7	1	0	#4(1983-11)->#5(1983-08)	9784088507835
tabi-no-tochuu	旅の途中	7	1	0	#1(1998-05)->#2(1998-05)	9784063285789
