slug	vol	found	cand_isbn	release_date	publisher	n_cand	rakuten_raw
atagoul	8	Y	9784796204897	1998-04	スコラ	2	アタゴオル(8)
b-t-x	13	Y	9784047132696	1999-03	角川書店	2	ビート・エックス(13)
b-t-x	14	Y	9784047132849	1999-07	角川書店	2	ビート・エックス(14)
b-t-x	15	Y	9784047133020	1999-11	角川書店	2	ビート・エックス(15)
baito-kun	1	Y	9784575712704	2003-12	双葉社	3	バイトくん
bar-lemon-heart-2014	2	Y	9784575812541	1986-10-14	双葉社	5	BARレモン・ハート(2)
bar-lemon-heart-2014	3	Y	9784575813906	1987-07-17	双葉社	5	BARレモン・ハート(3)
bar-lemon-heart-2014	4	Y	9784575814347	1988-01-14	双葉社	5	BARレモン・ハート(4)
bar-lemon-heart-2014	6	Y	9784575815153	1988-12-16	双葉社	5	BARレモン・ハート(6)
bar-lemon-heart-2014	7	Y	9784575815597	1989-07-19	双葉社	5	BARレモン・ハート(7)
bar-lemon-heart-2014	8	Y	9784575816419	1990-05-29	双葉社	5	BARレモン・ハート(8)
bar-lemon-heart-2014	17	Y	9784575825848	2001-07-09	双葉社	5	BARレモン・ハート(17)
bar-lemon-heart-2014	19	Y	9784575828948	2003-10	双葉社	7	BARレモン・ハート(19)
bar-lemon-heart-2014	20	Y	9784575829709	2004-05	双葉社	7	BARレモン・ハート(20)
bar-lemon-heart-2014	21	Y	9784575831030	2005-06	双葉社	7	BARレモン・ハート(21)
bar-lemon-heart-2014	22	Y	9784575832365	2006-05	双葉社	7	BARレモン・ハート(22)
bar-lemon-heart-2014	26	Y	9784575838275	2010-10-28	双葉社	6	BARレモン・ハート(26)
bartender	2	Y	9784088594958	2005-05	集英社	3	Bartender(2)
bartender	3	Y	9784088595283	2005-09	集英社	3	Bartender(3)
bartender	4	Y	9784088595535	2006-01	集英社	3	Bartender(4)
bartender	5	Y	9784088595757	2006-05	集英社	3	Bartender(5)
bartender	6	Y	9784088595993	2006-10	集英社	3	Bartender(6)
bartender	7	Y	9784088596167	2007-01	集英社	3	Bartender(7)
bartender	8	Y	9784088596389	2007-05	集英社	3	Bartender(8)
bartender	9	Y	9784088596662	2007-09	集英社	3	Bartender(9)
bartender	10	Y	9784088596884	2008-02	集英社	3	Bartender(10)
bartender	11	Y	9784088597072	2008-05	集英社	3	Bartender(11)
bartender	12	Y	9784088597324	2008-10	集英社	3	Bartender(12)
bartender	13	Y	9784088597584	2009-02	集英社	3	Bartender(13)
bartender	14	Y	9784088597867	2009-07	集英社	3	Bartender(14)
bartender	15	Y	9784088597997	2009-11	集英社	3	Bartender(15)
basutaado	2	Y	9784088710648	1988-11-10	集英社	4	BASTARD!! 2
basutaado	3	Y	9784088710655	1989-01-10	集英社	4	BASTARD!! 3
basutaado	4	Y	9784088710662	1989-03-10	集英社	4	BASTARD!! 4
basutaado	5	Y	9784088710679	1989-05-10	集英社	4	BASTARD!! 5
basutaado	6	Y	9784088710686	1989-09-08	集英社	4	BASTARD!! 6
basutaado	7	Y	9784088710693	1989-11-10	集英社	4	BASTARD!! 7
basutaado	8	Y	9784088710709	1990-06-08	集英社	4	BASTARD!! 8
basutaado	9	Y	9784088718316	1990-11-09	集英社	4	BASTARD!! 9
basutaado	14	Y	9784088718361	1993-10-04	集英社	2	BASTARD!! 14
bikkuriman-omoshirorando	4	Y	9784253099325	1988-05-20	秋田書店	3	ビックリマンおもしろランド(4)
bird	2	Y	9784575819694	1994-06-28	双葉社	3	Bird(2)
bird-black-maaketto	1	Y	9784812454282	2000-09-07	竹書房	1	バード(1)
bird-black-maaketto	2	Y	9784812454572	2000-11-17	竹書房	1	バード(2)
bocchi-za-rock-gaiden-hiroi-kikuri-no-fukazake-nikki	3	Y	9784832204492	2024-10-25	芳文社	3	ぼっち・ざ・ろっく!外伝 廣井きくりの深酒日記 3
bocchi-za-rock-gaiden-hiroi-kikuri-no-fukazake-nikki	4	Y	9784832204812	2025-02-27	芳文社	3	ぼっち・ざ・ろっく!外伝 廣井きくりの深酒日記 4
bonbaaman-4-koma-manga-oukoku	2	Y	9784575933949	1995-04	双葉社	3	ボンバーマン4コマまんが王国(2)
botsu-chan-no-jidai	1	Y	9784575930597	1987-06	双葉社	3	『坊っちゃん』の時代
bou-kun-vaaderu-no-hanayome-shoya-hen	13	Y	9784776747369	2018-07	宙出版	3	暴君ヴァーデルの花嫁初夜編(13)
bou-kun-vaaderu-no-hanayome-shoya-hen	14	Y	9784776748205	2018-11-01	宙出版	3	暴君ヴァーデルの花嫁初夜編(14)
bou-kun-vaaderu-no-hanayome-shoya-hen	15	Y	9784776748984	2019-03-01	宙出版	3	暴君ヴァーデルの花嫁初夜編(15)
bou-kun-vaaderu-no-hanayome-shoya-hen	16	Y	9784776750093	2019-09-02	宙出版	3	暴君ヴァーデルの花嫁 初夜編(16)
canon-1995	5	Y	9784872875430	2001-08	宙出版	1	Kanon(5)
canon-1995	6	Y	9784872875546	2001-09	宙出版	1	Kanon(6)
capeta	25	Y	9784063760880	2011-07-15	講談社	2	capeta(25)
capeta	26	Y	9784063761412	2011-11-17	講談社	2	capeta(26)
capeta	27	Y	9784063761955	2012-02-17	講談社	2	capeta(27)
capeta	28	Y	9784063766370	2012-05-17	講談社	2	capeta(28)
capeta	29	Y	9784063766851	2012-08-17	講談社	2	capeta(29)
capeta	30	Y	9784063767261	2012-11-16	講談社	2	capeta(30)
capeta	31	Y	9784063767827	2013-02-15	講談社	2	capeta(31)
chicken-iguchi-2024	1	Y	9784408164793	1999-01-29	実業之日本社	2	チキン!(第1巻)
chicken-iguchi-2024	2	Y	9784408165035	1999-07-29	実業之日本社	2	チキン!(第2巻)
chicken-iguchi-2024	3	Y	9784408165202	1999-11-29	実業之日本社	2	チキン!(第3巻)
chicken-iguchi-2024	4	Y	9784408165479	2000-06-29	実業之日本社	2	チキン!(第4巻)
chinpira	22	Y	9784537103595	2004-12	日本文芸社	2	弱虫(22)
chou-diienuei-suit-furogguman	2	Y	9784883324125	1996-03	シュベール出版	2	超DNA戦士フロッグマン(2)
cinema	3	Y	9784091845856	1999-06-30	小学館	1	シネマ(3)
comic-chuurippu	14	Y	9784803313185	1988-01	大陸書房	1	コミック チューリップ 14
comic-chuurippu-1988	1	Y	9784803310436	1986-10	大陸書房	1	コミック チューリップ 1
comic-tulip	1	Y	9784803310436	1986-10	大陸書房	1	コミック チューリップ 1
comic-tulip	14	Y	9784803313185	1988-01	大陸書房	1	コミック チューリップ 14
conde-koma	10	Y	9784091521002	1999-04-05	小学館	2	コンデ・コマ(10)
conde-koma	11	Y	9784091523815	1999-07-05	小学館	2	コンデ・コマ(11)
conde-koma	12	Y	9784091523822	1999-10-05	小学館	2	コンデ・コマ(12)
conde-koma	13	Y	9784091523839	2000-01-11	小学館	2	コンデ・コマ(13)
conde-koma	14	Y	9784091523846	2000-04-05	小学館	2	コンデ・コマ(14)
daikaijuu-geaachima	4	Y	9784065375983	2024-11-20	講談社	2	大怪獣ゲァーチマ(4)
daikaijuu-geaachima	5	Y	9784065389300	2025-03-18	講談社	2	大怪獣ゲァーチマ(5)
dakareta-akuyaku-reijou-wa-gekihen-ouji-no-dekiai-route-ni-totsunyuuchuu	3	Y	9784596718075	2024-12-24	ハーパーコリンズ・ジャパン	1	抱かれた悪役令嬢は、激変王子の溺愛ルートに突入中!? 3
damenzu-walker	9	Y	9784594050665	2005-11-30	扶桑社	2	だめんず・うぉ〜か〜(9)
damenzu-walker	10	Y	9784594051464	2006-04	扶桑社	2	だめんず・うぉ?か?(10)
damenzu-walker	11	Y	9784594052201	2006-09-30	扶桑社	2	だめんず・うぉ〜か〜(11)
damenzu-walker	12	Y	9784594054113	2007-07-30	扶桑社	2	だめんず・うぉ〜か〜(12)
damenzu-walker	13	Y	9784594055943	2008-02	扶桑社	2	だめんず・うぉ〜か〜(13)
damenzu-walker	14	Y	9784594057763	2008-09	扶桑社	2	だめんず・うぉ〜か〜(14)
damenzu-walker	15	Y	9784594059316	2009-04	扶桑社	2	だめんず・うぉ〜か〜(15)
darashinai-desu-hotta-sensei	5	Y	9784575860108	2024-09-26	双葉社	1	だらしないです 堀田先生!(5)
darashinai-desu-hotta-sensei	6	Y	9784575860603	2025-02-27	双葉社	1	だらしないです 堀田先生!(6)
deadpool-samurai-sano-2021	3	Y	9784088843476	2024-12-04	集英社	1	デッドプール:SAMURAI 3
dear-boys-act-3	1	Y	9784063712018	2009-06-17	講談社	2	DEAR BOYS ACT3(1)
dear-boys-act-3	2	Y	9784063712124	2009-10-16	講談社	2	DEAR BOYS ACT3(2)
dear-boys-act-3	4	Y	9784063712490	2010-06-17	講談社	2	DEAR BOYS ACT3(4)
dear-boys-act-3	5	Y	9784063712605	2010-10-15	講談社	2	DEAR BOYS ACT3(5)
dear-boys-act-3	6	Y	9784063712759	2011-02-17	講談社	2	DEAR BOYS ACT3(6)
densetsu-no-yarichin-vs-teppeki-no-shiriana	2	Y	9784799761212	2023-02-09	リブレ	2	伝説のヤリチンVS鉄壁の尻穴(2)
densetsu-no-yarichin-vs-teppeki-no-shiriana	3	Y	9784799765043	2023-12-08	リブレ	2	伝説のヤリチンVS鉄壁の尻穴 3
dokudane-tokuhain-kasuga	3	Y	9784643930276	1993-04-15	読売新聞社	2	毒ダネ特派員・カスガ(vol.3)
dokudane-tokuhain-kasuga	5	Y	9784643930689	1993-08-20	読売新聞社	2	毒ダネ特派員・カスガ(vol.5)
doraemon	19	Y	9784091401090	1980-06-28	小学館	3	ドラえもん(19)
doraemon	20	Y	9784091401106	1980-12-20	小学館	3	ドラえもん(20)
doraemon	21	Y	9784091405012	1981-04-25	小学館	2	ドラえもん(21)
doraemon	22	Y	9784091405029	1981-07-25	小学館	3	ドラえもん(22)
doraemon	23	Y	9784091405036	1981-12-19	小学館	2	ドラえもん(23)
doraemon	24	Y	9784091405043	1982-03-27	小学館	3	ドラえもん(24)
doraemon	25	Y	9784091405050	1982-07-28	小学館	3	ドラえもん(25)
doraemon	26	Y	9784091405067	1982-12-20	小学館	3	ドラえもん(26)
doraemon	27	Y	9784091405074	1983-03-28	小学館	5	ドラえもん(27)
doraemon	28	Y	9784091405081	1983-07-28	小学館	5	ドラえもん(28)
doraemon	29	Y	9784091405098	1983-12-16	小学館	5	ドラえもん(29)
doraemon	30	Y	9784091405104	1984-03-28	小学館	5	ドラえもん(30)
doraemon	31	Y	9784091408013	1984-07-28	小学館	3	ドラえもん(31)
doraemon	32	Y	9784091408020	1984-12-15	小学館	3	ドラえもん(32)
douyara-watashi-no-karada-wa-kanzen-muteki-no-youdesune	2	Y	9784040730387	2019-02-08	KADOKAWA	4	どうやら私の身体は完全無敵のようですね 2
douyara-watashi-no-karada-wa-kanzen-muteki-no-youdesune	3	Y	9784040733579	2019-10-09	KADOKAWA	4	どうやら私の身体は完全無敵のようですね 3
doyoubinoehon	3	Y	9784086170499	2002-06	集英社	2	土曜日の絵本(3)
ekiben-hitoritabi	9	Y	9784575837513	2010-04	双葉社	4	駅弁ひとり旅(9)
ekiben-hitoritabi	10	Y	9784575837865	2010-07	双葉社	4	駅弁ひとり旅(10)
ekiben-hitoritabi	11	Y	9784575838558	2011-01	双葉社	4	駅弁ひとり旅(11)
ekiben-hitoritabi	12	Y	9784575838985	2011-04	双葉社	4	駅弁ひとり旅(12)
ekiben-hitoritabi	13	Y	9784575839326	2011-07	双葉社	4	駅弁ひとり旅(13)
esper-mami-1996-2	1	Y	9784091415011	1978-01-13	小学館	3	エスパー魔美(1)
esper-mami-1996-2	2	Y	9784091415028	1978-03-04	小学館	3	エスパー魔美(2)
esper-mami-1996-2	3	Y	9784124100310	1985-01	中央公論新社	3	エスパー魔美(3)
esper-mami-1996-2	8	Y	9784091415080	1981-10-05	小学館	3	エスパー魔美(8)
fate-grand-order	1	Y	9784758033282	2018-01	一迅社	3	Fate/Grand Order -mortalis:stella-(1)
fate-strange-fake-2019	2	Y	9784047309890	2016-01-12	ノーツ	3	Fate/strange Fake vol.2
final-fantasy-lost-stranger-2021	6	Y	9784757568914	2020-11-12	スクウェア・エニックス	2	FINAL FANTASY LOST STRANGER(6)
final-fantasy-lost-stranger-2021	7	Y	9784757571495	2021-05-12	スクウェア・エニックス	2	FINAL FANTASY LOST STRANGER(7)
final-fantasy-lost-stranger-2021	11	Y	9784757590021	2024-01-12	スクウェア・エニックス	2	FINAL FANTASY LOST STRANGER(11)
fire-emblem-seisen-no-keifu	2	Y	9784870253179	1998-06-12	スクウェア・エニックス	4	ファイアーエムブレム聖戦の系譜(2)
fire-emblem-seisen-no-keifu	3	Y	9784870254466	1999-01-12	スクウェア・エニックス	4	ファイアーエムブレム聖戦の系譜(3)
fire-emblem-seisen-no-keifu	4	Y	9784757501539	1999-12-18	スクウェア・エニックス	4	ファイアーエムブレム聖戦の系譜(4)
fire-emblem-seisen-no-keifu	5	Y	9784757504691	2001-06-27	スクウェア・エニックス	4	ファイアーエムブレム聖戦の系譜(5)
fire-emblem-seisen-no-keifu	6	Y	9784757505780	2001-11	スクウェア・エニックス	4	ファイアーエムブレム聖戦の系譜(6)
fire-emblem-seisen-no-keifu	9	Y	9784840111935	2005-01	メディアファクトリー	1	ファイアーエムブレム聖戦の系譜(9)
fire-emblem-seisen-no-keifu	10	Y	9784840112123	2005-02	メディアファクトリー	1	ファイアーエムブレム聖戦の系譜(10)
fire-emblem-seisen-no-keifu	11	Y	9784840112277	2005-03	メディアファクトリー	1	ファイアーエムブレム聖戦の系譜(11)
fire-emblem-watanabe-1992	4	Y	9784870255340	1995-02-27	スクウェア・エニックス	12	ファイアーエムブレム(4)
fuchin-senkan-kii	3	Y	9784056021325	2000-06-28	Gakken	1	不沈戦艦紀伊(3)
fuchin-senkan-kii	4	Y	9784056023695	2001-02-26	Gakken	1	不沈戦艦紀伊(4)
fuchin-senkan-kii	6	Y	9784056027600	2002-08-28	Gakken	1	不沈戦艦紀伊(6)
furusato	4	Y	9784575724141	2002-08	双葉社	2	ふるさと(4)
furusato	5	Y	9784575813067	1984-09	双葉社	3	ふるさと(5)
furusato	8	Y	9784575813098	1985-05	双葉社	3	ふるさと(8)
fushigi-tobe-kun	2	Y	9784834213942	1995-01-19	集英社	6	ふしぎトーボくん(2)
g-taste	1	Y	9784063198263	1997-07-09	講談社	7	G-taste(1)
g-taste	2	Y	9784063339536	1998-07-09	講談社	2	G-taste(2)
g-taste	3	Y	9784063342123	1999-09-09	講談社	2	G-taste(3)
gang-king	28	Y	9784063930238	2016-08-17	講談社	2	ギャングキング(28)
gang-king	29	Y	9784063931501	2017-03-09	講談社	2	ギャングキング(29)
garfield	1	Y	9784767450018	1990-07	研究社	3	ガーフィールド(vol.1)
garfield	2	Y	9784767450025	1990-07	研究社	3	ガーフィールド(vol.2)
garfield	3	Y	9784767450032	1990-07	研究社	3	ガーフィールド(vol.3)
garfield	4	Y	9784767450049	1990-07	研究社	3	ガーフィールド(vol.4)
garfield	5	Y	9784767450056	1990-07	研究社	3	ガーフィールド(vol.5)
garfield	6	Y	9784767450063	1991-01	研究社	2	ガーフィールド(vol.6)
garfield	7	Y	9784767450070	1991-01	研究社	2	ガーフィールド(vol.7)
garfield	10	Y	9784767450100	1991-01	研究社	2	ガーフィールド(vol.10)
gegege-no-kitarou	14	Y	9784061731134	1986-01-18	講談社	5	ゲゲゲの鬼太郎(14)
gegege-no-kitarou	15	Y	9784061731141	1986-01-18	講談社	2	ゲゲゲの鬼太郎(15)
gegege-no-kitarou-1987	2	Y	9784257960126	1984-09	朝日ソノラマ	24	ゲゲゲの鬼太郎(第2巻)
gekiga-kachikujin-yapuu	1	Y	9784344802391	2003-05-24	幻冬舎コミックス	2	家畜人ヤプー(1)
gekiga-shousetsu-yoshida-gakkou	3	Y	9784643880298	1988-08	読売新聞社	3	劇画小説吉田学校(3)
gekiga-shousetsu-yoshida-gakkou	4	Y	9784643880304	1988-10	読売新聞社	3	劇画小説吉田学校(4)
gekiga-shousetsu-yoshida-gakkou	5	Y	9784643880311	1988-12	読売新聞社	3	劇画小説吉田学校(5)
gekiga-shousetsu-yoshida-gakkou	6	Y	9784643890143	1989-02	読売新聞社	3	劇画小説吉田学校(6)
gekiga-shousetsu-yoshida-gakkou	7	Y	9784643890365	1989-04	読売新聞社	3	劇画小説吉田学校(7)
gekiga-shousetsu-yoshida-gakkou	8	Y	9784643890495	1989-07	読売新聞社	3	劇画小説吉田学校(8)
gekiga-shousetsu-yoshida-gakkou	9	Y	9784643890648	1989-09	読売新聞社	3	劇画小説吉田学校(9)
gekiga-shousetsu-yoshida-gakkou	10	Y	9784643890808	1989-11	読売新聞社	3	劇画小説吉田学校(10)
gekiga-shousetsu-yoshida-gakkou	11	Y	9784643890969	1989-12	読売新聞社	3	劇画小説吉田学校(11)
gekiga-shousetsu-yoshida-gakkou	12	Y	9784643900231	1990-03	読売新聞社	3	劇画小説吉田学校(12)
gekiga-shousetsu-yoshida-gakkou	13	Y	9784643900514	1990-05	読売新聞社	3	劇画小説吉田学校(13)
gekiga-shousetsu-yoshida-gakkou	14	Y	9784643900743	1990-08	読売新聞社	3	劇画小説吉田学校(14)
gekiga-shousetsu-yoshida-gakkou	15	Y	9784643900873	1990-10	読売新聞社	3	劇画小説吉田学校(15)
gekiga-shousetsu-yoshida-gakkou	16	Y	9784643910216	1991-03	読売新聞社	3	劇画小説吉田学校(16)
geni-kasuri	3	Y	9784088940540	2025-12-18	集英社	1	げにかすり 3
gentsuki-oba-san	2	Y	9784821193363	1991-03-25	ぶんか社	1	原付おばさん(vol.2)
gessekai-ryokou	1	Y	9784797373394	2013-03	SBクリエイティブ	2	月世界旅行
gifuu-doudou-naoe-kanetsugu-maeda-deka-hanagatari	1	Y	9784199802218	2014-07-19	ノース・スターズ・ピクチャーズ	2	義風堂々!!直江兼続〜前田慶次花語り〜(1)
gifuu-doudou-naoe-kanetsugu-maeda-deka-hanagatari	2	Y	9784199802447	2014-11-20	ノース・スターズ・ピクチャーズ	2	義風堂々!!直江兼続〜前田慶次花語り〜(2)
gintarou-san-otanomi-mousu	9	Y	9784087921038	2025-12-24	集英社	1	銀太郎さんお頼み申す 9
girls-ando-panzer-motto-raburabu-sakusen-desu	22	Y	9784046838360	2024-08-23	KADOKAWA	1	ガールズ&パンツァー もっとらぶらぶ作戦です! 22
gokudoumeshi	2	Y	9784575834192	2007-10-27	双葉社	2	極道めし(2)
gokudoumeshi	3	Y	9784575835199	2008-07	双葉社	2	極道めし(3)
gokudoumeshi	4	Y	9784575836158	2009-04-28	双葉社	2	極道めし(4)
gokudoumeshi	5	Y	9784575836868	2009-10-28	双葉社	2	極道めし(5)
gokudoumeshi	6	Y	9784575837971	2010-07-28	双葉社	2	極道めし(6)
gokudoumeshi	7	Y	9784575838732	2011-02-28	双葉社	2	極道めし(7)
gokudoumeshi	8	Y	9784575839647	2011-09-20	双葉社	2	極道めし(8)
gokuritsu	6	Y	9784098636570	2025-12-26	小学館	1	ごくりっ(6)
golden-boy-1993	3	Y	9784088587233	1994-05-10	集英社	2	GOLDEN BOY(3)
golden-boy-1993	4	Y	9784088587240	1994-12-02	集英社	2	GOLDEN BOY(4)
golden-guy	13	Y	9784537173321	2025-12-09	日本文芸社	2	ゴールデン・ガイ (13)
gomen-asobase	7	Y	9784832261358	1999-05-21	芳文社	1	ごめんあそばせ(7)
gomen-asobase	8	Y	9784832261457	1999-08-17	芳文社	1	ごめんあそばせ(8)
gomen-asobase	9	Y	9784832261679	2000-04-03	芳文社	1	ごめんあそばせ(9)
gray-zone	4	Y	9784860021788	2005-08	ノアール出版	1	GRAY ZONE(4)
hamster-club	1	Y	9784796287326	1996-05-16	スコラ	3	ハムスター倶楽部(1)
hamster-club	2	Y	9784873170190	1999-09	あおば出版	3	ハムスター倶楽部(2)
hamster-club	3	Y	9784840124737	2008-11	メディアファクトリー	2	ハムスター倶楽部(3)
hana-1996	3	Y	9784091515032	1994-09-05	小学館	4	花(3)
hana-2005	3	Y	9784091515032	1994-09-05	小学館	4	花(3)
hana-matsumoto-2002	3	Y	9784091515032	1994-09-05	小学館	8	花(3)
hana-matsumoto-2002	4	Y	9784088474854	2002-03	集英社	4	Flower(4)
hana-matsumoto-2002	6	Y	9784088476704	2003-09	集英社	4	Flower(6)
hana-matsumoto-2002	9	Y	9784088460598	2006-05	集英社	2	Flower(9)
hana-takeda-1988	3	Y	9784091515032	1994-09-05	小学館	4	花(3)
hanagoromo-yumegoromo	1	Y	9784088622941	1994-09-22	集英社	4	花衣夢衣(1)
hanagoromo-yumegoromo	2	Y	9784088622989	1994-10-21	集英社	4	花衣夢衣(2)
hanagoromo-yumegoromo	3	Y	9784088623009	1994-11-22	集英社	4	花衣夢衣(3)
hanagoromo-yumegoromo	4	Y	9784088623221	1995-06-23	集英社	4	花衣夢衣(4)
haru-yo-kuruna	1	Y	9784063774832	2016-06-23	講談社	2	春よ来るな(1)
haru-yo-kuruna	2	Y	9784063930535	2016-10-21	講談社	2	春よ来るな(2)
harukanaru-toki-no-naka-de	9	Y	9784592174622	2004-10	白泉社	3	遙かなる時空の中で(第9巻)
hata-manjirou-no-omoshiro-zukan	1	Y	9784088611280	1990-09-19	集英社	2	はた万次郎のおもしろ図鑑(1)
hata-manjirou-no-omoshiro-zukan	2	Y	9784088611297	1990-12-13	集英社	2	はた万次郎のおもしろ図鑑(2)
heba-hello-chan	4	Y	9784063194135	1993-08-09	講談社	3	へばハローちゃん(4)
heisei-haizanhei-sumire-chan	3	Y	9784065372692	2024-10-04	講談社	1	平成敗残兵すみれちゃん(3)
heisei-haizanhei-sumire-chan	5	Y	9784065389157	2025-03-06	講談社	1	平成敗残兵すみれちゃん(5)
hellhound-2018	3	Y	9784757508170	2002-10	スクウェア・エニックス	4	Hellhound(3)
hellhound-2018	4	Y	9784065344439	2024-02-22	講談社	2	ヘルハウンド(4)
hime-2006	3	Y	9784575487329	1984-10	双葉社	5	姫(3)
hirotta-inui-kun-to-koi-o-suru	1	Y	9784088677743	2024-09-25	集英社	1	拾った戌井くんと恋をする 1
hitman-go-go	3	Y	9784860021665	2005-06	ノアール出版	1	ヒットマンgo! go!(3)
hitori-toranpu	3	Y	9784403611698	1988-09-01	新書館	3	夢の果て(3)
hokuto-no-ken-2016	2	Y	9784088516622	1984-06-08	集英社	16	北斗の拳(2)
hokuto-no-ken-2016	3	Y	9784088516639	1984-09-10	集英社	16	北斗の拳(3)
hokuto-no-ken-2016	4	Y	9784088516646	1984-12-07	集英社	16	北斗の拳(4)
hokuto-no-ken-2016	7	Y	9784088516677	1985-09-09	集英社	14	北斗の拳(7)
honto-ni-atta-gakkou-kaidan	4	Y	9784257986256	1997-06-19	朝日ソノラマ	1	ほんとにあった学校怪談(4)
hotel	4	Y	9784091810441	1986-07-30	小学館	4	HOTEL(第4巻)
hotel	6	Y	9784091810465	1987-04-30	小学館	3	HOTEL(第6巻)
hotel	8	Y	9784091810489	1988-04-27	小学館	3	HOTEL(第8巻)
hotel	23	Y	9784091830838	1993-10-29	小学館	3	HOTEL(第23巻)
houkago-pedal	1	Y	9784253213196	2014-06-06	秋田書店	2	放課後ペダル
houkago-pedal	2	Y	9784253213202	2015-02-06	秋田書店	4	放課後ペダル(2)
houkago-pedal	3	Y	9784253213776	2015-08-07	秋田書店	4	放課後ペダル(3)
houkago-pedal	4	Y	9784253213783	2016-05-06	秋田書店	4	放課後ペダル(4)
houkago-pedal	5	Y	9784253213790	2017-01-06	秋田書店	4	放課後ペダル(5)
houshin-kenbunroku	1	Y	9784931396128	1997-07	ノアール出版	2	封神見聞録(1)
houshin-kenbunroku	4	Y	9784931396203	1998-01	ノアール出版	1	封神見聞録(4)
houshin-kenbunroku	7	Y	9784931396333	1998-08	ノアール出版	1	封神見聞録(7)
