why	stems	titles	authors
題不一致	kantai-collection-kancolle-comic-arakaruto,kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト / 艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	「艦これ」運営鎮守府
題不一致+集合不一致	toaru-kagaku-no-railgun-2025,toaru-kagaku-no-railgun-toarumajutsunokinshomokurokugaiden	とある科学の超電磁砲 / とある科学の超電磁砲(レールガン)	冬川基
題不一致	imagine,imagine-29	イマジン / Imagine 29	槇村さとる
題不一致	joshi-joshikousei-girls-hai,joshikousei	女子高生Girls-High / 女子高生	大島永遠
題不一致+著者不一致	kantai-collection-kancolle-4-koma-comic,kantai-collection-kancolle-4-koma-comic-fubuki-ganbarimasu	艦隊これくしょん-艦これ-4コマコミック / 艦隊これくしょん-艦これ-4コマコミック 吹雪、がんばります!	「艦これ」運営鎮守府 / 桃井涼太
題不一致+集合不一致	duel-masters,duel-masters-2017	DUEL MASTERS / デュエル・マスターズ	松本しげのぶ
題不一致	spiral,spiral-2003	スパイラル / SPIRAL	水野英多
題不一致	10-ko-iri-hani-tarou-desu,3-banme-no-hani-tarou-desu,7-banme-no-hani-tarou-desu,boyoyon-hani-tarou-desu,curry-aji-hani-tarou-desu,hanitarou-desu,irasshaimase-hani-tarou-desu,jinrui-metsubou-made-hani-tarou-desu,koryamata-hani-tarou-desu,maa-iijan-hani-tarou-desu,nannokotcha-hani-tarou-desu,upupu-hani-tarou-desu,yappari-hani-tarou-desu	10コ入りハニ太郎です。 / 3ばんめのハニ太郎です。 / 7ばんめのハニ太郎です。 / ぼよよんハニ太郎です。 / カレー味ハニ太郎です。 / ハニ太郎です。 / いらっしゃいませ❤ハニ太郎です。 / 人類滅亡までハニ太郎です。 / こりゃまたハニ太郎です。 / まぁいいじゃんハニ太郎です。 / なんのこっちゃハニ太郎です。 / うぷぷぷハニ太郎です。 / やっぱりハニ太郎です。	前嶋昭人
題不一致+集合不一致	c0de-breaker,code-breaker	C0DE:BREAKER / CODE:BREAKER	上条明峰
題不一致+著者不一致+集合不一致	trinity-7-shichinin-no-masho-tsukai,trinity-seven,trinity-seven-anastasia-seiden	トリニティセブン 7人の魔書使い / トリニティセブン / トリニティセブン アナスタシア聖伝	Bcoca / 奈央晃徳
題不一致+著者不一致+集合不一致	gurazeni-pa-riiguhen,gurazeni-tokyo-doomuhen	グラゼニ～パ・リーグ編～ / グラゼニ～東京ドーム編～	アダチケイジ / コージィ城倉
題不一致	hihon-gikeiki,masurao	秘本義経記 / ますらお	北崎拓
題不一致	hiyoko-brand,oku-sama-wa-joshikousei	Hiyoko brand / おくさまは女子高生	こばやしひよこ
題不一致	meioukeikakuzeoraimaa,project-zeoraimaa-omega	冥王計画ゼオライマー / 冥王計画ゼオライマーΩ	高屋良樹
題不一致	bamboo-blade-b,bamboo-blade-b-2009	バンブーブレードビー / BAMBOO BLADE B	土塚理弘
題不一致+集合不一致	banzai-haiuei,banzai-highway	万歳ハイウエイ / 万歳ハイウェイ	守村大
題不一致+著者不一致+集合不一致	buyuden,buyuuden	BUYUDEN / 武勇伝	もりやまつる / 満田拓也
題不一致+集合不一致	ekiben-hitoritabi,shin-ekiben-hitoritabi	駅弁ひとり旅 / 新・駅弁ひとり旅	はやせ淳
題不一致	alfheim-no-kishi-ballad,arufuheimunokishibaraddotsuguminomori	妖精国(アルフヘイム)の騎士Ballad / 妖精国(アルフヘイム)の騎士Ballad～継ぐ視の守護者～	中山星香
題不一致+著者不一致+集合不一致	gifuu-doudou,gifuu-doudou-kaze-no-gunshi-kuroda-kanbei,gifuu-doudou-naoe-kanetsugu-maeda-deka-hanagatari,gifuu-doudou-naoe-kanetsugu-maeda-deka-sakegatari	義風堂々!! / 義風堂々!!疾風 (かぜ) の軍師黒田官兵衛 / 義風堂々!!直江兼続-前田慶次花語り / 義風堂々!!直江兼続-前田慶次酒語り	出口真人 / 山田俊明 / 武村勇治
題不一致+集合不一致	ninku-kazu-2006,ninkuu,ninkuu-2nd-stage,ninkuu-zero	Ninku / 忍空 / 忍空2nd stage / 忍空 零	桐山光侍
題不一致	clamp-premium-collection-magic-knight-rayearth,magic-knight-rayearth	CLAMP PREMIUM COLLECTION魔法騎士(マジックナイト)レイアース / 魔法騎士レイアース	CLAMP
題不一致+集合不一致	final-fantasy-lost-stranger,final-fantasy-lost-stranger-2021	ファイナルファンタジーロスト・ストレンジャー / Final fantasy lost stranger	むつきらん
著者不一致+集合不一致	x-men,x-men-1994,x-men-1994-3,x-men-1994-5	X-MEN / X-MEN / X-MEN / X-MEN	ヒグチヒロシ / レイニル・フランシス・ユー / 中原れい / 児嶋都
題不一致	clamp-premium-collection-magic-knight-rayearth-2,magic-naito-rayearth-2	CLAMP PREMIUM COLLECTION魔法騎士(マジックナイト)レイアース2 / 魔法騎士レイアース2	CLAMP
題不一致+集合不一致	diamond-no-a-act-2,diamond-no-a-act-2-gaiden-teitou-vs-ugumori,diamond-no-ace-act-tsuu	ダイヤのA act 2 / ダイヤのA act 2外伝帝東VS鵜久森 / ダイヤのA act Ⅱ	寺嶋裕二
題不一致+集合不一致	dora-beesu,dorabeesu-doraemon-super-baseball-gaiden	ドラベース / ドラベース ドラえもん超野球外伝	むぎわらしんたろう
題不一致+集合不一致	kogane-no-rafu-2,ougon-no-rafu-2	黄金のラフ2 / 黄金のラフⅡ	なかいま強
題不一致+集合不一致	roto-no-monshou,roto-no-monshou-monshou-o-tsugu-monotachi-he	ロトの紋章 / ロトの紋章 紋章を継ぐ者達へ	藤原カムイ
題不一致	akai-hitsuji-no-kokuin,hakushaku-cain,kafuka,wasure-rareta-juliet	赤い羊の刻印 / 伯爵カイン / カフカ / 忘れられたジュリエット	由貴香織里
題不一致+著者不一致+集合不一致	akatsuki-no-uta,ayakashidou-no-hourai,bakegyamon,fujita-kazuhiro-bon,gekkou-jourei,jagan-ha-gachirin-ni-tobu,karakuri-circus,kuro-hakubutsukan-ghost-and-lady,kuro-hakubutsukan-mikazuki-yo-kaibutsu-to-odore,kuro-hakubutsukan-springald,silver-mountain,souboutei-kowasubeshi,ushio-to-tora,yoru-no-uta	暁の歌 / あやかし堂のホウライ / 妖逆門 / 藤田和日郎本 / 月光条例 / 邪眼は月輪に飛ぶ / からくりサーカス / 黒博物館 ゴーストアンドレディ / 黒博物館三日月よ、怪物と踊れ / 黒博物館スプリンガルド / シルバーマウンテン / 双亡亭壊すべし / うしおととら / 夜の歌	田村光久 / 藤田和日郎 / 金田達也
題不一致	aporon-no-kanashimi,eiyuu-herakuresu,higeki-no-ou-oidipusu,manga-girishia-shinwa,meikai-no-orufeusu,odeyusseusu-no-koukai,oryunposu-no-kamigami,toroi-no-mokuba	アポロンの哀しみ / 英雄ヘラクレス / 悲劇の王オイディプス / マンガギリシア神話 / 冥界のオルフェウス / オデュッセウスの航海 / オリュンポスの神々 / トロイの木馬	里中満智子
題不一致+集合不一致	kouun-ryuusui,kouun-ryuusui-jo-fuku,kouun-ryuusui-jofuku-nobunaga,kouun-ryuusui-nobunaga	こううんりゅうすい / こううんりゅうすい＜徐福＞ / こううんりゅうすい〈徐福〉〈信長〉 / こううんりゅうすい〈信長〉	本宮ひろ志
題不一致+集合不一致	moon-trick,moon-trick-2018	MOON〔月☆〕TRICK / Moon・trick	森本秀
題不一致+集合不一致	oz-itsuki-2004,oz-manual	OZ / オズマニュアル	樹なつみ
題不一致+集合不一致	psychic-akademii-koura-banshou,saikikkuakademiikourabanshou	Ψchic academy煌羅万象 / サイキックアカデミー煌羅万象	克・亜樹
題不一致+集合不一致	shin-megami-tensei-ifu,shin-megami-tensei-kaan	真・女神転生if… / 真・女神転生〔カーン〕	柳澤一明
題不一致	ao-wakusei-nendaiki,kan-wakusei-nendaiki,sui-wakusei-nendaiki,wakusei-nendaiki,wakusei-nendaiki-gekkan-sachisachi,wakusei-nendaiki-ruunyan,zoku-sui-wakusei-nendaiki	碧水惑星年代記 / 環・水惑星年代記 / 翠水惑星年代記 / 水惑星年代記 / 水惑星年代記 月刊サチサチ / 水惑星年代記 月娘 / 続水惑星年代記	大石まさる
題不一致	bunbuku-tanuki-no-teii-party,bunbuku-teii-potto-plus	ぶんぶくたぬきのティーパーティ / ぶんぶくティーポット+	森長あやみ
題不一致	dream,youseiou	ドリーム / 妖精王	山岸凉子
題不一致	gon,gon-selection	ゴン / GON SELECTION	田中政志
題不一致+集合不一致	log-horizon,log-horizon-nishikaze-no-ryodan	ログ・ホライズン / ログ・ホライズン 西風の旅団	こゆき
題不一致	pangaea-ezel,pangaea-ezel-2010	Pangaea ezel / パンゲア・エゼル	浅野りん
題不一致+集合不一致	shokugeki-no-sooma-retowaaru,shokugeki-no-sooma-retowaaru-2019	食戟のソーマL’etoile / 食戟のソーマL'étoile	昭時大紀
題不一致+集合不一致	tales-of-etaania-premium-stories,tales-of-eternia	テイルズオブエターニア プレミアムストーリーズ / Tales of Eternia	小池陽子
題不一致	darkness,darkness-2006	Darkness / ダークネス	魔木子
題不一致+集合不一致	infinite-sutoratosu,is-2010	IS〈インフィニット・ストラトス〉 / IS	結城焔
題不一致	juran,saishuu-sensou,saishuu-sensou-densetsu	十蘭 / 最終戦争 / 最終戦争伝説	山田ミネコ
著者不一致+集合不一致	kusuriya-no-hitorigoto,kusuriya-no-hitorigoto-shino-2017	薬屋のひとりごと / 薬屋のひとりごと	ねこクラゲ / 倉田三ノ路
題不一致+集合不一致	kyuupii-agatsuma-ryou-desperado,kyuupii-azuma-ryou	QP我妻涼デスペラード / QP我妻涼	今村KSK
題不一致	okashina-okashina-okashina-ano-ko-sarutobi-etsu-chan,okashina-okashina-okashina-anoko-sarutobi-etsu-chan,sarutobi-etsu-chan	おかしなおかしなあの子 さるとびエッちゃん / おかしなおかしなおかしなあの子 さるとびエッちゃん / さるとびエッちゃん	石ノ森章太郎
題不一致+集合不一致	toujuushi,toujuushi-besuteiariusu	闘獣士 / 闘獣士 ベスティアリウス	柿崎正澄
題不一致+著者不一致+集合不一致	unnamed-memory,unnamed-memory-chibi-2024	アンネームドメモリー / Unnamed Memory	オカカ / 古宮九時
題不一致	wings,wings-1995	WINGS / ウイングス	鎌田洋次
題不一致	adventure-2030-gakuen,adventure2030-gakuen	アドベンチャー2030学園 / Adventure2030学園	みやた泰宏
題不一致+著者不一致+集合不一致	change-2018,change-kitamura-2005	Change! / ちぇんじ!	曽田正人 / 篠塚ひろむ
著者不一致+集合不一致	comic-chuurippu,comic-chuurippu-1988,comic-tulip	コミックチューリップ / コミックチューリップ / コミックチューリップ	いまざきいつき / おおや舞 / 眠田直
題不一致	googoo-oji-san-to-marshmallow,motto-oji-san-to-marshmallow,oji-san-to-marshmallow,souda-oji-san-to-marshmallow,yondara-oji-san-to-marshmallow	ごーごーおじさんとマシュマロ / もっと!おじさんとマシュマロ / おじさんとマシュマロ / そうだ!おじさんとマシュマロ / よんだらおじさんとマシュマロ	音井れこ丸
題不一致	idol-sousei-densetsu-princess,princess	美少女創世伝説プリンセス / Princess	克・亜樹
題不一致	kimi-no-tonari,yami-toshi-densetsu	キミノトナリ / 闇都市伝説	亜月亮
題不一致+集合不一致	kyouhaku-dog-s-another-secret,kyouhaku-dogguzu	キョウハクDOG's Another Secret / キョウハクDOG'S	しゃあ
題不一致+集合不一致	seiden,seiden-rg-veeda	聖伝 / 聖伝 RG VEDA	CLAMP
題不一致	shinyaku-meruhen,shinyaku-meruhien	新約Märchen / 新約Marchen	えむけえ
題不一致+集合不一致	sonna-mainichi,sonna-mainichi-popai-kyousoukyoku	そんな毎日 / そんな毎日 ポパイ狂騒曲♪	おーはしるい
題不一致	tokyo-toyboxes,tokyo-toyboxes-2020	Tokyo toyboxes / 東京トイボクシーズ	うめ
著者不一致+集合不一致	tsumi-to-batsu,tsumitobatsu	罪と罰 / 罪と罰	岩下博美 / 手塚治虫
題不一致+集合不一致	4-koma-kapibarasan,kuradashi-kapibara-san	4コマカピバラさん / くらだしカピバラさん	チダケイコ
題不一致	anata-no-omocha,motto-2-kai-anata-no-omocha,motto-3-kai-anata-no-omocha,mottox3-anata-no-omocha	あなたのオモチャ / もっと×2あなたのオモチャ / もっと×3あなたのオモチャ / もっとあなたのオモチャ	長江朋美
題不一致	aru-nichi-toaru-nichi-totoaru-nichi-no-kuru,toaru-hi-no-kuru,totoaruhi-no-kuru	ある日とある日ととある日のクル / とある日のクル / ととある日のクル	竹本泉
題不一致	astaroth,astaroth-2003,astaroth-2017	アスタロト-ASTAROT- / アスタロト / アスタロト・クロニクル	魔夜峰央
題不一致	besuteia,ryuugetsushou	ベスティア / 流月抄	池上遼一
題不一致	boku-no-chi-sutte-kuremasenka,would-you-suck-my-blood	僕の血吸ってくれませんか / Would you suck my blood?	山本小鉄子
題不一致	chou-chou-chou-daimahoutouge,chou-chou-dai-mahou-touge,chou-dai-mahou-touge,dai-mahou-touge	超・超・超・大魔法峠 / 超・超・大魔法峠 / 超大魔法峠 / 大魔法峠	大和田秀樹
題不一致+集合不一致	corseltel-no-ryuujitsushi,corseltel-no-ryuujitsushi-koryuu-monogatari	コーセルテルの竜術士 / コーセルテルの竜術士 子竜物語	石動あゆま
題不一致+集合不一致	deekkirai,deetsu-kirai	でぇっ嫌い! / でえっ嫌い!	牧野和子
題不一致+集合不一致	god-mazinger,majindensetsu	ゴッドマジンガー / 魔神伝説	永井豪
題不一致+集合不一致	gundam-exa,gundam-exa-2013,gundam-exa-vs	GUNDAM EXA / ガンダムEXA / ガンダムEXA VS	ときた洸一
題不一致+集合不一致	ib,ib-instant-bullet	ib / ib-インスタントバレット-	赤坂アカ
題不一致	kono-kanojo,kono-kanojo-wa-fiction-desu	この彼女 / この彼女はフィクションです。	渡辺静
著者不一致+集合不一致	mahouka-koukou-no-rettousei-2012,mahouka-koukou-no-rettousei-2018	魔法科高校の劣等生 / 魔法科高校の劣等生	きたうみつな / マジコ!
題不一致+集合不一致	mazin-saga,mazin-saga-nagai	マジン・サーガ / 魔神サーガ	永井豪
題不一致	mikke-neko-banashi,neko-banashi-pandania-2020,nyanto-neko-banashi,yotsu-neko-banashi	みっけ!ねこむかしばなし / ねこむかしばなし / にゃんと!ねこむかしばなし / よっ!ねこむかしばなし	ぱんだにあ
題不一致	neko-youkai,neko-youkai-gorogoro,neko-youkai-mugyutsu	ねこようかい / ねこようかいゴロゴロ / ねこようかいムギュッ!	ぱんだにあ
著者不一致+集合不一致	ninja-hattori-kun,ninjahattori-kun	忍者ハットリくん / 忍者ハットリくん	藤子不二雄 / 藤子不二雄Ⓐ
題不一致	steins-gate,steins-gate-2011	シュタインズ・ゲート / しゅたいんず・げーと!	さらちよみ
題不一致+集合不一致	supi-sanpo,supi-sanpo-burari-pawasupo-reikan-tabi	スピ☆散歩 / スピ☆散歩 ぶらりパワスポ霊感旅	伊藤三巳華
集合不一致	uchuu-senkan-yamato,uchuu-senkan-yamato-1993	宇宙戦艦ヤマト / 宇宙戦艦ヤマト	ひおあきら
著者不一致+集合不一致	valkyrie-profile,valkyrie-profile-2000,valkyrie-profile-2001,valkyrie-profile-2001-2	VALKYRIE PROFILE / VALKYRIE PROFILE / VALKYRIE PROFILE / VALKYRIE PROFILE	祥寺はるか / 藍山恵 / 金田一蓮十郎 / 魔神ぐり子
著者不一致+集合不一致	blue-dragon,seiryuu	青竜 / 青龍	八坂考訓 / 木内一雅
題不一致+集合不一致	botsu-chan-no-jidai,botsu-chan-no-jidai-1989	『坊っちゃん』の時代 / 坊ちゃんの時代	谷口ジロー
題不一致	bukkira-ni-yoroshiku,kibando	ブッキラによろしく! / 牙人	手塚治虫
題不一致+集合不一致	code-geass,code-geass-soubou-no-ozu-o2	コードギアス / コードギアス双貌のオズO2	東條チカ
題不一致+集合不一致	corazon,korason-sakkaa-damashii	コラソン / コラソン サッカー魂	塀内夏子
題不一致+集合不一致	cross-game,cross-game-2014	クロスゲーム / CROSS GAME	あだち充
題不一致+集合不一致	damekko-doubutsu,kuwata-kigurumi-gekijou-damekko-doubutsu	だめっこどうぶつ / 桑田着ぐるみ劇場だめっこどうぶつ	桑田乃梨子
題不一致	gudaguda-ace,koha-ace,koha-ace-collection,koha-ace-ekkusupii,koha-ace-iiekkusu	ぐだぐだエース / コハエース / コハエースこれくしょん / コハエースXP / コハエースEX	経験値
著者不一致+集合不一致	hayou-no-ken,hayou-no-tsurugi	破妖の剣 / 破妖の剣	厦門潤 / 松元陽
著者不一致+集合不一致	k,k-shitsuki-1988	K / K	谷口ジロー / 黒榮ゆい
題不一致	lady-q,tensai-choukoushi-houjou-mika	レディーQ / 天才調香師宝条ミカ	三浦みつる
題不一致+集合不一致	majime-ni-danjo-kousai,soredemo-majime-ni-danjo-kousai,yappari-majime-ni-danjo-kousai	まじめに!男女交際 / それでもまじめに!男女交際 / やっぱりまじめに!男女交際	桃伊いづみ
題不一致	mayonaka-no-jewel,motto-mayonaka-no-jewel,motto-motto-mayonaka-no-jewel	真夜中のジュエル / もっと真夜中のジュエル / もっともっと真夜中のジュエル	麻見雅
題不一致	neko-monster,neko-monster-fumifumi,neko-monster-nyaao	ねこもんすたー / ねこもんすたーフミフミ / ねこもんすたーニャーオ!	ぱんだにあ
題不一致+集合不一致	tobidase-doubutsu-no-mori,tobidase-doubutsu-no-mori-harikiri-sonchou-ippee	とびだせどうぶつの森 / とびだせどうぶつの森 はりきり村長イッペー!	大崎亮平
題不一致	wani-bunsho,wani-bunsho-2010	ワニ分署 / 82分署	篠原とおる
題不一致+著者不一致+集合不一致	1-yamamoto-1993,ichi	1 / Ichi	山本英夫 / 篠原花那
題不一致+集合不一致	3-bunnoichi-sanbunnoichi,sanbunnoichi-2017	1/3さんぶんのいち / 1/3	千葉コズエ
題不一致+集合不一致	bara-monogatari-2008,tale-of-rose-knight	ばら物語 / Tale of Rose Knight	滝沢聖峰
題不一致	bara-no-kabin,golden-lilac	ばらの花びん / ゴールデンライラック	萩尾望都
題不一致+著者不一致+集合不一致	boku-no-hero-academia,vijirante	僕のヒーローアカデミア / ヴィジランテ	別天荒人 / 堀越耕平
題不一致	boku-to-ohiru-o,inasaku	僕とお昼を / 稲作	古谷実
題不一致	castille-no-kifujin,nageki-no-torisu-tan	カスティリアの貴婦人 / 嘆きのトリスタン	森川久美
題不一致+集合不一致	charenjaazu,goukaku-kigan	チャレンジャーズ / 合格祈願	高永ひなこ
題不一致+集合不一致	dragon-efekuto-sakamoto-ryouma-ibun,dragon-effect	ドラゴンエフェクト 坂本龍馬異聞 / ドラゴンエフェクト	K Storm
著者不一致+集合不一致	fire-emblem-1993,fire-emblem-nintendo-1996	ファイアーエムブレム / ファイアーエムブレム	うさ銀太郎 / 島田ひろかず
題不一致	fushigi-toshokan,slope-mansion-ni-okaeri	不思議図書館 / スロップマンションにお帰り	高尾滋
題不一致+集合不一致	ganbarekierunashikiso-usuko-san,ganbarekierunashikisousuko-san	がんばれ!消えるな!!色素薄子さん / がんばれ!きえるな!!色素薄子さん	水月とーこ
題不一致	garakutamachi-ki-tan,kamen-shounen	我楽多街奇譚 / 仮面少年	高橋葉介
著者不一致+集合不一致	genji-monogatari-2023,genji-monogatari-masaki-1983,genji-monogatari-miyagi-2010	源氏物語 / 源氏物語 / 源氏物語	Teamバンミカス / 真崎春望 / 赤塚不二夫
著者不一致+集合不一致	ginga-tetsudou-no-yoru,ginga-tetsudou-no-yoru-2023,ginga-tetsudou-no-yoru-miyazawa-1992,gingatetsudou-no-yoru	銀河鉄道の夜 / 銀河鉄道の夜 / 銀河鉄道の夜 / 銀河鉄道の夜	Teamバンミカス / ますむらひろし / 松田一輝 / 永島慎二
題不一致	ginneko-minmin,usaneko-chan	ぎんねこMINMIN / うさねこちゃん	立原あゆみ
題不一致+集合不一致	hakuouki-2010,hakuouki-2011	薄桜鬼 / 薄桜鬼 新選組奇譚	ひらく椥
題不一致+集合不一致	haruka-naru-toki-no-naka-de-6,haruka-naru-toki-no-naka-de-7	遙かなる時空の中で6 / 遙かなる時空(とき)の中で7	水野十子
題不一致+集合不一致	in-hand,in-hand-2019	インハンド / インハンドプロローグ	朱戸アオ
著者不一致+集合不一致	isekai-ni-kita-mitai-dakedo-dou-sureba-yoi-no-darou,isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	異世界に来たみたいだけど如何すれば良いのだろう / 異世界に来たみたいだけど如何すれば良いのだろう	森ゆきなつ / 白石新
著者不一致+集合不一致	joker-1998-3,joker-2012	Joker / JOKER	上杉可南子 / 野間美由紀
題不一致	keetai-ga-ochiteita,seven-piisu	ケータイが落ちていた。 / セブンピース	赤石路代
題不一致+著者不一致	kuro-tokage,kurotokage-2019	黒とかげ / 黒トカゲ	森下裕美 / 高階良子
題不一致+集合不一致	kyou-kara-city-hunter,kyou-kara-city-hunter-2021	今日からシティハンター / 今日から City hunter	錦ソクラ
著者不一致+集合不一致	last-order-2000,last-order-kazunari-2021	ラストオーダー / ラストオーダー	ひいろ莎々 / 高田裕三
題不一致	lesson,lesson-2000	Lesson / レッスン	高橋由佳利
題不一致+集合不一致	mahou-senki-lyrical-nanoha-force,mahou-senki-lyrical-nanoha-force-touruu-karaado	魔法戦記リリカルなのはforce / 魔法戦記リリカルなのはForce true colored	緋賀ゆかり
題不一致	minamo-no-sato-minasoko-no-mori,tatara-no-tsuji-ni	水面の郷・水底の守 / たたらの辻に…	ささやななえこ
著者不一致+集合不一致	miyazawa-kenji-mangakan,miyazawa-kenji-mangakan-1996	宮沢賢治・漫画館 / 宮澤賢治・漫画館	あすなひろし / 永島慎二
題不一致+集合不一致	mobile-suit-gundam-thunderbolt,mobile-suit-gundam-thunderbolt-gaiden	機動戦士ガンダムサンダーボルト / 機動戦士ガンダムサンダーボルト外伝	太田垣康男
題不一致	natsu-no-guuwa,tenjinkarakusa	夏の寓話 / 天人唐草	山岸凉子
題不一致+集合不一致	nekken-kanfuu-club,nekkyo-kanfuu-club	熱拳カンフークラブ / 熱挙カンフークラブ	魚戸おさむ
題不一致+集合不一致	oruchuban-ebichu,oruchuban-ebichuchu	おるちゅばんエビちゅ / おるちゅばんエビちゅちゅ～	伊藤理佐
題不一致+著者不一致+集合不一致	persona-1998,persona-2001	Persona / ペルソナ	上田信舟 / 松枝尚嗣
題不一致+集合不一致	puramo-otoko-to-purichii-joshi,puramo-otoko-to-purichii-joshi-mizuo-to-iena-no-ichinen-sensou	プラモ男子とプリチー女子 / プラモ男子とプリチー女子 ミズオとイエナの一年戦争	ソラキスズ
題不一致+集合不一致	sangoku-rensenki,sangoku-rensenki-otome-no-heihou	三国恋戦記 / 三国恋戦記 オトメの兵法!	あず真矢
題不一致+著者不一致+集合不一致	shaman-king-faust-8,shaman-king-the-super-star	SHAMAN KING FAUST 8 / SHAMAN KING THE SUPER STAR	はるこ / 武井宏之
題不一致+集合不一致	shanaou-yoshitsune,shanaou-yoshitsune-genpei-no-kassen	遮那王義経 / 遮那王義経源平の合戦	沢田ひろふみ
題不一致+集合不一致	sherlock-berugureebia-no-shuubun,sherlock-ooinaru-game	SHERLOCKベルグレービアの醜聞 / SHERLOCK大いなるゲーム	Jay.
題不一致+集合不一致	shin-kurosagi,shin-kurosagi-kanketsu-hen	新クロサギ / 新クロサギ完結編	黒丸
題不一致+集合不一致	shin-tokyo-koushinkyoku,tokyo-koushinkyoku	新東京行進曲 / 東京行進曲	どおくまん
題不一致	shinpika-mizuki-shigeru-den,watashi-ha-gegege	神秘家水木しげる伝 / 私はゲゲゲ	水木しげる
題不一致+集合不一致	shouta-no-sushi-2,shouta-no-sushi-2-world-stage	将太の寿司2 / 将太の寿司2 World Stage	寺沢大介
題不一致	take-it-easy,take-it-easy-2000	TAKE IT EASY / テイクイットイージー	岡崎京子
題不一致+集合不一致	tensei-shitara-koutei-deshita,tensei-shitara-koutei-deshita-umarenagara-no-koutei-wa-konosaki-ikinokoreru-ka-comic	転生したら皇帝でした / 転生したら皇帝でした～生まれながらの皇帝はこの先生き残れるか～@COMIC	久松エイト
著者不一致+集合不一致	to-heart-2,to-heart-2-2005	To heart 2 / To heart 2	きたうみつな / 御形屋はるか
題不一致+集合不一致	yoru-shibari-oobaado,yoshibari-oobaado	夜縛◆夜明曲(オーバード) / 夜縛◆夜明曲	RAN
題不一致+集合不一致	2011-ritsu-kiwamemichi-koukou-2011,shiritsu-kiwamemichi-koukou	私立極道高校2011 / 私立極道高校	宮下あきら
題不一致	akai-kami-no-shounen,akaikaminoshounen	クリスマス / 赤い髪の少年	山岸凉子
題不一致	akai-shundou,aoi-shundou,shundou	あかい蠢動 / あおい蠢動 / 蠢動	園山二美
題不一致	amefuri-hime-to-sabaku-ouji,ningyo-hime-to-hangyojin-ouji	雨降り姫と砂漠王子 / 人魚姫と半魚人王子	清原なつの
題不一致	amenohousoku,ragunasenki	雨の法則 / ラグナ戦記	外薗昌也
