slug	title	ours	isbn_implies	madb_candidates	vols	isbn
chikaku-he-ikitai-hikyou-to-shite-no-kinjo-butai-wa-eguchi-to-iu-ramen-ya	近くへ行きたい。秘境としての近所 舞台は“江ぐち”というラーメン屋。	はまの出版	白夜書房	はまの出版	1	9784893610010
chikyuu-boueike-no-hitobito	地球防衛家のヒトビト	朝日新聞社	朝日新聞出版	朝日新聞社	3	9784022579249
chikyuu-daikaimetsu-no-kyoufu	地球大壊滅の恐怖!!	講談社	コミックス	講談社 / コミックス	1	9784063137033
chimamire-no-takeningyou	血まみれの竹人形	コミックス	講談社	コミックス	1	9784061047389
chimarima-waltz	ちまりまわるつ	シュフトセイカツシャ	主婦と生活社	シュフトセイカツシャ / 宙出版	1	9784391914023
chimoguri-ringo-to-kingyobachiotoko	血潜り林檎と金魚鉢男	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	3	9784048860499
chirizokonai-no-hiraeth	散り損ないのヒラエス	ヒーローズ	ワニマガジン社		3	9784864682107
chi-o-hau-sakana-hideo-no-seishun-nikki	地を這う魚 ひでおの青春日記	角川グループパブリッシング	角川書店	角川グループパブリッシング / 角川書店	1	9784048541442
chi-o-hau-sakana-hideo-no-seishun-nikki	地を這う魚 ひでおの青春日記	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041600573
chizugoke-no-mori	地図苔の森	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	1	9784047285002
cho-hakkai	Cho八戒	リイド社	スコラ	スコラ	4	9784796240130
chocolate	チョコレート	インデックス・コミュニケーションズ	スクウェア・エニックス	インデックス・コミュニケーションズ / インデックス・マガジンズ	1	9784757302976
chou-puroresu-fun-rendetsu	最狂超プロレスファン烈伝	まんだらけ	まんだらけ出版部	まんだらけ / まんだらけ	4	9784944099702
choujigen-geimu-neputeyuunu	超次元ゲイムネプテューヌ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	4	9784047274341
choujikuu-ddh	超時空DDH	学研マーケティング	学習研究社	学研マーケティング / 学研パブリッシング	1	9784056070750
choujin-neigaa	超神ネイガー	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	1	9784049262643
choukyuu-mobile-butouden-g-gundam-shinjuku-touhou-fuhai-stage-2	超級!機動武闘伝Gガンダム 新宿・東方不敗! STAGE 2	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	8	9784041200964
chrome-no-regios	鋼殻のレギオス	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	3	9784047125315
chrome-shelled-regios-missing-mail	鋼殻のレギオスmissing mail	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	8	9784047125445
chronicle-2012	CHRONICLE	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	1	9784048861168
chuubou-ga-futari	チュー坊がふたり	コミックス	講談社	コミックス	1	9784062607940
chuuji-kun-o-dareka-tomete	厨二くんを誰か止めて!	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	2	9784047128026
chuunibyou-kyoushikyoku	中二病狂詩曲	メディアパル	メディアックス	メディアパル / フィールドワイ	1	9784896107883
ciao-enfant-terrible	チャオ☆アンファンテリブル	ビー・エヌ・エヌ	白夜書房	ビー・エヌ・エヌ	1	9784893691729
citrus-encount	四姉妹エンカウント	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	7	9784047267053
clamp-premium-collection-clamp-gakuen-tanteidan	CLAMP PREMIUM COLLECTION CLAMP学園探偵団	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041202302
clannad-2008	CLANNAD	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	5	9784840242165
club-crime	Club crime	スタジオDNA	一迅社	スタジオDNA / 一賽舎	1	9784758050296
code-geass-soubou-no-oz	コードギアス 双貌のオズ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	3	9784041203637
comic-iwate-from-web	コミックいわてfrom web	岩手県	銀杏社	岩手県	1	9784903602172
comic-iwatetchi	コミックいわてっち	岩手県	銀杏社	岩手県	1	9784903602202
comic-manaberu	コミックマナベル	ファミマ・ドット・コム	青泉社	ファミマ・ドット・コム	1	9784907292348
comical-monster-maker	コミカルモンスターメーカー	アスキー出版局	アスキー	アスキー出版局	2	9784756108661
cook-robin-o-korosu-nowa	クックロビンを殺すのは	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	3	9784047126466
coral	コーラル	朝日新聞社	朝日新聞出版	朝日新聞出版 / 朝日新聞社	5	9784022131324
cosplay-onee-san-etchi	コスプレお姉さんH	マガジンマガジン	マガジン・マガジン	マガジンマガジン	1	9784896444100
crazy-animals	クレイジー・アニマルズ	クラーケンラボ	トゥーヴァージンズ	クラーケンラボ / ケンエレブックス	1	9784910315522
crime-zone	クリム・ゾン	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	5	9784047127715
criminal-border-the-comic	クリミナルボーダーthe comic	Amazia	日本文芸社	Amazia / 日本文芸社	1	9784537173963
crimson-grave	クリムゾングレイヴ	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	7	9784047124936
crossroad-1997	クロスロード	中日新聞本社	中経出版	中日新聞本社	1	9784806203421
cuties	Cuties	パイオニアLDC	ジェネオンエンタテインメント	パイオニアLDC	1	9784894527218
cycland	CYCLAND	BNN	白夜書房	BNN / ビー・エヌ・エヌ	1	9784893691224
d	D	シユフトセイカツシヤ	宙出版	シユフトセイカツシヤ / 宙出版	1	9784391913552
d4dj-4-koma-mix	D4DJ-4コマmix!-	KADOKAWA (発売)	KADOKAWA	KADOKAWA (発売) / ブシロードメディア	2	9784048994811
d4dj-the-prologue-of-peaky-p-key	D4DJ-The Prologue of Peaky P-key-	KADOKAWA (発売)	KADOKAWA	KADOKAWA (発売) / ブシロードメディア	3	9784048995054
d4dj-the-story-of-happy-around	D4DJ-The story of Happy Around!-	KADOKAWA (発売)	KADOKAWA	KADOKAWA (発売) / ブシロードメディア	2	9784048994804
da-capo-3	D.C.Ⅲ～ダ・カーポⅢ～	角川グループホールディングス	KADOKAWA	角川グループホールディングス / 角川書店	2	9784041207468
dabo-shatsu-no-ten	ダボシャツの天	集英社	ホーム社	集英社 / 集英社 / ホーム社 / ホーム社	7	9784834271614
dadadadan	ダダダダン。	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	6	9784048708265
dageki-joi-saori	打撃女医サオリ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784047250543
daguerreotypist	ダゲレオタイピスト	月兎社	Dybooks	月兎社	1	9784990365912
dai-toshokan-no-hitsujikai-lovely-raiburarianzu	大図書館の羊飼いLovely・Librarians	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	2	9784048915625
daiki-no-baka-h-special	大紀のバカHスペシャル	マイウェイ出版	フロンティアワークス	マイウェイ出版	2	9784861350290
daikokubashira-zuma-no-nichijou	大黒柱妻の日常	インプレス (発売)	宝島社	インプレス (発売) / エムディエヌコーポレーション	1	9784295201199
daisukidesu-mahou-tenshi-cosmos	大好きです!!魔法天使こすもす	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	7	9784047156081
daiteikoku-fanshizumu	大帝国FANCISM	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	3	9784048864879
daitoshokan-no-hitsujikai-za-little-rutora-rutora	大図書館の羊飼い the Little Lutra lutra	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041205266
dakara-boku-wa-eichi-ga-dekinai	だから僕は、Hができない。	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	5	9784047127517
dakarete-tamaruka	抱かれてたまるか!	日販アイ・ピー・エス (発売)	駒草出版株式会社ダンク出版事業部	日販アイ・ピー・エス (発売) / モバイルメディアリサーチ	1	9784909699855
dandou	弾道	那覇出版社	日本出版社	那覇出版社	2	9784890951543
danganronpa-kibou-no-gakuen-to-zetsubou-no-koukousei	ダンガンロンパ希望の学園と絶望の高校生	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	4	9784047279865
danna-ga-totsuzen-shinimashita	旦那が突然死にました。	インプレス	宝島社	インプレス / エムディエヌコーポレーション	2	9784295200147
danshoku-hikaru-genji	男色光源氏	角川グループホールディングス	KADOKAWA	角川グループホールディングス / エンターブレイン	1	9784047289123
dansou-shoujo-cosplay-jienikku	男装少女×コスプレジェニック	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	2	9784047282766
dante-shinkyoku	ダンテ神曲	講談社	コミックス	講談社 / コミックス	2	9784063137019
dareka-ii-hito-imasenka	誰かいい人いませんか?	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	3	9784866970400
dark-alice	DARK ALICE	書苑新社	青林工藝舎	書苑新社 / アトリエサード	2	9784883752270
dash-my-road	Dash!マイ・ロード	実務教育出版	少年画報社	実務教育出版	1	9784788923331
date-ast-like	デート・ア・ストライク	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 富士見書房	4	9784047128262
daydream-nightmare	Daydream★ナイトメア	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	2	9784047280564
dear-emily-da-capo	ディアエミリーダ・カーポ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	2	9784048864510
dear-girl-stories-hibiki	Dear Girl～Stories～響	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	4	9784048677868
death-melo	デスメロ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041205693
death-sweeper	デス・スウィーパー	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	5	9784047250024
dejimantsu	でじまんっ!	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041204634
dejipara	でじぱら	角川グループパブリッシング	メディアワークス	角川書店 / メディアワークス	5	9784840235730
dekiai-yakuza-ga-daki-tsubusu	溺愛ヤクザが抱き潰す	大都社 (発売)	大都社	大都社 (発売) / 秋水社	1	9784864954075
demeking	デメキング	KKベストセラーズ	ベストセラーズ	KKベストセラーズ	1	9784584195543
dengeki-tenjikaazu	電撃テンジカーズ	角川グループパブリッシング	メディアワークス	角川グループパブリッシング / メディアワークス	3	9784840242141
denka-no-houtou-ginjirou	伝家の宝刀・銀次郎	主婦の友社	メディアワークス	主婦の友社 / はちどり	1	9784073407300
denpa-onna-to-seishun-otoko	電波女と青春男	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	4	9784048704823
densetsu-no-yuusha-no-densetsu	伝説の勇者の伝説	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	9	9784047125940
derikatesse	デリカテッセ	ヒーローズ	ワニマガジン社		1	9784868052074
devil-children-as	DEVIL CHILDREN×AS	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	1	9784047287389
devil-may-cry-5	Devil May Cry 5	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	5	9784909767967
diabolik-lovers	DiABOLiK LOVERS	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	1	9784047287372
doku-doku-mori-mori	どく・どく・もり・もり	小学館クリエイティブ	ワニマガジン社	小学館クリエイティブ (発売) / ヒーローズ	5	9784864682008
dokutaa-aisuke-no-kodoku	Dr.愛助の孤独	リットーミュージック	リイド社	リットーミュージック / 立東舎	1	9784845634026
dome-children	DOME CHILDREN	エニックス	スクウェア・エニックス	エニックス / エニックス	3	9784757507364
donkederiko	ドンケデリコ	作品社	青心社	作品社	1	9784878932618
dosperado	ドスペラード	小学館	秋田書店	小学館	1	9784253230896
dotabata-henachoko-tanteidan	どたばたへなちょこ探偵団	文研出版	平凡社		3	9784580825321
doubutsu-manga	ドウブツマンガ	朝日新聞社	朝日新聞出版	朝日新聞社	1	9784023302402
doukyuusei-no-oshi-sakka-ni-yuri-mousou-ga-bareta-kekka	同級生の推し作家に百合妄想がバレた結果	講談社 (発売)	講談社	講談社 (発売) / 星海社	4	9784065235133
doushitara-oshi-to-kekkon-dekimasuka	どうしたら推しと結婚できますか!?	フランス書院 (発売)	フランス書院	フランス書院 (発売) / プランタン出版	2	9784829650813
doyoubi-no-jikkenshitsu	土曜日の実験室	INFASパブリケーションズ	オークラ出版	INFASパブリケーションズ	1	9784900785342
dragon-no-omawari-san	ドラゴンのおまわりさん	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	3	9784866970035
dragon-shaft	DRAGON SHAFT	トクマ ショテン	徳間書店	トクマ ショテン / 徳間オリオン	1	9784198300098
dragon-steak-dinner	ドラゴンステーキ!ディナー	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	1	9784047282018
dragon-steak-lunch	ドラゴンステーキ!ランチ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	1	9784047282001
dramatical-murder	DRAMAtical Murder	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	2	9784047288447
dreamland	ドリームランド	Euromanga	ワニマガジン社	Euromanga / 飛鳥新社	3	9784868010418
dress-na-boku-ga-yangotonaki-katagata-no-katei-kyoushi-sama-na-ken	ドレスな僕がやんごとなき方々の家庭教師様な件	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	2	9784047278950
drug-drop	ドラッグ＆ドロップ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041204870
dt-matikku	DTマティック	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784047250109
dungeon-battle-royale	ダンジョンバトルロワイヤル	Amazia	一二三書房	一二三書房	4	9784891996673
