score	aid	slug	title	synopsis_head	catch_head	swap_hint
0.000	173875	genshoku-love-zukan	原色恋愛図鑑	動物にまつわる題名を冠した、さまざまな恋模様を描く短編を収めた恋愛アンソロジー。	完璧なはずの私に、恋だけが実らない	
0.000	56303	gift-2012	gift-神様の悪戯-	ある少女が、慕う先輩に「卒業の贈り物」を捧げる短編。		
0.000	175962	guilty-angel	ギルティえんじぇる	同じ団地に住む少女たちを「F3」と名づけ、窓越しに観察し記録するのが日課の引きこもり・ヤスオ。ある日、彼は学校のプールの	少女三人とオタクの悪の道	
0.000	45515	gunjou-gakusha	群青学舍	日本や西洋、現代や中世を舞台に、感情の機微を切り取った短編集。街の恋、森の散策、酒場の給仕の日々などを淡々と綴る。		
0.000	193118	gyoushuku-meroncholinista	凝縮メロンコリニスタ	クレイジーでスピーディー、洗練されたコメディ4コマを集めた一冊。		
0.000	109050	hana-chan-to-satsuki-kun	華ちゃんと咲季くん	Twitterで連載されていた漫画を書籍化した作品。	振られた涙の先に現れた、イケメンの正体は	
0.000	53537	hanabana-no-yuuutsu	花々のゆううつ	「うるわしの英国シリーズ」の一編。英国を舞台に綴られる幻想譚。		
0.000	198064	hanamachi-danshou-koi-musubi	花街男娼恋結び	花街を舞台にした恋物語。番外編3話を収録。	吉原の片隅、男娼と上客の儚い夢うつつの恋。	
0.000	158580	haru-ya-kinuran	春やきぬらん	「春やきぬらん」「枯野行」「For my life」「タイムマシンにお願い」「夕凪」を収めた短編集。	没落士族の書生が隠す、気高い憂い	
0.000	147781	harvest	HARVEST	魔法少女ものから日常まで、多彩な趣向で綴られた成人向け短編集。		hihou-mahou-shoujo-no-sonogo-no-nichijou(【悲報】魔法少女のその後の日常。)
0.000	114350	hatsukoi-dance	ハツコイダンス!	青春が満開に咲き誇る、奇跡のような恋の物語。	踊る君に、目を奪われた入学式。	
0.000	106077	hatsukoi-otoshimashita	はつ恋、落としました。	りばんちゃんのおまじない、花に嵐など、少女たちの揺れる恋心を描いた短編を収めた作品集。		
0.000	123635	hello-mai-baby	はろー!マイベイビー	赤ちゃんをめぐる温かな物語。番外編6話を収録した一冊。	鏡から飛び出したのは、十年後のわたしの赤ちゃん	
0.000	157416	higurashi-no-naku-koro-ni-rei	ひぐらしのなく頃に令	「ひぐらしのなく頃に礼」シリーズの第三にして最終アーク。	令和の雛見沢に、再び忍び寄る祟りの影。	
0.000	50091	himitsu-de-scandal	秘密でスキャンダル	男子の憧れの的であるアイドル・マリア。恋人に振られ、追いかけ回される日々の中で出会った少年は、彼女の正体を知らないようで	年上の彼、ピアノ教師との秘密、キスのトラウマ――ちょっぴり大人な恋を集めて。少女	idol-na-kanojo-to-wotaku-na-boku-to(アイドルな彼女とヲタクな僕と)
0.000	111834	honnori-donpatchi	ほんのり!どんぱっち	『ボボボーボ・ボーボボ』のスピンオフ『ふわり!ドンパッチ』の続編。ドンパッチを主役に据えたギャグ作品。		bobobo-bo-bo-bobo(ボボボーボ・ボーボボ)
0.000	202103	hooked-on-quasar	フックトオンクエーサー	個性豊かなキャラクターたちが織りなす物語。「フックト オン クエーサー」と題された、エクストラ収録の一作。	俺の曲で踊る君に、惹かれていく	
0.000	39116	hosu-tan-e-youkoso	ホス探へようこそ	ある少年が、謎を解き明かすという一風変わったホストクラブの従業員になる。コメディ・ミステリー。	探偵事務所の看板は、元ホストの社長	
0.000	93876	housekiiro-no-koi	宝石色の恋	西UKOの短編作品集。「ルーレット」「パルファン」「マネキン」「恋オンナ」など、恋と日常のひとこまを切り取った17編を収		
0.000	104805	in-hand	インハンド	毎日のように主人公のもとへ持ち込まれる、興味深い謎。医療をテーマにしたサスペンスドラマ。	義手の寄生虫学者、事件を解く	
0.000	113208	iseki-hakkutsushi-wa-warawanai	遺跡発掘師は笑わない	ある若き探検家・斎清麿が、生涯に一度の大発見を成し遂げる冒険ミステリー。	鬼の手を持つ発掘師が、土の下の国宝を掘り当てる	
0.000	109634	itsumo-anata-no-koto-bakari	いつも、あなたのことばかり。	レストランのオーナー・タケヒサと、別作品から登場するユウイチを中心に描く、恋と日常のドラマ。		
0.000	96129	junai-torotorippu	純愛とろとりっぷ	付き合って半年、まだ初めてのキスもしていないモモコと恋人のテツ。彼女を傷つけまいと踏み込めないテツと、奥手で本音を言えな		kanojo-to-kisu-suru-50-yuu-no-houhou(彼女とキスする50の方法)
0.000	82105	junjou-lingerie-doll	純情ランジェリードール	幼なじみが有名なランジェリーデザイナーだった——そんな関係から始まる恋を描くロマンス。		
0.000	207729	kaeru-ie-ga-nai-hanzaishatachi	帰る家がない犯罪者たち	最初の二話分は「這い上がりたい君へ」という題で発表されていた作品。	出所後の犯罪者を支える施設の物語	
0.000	92275	kagami-ga-kita	鏡が来た	高橋留美子が描く5つの不思議な物語。人の中の悪意を映し出し滅ぼす鏡に取り憑かれた少年、他人を呪う力を得た落ち目の漫画家、		fushigi-no-kuni-no-shounen-alice(不思議の国の少年アリス)
0.000	172570	kamen-rider-amazon-1974	仮面ライダーアマゾン1974	ロボット工学の権威・志度敬太郎博士は、その技術を狙うテロ組織ネオショッカーに拉致される。脱出の機をうかがう博士は、傷つい		bocchi-hakase-to-robot-shoujo-no-zetsubouteki-utopia(ぼっち博士とロボット少女の絶望的ユートピア)
0.000	107713	kanojo-wa-uchuuichi	彼女は宇宙一	谷口ナツコによる六つの物語を収めた短編集。		
0.000	93918	karekano-gokko	カレカノゴッコ	学校一の美少女ミズキ。そんな彼女に並ぶほど美しい少年と出会ってしまい——?容姿をめぐるコメディ。		kanojo-o-ubatta-ikemen-bishoujo-ga-naze-ka-ore-made-neratte-kuru(彼女を奪ったイケメン美少女がなぜか俺まで狙ってくる)
0.000	66965	karen-osakabe-2011	花恋	現代を舞台にした騎士事情を描いた作品。	華麗なる騎士たちに囲まれ、少女の運命が動く	
0.000	111829	katakoizakari	片恋ざかり	片想いをめぐる甘く切ない心模様を、いくつもの物語で綴った恋愛短編集。		
0.000	92965	keppare-matsubara-san	ケッパレ松原さん!	とびきりの天然娘を主役にした、凸凹コンビの青春ロマンスコメディ。		
0.000	110552	kimi-wa-idol	きみはアイドル	坂本みくが描く、LINEマンガ連載の新作。	クール女子の秘密は、推しへの愛	
0.000	129788	kin-no-ito	金の糸	ある高校生の男子が、留学生と一緒に暮らし始める物語。	美少女留学生と一つ屋根の下、禁断の青春恋愛ストーリー。	
0.000	113244	kindan-junai	禁断純愛	甘くせつない恋を綴った、さまざまな作家による物語集。ときめきに満ちた短編アンソロジー。		
0.000	143949	kitare-parettodan	来たれ、パレット団!	2022年6月にKADOKAWAに版権取得され、同年7月13日より雑誌『コミックアルーナ』で連載が始まった作品。	お絵かき大好き女子高生たちの、にぎやか美術部コメディ	
0.000	51625	koishi-eru-kagiri-koise	恋し得る限り恋せ	「禁じられた愛」をテーマにした短編集。ロミオとジュリエットを思わせる悲恋から、許されぬ間柄の関係まで、さまざまな恋を描く		romeo-to-juliet-isakawa-2014(ロミオとジュリエット)
0.000	199374	kokoro-no-naka-ga-mieru-ouji-to-kokoro-no-naka-wa-makkuro-reijou	心の中が見える王子と心の中は真っ黒令嬢	スカルヴァ王国の第一王子レナートは、人の心の本音が聞こえる能力を持って生まれた。ある日、社交界で「幻の姫君」と呼ばれる侯	心読む王子と腹黒令嬢の焦れキュン	
0.000	121465	kokuminteki-idol-ga-otouto-ni-nattara	国民的アイドルが弟になったら	（出典に紹介情報がないため、内容は割愛する。）	推しが義弟に。しかも、ファンが大嫌い	
0.000	148099	kowai-tomodachi	怖いともだち	「いないいない、私」「おともだち」など、複数の作家による怖い物語を集めたアンソロジー。		
0.000	105369	kunihachibu	くにはちぶ-国八分-	（出典に紹介情報がないため、内容は割愛する。）	今日から、日本中があなたを無視します	
0.000	132575	kuroshio-current	クロシオカレント	雑誌「青騎士」に連載された作品。	摩訶不思議な高知県、ゾンビも神様もいる日常	
0.000	117404	kuu-onna	喰フ女	読切「私、結婚します」を併録した一冊。	遺言バンクに投稿した者から消えていく	
0.000	53536	kuuchuu-roukaku-no-juunin	空中楼閣の住人	「うるわしの英国シリーズ」の一編。英国を舞台に綴られる幻想譚。		
0.000	55937	libero-revolution	リベロ革命!!	バレーボールに青春を懸ける、スポーツ漫画。	身長159cm、バレー界に革命を起こす	
0.000	107433	lost-house	ロストハウス	雑誌「ヤングロゼ」に連載された四つの物語を収めた短編集。	鍵をかけない隣人がくれた、少女の解放区	
0.000	107610	lover	LoveR	角川の恋愛シミュレーションゲームを原作とするオリジナルストーリー。胸ときめくロマンスを描く。	ゲーム『LoveR』、公式コミック版。	
0.000	101200	macaroni-switch	まかろにスイッチ	眼鏡をかけると「変わってしまう」少女の物語を描くコメディ。	メガネひとつで、ブスと美少女を行き来する。	
0.000	209566	majime-megane-kun-o-otoshitai	真面目メガネくんをオトしたい	もともとツイッターで自費発表された後、KADOKAWAがライセンスを得て商業化した作品。	惚れられているのに、翻弄されるのはこっちの方	
0.000	72925	majimoji-rurumo-makai-hen	まじもじるるも 魔界編	魔法少女と少年が織りなす物語の続編。前作の結末から、そのまま物語が続いていく。		tatoeba-last-dungeon-mae-no-mura-no-shounen-ga-joban-no-machi-de-class-youna-monogatari(たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語)
0.000	182252	make-heroine-ni-tensei-shitara-seijo-ni-narimashita	負けヒロインに転生したら聖女になりました	(出典情報が乏しいため、紹介文を作成できる内容がありません。)	負けヒロインのはずが、まさかの聖女に	
0.000	120170	mamanaranu	魔々ならぬ	魔と人が織りなす、ちょっぴり不思議なファンタジー日常コメディ。	29歳無職の部屋に、魔王が転がり込んだ	
0.000	78869	material-puzzle-zero-kreuz	マテリアル・パズル ゼロクロイツ	世界の破滅を食い止めるべく戦う三人を描く、冒険ファンタジー。		
0.000	109431	melty-blood-rojiura-nightmare	MELTY BLOOD路地裏ナイトメア	格闘ゲームおよび漫画「MELTY BLOOD」のスピンオフにして続編。アクションコメディ。	用意された無数の扉、その先で試される意思	
0.000	125400	mememori-kun-niwa-kanawanai	目々盛くんには敵わない	ある朝目を覚ますと、目々盛くんは突然性別が変わっていた!思いがけない状況に直面した彼は、この新しい自分とどう向き合ってい	ある朝、美少女になっちゃった！？ハイテンションTSコメディ。	
0.000	159989	mimikku	みみっく	どんな乙女の内にも危うい秘密がある――。成人向け作品。		
0.000	173637	mitsuki-kun-chotto-matte	ミツキくんちょっと待って!	六話まで連載されたのち再始動した作品。	親友からの突然の告白、お試し交際が本物に	
0.000	63631	mizu-ga-koori-ni-naru-toki	水が氷になるとき	全5章からなる短編集。何ごとも親友に頼りきりの男が、犬になれたら付き合いを続けてやると告げる軽妙な一編に始まり、困った時	凍てつく沼で見つかった、彼が心を開いた唯一の相手。	
0.000	63633	mou-hitotsu-no-umi	もうひとつの海	表題作「もうひとつの海」をはじめ、全5章を収めた短編集。前半は刈野義仁を主人公とする物語、第4章は泳ぎを覚えなければなら		
0.000	132577	mushi-communicator	ムシ・コミュニケーター	雑誌『青騎士』に掲載された、Muneheroによる新シリーズ。	虫と仲よくできる能力を持つ少女。人と虫の距離を描く物語。	
0.000	191006	mushiatsui-kara-nuguu	蒸し暑いからぬぐー	リョウタの姉は少し変わっている。身体が熱くなると、内に謎のエネルギーが溜まり、強烈な爆発を起こすのだ。「ヌグー」と呼ばれ		
0.000	109071	nanado-nado-nado	ななどなどなど	次にくるマンガ大賞2020のマンガ部門にノミネートされた、ゆるやかな日常コメディ。	交友用アンドロイドと、元引きこもり令嬢の学園生活	
0.000	53811	needless-zero	NEEDLESS ZERO	「NEEDLESS」本編の前日譚と、その世界をめぐるサイドストーリーを集めた一冊。		
0.000	123655	nein	Nein	サウンドホライズンの9thストーリーCD「Nein」を題材にした作品。裏路地の古い骨董店で、あるバンドのボーカルが時空を	あの物語の、もうひとつの結末	
0.000	120965	nettai-derashine-houshokuten	熱帯デラシネ宝飾店	雪村家の跡取り娘マサキは、叔父殺しの嫌疑をかけられてしまう。村を離れて海を渡った彼女は、叔父の遺言を頼りに、無法地帯と噂	宝飾店の裏に渦巻く、熱帯の陰謀と宝石	
0.000	161885	no-game-no-life-zero	THE COMPLETE FILMノーゲーム・ノーライフゼロ	同名映画の特典として配布された冊子。漫画パートと小説パートを収め、本作はそのうち漫画パートを収録する。		miyamoto-sakura-ga-kawaii-dake-no-shousetsu-no-manga(宮本サクラが可愛いだけの小説の漫画。)
0.000	171615	nyamily-wandahoo	にゃミリーワンだほー!	いつも忙しい野中先生をよそに、野中家の猫たちは大暴れ。それでも可愛い猫たちには癒やされて、作者は怒る気にもなれず——。三		
0.000	45981	nyan-nyaga-nyan	にゃんにゃがにゃん〔猫の足跡〕	コメディとファンタジーが織りなす恋物語に、3編の番外編を加えて収めた作品。		
0.000	33152	oasis-project	オアシス計画!	欲しい女は誰でも手に入れてきた八木直之にとって、それはむしろ悩みの種だった。女絡みの揉め事に手を焼いた両親は、性別の曖昧	欲しい女は誰でも手に入る。それが悩みだった男が送り込まれた先で、なぜか惹かれてし	
0.000	41358	ocharaka-hoi	おちゃらかほい!	ユーモアあふれる物語を集めたコメディ作品。軽妙な笑いとテンポで読ませる、肩の力を抜いて楽しめる一冊。	目指すはヤマトナデシコ、されど道は険し	
0.000	136610	okarutoken-wa-sonzai-shinai	オカルト研は存在しない!!	学園の片隅で巻き起こる、ちょっと不思議なラブコメの一編。	美少女×オカルトの、予測不能な純度100%クソ百合コメディ！	ore-no-nounai-sentakushi-ga-gakuen-rabukome-o-zenryoku-de-jama-shite-iru-eichi(俺の脳内選択肢が、学園ラブコメを全力で邪魔しているH)
0.000	70761	ookami-kodomo-no-ame-to-yuki	おおかみこどもの雨と雪	大学のクラスにいた謎めいた一匹狼に勇気を出して声をかけた花。それが真実の愛へと育つとは思いもしなかった——彼が人の姿で生	声をかけたその人は、人の姿で生きる狼だった。やがて生まれた雨と雪。母がひとりで紡	
0.000	146057	ore-o-mitashite-shouri-no-megami-sama	オレを満たして、勝利の女神様	「触れたら、死ぬほど抱くぞ」――。獣のように私を求める鍛え上げられた肉体に、恥ずかしいほど翻弄されて……。溺愛してくる彼	イケメンボクサーと、すれ違う不器用な恋。	
0.000	198535	oshi-no-fansa-ga-erosugi-desu	推しのファンサがエロすぎです!	推しの過激すぎるファンサービスに翻弄される、胸高鳴るラブコメディ。	地味アナウンサー×最推しアイドル、ファンサがエロすぎるBL！	
0.000	111372	oshiri-sawaritagaru-hito-nannano	お尻触りたがる人なんなの	市原ひかりＺによる、楽園Web増刊に掲載された読み切りを集めた短編集。クスッと笑える恋模様を描いた作品集。		
0.000	50706	otona-no-otokonoko-zukan	オトナの❤男の子ずかん	男の子はバカで、好色で、いたずらっぽい——女の子とはまるで違う生き物である少年たちを、その行動の謎まで詳しく研究する一冊		
0.000	170817	otomachi-record	音街レコード	化頭機構の作品が世に出る前に、毛塚良一郎が自主制作した作品集。音楽をめぐる日常系の一作。	小さなレコード店から広がる、音と記憶の物語たち。	
0.000	121385	otona-o-komaraserunja-arimasen	オトナを困らせるんじゃありません!	男子寮の日常をのぞき見るような、にぎやかな男子校ライフを描くボーイズラブ。寮で暮らす少年たちの関係をコミカルに綴る成人向		
0.000	203620	oyasumi-memories	おやすみメモリーズ	心揺れる恋模様を描くロマンス。番外編三話を収録。		
0.000	112870	pierrot-to-lion	ピエロとライオン	「スウィート・シネマ・ポップ」を併録した一冊。		
0.000	84971	poncho	ポンチョ	ヒロシと、彼女の妹ポンとのほのぼのとした面白い日々を描いた4コマ。	元エースと素人の怪童、超弱小野球部から	ore-no-kanojo-to-osananajimi-ga-4-yurabasugiru-4koma(俺の彼女と幼なじみが修羅場すぎる4コマ)
0.000	143736	popcorn-cowboy	ポップコーン・カウボーイ	西部を舞台にしたアクション・アドベンチャー。	「黄金の牛」を求めて荒野を旅する、ジャーキーとピクルスの大冒険！	
0.000	189793	ren-soushi-ni-shojo-o-sasagu	漣蒼士に処女を捧ぐ	「前の妻の頼みなら、月でも星でも取ってこよう」——。見事な刺青を惜しげもなく晒しながら、彼は激しく愛してくる。これはまず	極上ヤクザとの、ドラマチックな純愛TL。	
0.000	170240	ride-on	RIDE ON	白いインプレッサで暮らす筋金入りの車好き、霧雨スバル。一つの場所に落ち着くことなく日本中を巡り、各地の美女たちと一夜限り		
0.000	204297	rock-and-roll	ロックンロール	もともと自費出版された後、太陽図書がライセンスを得て連載化した作品。	ニコイチ幼なじみ男子高校生、日常に恋の兆し	
0.000	33403	rosario-to-vampire-season-2	ロザリオとバンパイアseasonⅡ	平凡な人間の高校生ツクネが、間違って怪物たちの寄宿学校に入学してしまう。狼男や魔女、得体の知れない者たちに囲まれながらも		danganronpa-kibou-no-gakuen-to-zetsubou-no-koukousei-ji-animation(ダンガンロンパ希望の学園と絶望の高校生THE ANIMATION)
0.000	44978	saiyuuki-reload-blast	最遊記 RELOAD BLAST	三蔵一行はついにインドへと至る。異界の影響が荒れ狂うこの地で、彼らの戦いはいっそう激しさを増していく。500年前から続く		
0.000	168679	sajou-rihito-no-chichi-to-sono-buka	佐条利人の父とその部下	息子の結婚に、心を揺さぶられる父——。家族の機微を描くスローライフドラマ。	頑固な父と、部下の告白	
0.000	36095	sakamotogakari	坂本係	想い人に手ひどく振られた沖田晴人は、女に懲りて勉強に専念しようと男子寮制の高校へ入学する。静かな環境を求めた彼の目論見は		
0.000	199948	samishisa-no-oto-ga-suru	さみしさの音がする	孤独や心の機微を静かに描いた短編。番外編を一話収録。		
0.000	113031	satoremasen-manji	悟れません卍	プロローグや番外編、別作品からの特別編などを収めた短編集。	イマドキJK×悟りを目指すイケメン僧侶	
0.000	197910	sazukarikon	授か離婚	貴族の騎士から突然プロポーズされた——きっと早く厄介払いしたいのだろうと、私は子作りに励もうと決意する。平民の魔法治癒師	授かり婚から始まった夫婦の、絆の作り直し	
0.000	39259	school-rumble-z	School Rumble Z	『スクールランブル』の面々によく似た人物が、まったく別の役どころで登場するコメディ短編集。一人の男子を主軸に描かれる。		
0.000	33695	seikimatsu-darling	世紀末・ダーリン	惚れっぽい尾形が今回恋に落ちた相手は、まさかの男・高杉だった。想いは通じ合ったものの、互いに譲る気はなく…な恋愛コメディ	おなじみの騒がしいダーリンたちが帰ってきた。友人からの不穏な忠告に動揺し、坂本は	
0.000	203704	sekai-seifuku-honey	世界征服☆ハニー	本編に加え、三本の番外編を収録した一冊。		
0.000	56555	sentiment-no-kisetsu	センチメントの季節	ロマンチックな物語を集めた短編集。後に実写テレビドラマ化もされた。	少女たちの季節は、痛みとともに過ぎてゆく	
0.000	107936	serii	セリー	一編の長編SFと、巻末の二つの短編を収めた作品集。		
0.000	63019	shichigatsu-no-hone	七月の骨	漫画家を目指す一人の青年の日々を追う物語。	1981年、未知なるまんが道へ飛び込め	
0.000	189505	shigoto-owari-no-rendezvous	仕事おわりのランデブー	「喪服のクジャク」のタイトルで連載された作品。番外編も収録したロマンス。		
0.000	108442	shijinsou-no-satsujin	屍人荘の殺人	今村昌弘の小説を漫画化した作品。	閉ざされた館、そして押し寄せる屍人	
0.000	36554	shin-mizuiro-jidai	新水色時代	ユーコという平凡な女の子を描いた人気作の続編シリーズ。	白でも青でもない、水色の十二歳	
0.000	105206	shinchoku-dou-desuka	進捗どうですか?	Twitter発のオリジナル漫画を連載化した作品。	締切前のアラサー漫画家に、17歳の担当編集	
0.000	91546	shinitaku-naru-shoumonai-hibi-ga-shinitaku-naru-cry-shoumonakute-shinuhodo-shinitakunai-hibi	死にたくなるしょうもない日々が死にたくなるくらいしょうもなくて死ぬほど死にたくない日々	「ハイイロ」「乙女ココロ」「ドラゴンスワロウ」など、複数の短編を収めた作品集。死にたくなるほどしょうもない、けれど死ぬほ	死にたくなるほどしょうもない、けれど死ぬほど死にたくはない。そんな日々をすくい取	
0.000	72541	shoujo-love-heni	少女恋愛変異	誰もが女として生まれ、一部が成熟して男になる世界。モモカは親友のアリスを愛し、男になって彼女と結婚したいと願っていた。と	女しか生まれない星で、少女はいつか男になる	sekai-ka-kanojo-ka-erabenai(世界か彼女か選べない)
0.000	138791	sofia-no-enkan	ソフィアの円環	剣と魔法が息づく世界を舞台にしたアクション・アドベンチャー。	「厄災の使徒」と蔑まれた少年と、動き出す巨大な人形	
0.000	37522	sono-otoko-wagamama-ni-tsuki-alpha	その男、ワガママにつき+α	椎名とまことの夫婦は、子供が生まれてからも刺激的で賑やかな毎日を送っている。家族になった二人の日常を描くラブコメディ。		
0.000	138275	soroete-choudai	そろえてちょうだい?	（出典に内容の記載がないため、紹介文は割愛。）	漫画家の家に、王子様な猫がいる	
0.000	51004	stellar-theater	Stellar・theater	宇宙人の存在が当たり前になった世界。5年前の大火傷から癒えて平穏に暮らすダイチは、ある日宇宙人と出会い、次代の守護者を選	星座候補試験の裏で、事件と恋が動き出す	sekai-de-tada-hitori-no-mamonotsukai(世界でただ一人の魔物使い)
0.000	194264	strum-my-voiceless	ストラムマイボイスレス	番外編三話分を収録した、コメディとドラマが交差するラブストーリー。	裏社会の賭博場で交わる男たち	
0.000	112400	suki-shika-iwanai	好きしか言わない	「水曜日、5時間目」と題した読み切りを収録した恋愛作品。	恋に必要なのはテクじゃなく、バカさ。	
0.000	105486	super-dragon-ball-heroes-universe-mission	スーパードラゴンボールヒーローズユニバースミッション!!	バンダイのゲーム『ドラゴンボールヒーローズ』を題材としたスピンオフ漫画。『ダークデーモンリアリズムミッション』の続編にあ		
0.000	193074	swimsuits-fellows-2009	Swimsuits Fellows! 2009	「フェローズ!」誌の寄稿者43名による、水着をテーマにした45作品を集めたアンソロジー。		
0.000	66869	tales-of-xillia-side-jude	テイルズオブエクシリア SIDE;JUDE	PS3用ゲーム『テイルズ オブ エクシリア』を原作とした漫画。	精霊を従える女性との出会いが、日常を壊す	tales-of-kuresutoria(テイルズ・オブ・クレストリア)
0.000	104901	tayosupo	たよスポ!	「マンガタイムオリジナル」2014年9月号から2015年9月号に掲載されたゲスト作品を、連載化した一作。コメディ。	愛が重すぎる新人記者、球団番を狙う	
0.000	54603	teizokurei-monophobia	低俗霊MONOPHOBIA	生まれる前に亡くなった双子の兄マイトが自分の中に同居している女子高生マイカ。二人は日替わりで体を使い、眠りの中でだけ言葉	歪んだ家庭が、悪霊を産み落とす	
0.000	180880	tenbou-daikaku	天傍台閣	Jump+の読み切りで頭角を現した新鋭が放つ待望の連載。見事なペンタッチで描かれる、神秘的な一大叙事詩が幕を開ける。	千寿院邸へついに捜査の手が伸びる。私兵を展開して攪乱を図る大蔵卿と、不正を確信す	
0.000	63639	tenshi-ni-naranakya	天使にならなきゃ	失業者を住み込ませた給仕、公園で恋人の返事を待ちながら過去を回想する男、同じ陸上部の女性をめぐる二人の男など、男女の機微		
0.000	107843	tetsuoberutta	テツヲベルッタ	孤児の少年と一匹の犬をめぐる物語。		tatoeba-last-dungeon-mae-no-mura-no-shounen-ga-joban-no-machi-de-class-youna-monogatari(たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語)
0.000	174858	tokuni-aru-hibi	とくにある日々	「学校」というなんでも起こりうる場所で繰り広げられる出来事を、ありふれた日常から不思議で驚くようなことまで描く漫画。	仲良しJKたちの、ちょっとドキドキな部活の日々。	manga-assistant-no-nichijou(漫画アシスタントの日常)
0.000	121434	toridori-renka	トリドリ恋歌	宇仁田ゆみによる読切集。「こうかん法則」「道草っぷり」など、軽やかな筆致の物語を集めた一冊。		
0.000	105622	tsumitobatsu	罪と罰	自称・天才の青年エビゾウが、自分を見下した質屋の老婆を殺害しようと企てる。ドストエフスキーの同名小説をパロディとして大胆	食糧難を救うはずの新種が変異し、人々を襲い始める。組織が日本人を抑圧する世界で、	
0.000	142869	tsundoru	つんドル!	3本の番外編を収録したドラマ作品。	職ナシ彼氏ナシ貯金ナシ！元アイドルの人生リカバリー譚。	
0.000	116887	tsuyayaka-na-onna	艶やかな女	「ワンツーマンゴー」をはじめ、コメディとロマンスを織り交ぜた読切を集めた短編集。		
0.000	130645	tsuyogaaru	強ガール	TwitterとComic Pixivで連載された作品。（出典が乏しく詳細不明）	好きな服と好きなメイクは私に勇気をくれる！いじらし可愛いラブコメ。	
0.000	59891	uramiya-honpo-reboot	怨み屋本舗REBOOT	些細な盗人から異常者まで、世にはびこる卑劣な輩。理不尽な被害に遭い、行き場のない怒りを抱えた者たちが頼るのは、謎の女・北		
0.000	205854	usotsuki-to-kuchibiru	うそつきと唇	嘘と本心のあわいで揺れる人々の機微を描いたロマンス短編。番外編を一話収録。		
0.000	96262	utatanehime	うたたね姫	「ラストダンスは踊り場で」「猫でタンデム」など、味わい深い掌編を集めた、ロマンスの短編集。		
0.000	192969	vanpaia-dekiaiparadaisu	ヴァンパイア♥溺愛パラダイス	中学一年生の陸花ミクには、優しくて顔も良いが口が悪い幼なじみ・白羽コウがいた。中学入学後、コウは美少年4人組のアイドルグ	イケメンの正体は吸血鬼、溺愛学園ラブ	
0.000	105940	vet-s-egg	Vet's Egg	獣医学生と、その個性的なクラスメイトや先生たちを描いたスローライフ。	自らの不注意で飼い犬を死なせてしまった青年が、獣医を目指して大学へ。獣医の卵たち	
0.000	113151	yama-e-iku	山へ行く	想像力が過剰で、日々の凡庸さに耐えられない繊細な作家を描いた短編。	ある朝ふと「山へ行こう」と思い立った小説家——日常と非日常のひずみをすくい上げる	
0.000	188123	yamada-sansuke-no-momoiro-memory	山田参助の桃色メモリー	瑞々しい女性たちとの艶やかな日常を、昭和の風情とともに描いた大人向けの短編集。		
0.000	114709	yamikariudo-delta	闇狩人Δ	本編に加え、番外編4話を収録した一冊。	法では裁けぬ悪を始末する、復讐の代理人・闇狩人。漫画家とアシスタントの顔を持つ二	
