slug	title	authors	canonical済	worst	page_shape	cluster_shape
black-jack	ブラック・ジャック	手塚治虫		15年 standard 15巻(1994-04-12)→17巻(1979-03-30)	standard[通常版]/少年チャンピオン・コミックス 25冊 1974-08-20〜1995-11-25 ; bunkobon[文庫版]/秋田文庫 17冊 1993-08〜2003-09 ; standard[手塚治虫漫画全集(1977–1996)]/手塚治虫漫画全集 22冊 1977-07-15〜1996-05-16 ; bunkobon[手塚治虫文庫全集(2010)]/手塚治虫文庫全集 12冊 2010-06〜2010-10	sid34865/ed41048 standard[-] 1冊 1988-06〜1988-06 ISBN1 || sid34865/ed41049 bunkobon[秋田文庫] 19冊 1993-08〜2003-09 ISBN19 || sid34865/ed41050 standard[Akita top comics wide] 4冊 2011-10〜2012-03 ISBN4 || sid34865/ed41051 standard[Anime book] 1冊 1995-05-10〜1995-05-10 ISBN1 || sid35032/ed41479 standard[Goma books] 2冊 2019-02〜2019-02 ISBN2 || sid35032/ed41480 standard[Akita top comics wide] 16冊 2006-05〜2021-08 ISBN16 || sid35032/ed41481 standard[少年チャンピオン・コミックス] 66冊 1974-05-20〜2005-04 ISBN35 || sid35032/ed41482 standard[-] 16冊 1987-04〜2004-11 ISBN16 || sid35032/ed41483 bunkobon[秋田文庫] 1冊 2000-12〜2000-12 ISBN1 || sid35032/ed41484 standard[Akita top comics] 25冊 2001-10〜2005-12 ISBN25 || sid35032/ed41485 standard[手塚治虫漫画全集] 44冊 1977-07-15〜2005-02 ISBN44 || sid35032/ed41486 bunkobon[手塚治虫文庫全集] 12冊 2010-06〜2010-10 ISBN12 || sid35032/ed41487 standard[少年チャンピオン・コミックス エクストラ] 1冊 2010-10-20〜2010-10-20 ISBN1 || sid35032/ed41488 standard[Akita top comics 500] 6冊 2016-11〜2017-04 ISBN6 || sid35032/ed41489 standard[Akita handy comics] 2冊 2001-08〜2001-09 ISBN2 || sid35034/ed41491 standard[ATCW] 1冊 2019-06〜2019-06 ISBN1 || sid144336/ed162016 standard[Akita top comics wide] 7冊 2009-10〜2011-01 ISBN7 || sid144337/ed162017 standard[Akita top comics wide] 1冊 2018-11〜2018-11 ISBN1
blue-sakisaka	BLUE	咲坂伊緒		15年 standard 1巻(2006-11-29)→2巻(1991-12-10)	(本番yml無し)	
boku-no-doubutsuen-nikki	ぼくの動物園日記	飯森広一		16年 standard 1巻(1989-04-19)→6巻(1973)	standard[通常版]/ジャンプ・コミックス 10冊 1973〜1989-08-24	sid29636/ed34678 standard[JUMP COMICS SELECTION] 3冊 1989-06-24〜1989-08-24 ISBN3 || sid29636/ed34679 standard[ジャンプ・コミックスセレクション] 2冊 1989-04〜1989-05-24 ISBN2 || sid29636/ed34680 standard[ジャンプ・コミックス] 9冊 1973〜1973-04 ISBN0 || sid29636/ed34681 standard[Jump comics] 2冊 1973-09〜1974-11-30 ISBN0 || sid29636/ed34682 standard[ダイソーコミックシリーズ] 2冊 -〜- ISBN0
boku-no-shotaiken	ボクの初体験	弓月光		18年 standard 1巻(1995-07-09)→3巻(1977-02-20)	standard[通常版]/マーガレットコミックス 3冊 1977-02-20〜1995-08-04 ; bunkobon[文庫版]/集英社文庫 コミック版 2冊 2001-01〜2001-01	sid16474/ed19340 standard[Jump super ace] 2冊 1995-07-09〜1995-08 ISBN2 || sid16474/ed19341 bunkobon[集英社文庫 コミック版] 2冊 2001-01〜2001-01 ISBN2 || sid144825/ed162515 standard[マーガレットコミックス] 3冊 1976-11〜1977-02-20 ISBN0
chinyuuki	珍遊記	漫☆画太郎		12年 standard 4巻(2004-02)→5巻(1992-03-15)	standard[通常版]/ジャンプ・コミックス 6冊 1991-03-15〜2004-02	sid22711/ed26705 standard[ジャンプ・コミックス] 4冊 1991-03-15〜1992-05-13 ISBN1 || sid22711/ed26706 standard[ヤングジャンプ・コミックス] 4冊 2003-11〜2004-02 ISBN4 || sid22711/ed26707 standard[ヤングジャンプ・コミックスBJ] 4冊 2009-05〜2009-08 ISBN4 || sid159450/ed177494 standard[ジャンプ・コミックス] 2冊 1991-06-15〜1991-08-12 ISBN2
choukyori-love-no-kodoku	長距離恋愛の孤独	葉芝真己		18年 standard 1巻(2014-05)→2巻(1996-09)	standard[通常版]/ラキッシュ・コミックス 3冊 1996-09〜2014-05 ; bunkobon[文庫版]/冬水社文庫 2冊 2010-11〜2010-11	sid117610/ed134170 standard[ラキッシュ・コミックス] 5冊 1996-03〜1997-06 ISBN2 || sid117610/ed134171 bunkobon[冬水社文庫] 2冊 2010-11〜2010-11 ISBN2 || sid117610/ed134172 standard[バーズコミックス] 2冊 2014-05〜2014-09 ISBN2
circuit-no-ookami	サーキットの狼	池沢さとし		19年 standard 18巻(1998-01)→20巻(1979-09-15)	standard[通常版]/ジャンプコミックス 22冊 1979-09-15〜1998-02 ; bunkobon[文庫版]/秋田漫画文庫 4冊 1984-06-20〜1984-09-20	sid21361/ed25124 standard[Motor Magazine Mook] 3冊 2009-11〜2009-12 ISBN3 || sid21361/ed25125 standard[MCCコミックス] 19冊 1996-08〜1998-02 ISBN19 || sid21361/ed25126 bunkobon[秋田漫画文庫] 4冊 1984-06-20〜1984-09-20 ISBN4 || sid21361/ed25127 standard[KK comics bunko] 3冊 2001-11〜2002-03 ISBN3 || sid21361/ed25128 standard[Bunch world] 1冊 2002-10〜2002-10 ISBN1 || sid21361/ed25129 standard[ジャンプコミックス] 26冊 1976-01-31〜1981-04-15 ISBN0 || sid141177/ed158776 standard[ジャンプコミックス] 1冊 1977-02-28〜1977-02-28 ISBN0
cobra	コブラ	寺沢武一		12年 standard 11巻(1995-01)→13巻(1983-07-05)	standard[通常版]/ジャンプ・コミックス 18冊 1983-07-05〜1995-02 ; deluxe[デラックス版]/ジャンプ・コミックスデラックス 10冊 1988-02-10〜1988-11-10 ; bunkobon[文庫版]/集英社文庫 12冊 2000-03〜2000-09	sid37918/ed45292 bunkobon[集英社文庫] 12冊 2000-03〜2000-09 ISBN12 || sid37920/ed45294 deluxe[ジャンプ・コミックスデラックス] 10冊 1988-02〜1988-11 ISBN10 || sid37920/ed45295 standard[ジャンプ・コミックス] 16冊 1979-08-15〜1985-08-15 ISBN4 || sid37920/ed45296 standard[創美社コミックス] 12冊 1994-03〜1995-02 ISBN12 || sid140705/ed158291 standard[ジャンプ・コミックス] 2冊 1983-07-05〜1983-11-15 ISBN2
deka-ankou	刑事あんこう	篠原とおる		19年 standard 1巻(1999-07)→3巻(1980-07)	standard[通常版]/SPコミックス 22冊 1980-07〜1999-08	sid52105/ed64465 standard[SPコミックス] 22冊 1980-07〜1985-04-16 ISBN0 || sid52105/ed64466 standard[Tohru Shinohara best selection] 2冊 1999-07〜1999-08 ISBN2
dennou-nao-san	電脳なをさん	唐沢なをき		12年 standard 1巻(2010-07)→2巻(1998-10)	standard[通常版]/- 5冊 1998-10〜2010-07	sid12108/ed14142 standard[-] 6冊 1996-10〜2003-01 ISBN6 || sid12108/ed14143 standard[Dengeki Comics EX] 4冊 2010-07〜2012-10 ISBN4 || sid12108/ed14144 standard[BEAM COMIX] 2冊 2011-03〜2011-03 ISBN2
denpa-odyssey	電波オデッセイ	永野のりこ		11年 standard 1巻(2011-03)→4巻(2000-01)	standard[通常版]/Ascii comix 4冊 2000-01〜2011-07	sid21295/ed25046 standard[-] 3冊 2011-03〜2011-07 ISBN3 || sid21295/ed25047 standard[アスペクトコミックス] 1冊 2000-01〜2000-01 ISBN1 || sid21295/ed25048 standard[ASPECT COMIX] 2冊 1998-03-09〜1999-01-04 ISBN2 || sid21295/ed25049 standard[Ascii comix] 1冊 1997-01-22〜1997-01-22 ISBN0
dogusare-kyuudan	どぐされ球団	竜崎遼児		10年 standard 1巻(1988-05)→3巻(1978-08)	standard[通常版]/ジャンプ・コミックス 19冊 1978-08〜1988-12	sid24901/ed29264 standard[ジャンプ・コミックス] 19冊 1978-01〜1982-11-15 ISBN0 || sid24901/ed29265 standard[ジャンプコミックスセレクション] 5冊 1988-05〜1988-12 ISBN5
dokaben-puroyakyuuhen	ドカベン プロ野球編	水島新司		14年 standard 12巻(2012-01)→21巻(1998-11)	standard[通常版]/SHONEN CHAMPION COMICS 52冊 1998-11〜2012-09	sid51472/ed63569 standard[SAN-EI COMICS] 12冊 2026-01-16〜2026-06-22 ISBN12 || sid51472/ed63570 standard[SHONEN CHAMPION COMICS] 38冊 1972-11〜1980-05 ISBN10 || sid51472/ed63571 standard[少年チャンピオンコミックス] 47冊 1973-03〜2002-05 ISBN37 || sid51472/ed63572 bunkobon[秋田文庫] 84冊 1994-08〜2020-01 ISBN84 || sid51472/ed63573 standard[-] 21冊 1989-05〜1991-08-25 ISBN20 || sid51472/ed63574 standard[SHŌNEN CHAMPION COMICS] 3冊 2018-05〜2018-09 ISBN3 || sid51472/ed63575 standard[SHONEN CHAMPION COMICS 少年チャンピオン・コミックス] 1冊 2002-03-05〜2002-03-05 ISBN1 || sid51472/ed63576 bunkobon[秋田文庫 6-79] 1冊 2004-06〜2004-06 ISBN1 || sid51472/ed63577 bunkobon[秋田文庫 6-78] 1冊 2004-04〜2004-04 ISBN1 || sid51472/ed63578 bunkobon[秋田文庫 6-77] 1冊 2004-02〜2004-02 ISBN1 || sid51472/ed63579 bunkobon[秋田文庫 6-76] 1冊 2003-12〜2003-12 ISBN1 || sid51472/ed63580 standard[Akita top comics wide] 26冊 2003-01〜2010-03 ISBN26 || sid51472/ed63581 standard[Akita top comics] 10冊 2001-11〜2004-09 ISBN10 || sid51472/ed63582 standard[Akita handy comics] 1冊 2001-08〜2001-08 ISBN1 || sid51477/ed63594 standard[SHONEN CHAMPION COMICS] 14冊 2001-05-25〜2004-04-20 ISBN14 || sid51477/ed63595 standard[Akita top comics wide] 19冊 2011-02〜2012-09 ISBN19
dokonjougaeru	ど根性ガエル	吉沢やすみ		17年 bunkobon 1巻(1995-11-22)→3巻(1978-05)	standard[通常版]/ジャンプ・コミックス 27冊 1971-02-28〜1976-10 ; bunkobon[文庫版]/集英社漫画文庫 5冊 1978-05〜1995-11-22	sid11743/ed13685 standard[ジャンプ・コミックス] 27冊 1971-02-28〜1976-10 ISBN0 || sid11743/ed13686 standard[わんぱっくコミックス] 8冊 1988-10-10〜1989-01-10 ISBN0 || sid11743/ed13687 standard[青林堂B.O.D.シリーズ] 3冊 2002-11-21〜2002-11-21 ISBN0 || sid11743/ed13688 bunkobon[集英社漫画文庫] 4冊 1978-04〜1978-07 ISBN0 || sid11743/ed13689 bunkobon[集英社文庫コミック版] 2冊 1995-11-22〜1995-11-22 ISBN2
dokushin-apart-dokudami-sou	独身アパートどくだみ荘	福谷たかし		19年 standard 11巻(2003-09)→12巻(1984-10-31)	(本番yml無し)	
dooberuman-deka	ドーベルマン刑事	平松伸二		10年 standard 1巻(1987-06)→3巻(1977-01-31)	(本番yml無し)	
doro-fighter	ドロファイター	村上もとか		18年 standard 1巻(1999-12)→2巻(1981-04-15)	standard[通常版]/少年サンデーコミックス 7冊 1981-04-15〜1999-12	sid167/ed249 standard[MCCコミックス] 1冊 1999-12〜1999-12 ISBN1 || sid167/ed250 standard[少年サンデーコミックス] 7冊 1981-02-15〜1981-09-15 ISBN0
dororo	どろろ	手塚治虫		18年 standard 3巻(1990-11)→4巻(1972-06-10) / 18年 bunkobon 1巻(1994-04)→4巻(1976)	standard[通常版]/SUNDAY COMICS 4冊 1971-09-05〜1990-11 ; bunkobon[文庫版]/秋田漫画文庫 4冊 1976〜1994-04 ; standard[手塚治虫漫画全集(1981)]/手塚治虫漫画全集 4冊 1981-03-20〜1981-06-20 ; bunkobon[手塚治虫文庫全集(2009)]/手塚治虫文庫全集 2冊 2009-11〜2009-11	sid34913/ed41135 standard[手塚治虫トレジャー・ボックス] 2冊 2013-03-25〜2024-03 ISBN2 || sid34913/ed41136 bunkobon[秋田文庫] 3冊 1994-04〜1994-04 ISBN3 || sid34913/ed41137 bunkobon[秋田漫画文庫] 4冊 1976〜1976-09-20 ISBN0 || sid34913/ed41138 standard[Akita top comics wide] 4冊 2005-02〜2016-07 ISBN4 || sid34913/ed41139 standard[手塚治虫傑作選集] 3冊 1990-09〜1990-11 ISBN3 || sid34913/ed41140 standard[手塚治虫漫画全集] 4冊 1981-03-20〜1981-06-20 ISBN4 || sid34913/ed41141 standard[サンデーコミックス] 2冊 1972-01-15〜1972-06-10 ISBN1 || sid34913/ed41142 standard[SUNDAY COMICS] 2冊 1971-09-05〜1971-11-05 ISBN2 || sid34913/ed41143 bunkobon[手塚治虫文庫全集] 2冊 2009-11〜2009-11 ISBN2 || sid34913/ed41144 standard[Goma books] 1冊 2019-06〜2019-06 ISBN1 || sid34913/ed41145 standard[サンエイムック] 1冊 2015-03〜2015-03 ISBN1 || sid34913/ed41146 standard[Akita top comics] 4冊 2002-02〜2002-06 ISBN4 || sid34914/ed41147 standard[Akita top comics wide] 2冊 2018-12〜2019-01 ISBN2
dororon-enma-kun	ドロロンえん魔くん	永井豪・ダイナミック・プロ		12年 standard 1巻(1991-07-01)→3巻(1979-03)	standard[通常版]/COMIC MATE 3冊 1979-03〜1991-07-01 ; bunkobon[文庫版]/中公文庫コミック版 2冊 1996-03〜1996-03-18	sid47199/ed58086 standard[永井豪華版] 2冊 1999-05〜1999-05 ISBN2 || sid47199/ed58087 bunkobon[中公文庫コミック版] 2冊 1996-03〜1996-03-18 ISBN2 || sid47199/ed58088 standard[KPC] 2冊 2003-08〜2003-09 ISBN2 || sid47199/ed58089 standard[COMIC MATE] 3冊 1979-03〜1979-03-25 ISBN0 || sid47199/ed58090 standard[角川コミックス・エース] 1冊 2011-06-04〜2011-06-04 ISBN1 || sid47199/ed58091 standard[-] 1冊 1991-07〜1991-07 ISBN1 || sid143046/ed160690 standard[SUNWIDE COMICS] 2冊 1985-09-20〜1985-10-25 ISBN2
dounikanaru-hibi	どうにかなる日々	志村貴子		11年 standard 1巻(2015-04-13)→2巻(2004-05)	standard[通常版]/F×comics 2冊 2004-05〜2015-04-13	sid7638/ed8900 standard[F×comics] 1冊 2004-05〜2004-05 ISBN1 || sid7638/ed8901 standard[-] 2冊 2015-04〜2015-04 ISBN2
douseiai	同棲愛	水城せとな		10年 standard 1巻(2010-02-10)→9巻(2000-10-10)	standard[通常版]/Be-boy comics 11冊 2000-10-10〜2010-09	sid44753/ed54582 standard[Be-boy comics] 11冊 1996-07〜2001-07 ISBN11 || sid44753/ed54583 standard[Super be×boy comics] 8冊 2010-02〜2010-09 ISBN8
earthian	アーシアン	高河ゆん		10年 standard 1巻(2002-10)→4巻(1992-09-10)	standard[通常版]/ウイングスコミックス 5冊 1992-09-10〜2002-12 ; bunkobon[文庫版]/創美社コミック文庫 5冊 2007-10〜2008-01	sid43842/ed53321 bunkobon[創美社コミック文庫] 5冊 2007-10〜2008-01 ISBN5 || sid43842/ed53322 standard[-] 4冊 2002-10〜2002-12 ISBN4 || sid43842/ed53323 standard[ウイングスコミックス] 5冊 1988-04-05〜1994-07-15 ISBN5
eden-sugisaki	EDEN	千之ナイフ		12年 standard 1巻(2006-02)→2巻(1994-12-14)	(本番yml無し)	
ekiben-hitoritabi	駅弁ひとり旅	はやせ淳		16年 standard 8巻(2026-07-24)→9巻(2010-04)	standard[通常版]/ACTION COMICS 17冊 2006-04〜2026-07-24	sid4905/ed5825 standard[ACTION COMICS] 6冊 2019-03〜2025-07-01 ISBN6 || sid4911/ed5831 standard[ACTION COMICS] 6冊 2011-10〜2014-09 ISBN6 || sid4912/ed5832 standard[ACTION COMICS] 4冊 2013-09〜2014-05 ISBN4
eko-eko-azaraku	エコエコアザラク	古賀新一		17年 standard 12巻(1995-01-01)→13巻(1978-09)	standard[通常版]/少年チャンピオン・コミックス 19冊 1976-03〜1995-01-01	sid54689/ed67775 standard[少年チャンピオン・コミックス] 26冊 1976-03〜1979-07 ISBN6 || sid54689/ed67776 standard[秋田コミックス・セレクト] 4冊 1987-05-15〜1988-05-25 ISBN4 || sid54689/ed67777 standard[ホラーコミックススペシャル] 1冊 1996-10-25〜1996-10-25 ISBN1 || sid54689/ed67778 standard[HORROR COMICS SPECIAL] 4冊 1996-02-28〜1996-08-05 ISBN4 || sid54689/ed67779 standard[ザ・ホラーコミックス] 10冊 1998-07〜1999-02-01 ISBN10 || sid54689/ed67780 standard[Akita top comics wide] 1冊 2003-01〜2003-01 ISBN1 || sid54690/ed67781 standard[ATCW] 1冊 2019-08〜2019-08 ISBN1
elite-kyousoukyoku	エリート狂走曲	弓月光		16年 standard 1巻(1995-03-03)→5巻(1979-04)	standard[通常版]/マーガレット・コミックス 7冊 1979-04〜1995-06-02 ; bunkobon[文庫版]/集英社文庫コミック版 4冊 2001-12-17〜2002-02-20	sid16470/ed19331 standard[ジャンプ スーパー エース] 3冊 1995-04〜1995-06 ISBN3 || sid16470/ed19332 bunkobon[集英社文庫コミック版] 4冊 2001-12-17〜2002-02-20 ISBN4 || sid16470/ed19333 standard[マーガレット・コミックス] 2冊 1978-06〜1978-07-20 ISBN0 || sid16470/ed19334 standard[Jump super ace] 1冊 1995-03〜1995-03 ISBN1 || sid139309/ed156856 standard[マーガレットコミックス] 5冊 1978-08〜1979-05-30 ISBN0
