file	old_slug	new_slug	rakuten_kana
soraniochiru	soraniochiru	sora-ni-ochiru	ソラ ニ オチル
soukaikessen	soukaikessen	soukai-kessen	ソウカイ ケッセン
sukimameshi	sukimameshi	sukima-meshi	スキマ メシ
susumearajin	susumearajin	susume-arajin	ススメ アラジン
tamakikku	tamakikku	tama-kikku	タマ キック
tamayuradouji	tamayuradouji	tamayura-douji	タマユラ ドウジ
tennootoko	tennootoko	ten-no-otoko	テン ノ オトコ
tennotaka	tennotaka	ten-no-taka	テン ノ タカ
tetokuchi	tetokuchi	te-to-kuchi	テ ト クチ
tetsumenkurosu	tetsumenkurosu	tetsumen-kurosu	テツメン クロス
tetsuoberutta	tetsuoberutta	tetsu-o-berutta	テツ オ ベルッタ
tokai-retorosupekuteibu	tokai-retorosupekuteibu	tokai-retoro-supekuteibu	トウカイ レトロ スペクティブ
tokumoriueda-masashi	tokumoriueda-masashi	tokumori-ueda-masashi	トクモリ ウエダ マサシ
tomasonnowana	tomasonnowana	tomason-no-wana	トマソン ノ ワナ
tsutaeteiino	tsutaeteiino	tsutaete-iino	ツタエテ イイノ
tsuyumamire	tsuyumamire	tsuyu-mamire	ツユ マミレ
umagayuku	umagayuku	uma-ga-yuku	ウマ ガ ユク
uruwashijima-yumemonogatari	uruwashijima-yumemonogatari	uruwashijima-yume-monogatari	ウルワシジマ ユメ モノガタリ
yaminokao	yaminokao	yami-no-kao	ヤミ ノ カオ
yonmainokuin	yonmainokuin	yonmai-no-kuin	ヨンマイ ノ クイン
yorunokousaten	yorunokousaten	yoru-no-kousaten	ヨル ノ コウサテン
yorunoniji	yorunoniji	yoru-no-niji	ヨル ノ ニジ
yoshiwara-hanaoboro	yoshiwara-hanaoboro	yoshiwara-hana-oboro	ヨシワラ ハナ オボロ
yuikosutoorii	yuikosutoorii	yuiko-sutoorii	ユイコ ストーリー
yumemirukikai	yumemirukikai	yumemiru-kikai	ユメミル キカイ
zanmakenden	zanmakenden	zanma-kenden	ザンマ ケンデン
zetsumetsuishi	zetsumetsuishi	zetsumetsu-ishi	ゼツメツ イシ
