slug	title	authors	edition_type	imprint	publisher	vols	std_vols	ratio	cls	v1_date	v1_cover
shigatsu-wa-kimi-no-uso	四月は君の嘘	新川直司	deluxe	講談社コミックスデラックス. 月刊少年マガジン	講談社	6	11	0.55	圧縮(豪華本)	2024-12-17	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1977/9784065381977_1_44.jpg?_ex=200x200
shin-mobile-senki-gundam-wing	新機動戦記ガンダムW	ときた洸一	deluxe	コミックボンボンKCデラックス	講談社	1	3	0.33	圧縮(豪華本)	1996-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0020/9784063340020.jpg?_ex=300x300
shippo-ga-tomodachi	シッポがともだち	桜沢エリカ	deluxe	Youコミックスデラックス	集英社	2	7	0.29	圧縮(豪華本)	1989-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1302/9784088621302.jpg?_ex=200x200
shiroi-suit-yamato	白い戦士ヤマト	高橋よしひろ	deluxe	ジャンプ・コミックスデラックス	集英社	14	26	0.54	圧縮(豪華本)	1990-02-09	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/0250/2000004750250.jpg?_ex=300x300
shounan-junai-gumi	湘南純愛組!	藤沢とおる	deluxe	KCデラックス	講談社	2	31	0.06	圧縮(豪華本)	1991-03-16	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0631/06313212.jpg?_ex=200x200
shugo-chara	しゅごキャラ!	PEACH‐PIT・Peach-Pit	deluxe	KCデラックス	講談社	6	12	0.50	圧縮(豪華本)	2021-03-01	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9460/9784065229460.jpg?_ex=200x200
slam-dunk	SLAM DUNK	井上雄彦	deluxe	ジャンプ・コミックスデラックス	集英社	24	31	0.77	圧縮(豪華本)	2001-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1902/9784088591902.jpg?_ex=200x200
soul-eater	ソウルイーター	大久保篤	deluxe	ガンガンコミックスデラックス	スクウェア・エニックス	17	25	0.68	圧縮(豪華本)	2019-07-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1878/9784757561878.jpg?_ex=200x200
soul-eater-not	ソウルイーターノット!	大久保篤	deluxe	ガンガンコミックスデラックス	スクウェア・エニックス	3	5	0.60	圧縮(豪華本)	2020-07-17	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7559/9784757567559.jpg?_ex=200x200
st-pineapple-moon	St.パイナップル・ムーン	おおや和美	deluxe	Flower comics deluxe	小学館	2	5	0.40	圧縮(豪華本)	2003-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7714/9784091387714.gif?_ex=200x200
suki-shite-sadist	すきしてサディスト	新條まゆ	deluxe	Flower comics deluxe	小学館	1	2	0.50	圧縮(豪華本)	2002-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7233/9784091387233.gif?_ex=200x200
swan	SWAN	有吉京子	deluxe	PRINCESS COMICS DELUXE	秋田書店	14	21	0.67	圧縮(豪華本)	1992-01	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2754/9784253152754.jpg?_ex=200x200
swan-hakuchou-no-inori	SWAN 白鳥の祈り	有吉京子	deluxe	プリンセスコミックスデラックス	秋田書店	2	3	0.67	圧縮(豪華本)	1992-08-15	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2531/25315290.jpg?_ex=300x300
ten-yori-mo-hoshi-yori-mo	天よりも星よりも	赤石路代	deluxe	フラワーコミックスデラックス	小学館	4	8	0.50	圧縮(豪華本)	2000-02	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7015/9784091347015.gif?_ex=200x200
tenchi-o-kurau	天地を喰らう	本宮ひろ志・大沢在昌	deluxe	ジャンプ・コミックスデラックス	集英社	4	7	0.57	圧縮(豪華本)	1989-05-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3310/9784088583310.jpg?_ex=200x200
tenkirimatsu-yamigatari	天切り松闇がたり	幸野武史	deluxe	ジャンプ・コミックスデラックス	集英社	2	5	0.40	圧縮(豪華本)	2000-12-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1599/9784088591599.jpg?_ex=200x200
tokyo-juliet	東京ジュリエット	北川みゆき	deluxe	Flower comics deluxe	小学館	6	13	0.46	圧縮(豪華本)	2002-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8315/9784091388315.gif?_ex=200x200
tonari-no-kaibutsu-kun	となりの怪物くん	ろびこ	deluxe	KCデラックス	講談社	7	13	0.54	圧縮(豪華本)	2017-12-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6129/9784065106129.jpg?_ex=200x200
trouble-kick	トラぶる❤キック	高田りえ	deluxe	Flower comics deluxe	小学館	1	2	0.50	圧縮(豪華本)	2004-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0913/09134885.jpg?_ex=200x200
tsuki-ni-kiss-no-hanataba-o	月にキスの花束を	北川みゆき	deluxe	Flower comics deluxe	小学館	2	3	0.67	圧縮(豪華本)	2004-05-26	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0913/09138837.jpg?_ex=200x200
uwasa-no-himeko	うわさの姫子	藤原栄子	deluxe	Flower comics deluxe	小学館	4	31	0.13	圧縮(豪華本)	2002-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0913/09138761.jpg?_ex=200x200
violence-jack	バイオレンス・ジャック	永井豪・ダイナミックプロ	deluxe	KCデラックス	講談社	5	31	0.16	圧縮(豪華本)	1998-03-23	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9123/9784063199123.jpg?_ex=200x200
watashi-ga-mama-yo	わたしがママよ	森本梢子	deluxe	Youコミックスデラックス	集英社	4	5	0.80	圧縮(豪華本)	1991-10-28	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2019/9784088622019.jpg?_ex=200x200
yabu-to-hanamomo	やぶとはなもも	有間しのぶ	deluxe	バーズコミックスデラックス	幻冬舎コミックス	1	2	0.50	圧縮(豪華本)	2010-01-24	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3448/34481855.jpg?_ex=200x200
yamazaki-ginjirou	山崎銀次郎	本宮ひろ志	deluxe	ジャンプ・コミックス デラックス	集英社	3	5	0.60	圧縮(豪華本)	1987-05-08	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/1387/2000000231387.jpg?_ex=300x300
yami-no-alexandra	闇のアレキサンドラ	原ちえこ	deluxe	KCデラックス	講談社	3	4	0.75	圧縮(豪華本)	1999-10-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334235.jpg?_ex=200x200
youkai-shimatsunin-trauma	妖怪始末人トラウマ!!	魔夜峰央	deluxe	プリンセス・コミックスデラックス	秋田書店	4	6	0.67	圧縮(豪華本)	1991-06-15	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2709/9784253152709.jpg?_ex=200x200
zenigata-heiji-torimonohikae	銭形平次捕物控	シュガー佐藤・石森章太郎プロ・大石賢一	deluxe	Jump comics deluxe	集英社	3	17	0.18	圧縮(豪華本)	2004-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0885/08859423.jpg?_ex=300x300
21-emon	21エモン	藤子不二雄	kanzenban	藤子・F・不二雄大全集	小学館	2	3	0.67	圧縮(豪華本)	2010-08-30	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4371/9784091434371_1_21.jpg?_ex=300x300
ashita-no-joe	あしたのジョー	ちばてつや	kanzenban		講談社	16	20	0.80	圧縮(豪華本)	1993-02-19	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3558/9784063193558.jpg?_ex=300x300
byakuyou-no-musume	白妖の娘	木原敏江	kanzenban	愛蔵版コミックス	集英社	1	4	0.25	圧縮(豪華本)	2023-12-25	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0918/9784087920918_1_4.jpg?_ex=300x300
captain-ken	キャプテンKen	手塚治虫	kanzenban	手塚治虫漫画全集	講談社	2	3	0.67	圧縮(豪華本)	1978-01	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6258/9784061086258.jpg?_ex=300x300
chikai-no-makyuu	ちかいの魔球	ちばてつや	kanzenban	ちばてつや全集	ホーム社	5	10	0.50	圧縮(豪華本)	1995-01-18	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2214/9784834282214.jpg?_ex=300x300
chokkin	チョッキン	吾妻ひでお	kanzenban	完全版(復刊ドットコム)	復刊ドットコム	3	4	0.75	圧縮(豪華本)	2014-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1244/9784835451244.jpg?_ex=300x300
choujin-locke	超人ロック	聖悠紀	kanzenban	KING LEGEND	少年画報社	37	38	0.97	圧縮(豪華本)	2006-12-31	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7859/78592714.jpg?_ex=300x300
dr-slump	Dr.スランプ	鳥山明	kanzenban	完全版	集英社	15	18	0.83	圧縮(豪華本)	2006-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0887/08874174.jpg?_ex=300x300
eru-arukon-taka	エル・アルコン-鷹-	青池保子	kanzenban	完全版(2012)	秋田書店	1	2	0.50	圧縮(豪華本)	2012-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2643/9784253102643.jpg?_ex=300x300
fushigina-shounen-tezuka	ふしぎな少年	手塚治虫・辻真先	kanzenban	カラー完全版(2018)	小学館クリエイティブ	1	2	0.50	圧縮(豪華本)	2018-02-14	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3149/9784778033149_1_5.jpg?_ex=300x300
gekkou-kamen	月光仮面	みね武・桑田次郎・村山一夫・井上球二	kanzenban	マンガショップシリーズ	マンガショップ	6	7	0.86	圧縮(豪華本)	2009-07	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3246/9784775913246.jpg?_ex=300x300
hiba	飛葉	望月三起也	kanzenban	完全版	実業之日本社	1	2	0.50	圧縮(豪華本)	2018-07	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5024/9784408415024.jpg?_ex=300x300
kamui-den	カムイ伝	白土三平	kanzenban	カムイ伝全集	小学館	15	21	0.71	圧縮(豪華本)	2005-09-30	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8519/9784091878519_1_2.jpg?_ex=300x300
kamui-gaiden	カムイ外伝	白土三平	kanzenban	カムイ伝全集	小学館	11	20	0.55	圧縮(豪華本)	2006	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8786/9784091878786_1_2.jpg?_ex=300x300
kamuidendainibu	カムイ伝 第二部	白土三平	kanzenban	カムイ伝全集	小学館	12	22	0.55	圧縮(豪華本)	2006-04-27	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8663/9784091878663_1_2.jpg?_ex=300x300
kekkoukamen	けっこう仮面	永井豪・ダイナミックプロ	kanzenban	KCデラックス		1	5	0.20	圧縮(豪華本)	2003-07	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7449/9784063347449.jpg?_ex=300x300
oozora-no-chikai	大空のちかい	九里一平	kanzenban	マンガショップシリーズ	マンガショップ	3	4	0.75	圧縮(豪華本)	2007-10-02	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7759/77591189.jpg?_ex=300x300
sai	菜	ワタセセイゾウ	kanzenban		玄光社	6	12	0.50	圧縮(豪華本)	2025-07	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0265/9784768330265_1_9.jpg?_ex=300x300
sexaroid	セクサロイド	松本零士	kanzenban	完全版(小学館)	小学館	2	4	0.50	圧縮(豪華本)	2022-04-28	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3676/9784091793676_1_7.jpg?_ex=300x300
susume-pirates	すすめ!!パイレーツ	江口寿史	kanzenban	小学館クリエイティブ	小学館クリエイティブ	4	11	0.36	圧縮(豪華本)	2008-09-15	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0872/9784778030872_1_2.jpg?_ex=300x300
sutoppunii-chan	ストップ!にいちゃん	関谷ひさし	kanzenban	マンガショップシリーズ	マンガショップ	9	13	0.69	圧縮(豪華本)	2008-09-15	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2645/9784775912645.jpg?_ex=300x300
touch	タッチ	あだち充	kanzenban	少年サンデーコミックススペシャル	小学館	12	26	0.46	圧縮(豪華本)	2005-07-15	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0912/09127841.jpg?_ex=300x300
versailles-no-bara	ベルサイユのばら	池田理代子	kanzenban	完全版	集英社	9	14	0.64	圧縮(豪華本)	2005-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1333/9784088551333.jpg?_ex=300x300
wild-7	ワイルド7	望月三起也	kanzenban	復刊ドットコム	復刊ドットコム	16	48	0.33	圧縮(豪華本)	2017-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4849/9784835454849.jpg?_ex=300x300
yabou-no-oukoku	野望の王国	由起賢二	kanzenban	ニチブンコミックス	日本文芸社	9	28	0.32	圧縮(豪華本)	2002-09	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1249/9784537101249.jpg?_ex=300x300
big-x	ビッグX	手塚治虫	other	手塚治虫全集	金の星社	1	4	0.25	圧縮(豪華本)	2008-01	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1091/9784323071091.jpg?_ex=300x300
captain-ken	キャプテンKen	手塚治虫	other	少年サンデー版 限定版BOX(小学館クリエイティブ)	小学館クリエイティブ	1	3	0.33	圧縮(豪華本)	2012-02	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1992/9784778031992_1_5.jpg?_ex=300x300
eden-no-tohoku	エデンの東北	深谷かほる	other	BB collection	竹書房	1	22	0.05	圧縮(豪華本)	2013-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1776/9784812481776.jpg?_ex=300x300
gekkou-kamen	月光仮面	みね武・桑田次郎・村山一夫・井上球二	other	マンガショップシリーズ	マンガショップ	1	7	0.14	圧縮(豪華本)	2014-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4809/9784775914809.jpg?_ex=300x300
iga-no-kagemaru	伊賀の影丸	横山光輝	other	限定版BOX(小学館クリエイティブ)	小学館クリエイティブ	4	15	0.27	圧縮(豪華本)	2010-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1404/9784778031404_1_4.jpg?_ex=300x300
iga-no-kagemaru	伊賀の影丸	横山光輝	other	Rare mix comics	小学館クリエイティブ	2	15	0.13	圧縮(豪華本)	2011-11	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0312/9784778060312_1_5.jpg?_ex=300x300
ninja-senpuu	忍者旋風	白土三平	other	小学館叢書	小学館	2	4	0.50	圧縮(豪華本)	1995-11	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3658/9784091973658.gif?_ex=300x300
ninja-senpuu	忍者旋風	白土三平	other	未復刻集成(小学館クリエイティブ)	小学館クリエイティブ	1	4	0.25	圧縮(豪華本)	2010-09	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1473/9784778031473_1_3.jpg?_ex=300x300
rock-boukenki	ロック冒険記	手塚治虫	other	限定版BOX(小学館クリエイティブ)	小学館クリエイティブ	1	2	0.50	圧縮(豪華本)	2011-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1893/9784778031893_1_5.jpg?_ex=300x300
sanada-kenryuu	真田剣流	白土三平	other	小学館叢書	小学館	2	3	0.67	圧縮(豪華本)	1996-01-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3672/9784091973672.gif?_ex=300x300
sengoku-jieitai	戦国自衛隊	田辺節雄	other	Sebunコミックス	世界文化社	1	4	0.25	圧縮(豪華本)	1998-07	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/9944/2000002489944.jpg?_ex=300x300
shiroi-pilot	白いパイロット	手塚治虫	other	少年サンデー版 限定版BOX(小学館クリエイティブ)	小学館クリエイティブ	1	2	0.50	圧縮(豪華本)	2012-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2128/9784778032128_1_5.jpg?_ex=300x300
umeboshi-denka	ウメ星デンカ	篠田ひでお・藤子・F・不二雄・藤子不二雄	other	ぴっかぴかコミックス カラー版	小学館	1	3	0.33	圧縮(豪華本)	2006-01-05	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2310/9784091482310.gif?_ex=300x300
wild-cat	ワイルド・キャット	雨宮淳	other	プレイコミック・シリーズ	秋田書店	1	3	0.33	圧縮(豪華本)	2010-09	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0252/9784253250252.jpg?_ex=300x300
zenigata-heiji-torimonohikae	銭形平次捕物控	シュガー佐藤・石森章太郎プロ・大石賢一	other	Kibo comics カジュアルワイド	少年画報社	1	17	0.06	圧縮(豪華本)	2018-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6657/9784267906657.jpg?_ex=300x300
0	0戦はやと	辻なおき	shinsoban	マンガショップシリーズ	マンガショップ	2	5	0.40	圧縮(豪華本)	2005-06-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7759/77591042.jpg?_ex=300x300
0-shinohara	0課の女	篠原とおる	shinsoban	SPコミックス LEED CLASSIC SERIES	リイド社	3	6	0.50	圧縮(豪華本)	2017-03-23	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0402/9784845850402.jpg?_ex=300x300
1-2-no-1-rou	1・2の三四郎	小林まこと	shinsoban	KCスペシャル	講談社	12	15	0.80	圧縮(豪華本)	1988-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0610/06101382.jpg?_ex=300x300
1000-nen-joou	1000年女王	松本零士	shinsoban	小学館叢書	小学館	3	5	0.60	圧縮(豪華本)	1991-07-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2613/9784091972613.jpg?_ex=300x300
2001-ya-monogatari	2001夜物語	星野之宣	shinsoban	光文社コミック叢書「signal」	光文社	2	3	0.67	圧縮(豪華本)	2007-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3349/33490142.jpg?_ex=300x300
2001-ya-monogatari	2001夜物語	星野之宣	shinsoban	Signal special edition high-end	光文社	1	3	0.33	圧縮(豪華本)	2007-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3349/33490142.jpg?_ex=300x300
aa-hana-no-ouendan	嗚呼!!花の応援団	どおくまん	shinsoban	ホームコミックス	ホーム社	12	15	0.80	圧縮(豪華本)	1994-10-19	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1311/9784834231311.jpg?_ex=300x300
aa-hana-no-ouendan	嗚呼!!花の応援団	どおくまん	shinsoban	TOKUMA FAVORITE COMICS	徳間書店	6	15	0.40	圧縮(豪華本)	2007-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3958/9784197803958.jpg?_ex=300x300
ace-o-nerae	エースをねらえ!	山本鈴美香	shinsoban	HMB	ホーム社	10	17	0.59	圧縮(豪華本)	2002-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2291/9784834272291.jpg?_ex=300x300
ai-ga-yuku	愛がゆく	小山ゆう	shinsoban	スーパービジュアル・コミックス	小学館	6	12	0.50	圧縮(豪華本)	1996-08-15	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4019/9784091604019.gif?_ex=300x300
ai-no-aranjuez	愛のアランフェス	槇村さとる・横森理香	shinsoban	Queen's comics premium	集英社	5	7	0.71	圧縮(豪華本)	2003-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0886/08865169.jpg?_ex=300x300
ai-no-aranjuez	愛のアランフェス	槇村さとる・横森理香	shinsoban	Shueisha girls comics	集英社	3	7	0.43	圧縮(豪華本)	1989-09-05	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0060/9784088550060.jpg?_ex=300x300
akadou-suzunosuke	赤胴鈴之助	武内つなよし	shinsoban	小学館クリエイティブ復刻	小学館クリエイティブ	5	8	0.62	圧縮(豪華本)	2007-11-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7780/77803049.jpg?_ex=300x300
akagi	アカギ	福本伸行	shinsoban	バンブーコミックス	竹書房	1	36	0.03	圧縮(豪華本)	2000-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3773/9784812453773.jpg?_ex=300x300
akagi	アカギ	福本伸行	shinsoban	Bamboo comics	竹書房	1	36	0.03	圧縮(豪華本)	2006-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3352/9784812463352.jpg?_ex=300x300
akatsuki-sentoutai	あかつき戦闘隊	園田光慶	shinsoban	マンガショップシリーズ	マンガショップ	2	5	0.40	圧縮(豪華本)	2005-03-05	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7759/77591025.jpg?_ex=300x300
akumagari	悪魔狩り	戸土野正内郎	shinsoban	BLADE COMICS	マッグガーデン	6	7	0.86	圧縮(豪華本)	2009-01	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8612/86127584.jpg?_ex=300x300
angel	Angel	遊人	shinsoban	Nichibun comics	日本文芸社	5	7	0.71	圧縮(豪華本)	2006-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5371/53710555.jpg?_ex=300x300
angel	Angel	遊人	shinsoban	宙出版版(2007)	宙出版	3	7	0.43	圧縮(豪華本)	2007-11	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7767/77679394.jpg?_ex=300x300
angel	Angel	遊人	shinsoban	CHOCOLAT COMICS	心交社	1	7	0.14	圧縮(豪華本)	2007-09	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7781/77810420.jpg?_ex=300x300
angelique-kihara	アンジェリク	木原敏江	shinsoban	Princess comics alpha	秋田書店	4	5	0.80	圧縮(豪華本)	2014-05	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5478/9784253195478.jpg?_ex=300x300
anta-no-dairinin	あんたの代理人	高井研一郎・浅野拓	shinsoban	スーパー・ビジュアル・コミックス	小学館	3	6	0.50	圧縮(豪華本)	1993-05	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/7193/2000002067193.jpg?_ex=300x300
ao-no-jidai	青青の時代	山岸凉子	shinsoban	山岸凉子スペシャルセレクション		2	4	0.50	圧縮(豪華本)	2016-04-20	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6077/9784267906077.jpg?_ex=200x200
ariesu-no-otometachi	アリエスの乙女たち	里中満智子	shinsoban	KCスペシャル	講談社	4	7	0.57	圧縮(豪華本)	1983-09	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/7746/2000020977746.jpg?_ex=300x300
arinko-no-uta	アリンコの歌	ちばてつや	shinsoban	母と娘でみる漫画名作館	草の根出版会	2	3	0.67	圧縮(豪華本)	1988-10-05	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/8669/2000012998669.jpg?_ex=300x300
ashita-no-joe	あしたのジョー	ちばてつや	shinsoban		講談社	8	20	0.40	圧縮(豪華本)	2003-05-22	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7012/9784063347012.jpg?_ex=300x300
astro-kyuudan	アストロ球団	中島徳博	shinsoban	太田出版版(1999)	太田出版	3	19	0.16	圧縮(豪華本)	1999-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8723/87233445.jpg?_ex=300x300
bacchus	バッコス	白土三平	shinsoban	神話伝説シリーズ	小学館	1	4	0.25	圧縮(豪華本)	1991-01-01	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/6677/2000006056677.jpg?_ex=300x300
bad-da-ne-yoshio-kun	BADだねヨシオくん!	浅田弘幸	shinsoban	ジャンプ・コミックス	集英社	3	5	0.60	圧縮(豪華本)	1999-07	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7431/9784088727431.jpg?_ex=300x300
bakushou-suit-sd-gundam	爆笑戦士!SDガンダム	佐藤元	shinsoban	復刻版(復刊ドットコム)	復刊ドットコム	4	8	0.50	圧縮(豪華本)	2026-01-09	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9776/9784835459776_1_4.jpg?_ex=300x300
battle-thunder	バトルサンダー	島本和彦	shinsoban	KCフェニックス	講談社	2	3	0.67	圧縮(豪華本)	1998-12-18	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0632/06329023.jpg?_ex=300x300
beast-wars-2	ビーストウォーズⅡ	今木商事	shinsoban	復刊ドットコム	復刊ドットコム	1	2	0.50	圧縮(豪華本)	2023-09-20	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8984/9784835458984_1_4.jpg?_ex=300x300
black-jack	ブラック・ジャック	手塚治虫	shinsoban	少年チャンピオン・コミックス	秋田書店	17	25	0.68	圧縮(豪華本)	2004-11	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7515/9784253207515.jpg?_ex=300x300
black-jack	ブラック・ジャック	手塚治虫	shinsoban	1987年版	秋田書店	16	25	0.64	圧縮(豪華本)	1987-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9691/9784253099691.jpg?_ex=300x300
blue-sakisaka	BLUE	咲坂伊緒	shinsoban	Ohta comics	太田出版	1	6	0.17	圧縮(豪華本)	2006-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0218/9784778320218.jpg?_ex=300x300
blue-sakisaka	BLUE	咲坂伊緒	shinsoban	復刊ドットコム版	復刊ドットコム	1	6	0.17	圧縮(豪華本)	2018-02	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5587/9784835455587.jpg?_ex=300x300
blue-sakisaka	BLUE	咲坂伊緒	shinsoban	マーガレットコミックス	集英社	1	6	0.17	圧縮(豪華本)	2006-11-29	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0884/08846114.jpg?_ex=300x300
boku-no-shotaiken	ボクの初体験	弓月光	shinsoban	Jump super ace	集英社	2	3	0.67	圧縮(豪華本)	1995-07-09	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7591/9784420137591.jpg?_ex=300x300
burunga1sei	ブルンガ1世	手塚治虫	shinsoban	TEZUKA OSAMU THE COMPLETE WORKS	講談社	1	2	0.50	圧縮(豪華本)	2012-01	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8810/9784063738810_1_5.jpg?_ex=300x300
capeta	capeta	曽田正人	shinsoban	KCデラックス	講談社	16	32	0.50	圧縮(豪華本)	2024-12-17	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9653/9784065379653_1_2.jpg?_ex=300x300
captain	キャプテン	ちばあきお	shinsoban	ホームコミックス	ホーム社	18	26	0.69	圧縮(豪華本)	2009-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3983/9784834283983.jpg?_ex=300x300
