tier	len	has_caption	anilist_id	slug	title	current_synopsis
severe	12	yes	96924	banjou-no-polaris	盤上のポラリス	収録された読み切り作品。
severe	12	yes	104856	mushoku-tensei-4-koma-ni-nattemo-honki-dasu	無職転生～4コマになっても本気だす～	（特別収録2話を含む。）
severe	12	yes	104885	tsukigami-to-bonbon	憑き神とぼんぼん	塩翘アヤによる新作漫画。
severe	12	yes	105285	rokushou	ロクショウ!	（特別収録1話を含む。）
severe	12	yes	106435	chaser-game	チェイサーゲーム	様々なドラマを描く一編。
severe	12	yes	116626	obutsu-wa-shoudoku-desu	汚物は消毒です	読み切りを収録した一冊。
severe	12	yes	119366	jishohen	じしょへん	おまけの5話を含む短編。
severe	12	yes	121244	furachi-na-rinri-chan	ふらちな倫理ちゃん	短編を含むコメディ作品。
severe	12	yes	151525	hibi-ware-ningen	日々我人間	マンタマシリーズ第五弾。
severe	12	yes	185768	shukishuki-makkusu-heart	しゅきしゅきmaxハート♡	（特別収録3話を含む。）
severe	12	yes	193708	kimi-no-amasa-ja-tokimekanai	キミの甘さじゃときめかない	（特別収録6話を含む。）
severe	13	yes	101358	satsuten	さつてん!	『殺戮の天使』の4コマ版。
severe	13	yes	104670	strawberry	ストロベリー	風変わりな四人家族の物語。
severe	13	yes	104737	nemu-youko-to-zatsu-na-kusatachi	ねむようこと雑な草たち	ガーデニングをめぐる物語。
severe	13	yes	120684	pachinko	ぱちん娘(こ)。	パチンコをめぐる短編漫画。
severe	13	yes	121486	atarashii-kazoku-ga-dekimashita	あたらしい家族ができました。	番外編3話を収録した一作。
severe	13	yes	126054	harastration	ハラストレーション	番外編8話を収録した一作。
severe	13	yes	177383	koi-o-suru-nara-nidome-ga-joutou	恋をするなら二度目が上等	番外編3話を収録した一作。
severe	13	yes	197931	konna-ni-etchi-de-gomennasai	こんなにえっちでごめんなさい。	甘く描かれたロマンス短編。
severe	13	yes	203925	sorosoro-kekkonshimasenka	そろそろ結婚しませんか	番外編を1話収録した作品。
severe	14	yes	31096	girls-saurus-dx	ガールズザウルスDX	「ガールズザウルス」の続編。
severe	14	yes	96389	idol-master	アイドルマスター	読み切り作品を収録した一冊。
severe	14	yes	104808	nemesis-no-tsue	ネメシスの杖	医療をめぐるミステリー作品。
severe	14	yes	113007	shinitagari-shoujo-to-shokujinki-san	死にたがり少女と食人鬼さん	四つの番外編を収録した作品。
severe	14	yes	119084	mitokon-perestroika	ミトコンペレストロイカ	『ミトコン』のリメイク作品。
severe	14	yes	125402	takaoka-shinnou-koukaiki	高丘親王航海記	高丘親王の航海を描いた物語。
severe	14	yes	136311	houkago-wa-kimi-no-kanojo	放課後は君の彼女	5本の番外編を収録した作品。
severe	14	yes	176655	itadaki-no-lvitsa	頂のリヴィーツァ	頂のリヴィーツァを描く物語。
severe	14	yes	196320	inaka-isha-pochi	田舎医者/ポチ	ゲイ漫画の巨匠による短編集。
severe	14	yes	197404	hatsukoi-pure-family	初恋プレファミリー	初めての恋と家族を描く物語。
severe	15	yes	52925	avaaru-senki	アヴァール戦記	ナカムラチングによる新作漫画。
severe	15	yes	61929	mite-wa-ikenai	見てはいけない	今井ヤスエによるホラー短編集。
severe	15	yes	86949	korosensee-quest	殺せんせーQ!	『暗殺教室』のスピンオフ作品。
severe	15	yes	98109	melancholia	メランコリア	短編を集めたオムニバス作品集。
severe	15	yes	105223	doumo-fujoshi-desu	どうも、腐女子です。	腐女子の日常を描いたコメディ。
severe	15	yes	106866	sekai-world-sekai	セカイ、WORLD、世界	さまざまな物語を集めた作品集。
severe	15	yes	108313	days-gaiden	DAYS外伝	「DAYS」のスピンオフ作品。
severe	15	yes	111261	share	share	短編をいくつか収めた恋愛作品。
severe	15	yes	121579	sahara-sensei-to-toki-kun	佐原先生と土岐くん	佐原先生と土岐くんを巡る物語。
severe	15	yes	122978	satori-no-satoru	サトリのサトル	番外編を含むファンタジー作品。
severe	15	yes	132588	touken-shirako	凍犬しらこ	凍犬しらこを描く、超常の物語。
severe	15	yes	135825	taishou-love-katsudou	大正恋愛活動	大正時代を舞台にした恋愛物語。
severe	15	yes	138374	ikigami-sairin	イキガミ再臨	「イキガミ」の続編となる物語。
severe	15	yes	163511	kuuka-kuwareruka	喰うか、喰われるか	短編をまとめた成人向け作品集。
severe	15	yes	187699	toyotomi-hideyoshi-chiba-1996	豊臣秀吉	豊臣秀吉を題材にした学習漫画。
severe	15	yes	207343	wasureru-otoko	忘れる男	番外編2話を併録した恋愛作品。
severe	15	yes	207582	tsukanoma-no-koibito	つかの間の恋人	番外編を1話収録したロマンス。
severe	15	yes	212142	futari-hitotsu	ふたり、ヒトツ。	番外編2話を収録した恋愛物語。
severe	16	yes	64075	houkago-play-r	放課後プレイR	「放課後プレイ」シリーズの続編。
severe	16	yes	96441	koibito-ni-naru-jikan-desu	恋人になる時間です	読み切り作品を収録したロマンス。
severe	16	yes	104920	rongo	論語	孔子の『論語』を漫画化した作品。
severe	16	yes	112620	danshinchi	だんしんち	男ばかりの日常を描いたコメディ。
severe	16	yes	120890	honoo-no-mirage-reboot	炎の蜃気楼R(ミラージュリブート)	『炎の蜃気楼』の新たな翻案作品。
severe	16	yes	130972	meitantei-nanka-ja-nai	名探偵なんかじゃない!	高校生探偵をめぐるラブコメディ。
severe	16	yes	132099	colorful-kyuu-sheet	からふるキューシート!	色とりどりの日常を描くコメディ。
severe	16	yes	134304	wakiyaku-joshi-wa-kouhai-kun-ni-yowasaretai	脇役女子は後輩くんに酔わされたい	酒を愛する同僚たちを描いた物語。
severe	16	yes	134674	bara-to-tanpopo	ばらとたんぽぽ	ばらとたんぽぽをめぐる恋愛漫画。
severe	16	yes	158866	kuri-hiroi	クリヒロイ	短編漫画作品を収めたコメディ集。
severe	16	yes	197215	fukushuu-ga-tokenai	ふくしゅうがとけない	解けない復讐を描く、心理ドラマ。
severe	17	yes	31122	naisho-no-tsubomi	ないしょのつぼみ	巻ごとに異なるヒロインを描く物語。
severe	17	yes	52102	taiya	タイヤ	2010年に全編が復刊された作品。
severe	17	yes	55078	joukyou-hanabi	上京花日	ある書店の店長を主人公にした物語。
severe	17	yes	95661	tenohira-sherbet	てのひらシャーベット	読み切り作品を収めたロマンス短編。
severe	17	yes	105560	tenshi-no-3p-no-3p	天使の3P!の3P!!	『天使の3P!』のスピンオフ作品。
severe	17	yes	107355	gokudou-parasites	極道パラサイツ	警察官とヤクザの同居を描いた物語。
severe	17	yes	119576	yaochi-no-ran	ヤオチノ乱	現代を生きる忍者たちを描いた物語。
severe	17	yes	133272	persia-no-genjutsushi	ペルシャの幻術師	ペルシャを舞台にした幻術師の物語。
severe	17	yes	163100	jirai-ninja-ruru-no-shitsuren	地雷忍者るるの失恋	忍者の少女・るるの失恋を描く物語。
severe	17	yes	164508	peak-out	ピークアウト	『鉄楽レトラ』の作者が放つ最新作。
severe	17	yes	177498	gakuen-aidorumasutaa-gold-rush	学園アイドルマスターgold rush	夢が叶う学校に通う少女たちの物語。
severe	17	yes	203637	otsukiaishimasenka	お憑きあいしませんか	ホラーの読みきり作品を集めた一冊。
severe	17	yes	209627	yankee-kun-wa-otosaretai	ヤンキーくんは堕とされたい	やんちゃな魅力で贈る恋愛コメディ。
severe	18	yes	31443	short-program	ショート・プログラム	オムニバス形式で綴られる短編作品集。
severe	18	yes	40390	kiss-to-karada	キスとカラダ	さまざまな恋のかたちを描いた短編集。
severe	18	yes	64289	seitokai-no-nichijou	生徒会の日常	「生徒会の一存」のサイドストーリー。
severe	18	yes	89086	tokyo-ravens-sword-of-song	東京レイヴンズSword of Song	「東京レイヴンズ」のスピンオフ作品。
severe	18	yes	105101	super-no-onii-san	スーパーのお兄さん	コンビニで働く人々を描いたコメディ。
severe	18	yes	109254	hatsunetsu-libido	発熱リビドー	コメディとロマンスが彩る、恋の物語。
severe	18	yes	112340	sensei-niwa-koishinai	センセイには恋しない!?	教師をめぐる恋を描くラブストーリー。
severe	18	yes	113255	seifuku-duty	制服duty	女子高生たちの戦いの日々を描く物語。
severe	18	yes	120233	moimoi-suisui	もいもいスイスイ	おまけ1話を含む、ほのぼのコメディ。
severe	18	yes	127743	ao-no-iris	青のアイリス	ファンタジーと恋が彩る、一編の物語。
severe	18	yes	130077	saiko-tezuka2019	亜夜子	手塚治虫『奇子』のコミカライズ作品。
severe	18	yes	133877	busabusakunikarabusayoronokan	めちゃめちゃ!ブサイくん	おっとりした絵柄で贈るコメディ作品。
severe	18	yes	145136	muteki	ムテキ	ムテキは最強。何者にも止められない。
severe	18	yes	149164	immoral	インモラル	さまざまな男女の関係を描いた短編集。
severe	18	yes	154710	mortal-list	MORTAL LIST	謎が交錯する、心理サスペンスドラマ。
severe	18	yes	197548	nurse-no-chikara-plus	ナースのチカラplus	大ヒット作「ナースのチカラ」の続編。
severe	18	yes	201943	mahou-shoujo-wa-shibou-suru	魔法少女は死亡する	本編に番外編3話を加えて収めた一冊。
severe	18	yes	207314	i-m-your-prisoner	I'm your prisoner	囚われの身をめぐるロマンスコメディ。
severe	19	yes	45896	sengoku-yankee	戦国ヤンキー	日本の戦国時代を題材にしたギャグ漫画。
severe	19	yes	94096	oboreru-toiki-ni-amai-kiss	溺れる吐息に甘いキス	読み切り作品を収めた、ロマンス短編集。
severe	19	yes	107109	hanauta-record	はなうたレコード	小さな町を舞台にした、小さな物語たち。
severe	19	yes	109489	aishite-imasu-kyooko-san	愛しています、キョーコさん。	ある「ねじれた」関係を中心に描く物語。
severe	19	yes	120590	kurogane-kai	黒鉄・改	東巻けいによる原作漫画『黒鉄』の続編。
severe	19	yes	126222	inugami-ri	犬神Re	オリジナル漫画「犬神」のリメイク作品。
severe	19	yes	133825	darling-wa-72-sai	ダーリンは72歳	「ダーリンは70歳」シリーズの第3弾。
severe	19	yes	135363	tsuge-yoshiharu-taizen	つげ義春大全	数々の物語を収めた、つげ義春の作品集。
severe	19	yes	147565	maya-no-musume-wa-okusari-saite	魔夜の娘はお腐り咲いて	個性的な味わいで描かれるコメディ作品。
severe	19	yes	147753	sawaranaide-alpha-kun	さわらないで、αくん	ドラマチックな展開で綴られる恋愛作品。
severe	20	yes	43486	ohitori-sama-monogatari	おひとり様物語	毎話異なる女性を主人公に据えた、短編集。
severe	20	yes	95378	i-am-a-hero-in-osaka	アイアムアヒーローin OSAKA	「アイアムアヒーロー」のスピンオフ作品。
severe	20	yes	95980	chiguhagu-shoujo-no-dialogue	ちぐはぐ少女のダイアログ	ちぐはぐな少女たちの対話を描くコメディ。
severe	20	yes	103633	mizu-wa-umi-ni-mukatte-nagareru	水は海に向かって流れる	ひとつ屋根の下で暮らす、五人家族の物語。
severe	20	yes	106339	himitsu-no-ringo	ひみつの林檎	ひみつの林檎をめぐる物語を収めた作品集。
severe	20	yes	107272	otogi-no-mago	おとぎの孫	おとぎ話の世界を舞台にしたファンタジー。
severe	20	yes	107784	hana-buchou-52-to-kokono-chan-17	花部長（52）と心乃ちゃん（17）	おじいさんと女子高生の友情を描いた物語。
severe	20	yes	109372	ikari-no-roadshow	怒りのロードショー	短いエピソードでつづられるコメディ作品。
severe	20	yes	111142	shin-sakura-taisen-za-comic	新サクラ大戦the Comic	ゲーム『新サクラ大戦』を漫画化した作品。
severe	20	yes	114387	koi-binkan	恋、敏感。	挑発的な夫をめぐる、夏の恋を描いた作品。
severe	20	yes	117022	omawari-san-to-akujo-chan	おまわりさんと悪女ちゃん	巡査と悪女ちゃんを描くコメディ恋愛漫画。
severe	20	yes	122782	kusushi-no-hakushaku-reijou-wa-densetsu-no-koryuu-ni-aisareru	薬師の伯爵令嬢は伝説の仔竜に愛される	おまけ1話を含む、ファンタジーロマンス。
severe	20	yes	131936	hone-no-zui-made-aishitene	骨の髄まで愛してね	二人をめぐる、甘く可笑しなラブコメディ。
severe	20	yes	141193	oshi-kimono	推し着物	着物への愛をつづったスローライフな一冊。
severe	20	yes	141194	roriitameshi	ロリータ飯	ほのぼのとした味わいで贈るコメディ作品。
severe	20	yes	176534	tairan-sekigahara	大乱関ヶ原	関ヶ原の戦いの舞台裏を描く、歴史ドラマ。
severe	20	yes	203688	ikesugi-santsu	伊家杉さんっ!!	読み切り「おとな日記」を併録した作品集。
severe	21	yes	46038	toriyama-akira-marusaku-gekijou	鳥山明○作劇場	鳥山明の読み切り作品を数多く収めた短編集。
severe	21	yes	92409	kusemono-darling	くせものダーリン	「くせものダーリン」を含む読み切り作品集。
severe	21	yes	98057	dokoka-de-dareka-mo-tabete-iru	どこかでだれかも食べている	食をめぐる、心あたたまる物語を集めた一冊。
severe	21	yes	104787	kokoro-natsume-2023	こころ	夏目漱石の小説『こころ』を漫画化した一作。
severe	21	yes	104852	kokuhou-no-oisha-san	国宝のお医者さん	国宝の修復に携わる一人の男の姿を描く物語。
severe	21	yes	105308	sukuuuuto	すく～～～と!	バイクをこよなく愛する女子大生を描く物語。
severe	21	yes	105619	koisuru-futsukayoi	恋する二日酔い	さまざまな恋を描いた、短い恋物語の作品集。
severe	21	yes	119963	diana-artemis	ディアーナ&アルテミス	「月の平和を守る」ことを中心に据えた物語。
severe	21	yes	120678	ho-ki-bekakon	ホーキーベカコン	谷崎潤一郎『春琴抄』を原作とした恋愛作品。
severe	21	yes	123569	doku-o-kurawaba-kanojo-made	毒を喰らわば彼女まで	恋人をめぐる心理ドラマ。番外編を1話収録。
severe	21	yes	125174	goat-head	GOAT HEAD	アクションとホラー、SFが入り混じる一編。
severe	21	yes	126220	code-geass-hangyaku-no-lelouch-gaiden	コードギアス反逆のルルーシュ外伝	コードギアスの外伝。本編の裏側を描く物語。
severe	21	yes	126429	shanai-marriage-honey	社内マリッジハニー	社内結婚をめぐる甘く描かれるラブコメディ。
severe	21	yes	128542	kazoku-tantei-motonari-no-kareinaru-bouken	華族探偵素成の華麗なる冒険	「死神探偵シリーズ」を一冊にまとめた合本。
severe	21	yes	130932	kusano-to-nozomi	草野と希	草野と希が織りなす、不思議な味わいの物語。
severe	21	yes	132504	nitou-to-tazuka-no-nichijou	仁藤と田塚の日常	幼馴染である仁藤と田塚の日常を描いた物語。
severe	21	yes	152153	chiriakuta	チリアクタ	元ヤクザから漫画家に転身した男を追う物語。
severe	21	yes	185232	amemiya-kyoudai-no-kottou-file	雨宮兄弟の骨董事件簿	骨董を専門に扱う店を舞台にしたミステリー。
severe	21	yes	196273	vaanya-no-oishii-tabi-kitchen	ヴァーニャのおいしい旅キッチン	旅と料理が彩るファンタジー・スローライフ。
severe	21	yes	207921	parallel-first-love	パラレルファーストラブ	並行世界で繰り返される初恋を描くロマンス。
severe	22	yes	48392	aoharu-tetsudou	青春鉄道	日本の鉄道車両たちを擬人化して描くコメディ。
severe	22	yes	75767	manga-seibutsugaku	漫画生物学	手塚治虫が短い連載形式で生物学を教える一作。
severe	22	yes	91563	futari-wa-gozu-mezu	ふたりは牛頭馬頭!	「ふたりは牛頭馬頭！」を含む読み切り作品集。
severe	22	yes	92195	kangoku-no-rakuen	監獄の楽園	第1巻には番外編が収録されているミステリー。
severe	22	yes	95749	neko-no-kohana	ねこのこはな	猫のこはなの、のんびりとした日常を描く一作。
severe	22	yes	97103	zekkyou-gakkyuu-tensei	絶叫学級転生	『絶叫学級』の続編。学園を舞台にしたホラー。
severe	22	yes	97208	salaryman-kintarou-gojissai	サラリーマン金太郎五十歳	「サラリーマン金太郎」シリーズ、その第四弾。
severe	22	yes	99086	goshujin-sama-to-kemonomimi-no-shoujo-meru	ご主人様と獣耳の少女メル	獣の耳を持つメイドの少女と、その主人の物語。
severe	22	yes	105164	aan-chan-no-aan	あ～んちゃんのあ～ん	自分の名前を口にする少女を描いた4コマ漫画。
severe	22	yes	105227	shi-mo-mata-shisuru-mono-nareba	死もまた死するものなれば	迷宮のような事件に挑む探偵を描くミステリー。
severe	22	yes	111079	sukoshi-fushigi-na-komatsu-san	すこしふしぎな小松さん	SF小説に夢中な少女を主人公にしたコメディ。
severe	22	yes	113253	karigane	カリガネ	伊達政宗を主役に据えた、戦国時代の政の物語。
severe	22	yes	114816	mujin	MUJIN～無尽～	幕末を生きた剣客・伊庭八郎を描く歴史ドラマ。
severe	22	yes	117230	suicide-girl	スーサイドガール	光の少女が、世界の闇に立ち向かっていく物語。
severe	22	yes	117691	tenka-hyakken-gi	天華百剣-戯-	おまけ的なエピソードを含むファンタジー作品。
severe	22	yes	121541	ryuu-to-ichigo	龍と苺	14歳の少女が、将棋のプロの世界に挑む物語。
severe	22	yes	122784	harapeko-na-joushi-no-i-o-tsukamu-houhou	腹ぺこな上司の胃をつかむ方法	おまけ3話を含む、ファンタジー風味のドラマ。
severe	22	yes	122865	deshi-ga-kawaisugite-tsurai	弟子が可愛すぎてつらい	師匠と弟子をめぐるコメディ・ラブストーリー。
severe	22	yes	127626	instant-life	インスタントライフ	日常に不思議が入り込む、スローライフの一編。
severe	22	yes	133885	ore-dake-wa-yagizaka-sakura-o-suki-ni-naranai	俺だけは八木坂さくらを好きにならない	想いをめぐるすれ違いを描く、ラブコメの一編。
severe	22	yes	138735	kono-shakai-shugi-gourmet-ga-sugoi	この社会主義グルメがすごい!!	社会主義をテーマにしたグルメ・コメディ作品。
severe	22	yes	145132	datsugoku-gokko	脱獄ごっこ	同名のスマートフォンゲームを漫画化した作品。
severe	22	yes	163547	dainana-maouji-jirubagiasu-no-maou-keikoku-ki	第七魔王子ジルバギアスの魔王傾国記	第七魔王子ジルバギアスを巡る魔王傾国の物語。
severe	22	yes	194254	sadistic-open-mind	サディスティックオープンマインド	親密な男女の関係を描いた、おまけ収録の一作。
severe	22	yes	195379	iiko-desune-meirei-shitemo	いい子ですね、命令しても?	命令と従順をめぐる男女の関係を描いたドラマ。
severe	22	yes	196934	tsuki-to-pieta	月とピエタ	ある創作者の手から生まれた、月をめぐる物語。
severe	22	yes	210874	shinigami-wa-sasayaku	死神はささやく	ちゃおに掲載された短編ホラーを集めた作品集。
severe	23	yes	51303	shibuya-guardian-girls	渋谷ガーディアンガールズ	東京・渋谷を舞台に、二人の少女が悪と戦う物語。
severe	23	yes	71867	accel-world	あくちぇる・わーるど。	漫画・小説『アクセル・ワールド』の4コマ作品。
severe	23	yes	73823	yaba-koi	ヤバ恋	6人の作家による恋愛短編を収めたアンソロジー。
severe	23	yes	92968	seiyuu-mashimashi-club	声優ましまし倶楽部	トップ声優を目指す少女たちを描いた四コマ漫画。
severe	23	yes	99137	poro-no-ryuugakuki	ポロの留学記	魔界から人間界へやってきた悪魔を描くコメディ。
severe	23	yes	105611	draft-king	ドラフトキング	プロ野球のスカウトを題材に描いたスポーツ物語。
severe	23	yes	112211	tokimeki-tonight-etou-ranze-no-takarabako	ときめきトゥナイト江藤蘭世の宝箱	「ときめきトゥナイト」の番外編を集めた作品集。
severe	23	yes	113165	dorei-yuugi-guren	奴隷遊戯GUREN	番外編6話を収録した、アクション・ホラー作品。
severe	23	yes	114589	nekokareshi	猫彼氏	おまけとして二つの番外編を収録した、恋愛作品。
severe	23	yes	120349	haruta-nana-love-monogatarishuu	春田なな恋愛物語集	春田なな による短編をいくつか収録した作品集。
severe	23	yes	131993	koisuru-fukurahagi	恋するふくらはぎ	ふくらはぎをめぐる恋を描くコメディ・ロマンス。
severe	23	yes	136013	oya-ni-urareta-watashi-no-shiawase-na-kazoku	親に売られた私の幸せな家族	一人の青年が、ある少女の人生を変えていく物語。
severe	23	yes	137068	kozukuri-maeve	コヅクリメイヴ	5本の番外編を収録したコメディ・ロマンス作品。
severe	23	yes	147010	madan-no-ou-to-seisen-no-soumonken-karunuenan	魔弾の王と聖泉の双紋剣(カルンウェナン)	魔弾の王をめぐるアクション・ファンタジー漫画。
severe	23	yes	161111	kuni-o-ketta-otoko	国を蹴った男	戦国の世を駆け抜けた一人の男を描く歴史ドラマ。
severe	23	yes	166127	daikazoku-gohan-monogatari	大家族ごはん物語	昭和初期、大家族に生まれた少女を描く日常漫画。
severe	23	yes	171982	tepetoru	てぺとる!	天辺を取りに行く、笑いと涙の青春ラブコメディ。
severe	23	yes	187476	takamatsu-kun-ima-nanpaasento	高松くん、いま何%?	好感度を巡る駆け引きを軽妙に描くラブコメディ。
severe	23	yes	195586	karasu-wa-hibari-ni-amakute-amai	鴉は雲雀に甘くてあまい	鴉と雲雀をめぐる甘い恋を描いたロマンスドラマ。
severe	23	yes	198775	soredemo-tenshi-no-mama-de	それでも天使のままで	愛をテーマにした4編の短編を収めたロマンス集。
severe	23	yes	202485	yumejuuya	夢十夜	夏目漱石の連作短編「夢十夜」を漫画化した作品。
severe	23	yes	202730	watashi-no-naka-de-ichiban-ni-hikaru-anata	私の中でいちばんに光る、貴方	「私のエトワール」などの恋愛短編を収めた一冊。
severe	23	yes	205624	marry-merry-happy-end	メリーメリーハッピーエンド	二話分の番外編を収録した、心に残る恋愛ドラマ。
severe	23	yes	207586	yuutousei-no-seifuku-no-naka	優等生の制服のなか	優等生の制服のなかに秘めた想いを描くロマンス。
severe	23	yes	207902	under-xground-grand-hotel-spell-on-you	アンダーグラウンドホテルspell on you	ホテルを舞台に紡がれる、恋と人間模様のドラマ。
severe	24	yes	53538	tobira-o-akeru-kaze	扉をあける風	「うるわしの英国シリーズ」の第5作にあたる作品。
severe	24	yes	54050	sayonara-caravan	さよならキャラバン	さまざまな恋模様を描いた読み切りを集めた短編集。
severe	24	yes	61289	chibimiku-san	ちびミクさん	初音ミクの妹「ちびミク」を主役にした4コマ漫画。
severe	24	yes	94097	s-dake-ja-tarinai	Sだけじゃたりない	「Sだけじゃたりない」を表題作とする恋愛短編集。
severe	24	yes	95102	strike-uitchiizu-gekijouban	ストライクウィッチーズ劇場版	「ストライクウィッチーズ」劇場版のパロディ作品。
severe	24	yes	101529	ribunesu	りぶねす	妹のためなら何でもする、無敵の兄を描くコメディ。
severe	24	yes	105737	yeah-ohitori-sama	yeah!おひとりさま	一人でいる女性への憧れを綴ったコミックエッセイ。
severe	24	yes	106058	maru-sensei-no-marumaru-ga-kawaii	丸先生の○○がかわいい。	自己評価の低い、人気者の教師の日常を描いた物語。
severe	24	yes	111497	sono-saki-wa-private-desu	その先はプライベートです	番外編3話を収録した、コメディ・ラブストーリー。
severe	24	yes	113795	oatsui-noga-osuki	お熱いのがお好き?	風邪をきっかけに燃え上がる恋。大胆に、熱く——。
severe	24	yes	113935	kibi-sama-to-isshokenmei	きび様といっしょ	きび様と過ごす、ファンタジー風味の日常コメディ。
severe	24	yes	115249	fuwafuwa-yurete-harahara-ochite	ふわふわゆれて、はらはらおちて	数見一実と北川みゆきによる4つのラブストーリー。
severe	24	yes	124620	hiyahhaa-dayo-funasshii	ヒャッハーだよ♪ふなっしー	梨の妖精ふなっしーを主役にした4コマギャグ漫画。
severe	24	yes	124856	ano-tsuki-ni-mukatte-ute	あの月に向かって打て!	とある学校の野球部を舞台に描かれるスポーツ漫画。
severe	24	yes	127672	tantei-wa-mou-shinde-iru-za-lost-memory	探偵はもう、死んでいる。-the lost memory-	ライトノベル原作・第2部をコミカライズした作品。
severe	24	yes	132391	sabiiro-no-armor-reimei	錆色のアーマ-黎明-	錆色の鎧をめぐる、アクションファンタジードラマ。
severe	24	yes	133349	shishimai-girl	ししまいガール	獅子舞に夢中の少女を描く物語。コメディロマンス。
severe	24	yes	150844	osaka-battle-royal	大阪バトルロイヤル	三話の番外編を含む、大阪を舞台にしたアクション。
severe	24	yes	153220	chijou-no-rakuen	地上の楽園	「地上の楽園」をはじめとする短編を集めた作品集。
severe	24	yes	155555	momo-no-ijutsushi	モモの医術史	若き王室の医術師が各地を旅する冒険ファンタジー。
severe	24	yes	164210	gakumon-no-susume	学問のすすめ	福沢諭吉の名著『学問のすすめ』を漫画化した作品。
severe	24	yes	174642	ookami-no-ko	オオカミの子	魔界からやってきた者を描くコメディファンタジー。
severe	24	yes	198645	yankee-oshi-to-unmei-to-deau	ヤンキー、推しと運命と出会う	x上で自費発表されたのち、商業出版化された作品。
severe	24	yes	201980	isakai-harem	諍い・ハーレム	五話の番外編を含む、ファンタジー・ハーレム作品。
severe	24	yes	205223	mujihi-na-yoru-ni	無慈悲なヨルに	無慈悲な夜をめぐる恋模様を描いたコメディドラマ。
severe	25	yes	32983	tekken-chinmi-gaiden	鉄拳チンミ外伝	短編を収録した「鉄拳チンミ」外伝のアクション作品。
severe	25	yes	46074	koi-to-sentimentalism	恋とセンチメンタリズム	恋とセンチメンタリズムを描いた物語。番外編を含む。
severe	25	yes	52193	horobishi-kemonotachi-no-umi	滅びし獣たちの海	海を共通の主題として結ばれた、5編からなる短編集。
severe	25	yes	87411	kakao-79-paasento	カカオ79%	幼なじみの二人が過ごす、ほろ苦い青春を描いた物語。
severe	25	yes	90871	abauto-asagiri-daikatsuyakuhen	A-BOUT! 朝桐大活躍編	三峰での朝桐の2年目を描く、アクション・コメディ。
severe	25	yes	92543	jc-no-life	JC no Life!	現代を舞台に、ある少女の秘密の物語を描くコメディ。
severe	25	yes	99271	kakegurui-kakko-kari	賭ケグルイ (仮)	「賭ケグルイ」のユーモラスな4コマスピンオフ作品。
severe	25	yes	103069	guraburutsu	ぐらぶるっ!	『グランブルーファンタジー』の公式4コマパロディ。
severe	25	yes	104725	warui-ko-demo-iino	悪い子でもいいの	高校生に恋する女子小学生を描いた、ラブストーリー。
