slug	頁題	頁最大巻	巻	isbn	発売日	楽天題	楽天副題	楽天著者	出版社	レーベル	見送り理由
inishie-no-midori-fukaki-chi-ni	いにしえの緑深き地に	1	2	9784056016208	1997-09-26	いにしえの緑深き地に（2）		速水翼	Gakken	ピチコミックス	G2:レーベル不一致(ピチコミックス≠ノーラコミックス)
inko-demo-seishun-shitai	インコでも青春したい	2	3	9784832206397	2026-08-03	インコでも青春したい　3		やまだごまち	芳文社	芳文社コミックス　FUZコミックス	G2:レーベル不一致(芳文社コミックス　FUZコミックス≠FUZ comics)
inkuiro-no-yoku-o-haku	インク色の欲を吐く	2	3	9784047381216	2024-11-15	インク色の欲を吐く　3		梅ノ木　びの	KADOKAWA	ハルタコミックス	G2:レーベル不一致(ハルタコミックス≠HARTA COMIX)
izumi-chan-gurafutei	いずみちゃんグラフティー	3	4	9784420130868		いずみちゃんグラフティー（4）		金井たつお	集英社	ジャンプスーパーコミックス	G2:レーベル不一致(ジャンプスーパーコミックス≠Jump super ace) / G3:日付逆行(<1992-02)
jitsuroku-rape-saiban	実録レイプ裁判	3	4	9784575828405	2003-05	実録レイプ裁判（4）		熊谷くにを/宇野津光緒	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
jitsuroku-rape-saiban	実録レイプ裁判	3	5	9784575829518	2004-03	実録レイプ裁判（5）		熊谷くにを/宇野津光緒	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
jitsuroku-rape-saiban	実録レイプ裁判	3	6	9784575829945	2004-07	実録レイプ裁判（6）		熊谷くにを/宇野津光緒	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
jitsuroku-rape-saiban	実録レイプ裁判	3	7	9784575833089	2006-11	実録レイプ裁判（7）		熊谷くにを/宇野津光緒	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
jitsuroku-rape-saiban	実録レイプ裁判	3	8	9784575833218	2007-01	実録レイプ裁判（8）		熊谷くにを/宇野津光緒	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
jitsuzai-nyoobo-yoshiesannikki	実在ニョーボよしえサン日記	2	3	9784812470190	2008-12	実在ニョーボよしえサン日記（3）		須賀原洋行	竹書房	バンブーコミックス	G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
jitsuzai-nyoobo-yoshiesannikki	実在ニョーボよしえサン日記	2	4	9784812472224	2010-01	実在ニョーボよしえサン日記（4）		須賀原洋行	竹書房	バンブーコミックス	G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
jitsuzai-nyoobo-yoshiesannikki	実在ニョーボよしえサン日記	2	5	9784812476345	2011-07	実在ニョーボよしえサン日記（5）		須賀原洋行	竹書房	バンブーコミックス	G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
junjou-etching	純情エッチング	3	4	9784832297425	2026-08-10	純情エッチング　4		まめ猫	芳文社	まんがタイムKRコミックス　フォワードコミックス	G2:レーベル不一致(まんがタイムKRコミックス　フォワードコミックス≠Manga time KR comics. Kirara menu)
juppon-onee-sama	ジュッポン!お姉さま	1	2	9784575822342	1997-04-14	ジュッポン！お姉さま（2）		坂辺周一	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
kaikan-virgin-harem	快感バージンハーレム	2	3	9784537129823	2012-12-27	快感バージンハーレム（3）		鈴井アラタ	日本文芸社	ニチブン・コミックス	G2:レーベル不一致(ニチブン・コミックス≠Mini love comics)
kaishain-no-merodii	かいしゃいんのメロディー	2	5	9784812454077	2000-06-27	かいしゃいんのメロディー（5）		大橋ツヨシ	竹書房	バンブーコミックス	G1:主版が別版(bunkobon) / G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
kaishain-no-merodii	かいしゃいんのメロディー	2	6	9784812456255	2002-02	かいしゃいんのメロディー（6）		大橋ツヨシ	竹書房	バンブーコミックス	G1:主版が別版(bunkobon) / G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
kaishain-no-merodii	かいしゃいんのメロディー	2	7	9784812458297	2003-07	かいしゃいんのメロディー（7）		大橋ツヨシ	竹書房	バンブーコミックス	G1:主版が別版(bunkobon) / G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
kamunagara	カムナガラ	4	7	9784785924362	2004-06	カムナガラ（7）		やまむらはじめ	少年画報社	ヤングキングコミックス	G1:主版が別版(deluxe) / G2:レーベル不一致(ヤングキングコミックス≠YKコミックス)
kamunagara	カムナガラ	4	8	9784785925260	2005-04	カムナガラ（8）		やまむらはじめ	少年画報社	ヤングキングコミックス	G1:主版が別版(deluxe) / G2:レーベル不一致(ヤングキングコミックス≠YKコミックス)
kamunagara	カムナガラ	4	9	9784785926090	2006-02	カムナガラ（9）		やまむらはじめ	少年画報社	ヤングキングコミックス	G1:主版が別版(deluxe) / G2:レーベル不一致(ヤングキングコミックス≠YKコミックス)
kamunagara	カムナガラ	4	10	9784785926359	2006-04	カムナガラ（10）		やまむらはじめ	少年画報社	ヤングキングコミックス	G1:主版が別版(deluxe) / G2:レーベル不一致(ヤングキングコミックス≠YKコミックス)
kangoshi-misaki	看護師みさき!	2	3	9784420150798	2006-01	看護師みさき！　3		池田　みゆ	創美社	オフィスユーコミックス	G2:レーベル不一致(オフィスユーコミックス≠office YOU COMICS)
kanpachi	かんぱち	8	9	9784758065320	2015-07-27	かんぱち（9）		結城心一/武梨えり	一迅社	IDコミックス　REXコミックス	G2:レーベル不一致(IDコミックス　REXコミックス≠Rex comics)
kanpachi	かんぱち	8	10	9784758066075	2016-07-27	かんぱち（10）		結城心一/武梨えり	一迅社	IDコミックス　REXコミックス	G2:レーベル不一致(IDコミックス　REXコミックス≠Rex comics)
karan-2001	KARAN	1	2	9784091691934	2001-08	Karan（2）		石塚夢見	小学館	ジュディーコミックス	G2:レーベル不一致(ジュディーコミックス≠Judy comics)
kashimashi-meshi	かしましめし	6	7	9784396750626	2024-12-06	かしましめし（7）		おかざき 真里	祥伝社	FEEL　コミックス	G2:レーベル不一致(FEEL　コミックス≠FC)
kasou-kairou	仮想回廊	1	2	9784403670084	2001-02	仮想回廊（2）		沢田翔	新書館	ウイングスコミックス	G2:レーベル不一致(ウイングスコミックス≠Wings comics)
katei-kyoushi-miki	家庭教師Miki	1	2	9784575826593	2002-03	家庭教師Miki（2）		梅谷ケンヂ	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
katte-ni-shiyagare-1991	勝手にしやがれ	0	2	9784796241656	1992-06-16	勝手にしやがれ（2）		末松正博	スコラ	バーガーSC	G1:standard版なし
kawaii-joushi-o-komarasetai	可愛い上司を困らせたい	7	8	9784832259546	2024-10-07	可愛い上司を困らせたい　8		タチバナロク	芳文社	まんがタイムコミックス	G2:レーベル不一致(まんがタイムコミックス≠Manga time comics)
kazahana-no-fu	風花の賦	1	2	9784253091466	1988-05-27	風花の賦（2）		田辺真由美	秋田書店	ボニータコミックス	G2:レーベル不一致(ボニータコミックス≠BONITA COMICS)
kekkon-love	結婚×レンアイ。	9	10	9784592156000	2024-12-05	結婚×レンアイ。 10		萩尾 彬	白泉社	白泉社レディース・コミックス	G2:レーベル不一致(白泉社レディース・コミックス≠HLC Silky presents)
kemono-to-chat	けものとチャット	6	7	9784812476871	2011-11	けものとチャット（7）		みずしな孝之	竹書房	バンブーコミックス	G2:レーベル不一致(バンブーコミックス≠BANBOO COMICS)
kimi-ni-aisarete-itakatta	君に愛されて痛かった	9	10	9784253013048	2026-07-17	君に愛されて痛かった　10		知るかバカうどん	秋田書店	ヤングチャンピオン・コミックス	G2:レーベル不一致(ヤングチャンピオン・コミックス≠Bunch comics)
kinpeibai-watanabe	金瓶梅	8	12	9784575940985	2007-06	金瓶梅（12）		わたなべまさこ	双葉社	アクションコミックス	G1:主版が別版(bunkobon) / G2:レーベル不一致(アクションコミックス≠ナイト・コミックス)
kinpeibai-watanabe	金瓶梅	8	13	9784575941098	2007-07	金瓶梅（13）		わたなべまさこ	双葉社	アクションコミックス	G1:主版が別版(bunkobon) / G2:レーベル不一致(アクションコミックス≠ナイト・コミックス)
kirakira-fizz	キラキラフィズ	1	2	9784812456347	2002-04	キラキラフィズ（2）		有間しのぶ	竹書房	バンブーコミックス	G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
kirin-1996	きりん	3	4	9784821195749	1997-05-21	きりん（4）		坂口いく	ぶんか社	ぶんか社コミックス	G2:レーベル不一致(ぶんか社コミックス≠Bunkasha comics young teioh series)
kiyou-binbou-oji-san-no-isekai-sai-bouken	器用貧乏おじさんの異世界再冒険	1	2	9784592166740	2024-10-29	器用貧乏おじさんの異世界再冒険 2		西川 秀明	白泉社	ヤングアニマルコミックス	G2:レーベル不一致(ヤングアニマルコミックス≠YOUNG ANIMAL COMICS)
kizuguchi-to-houtai	傷口と包帯	5	1	9784065376928	2024-11-15	傷口と包帯（1）		七井 海星	講談社	KCデラックス	G2:レーベル不一致(KCデラックス≠講談社)
kizuguchi-to-houtai	傷口と包帯	5	2	9784065388273	2025-04-16	傷口と包帯（2）		七井 海星	講談社	KCデラックス	G2:レーベル不一致(KCデラックス≠講談社)
kogitsune-warawara-inarigami-no-makanai-meshi-itadakimasu	こぎつね、わらわら稲荷神のまかない飯いただきますっ!	5	6	9784758086073	2024-10-31	こぎつね、わらわら　稲荷神のまかない飯　いただきますっ！ 　6巻		西実 さく/松幸 かほ/テクノサマタ	一迅社	ZERO-SUMコミックス	G2:レーベル不一致(ZERO-SUMコミックス≠IDコミックス)
koharu-hiyori-mizuki	こはるびより	5	6	9784048687836	2010-07-27	こはるびより（6）		みづき　たけひと	KADOKAWA	電撃コミックス	G2:レーベル不一致(電撃コミックス≠DENGEKI COMICS)
koharu-hiyori-mizuki	こはるびより	5	7	9784048861717	2011-12-17	こはるびより（7）		みづき　たけひと	KADOKAWA	電撃コミックス	G2:レーベル不一致(電撃コミックス≠DENGEKI COMICS)
koi-ha-itsumo-amando-pink	恋はいつもアマンドピンク	4	5	9784575931266	1988-07-19	恋はいつもアマンドピンク（5）		赤星たみこ	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
koisuru-konbini	恋するコンビニ	2	3	9784777191109	2009-10	恋するコンビニ　3		山口　奈々/Ｋａｒｅｎ	ゴマブックス	おりおん☆ＣＯＭＩＣＳ	G2:レーベル不一致(おりおん☆ＣＯＭＩＣＳ≠Goma comics)
koizora	恋空	3	4	9784575333565	2008-03	恋空（4）	切ナイ恋物語	羽田伊吹/美嘉	双葉社	ジュールコミックス　ｃｏｍｉｃ魔法のｉらんど	G2:レーベル不一致(ジュールコミックス　ｃｏｍｉｃ魔法のｉらんど≠Comic魔法のiらんどseries)
koizora	恋空	3	5	9784575333626	2008-06	恋空（5）	切ナイ恋物語	羽田伊吹/美嘉	双葉社	ジュールコミックス　ｃｏｍｉｃ魔法のｉらんど	G2:レーベル不一致(ジュールコミックス　ｃｏｍｉｃ魔法のｉらんど≠Comic魔法のiらんどseries)
koizora	恋空	3	6	9784575333688	2008-08	恋空（6）	切ナイ恋物語	羽田伊吹/美嘉	双葉社	ジュールコミックス　ｃｏｍｉｃ魔法のｉらんど	G2:レーベル不一致(ジュールコミックス　ｃｏｍｉｃ魔法のｉらんど≠Comic魔法のiらんどseries)
koizora	恋空	3	7	9784575333787	2008-12	恋空（7）	切ナイ恋物語	羽田伊吹/美嘉	双葉社	ジュールコミックス　ｃｏｍｉｃ魔法のｉらんど	G2:レーベル不一致(ジュールコミックス　ｃｏｍｉｃ魔法のｉらんど≠Comic魔法のiらんどseries)
koizora	恋空	3	8	9784575333817	2009-02	恋空（8）	切ナイ恋物語	羽田伊吹/美嘉	双葉社	ジュールコミックス　ｃｏｍｉｃ魔法のｉらんど	G2:レーベル不一致(ジュールコミックス　ｃｏｍｉｃ魔法のｉらんど≠Comic魔法のiらんどseries)
koizora	恋空	3	9	9784575333886	2009-06	恋空（9）	切ナイ恋物語	羽田伊吹/美嘉	双葉社	ジュールコミックス　ｃｏｍｉｃ魔法のｉらんど	G2:レーベル不一致(ジュールコミックス　ｃｏｍｉｃ魔法のｉらんど≠Comic魔法のiらんどseries)
koizora	恋空	3	10	9784575333947	2009-08	恋空（10）	切ナイ恋物語	羽田伊吹/美嘉	双葉社	ジュールコミックス　ｃｏｍｉｃ魔法のｉらんど	G2:レーベル不一致(ジュールコミックス　ｃｏｍｉｃ魔法のｉらんど≠Comic魔法のiらんどseries)
kokushi-no-shima	黒祠の島	0	3	9784344806931	2006-02	黒祠の島（3）		山本小鉄子/小野不由美	幻冬舎コミックス	バーズコミックススペシャル	G1:standard版なし
konbini-yakin-no-akuma-chan	コンビニ夜勤のあくまちゃん	2	3	9784832295841	2024-10-25	コンビニ夜勤のあくまちゃん　3		なじみ	芳文社	まんがタイムKRコミックス	G2:レーベル不一致(まんがタイムKRコミックス≠Kirara menu)
kongetsu-no-wanko-seikatsu	今月のわんこ生活	1	2	9784886534903	2011-09	今月のわんこ生活（2）		遠藤淑子	秋水社	ダイトコミックス	G2:レーベル不一致(ダイトコミックス≠Daito comics)
konyaku-o-haki-sareta-akuyaku-reijou-wa-kouya-ni-ikiru	婚約を破棄された悪役令嬢は荒野に生きる。	3	4	9784824203205	2024-11-05	婚約を破棄された悪役令嬢は荒野に生きる。（4）		吉井あん/中野るり/SORAJIMA	一二三書房	ラワーレコミックス＋	G2:レーベル不一致(ラワーレコミックス＋≠LAVARE comics plus)
kosuchu	コスちゅ!	1	2	9784758080804	2010-05	コスちゅ！（2）		一葵さやか	一迅社	IDコミックス　4コマKINGSぱれっとコミックス	G2:レーベル不一致(IDコミックス　4コマKINGSぱれっとコミックス≠4コマkingsぱれっとcomics)
kosuchu	コスちゅ!	1	3	9784758081160	2011-03-25	コスちゅ！（3）		一葵さやか	一迅社	IDコミックス　4コマKINGSぱれっとコミックス	G2:レーベル不一致(IDコミックス　4コマKINGSぱれっとコミックス≠4コマkingsぱれっとcomics)
kotori-rider-wa-tokai-de-kurashitai-mofumofu-na-aibou-to-nonbiri-isekai-bouken-ki	小鳥ライダーは都会で暮らしたい : モフモフな相棒と、のんびり異世界冒険記	1	2	9784801990029		小鳥ライダーは都会で暮らしたい モフモフな相棒と、のんびり異世界冒険記（2）		小鳥屋エム/凱子包/藤島真ノ介	竹書房	バンブーコミックス 異世界BC	G3:日付逆行(<2026-04)
koufuku-no-susume	幸福のススメ	4	5	9784812451540	1997-11-27	幸福のススメ（5）		伊藤理佐	竹書房	バンブーコミックス	G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
kurasshu-masamune	クラッシュ!正宗	10	11	9784575823370	1998-05-12	クラッシュ！正宗（11）		たなか亜希夫/小林信也	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
kurasshu-masamune	クラッシュ!正宗	10	12	9784575823462	1998-06-10	クラッシュ！正宗（12）		たなか亜希夫/小林信也	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
kureyon-shin-chan-no-tanoshii-zo-eikaiwa	クレヨンしんちゃんの楽しいゾ英会話	3	1	9784575933550	1994-03-28	クレヨンしんちゃんの楽しいゾ英会話（1）		臼井儀人/トム・ステイブルフォード	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
kureyon-shin-chan-no-tanoshii-zo-eikaiwa	クレヨンしんちゃんの楽しいゾ英会話	3	4	9784575934588	1996-07-18	クレヨンしんちゃんの楽しいゾ英会話（4）		臼井儀人/トム・ステイブルフォード	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
kuro-no-kami-sama-to-shiro-no-adeputo	黒のカミサマと白のアデプト	2	3	9784046803092		黒のカミサマと白のアデプト　3		柴嶺タカシ	KADOKAWA		G3:日付逆行(<2020-03)
kyudo-kun	球道くん	19	20	9784091500205		球道くん（20）		水島新司	小学館	少年ビック・コミックス	G2:レーベル不一致(少年ビック・コミックス≠スーパービジュアル・コミックス) / G3:日付逆行(<1981-04)
loan-wolf	LOAN WOLF	1	2	9784785920555	2001-01-22	LOAN　WOLF（2）		山田秋太郎	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YKコミック)
loan-wolf	LOAN WOLF	1	3	9784785921576	2002-01	LOAN　WOLF（3）		山田秋太郎	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YKコミック)
long-rider-stories	ろんぐらいだぁすとーりーず!	1	2	9784048996358	2024-09-06	ろんぐらいだぁすとーりーず！ 2		三宅　大志	ブシロードワークス	ブシロードコミックス	G2:レーベル不一致(ブシロードコミックス≠単行本コミックス)
loop-10-kaime-no-koushaku-reijou-wa-outaishi-ni-dekiai-sarete-imasu	ループ10回目の公爵令嬢は王太子に溺愛されています	2	3	9784813763680	2024-10-24	ループ10回目の公爵令嬢は王太子に溺愛されています　3		三鼓とわ/ 真崎奈南	スターツ出版	ベリーズファンタジーコミックス	G2:レーベル不一致(ベリーズファンタジーコミックス≠BF COMICS)
loup-garou	ルウ・ガル	2	3	9784048527590	1997-09	ルウ・ガル（3）		姫川明	角川書店	Newtype100％コミックス	G2:レーベル不一致(Newtype100％コミックス≠ニュータイプ100%コミックス)
love-kanjou-no-marude-nai-osananajimi-manga	恋愛感情のまるでない幼馴染漫画	7	8	9784801990562	2026-08-20	恋愛感情のまるでない幼馴染漫画（8）		渡井亘	竹書房	バンブーコミックス	G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
love-shuffle	ラブ・シャッフル	2	3	9784777191093	2009-10	ラブシャッフル　3		瀬芹　つくね/野島　伸司	ゴマブックス	ゴマコミックス　ｄｏｒａｍａ　ＣＯＭＩＣＳ	G2:レーベル不一致(ゴマコミックス　ｄｏｒａｍａ　ＣＯＭＩＣＳ≠Drama comics)
love-sync-dream	Love sync dream	1	2	9784199502668	2011-09-13	LOVE　SYNC　DREAM（2）		藤原カムイ	徳間書店	リュウコミックス	G2:レーベル不一致(リュウコミックス≠Ryu comics)
lovely-sick-ohmine	ラブリーシック	3	4	9784775509005	2007-02-10	ラブリー・シック（4）		大峰ショウコ	オークラ出版	オークラコミックス　アクアコミックシリーズ	G2:レーベル不一致(オークラコミックス　アクアコミックシリーズ≠Aqua comics) / G3:日付逆行(2007-02-10<2019-12)
lovely-sick-ohmine	ラブリーシック	3	5	9784775512999	2008-12-12	ラブリー・シック（5）		大峰ショウコ	オークラ出版	オークラコミックス　アクアコミックシリーズ	G2:レーベル不一致(オークラコミックス　アクアコミックシリーズ≠Aqua comics) / G3:日付逆行(2008-12-12<2019-12)
lupin-iii-h	ルパン三世H	1	2	9784575838671	2011-02	ルパン三世H（2）		モンキー・パンチ	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS) / G3:日付逆行(2011-02<2012-03)
lupin-iii-m	ルパン三世M	1	5	9784575940848	2007-04	ルパン三世M（5）		モンキー・パンチ	双葉社	アクションコミックス	G1:主版が別版(bunkobon) / G2:レーベル不一致(アクションコミックス≠ACTION COMICS) / G3:日付逆行(2007-04<2012-04)
lupin-iii-m	ルパン三世M	1	6	9784575941265	2007-09	ルパン三世M（6）		モンキー・パンチ	双葉社	アクションコミックス	G1:主版が別版(bunkobon) / G2:レーベル不一致(アクションコミックス≠ACTION COMICS) / G3:日付逆行(2007-09<2012-04)
lupin-iii-m	ルパン三世M	1	7	9784575941685	2008-05	ルパン三世M（7）		モンキー・パンチ	双葉社	アクションコミックス	G1:主版が別版(bunkobon) / G2:レーベル不一致(アクションコミックス≠ACTION COMICS) / G3:日付逆行(2008-05<2012-04)
lupin-iii-m	ルパン三世M	1	8	9784575941906	2008-09	ルパン三世M（8）		モンキー・パンチ	双葉社	アクションコミックス	G1:主版が別版(bunkobon) / G2:レーベル不一致(アクションコミックス≠ACTION COMICS) / G3:日付逆行(2008-09<2012-04)
lupin-iii-m-neo	ルパン三世M neo	1	2	9784575836981	2009-11-28	ルパン三世M　Neo（2）		モンキー・パンチ	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS) / G3:日付逆行(2009-11-28<2012-01)
lupin-iii-m-neo	ルパン三世M neo	1	3	9784575838565	2011-01	ルパン三世M　Neo（3）		モンキー・パンチ	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS) / G3:日付逆行(2011-01<2012-01)
lupin-iii-m-neo	ルパン三世M neo	1	4	9784575838572	2011-01	ルパン三世M　Neo（4）		モンキー・パンチ	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS) / G3:日付逆行(2011-01<2012-01)
magia-report	マギア☆レポート	6	7	9784832295827	2024-10-25	マギア☆レポート　7		Magica Quartet/PAPA	芳文社	まんがタイムKRコミックス	G2:レーベル不一致(まんがタイムKRコミックス≠Kirara menu)
manga-de-wakaru-shinryounaika	マンガで分かる心療内科	11	16	9784785962289	2018-06-25	マンガで分かる心療内科（16）		ゆうきゆう/ソウ	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YKコミックス)
mankitsu	マンキツ	3	4	9784088793269	2012-04-19	マンキツ（4）		春輝	集英社	ヤングジャンプコミックスGJ	G2:レーベル不一致(ヤングジャンプコミックスGJ≠ヤングジャンプ・コミックスBJ)
mankitsu	マンキツ	3	5	9784088795812	2013-02-19	マンキツ（5）		春輝	集英社	ヤングジャンプコミックスGJ	G2:レーベル不一致(ヤングジャンプコミックスGJ≠ヤングジャンプ・コミックスBJ)
manpukuji	万福児	5	6	9784088656366	2011-07	万福児（6）		下吉田本郷	集英社	クイーンズコミックス	G2:レーベル不一致(クイーンズコミックス≠Queen's comics)
marou-ou-reppuu-den	魔狼王烈風伝	9	10	9784840217729	2001-03-27	魔狼王烈風伝（10）		沢田　翔	KADOKAWA	電撃コミックスEX	G2:レーベル不一致(電撃コミックスEX≠Dengeki Comics EX)
marubou-kanshikikan	マル暴鑑識官	1	2	9784537103564	2004-11	マル暴鑑識官（2）		田中つかさ/黒沢哲哉	日本文芸社	ニチブンコミックス	G2:レーベル不一致(ニチブンコミックス≠Nichibun comics)
matatabisou-wa-nekoyashiki	またたび荘は猫屋敷	3	1	9784821197286	1999-02-20	またたび荘は猫屋敷（1）		新名あき	ぶんか社	ぶんか社コミックス	G2:レーベル不一致(ぶんか社コミックス≠Bunkasha comics)
matatabisou-wa-nekoyashiki	またたび荘は猫屋敷	3	4	9784821199112	2002-01	またたび荘は猫屋敷（4）		新名あき	ぶんか社	ぶんか社コミックス	G2:レーベル不一致(ぶんか社コミックス≠Bunkasha comics)
meiwakusou-no-hitobito	めいわく荘の人々	22	23	9784785918385	1998-05-09	めいわく荘の人々（23）		五十嵐浩一	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YKコミックス)
memoria-noise-no-ruten-genshou	メモリアノイズの流転現象	2	3	9784344813953	2008-08-23	メモリアノイズの流転現象（3）		秋吉風鈴/上遠野浩平	幻冬舎	バーズコミックス	G3:日付逆行(2008-08-23<2015-06)
meruhen-kachou-to-nonke-kouhai-kun-season2	メルヘン課長とノンケ後輩くんseason2	1	2	9784199508769	2024-10-11	メルヘン課長とノンケ後輩くんSeason2（2）		ミナモトカズキ	徳間書店	リュウコミックス	G2:レーベル不一致(リュウコミックス≠Ryu comics)
meshimori-samurai	飯盛り侍	2	3	9784575831566	2005-10	飯盛り侍（3）		やまだ浩一/井川公彦	双葉社	アクションコミックス	G3:日付逆行(2005-10<)
meshimori-samurai	飯盛り侍	2	4	9784575832150	2006-03	飯盛り侍（4）		やまだ浩一/井川公彦	双葉社	アクションコミックス	G3:日付逆行(2006-03<)
meshimori-samurai	飯盛り侍	2	5	9784575832631	2006-07	飯盛り侍（5）		やまだ浩一/井川公彦	双葉社	アクションコミックス	G3:日付逆行(2006-07<)
meshimori-samurai	飯盛り侍	2	6	9784575833188	2007-01	飯盛り侍（6）		やまだ浩一/井川公彦	双葉社	アクションコミックス	G3:日付逆行(2007-01<)
metal-back	メタル・バック	0	3	9784056015140	1997-01-11	メタル・バック（3）		岡崎つぐお	Gakken	NORAコミックス	G1:standard版なし
mickey	Mickey	1	2	9784088532097	1990-08-01	Mickey（2）		小椋冬美	集英社	りぼんマスコットコミックス	G3:日付逆行(1990-08-01<1997-09) / G6:override固定
midori-no-daidokoro	みどりの台所	3	4	9784832204393	2024-10-01	みどりの台所　4		秋ヨシカ	芳文社	芳文社コミックス　FUZコミックス	G2:レーベル不一致(芳文社コミックス　FUZコミックス≠FUZ comics)
midoriyama-koukou	緑山高校	19	20	9784088614601	1988-09-19	緑山高校（20）		桑沢篤夫	集英社	ヤングジャンプコミックス	G2:レーベル不一致(ヤングジャンプコミックス≠YOUNGJUMP COMICS)
mikara-deta-saba	身から出た鯖	1	2	9784785913489	1998-04-10	身から出た鯖（2）		中崎タツヤ	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YKコミックス) / G3:日付逆行(1998-04-10<2016-09) / G6:override固定
mikara-deta-saba	身から出た鯖	1	4	9784785919818	2000-04-05	身から出た鯖（4）		中崎タツヤ	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YKコミックス) / G3:日付逆行(2000-04-05<2016-09) / G6:override固定
mikara-deta-saba	身から出た鯖	1	5	9784785920586	2001-02-24	身から出た鯖（5）		中崎タツヤ	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YKコミックス) / G3:日付逆行(2001-02-24<2016-09) / G6:override固定
mikara-deta-saba	身から出た鯖	1	6	9784785925703	2005-08	身から出た鯖（6）		中崎タツヤ	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YKコミックス) / G3:日付逆行(2005-08<2016-09) / G6:override固定
milk-crown-princess	ミルククラウン・プリンセス	4	5	9784860561727	2005-12-05	ミルキ-・ハニ-	ミルククラウン・プリンセス５	瑞垣みずほ	平和出版	ハ-トフルコミックス	G2:レーベル不一致(ハ-トフルコミックス≠ハートフルコミックス)
million-girl	ミリオンガール	2	3	9784063642780	2010-09	ミリオンガール（3）		桃雪琴梨	講談社	なかよしKC	G2:レーベル不一致(なかよしKC≠講談社コミックスなかよし)
modaeteyo-adam-kun	悶えてよ、アダムくん	7	8	9784434378713	2026-08-18	悶えてよ、アダムくん8		トヨ	彗星社	ナイトマ	G2:レーベル不一致(ナイトマ≠夜暇)
mogaku	MOGAKU	9	10	9784253017947	2026-07-08	MOGAKU　10		グミマル	秋田書店	少年チャンピオン・コミックス	G2:レーベル不一致(少年チャンピオン・コミックス≠SHŌNEN CHAMPION COMICS)
motto-gokujou-seitokai	もっと極上生徒会	1	2	9784840233705	2006-02-27	もっと極上生徒会（2）		まったくモー助/コナミ株式会社	KADOKAWA	電撃コミックス	G2:レーベル不一致(電撃コミックス≠DENGEKI COMICS)
mouse-cursor-de-genjitsu-o-sousa-dekiru-you-ni-natta-node-onnanoko-o-ippai-click-shimaasu	マウスカーソルで現実を操作できるようになったので、女の子をいっぱいクリックしまーす	3	4	9784434380259	2026-09-18	マウスカーソルで現実を操作できるようになったので、女の子をいっぱいクリックしまーす4		おくまろ	彗星社	ナイトマ	G2:レーベル不一致(ナイトマ≠夜暇)
muv-luv-unlimited	マブラヴアンリミテッド	2	3	9784840237901	2007-02-27	マブラヴ　アンリミテッド（3）		緋呂河　とも/アージュ	KADOKAWA	電撃コミックス	G2:レーベル不一致(電撃コミックス≠DENGEKI COMICS)
