a_id	key	verdict	reason
113010	name:ricci|name:フェアリーテイル・クロニクル|sub:空気読まない異世界ライフ	keep	同一作品
205779	name:rikko|name:異世界ごはん無双	keep	同一作品
143874	name:riritto|name:植物モンスター娘日記	keep	同一作品
199565	name:shiryu|name:生贄として捨てられたので、辺境伯家に自分を売ります	keep	同一作品
174261	name:shiryu|name:義娘が悪役令嬢として破滅することを知ったので、めちゃくちゃ愛します～契約結婚で私に関心がなかったはずの公爵様に、気づいたら溺愛されてました～@comic	keep	同一作品
110379	name:sime|name:聖者無双	keep	同一作品
152397	name:toi8|name:亡びの国の征服者	keep	同一作品
123591	name:ttl|name:Dジェネシス	keep	同一作品
149280	name:yoccopub. 2021|name:王都の外れの錬金術師	keep	同一作品
152284	name:zunta|name:転生コロシアム	keep	同一作品
160216	name:あおむら純まんが|name:少年少女日本の歴史	keep	同一作品
193952	name:あすみ地球|name:転生令嬢は悪名高い子爵家当主	keep	同一作品
146028	name:あたる|name:俺は知らないうちに学校一の美少女を口説いていたらしい	keep	同一作品
111349	name:あまがえる|name:異種族巨少女 (オーバーサイズ) セクステット!	keep	同一作品
131838	name:あまなちた|name:その門番、最強につき	keep	同一作品
186104	name:あやさくら|name:転生したら最愛の家族にもう一度出会えました	keep	同一作品
192034	name:あらまき|name:追放されなかった男	keep	同一作品
176956	name:ありしゃん|name:あぶらぶ	keep	同一作品
161499	name:ありのかまち|name:異世界最強の嫁ですが、夜の戦いは俺の方が強いようです	keep	同一作品
139007	name:ありぽん|name:優しい家族と、たくさんのもふもふに囲まれて。	keep	同一作品
145429	name:あるてら|name:落ちこぼれだった兄が実は最強	keep	同一作品
156152	name:あろえ|name:異世界クラフトぐらし	keep	同一作品
200571	name:あろえ|name:蔑まれた令嬢は、第二の人生で憧れの錬金術師の道を選ぶ	keep	同一作品
132323	name:あわいぽっぽ|name:幼馴染は一卵性の獣	keep	同一作品
142255	name:あんべよしろう|name:追放された転生公爵は、辺境でのんびりと畑を耕したかった	keep	同一作品
180321	name:あーもんど|name:無自覚聖女は今日も無意識に力を垂れ流す	keep	同一作品
189316	name:いさむひとし|name:サムライ無双	keep	同一作品
209531	name:いちかわ有花|name:君はシンデレラ	keep	同一作品
106141	name:いづみ翔|name:甘い懲罰	keep	同一作品
181573	name:いとうみゆき|name:ミニバン・ライフ・ホリデー	keep	同一作品
150974	name:いとすぎ常|name:犬飼さんは隠れ溺愛上司	keep	同一作品
189614	name:いなせ多希|name:朧の花嫁	keep	同一作品
118745	name:いぬやまりこ|name:恋愛グリモワール|sub:最強童貞の勇者様が結婚しないと世界は滅亡するそうです	keep	同一作品
130942	name:いのまる|name:異世界不倫2|sub:導かれし人妻たちと不器用転生勇者	drop	別作品(続編で副題不一致)
142255	name:うみ|name:追放された転生公爵は、辺境でのんびりと畑を耕したかった	keep	同一作品
127673	name:うみぼうず|name:とある名探偵と助手のラブコメ的日常@探偵はもう、死んでいる。	keep	同一作品(確認済)
173459	name:うるし|name:追放令嬢は技能実習生になりました。	keep	同一作品
174325	name:うるしめ|name:大っ嫌いなアイツはドSでαな御曹司	keep	同一作品
205129	name:うれい逸|name:ヴェールの聖女	keep	同一作品
162318	name:えかきびと|name:偽聖女クソオブザイヤー	keep	同一作品
111462	name:えだお|name:つきがきれいですね★	keep	同一作品
124374	name:えむだ|name:そうだ、売国しよう	keep	同一作品
193780	name:えむだ|name:転移したら奴隷の父になったけど、家族として愛でることにした	keep	同一作品
166824	name:おおのいも|name:ブチ切れ令嬢は報復を誓いました。	keep	同一作品
186330	name:おおみね|name:その悪役貴族、ママヒロインが好きすぎる	keep	同一作品
191530	name:おぎぬまX1988-|name:笑うネメシス	keep	同一作品
211604	name:おけいど|name:奥まで濡れちゃう絶倫同期と快感H	keep	同一作品
155341	name:おしばなお|name:王太子様、私今度こそあなたに殺されたくないんです!	keep	同一作品
128613	name:おだやか|name:冒険者をクビになったので、錬金術師として出直します!	keep	同一作品
173986	name:おつじ|name:しれっとすげぇこと言ってるギャル。	keep	同一作品
162321	name:おはなちゃん|name:異世界好色無双録	keep	同一作品
154819	name:かえで透|name:生贄第二皇女の困惑	keep	同一作品
108861	name:かおもじ|name:難解な腐女子	keep	同一作品
193772	name:かのえゆうし|name:仮面ライダー913(カイザ)	drop	別作品(別世代ライダー)
123089	name:かやはら|name:劣等人の魔剣使い	keep	同一作品
203933	name:かやまゆう|name:転生王妃の晩餐会	keep	同一作品
131038	name:かれい|name:月とライカと吸血姫(ノスフェラトゥ)	keep	同一(注記括弧差)
180766	name:かんむり|name:あとはご自由にどうぞ!	keep	同一・副題差のみ
197039	name:がしたに|name:四刀流の最強配信者	keep	同一作品
95878	name:きっか|name:もっと!しょぼにゃん	drop	独立の続編作品
178992	name:くさもち|name:ハーレム王の異世界プレス漫遊記	keep	同一・副題差のみ
165126	name:くじらじーお|name:異世界最高峰のギルドリーダー	keep	同一・副題差のみ
210636	name:くせつきこ|name:婚約破棄は本望です!聖女の力が開花したので私は自由に暮らします	keep	同一・副題差のみ
155172	name:くりおね|name:我慢しないで、ハデス様。	keep	同一・副題差のみ
160769	name:くりもとぴんこ|name:勇者パーティーを追放された俺だが、俺から巣立ってくれたようで嬉しい。	keep	同一・副題延長のみ
144373	name:ぐんたお|name:辺境の錬金術師	keep	同一・副題差のみ
191295	name:けいじろー|name:伝説の男の娘配信者たけお君!	keep	同一・副題差(人名有無)
161860	name:けてる|name:はにとらっ!	keep	同一・副題差のみ
187488	name:けんpub.|name:転生したら才能があった件	keep	同一・副題差のみ
201268	name:こがれ|name:社畜の俺、ドラゴンに懐かれたのでペット配信を始めます	keep	同一・副題差のみ
187934	name:こはるんるん|name:竜王に拾われて魔法を極めた少年、追放を言い渡した家族の前でうっかり無双してしまう	keep	同一・副題延長のみ
186849	name:こばみそ|name:異世界で上前はねて生きていく	keep	同一・副題差のみ
212103	name:ころめ|name:イジメラレ体質	keep	同一・副題差のみ
208776	name:ごくげつ|name:追放された不遇職『色使い』が世界を塗り替えるまで	keep	同一・副題差のみ
70889	name:さぎり和紗|name:記録 12時の権力者外伝	drop	外伝先の本編誤リンク
199386	name:さくら夏希|name:異世界領地改革	keep	同一・副題差のみ
204260	name:さくら蒼|name:資産100億スパダリ和装御曹司は腹黒い獣	keep	同一・副題差のみ
199567	name:さくら青嵐|name:王太子妃パドマの転生医療	keep	同一・副題差のみ
181061	name:さとpub.|name:アイノセンビキ	keep	同一・副題差のみ
165473	name:さとうねこ|name:異世界きまぐれぶらり旅	keep	同一・副題差のみ
194129	name:さりいB|name:怪異部	keep	同一・副題差のみ
196771	name:しきみ彰|name:髪結い乙女の嫁入り	keep	同一・副題差のみ
185933	name:しそまる|name:採用の仮面	keep	同一・副題差のみ
142691	name:しっぽタヌキ|name:ほのぼの異世界転生デイズ	keep	同一・副題差のみ
193972	name:しののめすぴこ|name:璃寛皇国ひきこもり瑞兆妃伝	keep	同一・副題差のみ
209932	name:しばの番茶|name:隻眼・隻腕・隻脚の魔術師@COMIC	keep	同一・副題差のみ
148663	name:しょうじひでまさ|name:異世界のんびり開拓記	keep	同一・副題差のみ
205774	name:しょぼん|name:忘れられ師の英雄譚	keep	同一・副題差のみ
205599	name:しろまゆ|name:待てができない日向くん	keep	同一・副題差のみ
186582	name:すあまpub.|name:聖印の乙女	keep	同一・副題差のみ
162295	name:すかいふぁーむ|name:サキュバステイマーの異世界無双	keep	同一・副題差のみ
156167	name:すかいふぁーむ|name:ポイントギフター《経験値分配能力者》の異世界最強ソロライフ	keep	同一・副題差のみ
158654	name:すかいふぁーむ|name:俺だけ不遇スキルの異世界召喚叛逆記	keep	同一・副題差のみ
189227	name:すかいふぁーむ|name:最強宮廷指南役のおっさん、追放された僻地で無双する	keep	同一・副題差のみ
130736	name:すかいふぁーむ|name:脱法テイマーの成り上がり冒険譚	keep	同一・副題差のみ
56789	name:すずきあきら|name:百花繚乱	drop	別作画版に誤リンク
85843	name:すまき俊悟|name:金色の文字使い(ワードマスター)|sub:勇者四人に巻き込まれたユニークチート	keep	同一・副題結合のみ
187932	name:せうかなめ|name:スパイ教室4部	keep	同一(4部specific一致)
161496	name:そらモチ|name:どれだけ努力しても万年レベル0の俺は追放された	keep	同一・副題差のみ
147705	name:そら蒼|name:黒猫の剣士	keep	同一・副題差のみ
113921	name:たなと|name:あちらこちらぼくら〈の、あれからとこれから〉	drop	続編で本編と別作品
185564	name:たなまん|name:異世界ぼっちクエスト	keep	同一・副題差のみ
167648	name:たべこーじ|name:ワルハメ	keep	同一・副題差のみ
208845	name:たるたるぐんぐん|name:役立たず冒険者【メニュー画面】で英雄に!	keep	同一・副題差のみ
182296	name:た介|name:ただの村人の僕が、三百年前の暴君皇子に転生してしまいました	keep	同一・副題差のみ
205062	name:つか絵夢子|name:まんがグリム童話	drop	アンソロジー別号誤リンク
135579	name:つたの葉|name:戦姫完食シンフォギア	keep	同一・副題差のみ
178044	name:つむみ|name:しらないこと研究会	keep	同一(冠称差のみ)
123380	name:つむらちた|name:オトコの娘 コミックアンソロジー	keep	同一号・著者複数一致
193789	name:てんpub.|name:レベル0の無能探索者と蔑まれても実は世界最強です	keep	同一・副題差のみ
192670	name:とんぷう|name:週末メイクデビュー	keep	同一・副題差のみ
101734	name:とーわ|name:世界最強の後衛	keep	同一・副題差のみ
188636	name:どまどま|name:ダンジョン配信を切り忘れた有名配信者を助けたら、伝説の探索者としてバズりはじめた	keep	同一・副題差のみ
194620	name:どまどま|name:世界最強の陰キャ、ダンジョン配信で億バズる	keep	同一・副題差のみ
182108	name:どまどま|name:予言者からの鎮魂歌	keep	同一・副題差のみ
189365	name:どんぺった|name:欠落錬金術師の異世界生活	keep	同一・副題差のみ
154005	name:なっとうごはん|name:天才アミバの異世界覇王伝説	keep	同一(外伝含む正式題)
154005	name:なっとうごはん|name:天才アミバの異世界覇王伝説|sub:北斗の拳外伝	keep	同一(外伝副題一致)
86531	name:なまにくATK|name:ハルチカ	keep	同一・副題差のみ
194983	name:なんじゃもんじゃ|name:アレクサンダー英雄戦記	keep	同一・副題差のみ
113076	name:にいち|name:現実(リアル)もたまには嘘をつく	keep	同一(読み注記差のみ)
187772	name:ねこでる|name:バズれアリス	keep	同一・副題差のみ
145364	name:ねこのゆーま|name:攻撃力極振りの最強魔術師	keep	同一・副題差のみ
183529	name:のこのこ大王|name:最強の女傭兵	keep	同一・副題差のみ
103859	name:のちた紳|name:村人転生	keep	同一・副題差のみ
181750	name:のの子|name:ブルーフライト	keep	同一・副題差のみ
85322	name:はいむらきよたか|name:とある科学の一方通行(アクセラレータ)|sub:とある魔術の禁書目録外伝	keep	同一スピンオフ一致
37776	name:はいむらきよたか|name:とある科学の超電磁砲(レールガン)|sub:とある魔術の禁書目録外伝	keep	同一スピンオフ一致
37775	name:はいむらきよたか|name:とある魔術の禁書目録(インデックス)	keep	同一本編一致
38928	name:はしだ由花里|name:悪戯王子	keep	同一・副題差のみ
184196	name:はちくもりん|name:鬼神閣下の身代わり花嫁	keep	同一・副題差のみ
181222	name:はも|name:異世界商人	keep	同一・副題差のみ
197848	name:はんそで|name:追放薬師アメリー	keep	同一・副題差のみ
192794	name:ぱらボら|name:迷宮狂走曲	keep	同一・副題差のみ
35527	name:ひずき優|name:キミのいる場所	keep	同一・副題差のみ
209486	name:ひなた丸だいや|name:異世界じゃスローライフはままならない	keep	同一・副題差のみ
203672	name:ひらさわ公美|name:旦那様はエリート外科医	keep	同一・副題差のみ
172498	name:ひろせたくじ|name:異世界パーティークラッシャーズ	keep	同一・副題差のみ
198003	name:ふか田さめたろう|name:魔剣の弟子は無能で最強!	keep	同一・副題差のみ
184737	name:ふじわら|name:ツキウタ。|sub:the animation	drop	映画版と別のアニメ版
86614	name:ふゆの春秋|name:世界の終わりの世界録(アンコール)	keep	同一(当て字一致)
160362	name:ふるかわてんた|name:迷宮食堂『魔王窟』へようこそ	keep	同一・副題差のみ
189235	name:ぷにちゃん|name:悪役令嬢に転生したと思ったら、シンデレラの義姉でした	keep	同一・副題差のみ
183930	name:ほか|name:アラタ カンガタリ	keep	同一(リマスター版)
55217	name:ほか|name:最上の明医	keep	同一・副題差のみ
69327	name:ぽんかん8|name:生徒会探偵キリカたちの日常	drop	スピンオフ本編誤リンク
115604	name:まえはた|name:ニトの怠惰な異世界症候群	keep	同一・副題差のみ
111089	name:まさゆみ|name:最強勇者はお払い箱→ (からの) 魔王になったらずっと俺の無双ターン	keep	同一(注記差のみ)
191400	name:ましゅ太郎|name:カグライ	keep	同一・副題差のみ
194973	name:まちの九々|name:じゃない方の伯爵令嬢	keep	同一・副題差のみ
171399	name:まつおまり|name:かのとこと	keep	同一・副題差のみ
175861	name:まるせい|name:ハズレスキル『添い寝』が覚醒し、僕が最強ハーレムを築くまで	keep	同一・副題差のみ
196112	name:みかんばこ|name:ゆるコワ!	keep	同一・副題差のみ
210520	name:みくらや杏樹|name:悪役王子の一途な執着、果てない溺愛。	keep	同一・副題差のみ
111603	name:みぞぐちまいこ|name:プリンセス・レダリア	keep	同一・副題差のみ
201471	name:みぞぐちまいこ|name:義経鬼	keep	同一・副題差のみ
104822	name:みっつばー|name:転スラ日記	keep	同一・副題差のみ
207976	name:みなとpub.|name:悪役令嬢ルートから解放されました!	keep	表記一致
159084	name:みやけりく|name:この冒険者、人類史最強です	keep	表記一致
192990	name:みわかず|name:贅沢三昧したいのです!	keep	表記一致
195042	name:むえりりこ|name:日陰のアミル	keep	表記一致
168615	name:むすあき|name:勇者と呼ばれた後に	keep	表記一致
197593	name:めるこ|name:婚約者様差し上げます	keep	表記一致
211276	name:もぐす|name:贄姫の婚姻	keep	表記一致
165892	name:もすこ|name:咲き還り姫の葬歌	keep	ふりがな一致
195015	name:もずくず|name:ダンジョン・ファーム	keep	表記一致
123906	name:ももしき|name:暗黒騎士の俺ですが最強の聖騎士 (パラディン) をめざします	keep	表記一致
202667	name:もりのもみじ|name:隠れ星は心を繋いで	keep	表記一致
181346	name:やきいもほくほく|name:牢の中で目覚めた悪役令嬢は死にたくない	keep	表記一致
121263	name:やすい尚志|name:新・プラモ狂四郎	drop	続編で別作品、前作扱い
198160	name:やつきしろ|name:俺は冒険者ギルドの悪徳ギルドマスター	keep	表記一致
194995	name:やまことり|name:ソロフェッショナル	keep	表記一致
107460	name:ゆずしを|name:お願いしなきゃイカせてやんない	keep	表記一致
187672	name:ゆとと|name:王都の行き止まりカフェ『隠れ家』	keep	表記一致
172749	name:よこざわ|name:プリンセスくんとナイトさん	keep	表記一致
146878	name:よねぞう|name:勇者パーティを追い出された器用貧乏	keep	表記一致
117785	name:よむ|name:おおきい!がんばれ同期ちゃん	keep	同一作品の拡大版
202669	name:りほぴよ|name:大人はイジメをやめられない	keep	表記一致
191148	name:れもん|name:冒険者アルあいつの魔法はおかしい@COMIC	keep	表記一致
208925	name:わたにし|name:イマカノ	keep	表記一致
125130	name:アキラ|name:恋愛不感症	keep	同一作品
203556	name:アサヒランコ|name:未熟なおまめが育つまで	keep	同一作品
179225	name:アトハ|name:《魔力無限》のマナポーター	keep	同一作品
116617	name:アトラス|name:オーディンスフィア	keep	同一作品(確認済)
199081	name:アビディ井上|name:異世界町工場無双	keep	同一作品
209717	name:アンティーク|name:龍神の最愛婚	keep	同一作品
34574	name:インデックス|name:ペルソナ	drop	別作品(ペルソナ2)
175503	name:インド僧|name:農学博士の異世界無双	keep	同一作品
110434	name:ウェッジホールディングス|name:遊☆戯☆王OCG(オフィシャルカードゲーム)ストラクチャーズ	keep	同一作品
176339	name:ウニドン\120|name:異世界メイドがやってきた	keep	同一作品
156050	name:ウノハナ|name:新宿69ヘヴン	keep	表記ゆれのみ
198910	name:エノキスルメ|name:ルチルクォーツの戴冠	keep	同一作品
90657	name:エンターブレイン|name:フォトカノ	keep	同一作品
53446	name:オオイシナホ|name:ドラゴンボールSD	keep	同一作品
194954	name:オオトリ|name:酔っ払い令嬢が英雄と知らず求婚した結果	keep	同一作品
187616	name:オノタケオ|name:ノライヌ	keep	同一作品
199567	name:カズアキ|name:王太子妃パドマの転生医療	keep	同一作品
186678	name:カミトイチ|name:SSSランクダンジョンでナイフ一本手渡され追放された白魔導師	keep	同一作品
142909	name:カムイイムカ|name:間違い召喚!	keep	同一作品
136527	name:カヤpub.|name:転生少女はまず一歩からはじめたい	keep	同一作品
143658	name:カリカリうめ|name:竜と歩む成り上がり冒険者道	keep	同一作品
127734	name:カルトマ|name:北海道の現役ハンターが異世界に放り込まれてみた	keep	同一・副題差のみ
124659	name:ガンホー・オンライン・エンターテイメント|name:パズドラ	keep	表記ゆれ・著者一致確認
195079	name:キクチpub.|name:勇者殺しの元暗殺者。	keep	同一・副題差のみ
110915	name:キッカイキ|name:継続は魔力なり	keep	同一・副題差のみ
151641	name:クレイン|name:ヤンデレ魔法使いは石像の乙女しか愛せない	keep	同一・副題差のみ
179762	name:クロセイム|name:ねがいあい	keep	同一・副題差のみ
189460	name:ケビン・イーストマン|name:ミュータントタートルズ	keep	同一作品
209187	name:ケンノジ|name:神域の魔法使い	keep	同一・副題差のみ
33268	name:コナミデジタルエンタテインメント|name:マイネリーベ	keep	同一・副題差のみ
209291	name:コーダ|name:異世界転移で女神様から祝福を!	keep	同一・副題差のみ
197207	name:サイ|name:氷結系こそ最強です!	keep	同一・副題差のみ
194998	name:サエトミユウ|name:やんちゃ姫さまの大冒険	keep	同一・副題差のみ
188438	name:サンボン|name:無能の悪童王子は生き残りたい	keep	同一・副題差のみ
194625	name:サンボン|name:醜いオークの逆襲	keep	同一・副題差のみ
141972	name:サンライズ|name:コードギアス	drop	同franchise別作(Oz)
173022	name:シオヤマ琴|name:最強で最速の無限レベルアップ	keep	同一・副題差のみ
191369	name:シジ|name:ハズレではじまる溺愛人生	keep	同一・副題差のみ
54626	name:シマダヒデアキ|name:バンパイア	keep	同一(著者一致・略題)
190119	name:シュガースプーン|name:願ってもない追放後からのスローライフ?	keep	同一・副題差のみ
104724	name:シロタカ|name:無職転生	keep	同一スピンオフ・著者確認
161915	name:スガン|name:器用貧乏、城を建てる	keep	同一・副題差のみ
186038	name:セレン|name:ベル・プペーのスパダリ婚約	keep	同一・副題差のみ
132298	name:ゾウノセ|name:勘違いの工房主(アトリエマイスター)|sub:英雄パーティの元雑用係が、実は戦闘以外がSSSランクだったというよくある話	keep	同一・副題結合のみ
152172	name:ゾム|name:エンプレスエイジ	keep	同一・副題差のみ
212294	name:タッ公|name:アラフォー冒険者、伝説となる	keep	同一・副題差のみ
183574	name:ダイチ|name:追放された転生王子、『自動製作』スキルで領地を爆速で開拓し最強の村を作ってしまう	keep	同一・副題差のみ
31474	name:ダイナミックプロ|name:デビルマン-ザ・ファースト-	drop	原作と別作(THE FIRST)
73403	name:ダイナミックプロダクション|name:ゲッターロボ	drop	別スピンオフ誤リンク
155423	name:チダケイコ|name:くらだしカピバラさん	drop	蔵出しセレクション別物
154219	name:ツキシタカグヤ|name:エルフ奴隷と築くダンジョンハーレム	keep	同一・副題差のみ
149401	name:トトキハルキ|name:神々の加護で生産革命	keep	同一・副題差のみ
209817	name:トミイ大塚|name:その異世界ハーレムは制約つき。	keep	同一・副題差のみ
145369	name:トルトネン|name:濁る瞳で何を願う	keep	同一・副題差のみ
119490	name:ナカノムラアヤスケ|name:勇者伝説の裏側で俺は英雄伝説を作ります	keep	同一・副題差のみ
140503	name:ナカノムラアヤスケ|name:転生ババァは見過ごせない!	keep	同一・副題差のみ
192228	name:ナニン|name:どうも、物欲の聖女です	keep	同一・副題差のみ
184771	name:ネコミコズッキーニ|name:魔窟の王	keep	同一・副題差のみ
98201	name:ネコ光一|name:ワールド・ティーチャー	keep	同一・副題差のみ
99023	name:ネコ太郎|name:猫娘症候群	keep	同一(読み注記差のみ)
119432	name:ノクシ|name:春華とりかえ抄|sub:榮国物語	keep	同一・順序差のみ
129882	name:ハム男|name:ヘルモード	keep	同一(正式副題一致)
181073	name:バッド|name:アースウィズダンジョン	keep	同一・副題差のみ
185605	name:パミラ|name:骨姫ロザリー	keep	同一・副題差のみ
94685	name:フィリップ・N・モーゼズ|name:ニンジャスレイヤー殺	keep	同一(読み注記差のみ)
141806	name:ブラック木蓮|name:美龍艶笑譚	keep	同一・副題差のみ
159129	name:ベニー松山1967-|name:隣り合わせの灰と青春	keep	同一・著者一致
153830	name:ペコー|name:ダンジョンバトルロワイヤル	keep	同一・副題差のみ
76014	name:ホビージャパン|name:クイーンズブレイド	drop	別作画版・著者不一致
160989	name:ホーム社|name:王様はロバ	keep	同一・副題差のみ
91055	name:ホーム社|name:珍遊記	keep	同一・副題差のみ
211889	name:ボルテージ|name:あと1%で運命の恋|sub:竜道礼編	drop	別キャラルート誤リンク
173243	name:ボーダー|name:10年間身体(からだ)を乗っ取られ悪女になっていた私に、二度と顔を見せるなと婚約破棄してきた騎士様が今日も縋ってくる	keep	同一(読み注記差のみ)
206859	name:ポリ外丸|name:捨てられ貴族の無人島のびのび開拓記	keep	同一・副題差のみ
114025	name:マカナ|name:25歳の女子高生	keep	同一・副題差のみ
186922	name:マサイ|name:HACKING GHOST	keep	同一・副題差のみ
161598	name:マサシ|name:マトリと狂犬	keep	同一・副題差のみ
179764	name:マスダプラス|name:美醜逆転世界のクレリック	keep	同一・副題差のみ
