slug	title	ours	rakuten	year	isbn
aikyuu-rakuen	愛Q楽園	桂イチホ / セブンデイズウォー	S．濃すぎ / 科丈　ひとな	2017	9784041060087
amagami-osananajimi-wa-dekiaisuru	甘噛み幼なじみは溺愛する	三咲	白弓サン	2017	9784776744368
anta-o-100-doku-100-no-serifu	あんたを口説く100のセリフ	山本夜	彩木咲花	2017	9784758077248
asshou	圧勝	九重リココ	小虎	2017	9784091274816
bakki	魃鬼	あたる	下川 咲	2017	9784063882896
bandit-seven	バンディセブン	青辺マヒト	まさゆみ	2017	9784107719829
bareeboshi	バレエ星	谷ゆきこ	谷ゆき子	2017	9784845631308
bishuu-no-daichi	美醜の大地	園田俊樹	藤森治見	2017	9784821134823
black-board	BLACK BOARD	星海ユミ	イズミダフユキ	2017	9784757552753
bocchi-hakase-to-robot-shoujo-no-zetsubouteki-utopia	ぼっち博士とロボット少女の絶望的ユートピア	堀祐介	山田 鐘人	2017	9784091276155
boku-no-heya-ga-dungeon-no-kyuukeijo-ni-natte-shimatta-ken	僕の部屋がダンジョンの休憩所になってしまった件	今井雅巳	東国不動 / たこやきよし	2017	9784801961029
boku-no-kanojo-wa-saikou-desu	僕の彼女は最高です!	上機しほ	伊織 / 高田 タカミ	2017	9784065102633
boku-o-warui-ko-ni-shite	僕を悪い子にして	どーるる	灰田ナナコ	2017	9784758077378
bokura-no-q	ぼくらのQ	市真ケンジ	市真 時系	2017	9784091278241
botsuraku-yotei-nanode-kaji-shokunin-o-mezasu	没落予定なので、鍛冶職人を目指す	新川権兵衛	石田　彩 / CK / かわく	2017	9784040723945
buggy-whip	バギーウィップ	石田総司	大野 すぐる	2017	9784065003015
bukkafe	ぶっカフェ!	劇団イヌカレー	小林 ロク	2017	9784065104033
butsuzou-punk	仏像パンク	まずりん	横尾公敏	2017	9784344839762
butterfly-2017	バタフライ	東元俊哉	東元 俊也	2017	9784537135381
chaos-child-children-s-collapse	CHAOS;CHILD～Children's Collapse～	三日月シズカ	園心 ふつう / MAGES． / Chiyo st．inc / 梅原英司×MAGES．	2017	9784063906776
cheroofu-san-no-mahou-doll	チェローフさんの魔法人形	西尾洋一	星川ちどり	2017	9784199505898
chibidora	ちびドラ!	ふじい葛西	宮本 ちゆ	2017	9784065101971
chitchana-kanojo-ni-sematta-kekka	ちっちゃな彼女にせまった結果。	桜井飛鳥	嘉村朗	2017	9784801959538
chiyu-mahou-no-machigatta-tsukaikata	治癒魔法の間違った使い方	月並甲介	九我山　レキ / くろかた / KeG	2017	9784041061299
chousou-no-babel	鳥葬のバベル	二宮正明	二宮 志郎	2017	9784063886863
comic-sherlock-holmes-the-best	コミックシャーロック・ホームズthe best	Jet	アーサー・コナン・ドイル	2017	9784776746096
daidoreiku	大奴隷区	大石普人	オオイシ　ヒロト / 岡田　伸一	2017	9784575849769
daimaou-no-off	大魔王のOFF	万太郎	水野まどか	2017	9784845851287
dame-na-pet-no-shitsukekekata	駄目なペットの躾け方	出樹	梅子	2017	9784776743866
desupareeto-na-reijoutachi	デスパレートな令嬢たち	ながやま由貴	矢板　みなみ	2017	9784063959284
dorei-yuugi	奴隷遊戯	赤沢佳	木村 隆志 / ヤマイ ナナミ	2017	9784088812410
dragon-ball-gaiden-tensei-shitara-yamucha-datta-ken	DRAGON BALL外伝 転生したらヤムチャだった件	津田穂波	ドラゴン画廊・リー / 鳥山 明	2017	9784088812618
dramatic-irony	ドラマティック・アイロニー	あすか	なま子	2017	9784048926874
eden-no-otome	エデンの処女	巳年キリン	渡邉嘘海	2017	9784408414805
eikan-wa-ore-ni-kagayaku	栄冠は俺に輝く	鈴木ミニラ	熊田 龍泉	2017	9784091275271
eiyuu-caesar-san	英雄!シーザーさん	大江慎一郎	大江しんいちろう	2017	9784253222662
everyday-magic	エブリデイ・マジック	磯野フナ	崎谷はるひ / 鰍ヨウ	2017	9784344841048
fat-you-want	ファット・ユー・ウォント	松山花子	九州男児	2017	9784864423151
fukigen-kareshi-no-saraikata	不機嫌彼氏のさらい方	右京あやね	左京亜也	2017	9784403665745
full-drum	フルドラム	鹿子	箱石 達	2017	9784088906287
furin-to-fukushuu	不倫と復讐	内田春菊	国友　やすゆき	2017	9784575997866
fushigi-no-kuni-no-arisugawa-san	ふしぎの国の有栖川さん	尾崎あきら	オザキ アキラ	2017	9784088457055
gaikotsu-kishi-sama-tadaima-isekai-e-odekakechuu	骸骨騎士様、只今異世界へお出掛け中	あずみ圭	サワノアキラ / 秤猿鬼 / KeG	2017	9784865542523
gamers	ゲーマーズ!	斉田えじわ	葵　せきな / 高橋つばさ / 仙人掌	2017	9784041054468
gensou-gourmet	幻想グルメ	中村朝	天那光汰 / おつじ	2017	9784757553811
getsuyou-kara-kinyou-no-otoko-koukousei	月曜から金曜の男子高校生	インカ帝国	森つぶみ	2017	9784908588327
getter-robo-hai	ゲッターロボ牌	ドリル汁	永井豪 / 石川賢	2017	9784801960138
ginza-lesson	銀座レッスン	近藤崇	近藤 タカシ / 山崎 ヒロキ	2017	9784088906775
goblin-wa-mou-juubun-ni-tsuyoi	ゴブリンはもう十分に強い	藤松盟	サラマンダ	2017	9784048934305
gosurori-jk-mujintou-hyouryuuki	ゴスロリJK無人島漂流記	つっつ	青田めい	2017	9784832248298
ha-omae-kurogyaru-no-kuse-ni-shojo-nano	は?お前、黒ギャルのくせに処女なの?	神戸遥真	ENVY	2017	9784434236020
hajime-algorithm	はじめアルゴリズム	中馬孝博	三原 和人	2017	9784065105214
hakui-no-ou-sama	白衣の王様	うみハル	綾瀬れつ	2017	9784757552326
hal-ayase-2017	ハル	牧野あおい	ハル	2017	9784865893540
hanjuku-eiyuu	半熟英雄	沖野真歩	スクウェア・エニックス / 時田貴司	2017	9784757555044
harinezumi-no-harry	ハリネズミのハリー	伊海	村松 まつり	2017	9784063695717
harutsuge-to-yukimusuko	春告と雪息子	碓井ツカサ	hagi / 弓部　早苗	2017	9784040695709
hatsukoi-futatabi	はつ恋、ふたたび。	藤野もやむ	桑佳 あさ	2017	9784063658972
helvetica	helvetica	ひのた	染井 紬希 / 津木波 シズカ	2017	9784088907819
hero-datte-omae-o-dakitai	ヒーローだって…おまえを抱きたい。	春キャベツ	祈崎ひな汰	2017	9784434238390
hidamari-ga-kikoeru-limit	ひだまりが聴こえる リミット	茜田千	文乃 ゆき	2017	9784829685990
hikiage-no-higeki	引き揚げの悲劇	村上もとか	中野 晴信	2017	9784323064086
hinichijoutekina-nepaaru-taizaiki	非日常的なネパール滞在記	三部敬	三部けい / 三部りえ	2017	9784757552067
hitotsubana	ひとつばな	井上知之	ミナミ	2017	9784091276124
hiyama-kun-wa-katei-kyoushi	氷山くんは家庭教師	春巻トキコ	三月 トモコ	2017	9784063915440
hna-koakuma-kun-wa-nugasejouzu-de-yajuusugi	Hな小悪魔くんは脱がせ上手で、野獣すぎ!	鹿島こたる	庭鳥ヒナコ	2017	9784801960381
hoken-kanyuusha-ni-tsugu	保険加入者に告ぐ。	ビタワン	渡辺 悠 / 田丸 哲二	2017	9784065103555
holmes-san-wa-suiri-ga-dekinai	ホームズさんは推理ができない	由村	沼地どろまる	2017	9784758076951
hoshi-ni-ochiru-efude	星に落ちる絵筆	こん炉	櫻川なろ	2017	9784801957336
houkago-shoujo-bout	放課後少女バウト	昭時大紀	藤田かくじ	2017	9784801959798
i-am-a-hero-in-nagasaki	アイアムアヒーローin NAGASAKI	富士沢一矢	花沢 健吾 / にしだ けんすけ	2017	9784091893185
idol-dti	アイドルDTI	まめちょろ	冬夏アキハル	2017	9784592211716
ijimerare-taishitsu	イジメラレ体質	青木庸	ころめ	2017	9784396703837
ikari-no-roadshow	怒りのロードショー	四宮和	マクレーン	2017	9784047343658
isekai-de-outaishihi-hajimemashita	異世界で、王太子妃はじめました。	片山令子 / 日乃チハヤ	武村　ゆみこ / 汐邑　雛	2017	9784047348165
iyagatteru-kimi-ga-suki	嫌がってるキミが好き	鈴木ミニラ	鬼山瑞樹	2017	9784408414584
jagaaaaaan	ジャガーン	富士沢一矢	金城 宗幸 / にしだ けんすけ	2017	9784091895059
jank-runk-family	ジャンク・ランク・ファミリー	髙橋ヒロシ	高橋ヒロシ	2017	9784253141017
jinrou-shitsuji-no-bussou-na-nikka	人狼執事の物騒な日課	降本孟	村岡 恵	2017	9784091893888
joushi-ga-gomu-o-kuwaetara	上司がゴムを咥えたら	椎名まうみ	蜜柑子	2017	9784775527078
junketsu-no-esuko-chan	純潔のS子ちゃん。	寺山電	エム。	2017	9784040695761
kagitsuki-no-alter	鉤月のオルタ	上機しほ	麻日 隆	2017	9784065102473
kaichou-sama-to-hiyoko-chan	会長様とひよこちゃん	八街潤	如月 ゆきの	2017	9784091388896
karin-no-mound	花鈴のマウンド	赤瀬由里子 / 角谷建耀知	星桜高校漫画研究会 / 紫々丸	2017	9784903954073
katakoi-candy	片恋キャンディ	アトリエ・セントー	三月ゆか	2017	9784776745440
kazokuhodo-waraerumono-wa-nai	家族ほど笑えるものはない	ヤマモト喜怒	カフカヤマモト	2017	9784040691862
keishichou-hanzai-higaisha-shienshitsu-no-onna	警視庁犯罪被害者支援室の女	富士沢一矢	六月柿 光	2017	9784091893680
kemono-friends-comic-a-ra-carte	けものフレンズコミックアラカルト ジャパリパーク編	HenselerThomas	けものフレンズプロジェクト	2017	9784041057742
kengai-manga	圏外漫画	浪咲ゆか	長谷川 真也	2017	9784537136289
kessen-no-kuon	血戦の九遠	くっきぃ	枩岡 佳範	2017	9784065102848
kimi-o-daku-no-wa-shigoto-dakara	君を抱くのは仕事だから	にやま	聖ゆうか	2017	9784396703851
kimi-wa-haru-ni-me-o-samasu	君は春に目を醒ます	キアチマチ	縞あさと	2017	9784592211815
kirakira-precure-a-la-mode	キラキラ☆プリキュアアラモード	上北双子	上北 ふたご / 東堂 いづみ	2017	9784063378665
kitsune-no-oyome-chan	狐のお嫁ちゃん	しおり	Batta	2017	9784041054543
koi-to-batsu	恋と罰	大石普人	松居 大悟 / オオイシ ヒロト	2017	9784778322854
koisuru-app	恋するアプリ	綾乃かずえ	KYE　YOUNG　CHON	2017	9784821135165
kokuei-no-junk	黒影のジャンク	佐々木尚	中尾 拓矢	2017	9784065092323
komatsubara-ga-koibito-ni-naritasou-ni-kochira-o-mite-iru	小松原が恋人になりたそうにこちらをみている!	昭時大紀	かわにし 萌	2017	9784088457703
kono-subarashii-sekai-ni-shukufuku-o-kappore	この素晴らしい世界に祝福を!かっぽれ!	上田敦夫	ずんだコロッケ / 暁　なつめ / 三嶋　くろね	2017	9784047344167
koukando-ga-agaranai	好感度が上がらない	マツリ	文月路亜 / かなん	2017	9784434234583
koyoi-no-akuma-teishoku	今宵の悪魔定食	橋本省吾	橋本智広	2017	9784832235816
kurogiri-kun-wa-shinobanai	黒霧くんは忍ばない	中川海二	紺 のんこ / さよし	2017	9784091276414
kuyashii-cry-suki	くやしいくらい、好き。	一本木尊	斉木 優	2017	9784063921083
kyoto-irodori-gangster	キョウト彩奪ギャングスタア	椰子木虹	拓平	2017	9784040690315
kyuuketsuki-chan-kouhai-chan	吸血鬼ちゃん×後輩ちゃん	吉岡榊	嵩乃朔	2017	9784048933186
kyuukyoku-nipako-chan	究極!ニパ子ちゃん	野田のんだ	ゆうじこうじ / 真野英二	2017	9784800007261
mado-kara-madoka-chan	まどからマドカちゃん	福田やすひろ	福田 泰宏	2017	9784063887402
mahou-shounen-natsuki-x-rabbits	魔法少年なつき×らびっツ	雨水龍	金井千咲貴	2017	9784757552210
mahouka-koukou-no-rettousei-natsuyasumi-hen	魔法科高校の劣等生 夏休み編	柚木N'	佐島　勤 / 柚木N’ / 石田　可奈	2017	9784048927222
majime-dakedo-shitaindesu	まじめだけど、したいんです!	桜井飛鳥	嘉村　朗	2017	9784575336764
majo-to-yajuu	魔女と野獣	営業のK	佐竹 幸典	2017	9784063829686
manga-de-wakaru-fate-grand-order	マンガで分かる!Fate/Grand Order	カマンベールはる坊	リヨ / TYPE-MOON	2017	9784041061015
marian-to-isshokenmei	マリアンといっしょ!	伊海	つきよみ	2017	9784063695731
mashirohi	ましろ日	G3井田	香川まさひと / 若狭 星	2017	9784091895981
master-grape	MASTERグレープ	辺天使	土塚 理弘 / 高橋 アキラ	2017	9784091275325
meshineko	めしねこ	梶本ユキヒロ	木村 わさび	2017	9784063931495
meteor-girl	隕石少女	石山りーち	石山 り〜ち	2017	9784091276896
mikansei-pianisuto	未完成ピアニスト	わたい	筒井美雪	2017	9784592211068
mina-tes-vous-pr-t	みなさまエト・ヴ・プレ?	丸本チンタ	田丸鴇彦	2017	9784041059128
mitsume-mokushiroku	三つ目黙示録	柚木N'	手塚治虫 / 藤澤勇希	2017	9784253236584
miyao-san-wa-haeteiru	宮尾さんは生えている	わたい	TOもえ	2017	9784801960541
mobile-suit-gundam-ji-origin-msd-cucuruz-doan-no-shima	機動戦士ガンダムTHE ORIGIN MSDククルス・ドアンの島	大野純二	おおの　じゅんじ / カトキ　ハジメ / ことぶき　つかさ / 矢立肇・富野由悠季 / サンライズ / 安彦　良和	2017	9784041053430
modokidomo	モドキドモ	楢島さち	蒼川なな	2017	9784757553095
mofumofu-no-kamisamasagashi	もふもふの神様さがし	新川権兵衛	たまき	2017	9784041059906
murabito-desu-nanika	村人ですが何か?	百均	鯖夢 / 白石　新 / 白蘇　ふぁみ	2017	9784040723174
musuko-ga-kawaikute-shikata-ga-nai-mazoku-no-hahaoya	息子がかわいくて仕方がない魔族の母親	シンギョウガク	十五夜	2017	9784088906560
nagami-san-no-reinou-shugyouki	流水さんの霊能修行記	流水凜子	流水りんこ	2017	9784821135004
nanatoshi-monogatari	七都市物語	三浦征隆	田中 芳樹 / フクダ イクミ	2017	9784065103173
nanatsu-no-taizai-seven-days-touzoku-to-seishoujo	七つの大罪セブンデイズ～盗賊と聖少女～	西巻拓馬	小菊路 よう / 鈴木 央 / 岩佐 まもる	2017	9784063932010
nasakenai-bokura-no-irokoi-moyou	情けない僕らの色恋模様	山珠彩貴	茅なや	2017	9784041051085
nee-chan-wa-boku-ga-mamorutsu	ねーちゃんはぼくが守るっ	九重千花	いちかわ壱	2017	9784832255906
nejikemono	ねじけもの	夜州	肋家 竹一	2017	9784107719812
neko-to-spica	猫とスピカ	西野きいな	鳩屋タマ	2017	9784866531168
neru-joshi	ねるじょし	榎本ハイツ	酉川宇宙	2017	9784832235632
netsu-shintouritsu	熱浸透率	坂井久仁江	国枝彩香	2017	9784801959767
niku-danzai	辱-断罪-	朝日曼耀	窪茶	2017	9784091277602
ningen-ni-koishita-oni-wa-warau	人間に恋した鬼は咲う	荒井小豆	雪森寧々	2017	9784408414546
nippon-o-kaeta-sekai-no-rekishi	日本を変えた世界の歴史	さいとうはるお / 上下	藤子・F・ 不二雄 / 浜学園	2017	9784092538818
noumen-chan-to-geboku-san	能面ちゃんと下僕さん	夜州	西荻亨	2017	9784344839915
oedo-kuniyoshi-yoshizukushi	大江戸国芳よしづくし	岡田屋鉄蔵	崗田屋 愉一	2017	9784537135633
ohayou-sabaibu	おはようサバイブ	加藤望	前原　タケル	2017	9784063959543
oishii-ayakashi	美味しい妖	人類補完計画監視委員会	おとうさん	2017	9784757554474
oji-san-to-neko-to-shoujo	おじさんと猫と少女	西田拓矢	遊佐ハルカ	2017	9784785961015
old-technica	オールドテクニカ	植草美幸	鳥取砂丘	2017	9784065108185
omotenashi-shite-ageru	おもてなし、シてあげる。	新川権兵衛	香琳	2017	9784434233814
onna-kudouden-rei	女苦道伝れい	叶精作	信田朋嗣	2017	9784074219193
ookami-no-ko	オオカミの子	仲峰紘史	佐々木 順一郎	2017	9784065100691
ore-maou-dakedo-baretenaiyone	オレ、魔王だけどバレてないよね?	おおのいも	八汐ごよう	2017	9784758066860
ore-no-kanbotsu-chikubi-ga-senpai-no-shitapi-de-tachimashita	俺の陥没ちくびが、先輩の舌ピで勃ちました。	ヤマダコト	鳥丸太郎	2017	9784434239304
ore-sama-sorushieeru	俺様ソルシエール	音羽さおり	ウラ ミユキ / 赤尾 でこ	2017	9784063925760
ore-to-atashi-to-shinsekai	オレとあたしと新世界	宇野リッカ	古宇田エン	2017	9784775526514
osananajimi-no-yabasugiru-aishikata	幼なじみのヤバ過ぎる愛し方	森月あめ	筑谷たか菜	2017	9784775527214
otona-to-kodomo-anata-to-watashi	おとなとこども、あなたとわたし。	秋山シノ	糸　なつみ	2017	9784048927321
otouto-wa-midarana-yajuu	弟はミダラな野獣	大嶋まなぶ	蜂谷ナナオ	2017	9784801960282
outcast	アウトキャスト	巻左千夫	ロバート・カークマン / ポール・アザセタ / エリザベス・ブレイトウエイザー / 椎名 ゆかり	2017	9784416517994
perfect-human	パーフェクトヒューマン	髙橋一仁	高橋一仁	2017	9784832235441
pitch-dealer	ピッチディーラー	外本ケンセイ	外本 健生 / 昌子 春	2017	9784063829716
planet-hulk	プラネット・ハルク	清原揺	グレッグ・パク / 御代　しおり	2017	9784864913492
poco-a-poco	poco a poco	日輪早夜	ヒマワリソウヤ	2017	9784864952064
ponshubu	ぽんしゅ部!	野口友梨子	野口 こゆり	2017	9784088907093
poten-hit-girl	ポテン・ヒット・ガール	青木庸	丸顔 めめ	2017	9784785961114
puro-yakyuu-super-star-meishoubu-waido-sp	プロ野球スーパースター名勝負ワイドSP	押山雄一	眞島浩一 / 亜古真奏重	2017	9784537162752
rakuen-taxi-haisha-nippou	楽園タクシー配車日報	寺山一弥	たむら あやこ	2017	9784065101643
real-no-heroine-wa-irimasen	現実の彼女はいりません!	中村朝	田尾典丈 / 三雲ジョージ	2017	9784757553712
red-beryl-ni-sayonara	レッドべリルにさよなら	佐藤千鳥	みちのくアタミ	2017	9784861349959
ryouchou-wa-ryouri-jouzu	寮長は料理上手	石津カユ	吉村佳	2017	9784040692470
ryuu-no-nanakoku-to-minashigo-no-fana	竜の七国とみなしごのファナ	有馬慎太郎	田中清久	2017	9784800006608
saenai-heroine-no-sodatekata-girls-side	冴えない彼女の育てかたGirls Side	あさぎ龍	丸戸　史明 / 守姫　武士 / 深崎　暮人	2017	9784040722108
saiouji-kyoudai-ni-komarasareru-nomo-waruku-nai	斎王寺兄弟に困らされるのも悪くない	夢木みつる	晴海ひつじ	2017	9784592211310
saisei-gakkou	再生学校	葉月エリカ	空木あんぐ	2017	9784758082853
saishuu-densha	最終電車	岬ねおん	式夏緒	2017	9784796410953
sakazuki-san-no-gikyoudai	サカズキさん家の義兄弟	秦槙吾	佐保	2017	9784041062951
satoko-to-nada	サトコとナダ	百均	ユペチカ / 西森 マリー	2017	9784063695724
sayounara-ryuusei-konnichiwa-jinsei	さようなら竜生、こんにちは人生	長田龍伯	くろの / 永島ひろあき	2017	9784434227981
secret-code-fukigen-na-angou-tantei	シークレットコード不機嫌な暗号探偵	雪永めりを	とりこぼ 縞屋	2017	9784091280039
secret-life	しーくれっトラいふ!	九重ヒビキ	とくら	2017	9784065105252
seiheki-sakuragaoka	聖へき†桜ケ丘	もちオーレ	夕仁 / 里　好	2017	9784048932578
seijaku-no-tsuki	静寂の月	大日野カルコ	森嶋ペコ / 姉村アネム	2017	9784801960299
seishun-soukanzu	青春相関図	和武はざの	廣瀬 俊 / 三宮 宏太	2017	9784065104309
senkai-no-mermaid	戦海のマーメイド	片山誠	かたやままこと	2017	9784253237581
sensei-no-yasashii-koroshikata	先生のやさしい殺し方	反転邪郎	反転シャロウ	2017	9784757555167
shachiku-ni-shinigami-ga-tsuku-anken	社畜に死神が憑く案件	陽村空葉	くろたま	2017	9784040694245
shiba-kun-to-shepherd-san	柴くんとシェパードさん	早蕨たまお	池森あゆ	2017	9784908757518
shikabane-ryouiki	屍領域	さとる	大前 貴史	2017	9784065103838
shikisai	四季彩	髙橋ツトム	高橋 ツトム	2017	9784065106037
shiniaruki	死にあるき	ひいろろに	了子	2017	9784091276629
shinpan-no-meisu	審判のメイス	老眼	ROHGUN / 矢立肇・富野由悠季 / 神野　淳一	2017	9784048929790
shiotaiou-no-shiota-kun	塩対応の塩田くん	永遠幸	エトオミユキ	2017	9784593881420
shittaka-brillia	しったかブリリア	カトウハルアキ	珈琲	2017	9784065105580
shitte-irukana-kisetsu-no-kotoba-to-gyouji	しっているかな?きせつのことばとぎょうじ	いそほゆうすけ	藤子・F・ 不二雄 / 青山 由紀	2017	9784092535862
shokunin-otoko-kanda-kun	職人男子神田くん	木下聡志	木下　さとし	2017	9784040690308
shotenin-hayama-komako	書店員波山個間子	東裏友希	黒谷　知也	2017	9784048927352
shoujo-manga-wa-okirai-desuka	少女マンガはお嫌いですか?	さとまるまみ	森田 羊	2017	9784063945591
show-by-rock-plasmagica-purupuru-diary	SHOW BY ROCK!!プラズマジカ♪ぷるぷるダイアリー	風緒	美月　めいあ / 株式会社サンリオ	2017	9784048926942
shussei-to-sokai-soshite-sengo	出征と疎開そして戦後	藤子・F・不二雄	中野 晴信	2017	9784323064093
sodom-no-ichi	ソドムの市	はるこ	田中文	2017	9784757552999
sofii-rose-to-ibara-no-warlock	ソフィー・ローズと荊棘の人形師	永遠幸	エトオミユキ	2017	9784757553064
sono-voice-yuuryou-desuka	そのボイス、有料ですか?	四宮和	甘里 シュガー / さなだ はつね	2017	9784063931556
soredemo-ore-no-mono-ni-naru	それでも俺のものになる	いけがみ小5	高崎ぼすこ	2017	9784801960862
soukuu-no-maou-rudel	蒼空の魔王ルーデル	片山誠	永川成基 / かたやままこと	2017	9784801957589
subaru-to-suu-san	昴とスーさん	菊池まりこ	高橋　那津子	2017	9784047346239
suizoku-company	水族カンパニー!	中川海二	イシイ 渡	2017	9784091895264
sukusuku-soramame	すくすくそらまめ	百山ネル	眉屋　まゆこ	2017	9784048959025
sundome-jieitai	すんどめ自衛隊	片山誠	かたやま まこと	2017	9784537135817
sundome-milky-way	すんどめ!!ミルキーウェイ	ふなつ一輝	ふなつ かずき	2017	9784088906362
taishou-no-kondate	大正の献立	ジョポジョリン	さかき しん	2017	9784785960896
tasukete-dokutaa-dokuta	たすけて!ドクター・ドク太	三葦十夢	神内 アキラ	2017	9784091423801
tatoe-todokanu-ito-dato-shitemo	たとえとどかぬ糸だとしても	真船佳奈	tMnR	2017	9784758076692
tenchou-dame-zettai	てんちょう、ダメ、絶対	細堀ゆかり	柴 なつみ	2017	9784088457222
terror-night	テラーナイト	青インク	月見 隆士	2017	9784091276551
the-athletes	ザ・アスリーターズ	田近康平	淡田青	2017	9784864685016
the-boys	ザ・ボーイズ	シンギョウガク	ガース・エニス / ダリック・ロバートソン / 椎名 ゆかり	2017	9784416617144
tokugawa-15	TOKUGAWA 15	赤のキノコ	斯波浅人	2017	9784041055465
totsuneetsu	突姉っ!	うおやま	児玉 潤	2017	9784065104873
toukoku-no-subaru	嶌国のスバル	後藤	カトウ チカ / 小林 裕和 / カトウ コトノ	2017	9784063906769
utsukushii-inu	美しい犬	大石普人	ハジメ / オオイシヒロト	2017	9784253252614
volley-no-tamago	バレーの球語	新川権兵衛	僕 男	2017	9784091276087
wakaki-taketora-kun-no-nayami	若き猛虎くんの悩み	ゆきの漫画家	熊猫	2017	9784813031451
wakeari-bukken-ni-wakeari	ワケあり物件にワケあり。	オトクニ	おむ・ザ・ライス	2017	9784799733585
watashi-nouryoku-wa-heikinchi-de-tte-ittayone-funa-2017	私、能力は平均値でって言ったよね!	荒井小豆	FUNA / 亜方逸樹	2017	9784803010091
watashi-to-sensei-no-genjuu-shinryouroku	わたしと先生の幻獣診療録	冴木ぽてり	火事屋	2017	9784800006844
yamada-bl	山田BL	山田J太	山田ユギ / 山田2丁目	2017	9784796410144
yano-kun-ni-oshihen-wa-dekinai	矢野くんに推し変はできない!	上機しほ	吉田 ばな	2017	9784063809480
yano-nanako-hakkyuu-o-ou	矢野七菜子、白球を追う。	丸本チンタ	田丸鴇彦	2017	9784199804120
yarisugi-itazura-kun	やりすぎ!!!イタズラくん	緋色の雨	吉野 あすみ	2017	9784091422842
yasei-no-rasubosu-ga-arawareta	野生のラスボスが現れた!	葉月翼	炎頭	2017	9784803011357
yata	ヤタ	カラス	ヤタ	2017	9784865893625
yotsukoto	ヨツコト	甘乃くぐり	双見酔 / 中曽ねこ	2017	9784832248830
youkai-giga	妖怪ギガ	巳島早生	佐藤 さつき	2017	9784091276902
youkai-massage	妖怪マッサージ	ふじい葛西	押切蓮介 / 忌木一郎	2017	9784253257213
yukiusagi-no-oshinagaki	ゆきうさぎのお品書き	有生青春	木田 翔一 / 小湊 悠貴	2017	9784088907178
yume-de-mita-ano-ko-no-tame-ni	夢で見たあの子のために	三部敬	三部　けい	2017	9784041063125
yuruo-senpai-to-watashi	ゆるお先輩とわたし	中島諒	泥川　恵	2017	9784040692760
yuuki-yuuna-wa-yuusha-de-aru-washio-sumi-no-show	結城友奈は勇者である-鷲尾須美の章-	高光晶	イチフジニタカ / Project　2H / タカヒロ / BUNBUN	2017	9784048934374
zenryaku-kumo-no-ue-yori	前略雲の上より	中馬孝博	猪乙くろ / 竹本 真	2017	9784065104101
zeus-no-te	ゼウスの手	一色こうき	花月 仁	2017	9784065103579
12ji-kara-hajimaru	12時からはじまる	右京あやね	左京亜也	2016	9784403665127
abigeiru-no-kemonotachi	薔薇監獄の獣たち	萩原あさ美	蒼木スピカ	2016	9784253273015
accel-star	アクセルスター	ひみつ	葉那	2016	9784088806433
after-5-no-jououtachi	アフター5の女王たち	武川慎	六反 りょう	2016	9784063695427
ai-sensei-wa-wakaranai	アイ先生はわからない	うおやま	児玉潤	2016	9784063910063
ajisai-planet	あじさい・プラネット	さかめがね	知梨	2016	9784832247499
akizuki-san-wa-otona-ni-narenai	秋月さんは大人になれない	三木よう子	優風	2016	9784091270849
akuma-no-memumemu-chan	悪魔のメムメムちゃん	三雲ネリ	四谷 啓太郎	2016	9784088808680
amayaka-na-yoru-no-otogibanashi	甘やかな夜のおとぎ話	辰巳仁	山田パン / 米田ひな	2016	9784776744313
aramitama	ARAMITAMA	ゴツボ×リュウジ	ゴツボリュウジ	2016	9784063910049
arifureta-shokugyou-de-sekai-saikyou	ありふれた職業で世界最強	くっきぃ	RoGa / 白米良 / たかやKi	2016	9784865541830
asonde-manga-no-onii-san	遊んで!まんがのお兄さん	生方めぐみ	むうりあん	2016	9784048658744
azuki-no-chi	あずきの地!	くろばR	ナガトカヨ	2016	9784776742937
bandori-koma-bandoritsu	BanG Dream!よんこま ばんどりっ!	早蕨たまお	しろいはくと / ISSEN / 中村　航 / ひと和	2016	9784048926089
bungou-act	文豪アクト	松虫あられ	真崎福太郎	2016	9784199803642
bungu-shoujo-no-nono	文具少女ののの	星屑七号	星屑7号	2016	9784757549937
challenge-up	Challenge Up!	友永晃浩	鈴木 手毬	2016	9784088456065
chaos-child	Chaos;Child	柴崎しょうじ	レルシー / MAGES． / Chiyo　St．inc．	2016	9784048923590
chiiko-basket	ちーこばすけっと!	佐々木陽子	米白粕	2016	9784040686196
chupakarabu	ちゅぱからぶ	カワグチタケシ	徳山るーしー	2016	9784063956139
crows-respect	クローズリスペクト	此元和津也	高橋ヒロシ	2016	9784253131759
cyborg-0-zeronain-zerozero-gakuen-kiki-ippatsu	サイボーグ009 00学園危機一髪	マイトウ	石ノ森章太郎 / まつはらともふみ	2016	9784835454313
danna-san-wa-kanbu-kouhosei	旦那さんは幹部候補生	こげどんぼ*	コゲどんぼ	2016	9784800005892
dekkaincho	でっかいんちょ	豊田アキヒロ	トイシキ	2016	9784832254510
desu-dot-teiibii	死.tv	金田達也	カネダ カズヤ	2016	9784091422606
dokuro-san-ga-mite-iru	どくろさんが見ている	藤野もやむ	桑佳　あさ	2016	9784040683287
doukyonin-ga-fuantei-deshite	同居人が不安定でして	甘露アメ	タカダ　フミ子	2016	9784048922883
dousei-kara-hajimemashita	同棲からはじめました。	なぱ	ko	2016	9784879197368
