shima-kousaku-zenshuu	standard/通常版	6	NDL在(適用済)	isbn=9784063647181 date=2008.5
shima-kousaku-zenshuu	standard/通常版	7	NDL在(適用済)	isbn=9784063647181 date=2008.5
shima-kousaku-zenshuu	standard/通常版	8	NDL在(適用済)	isbn=9784063647181 date=2008.5
shin-agatte-nanbo-taichiyo-nakuna	standard/通常版	16	手掛かりなし	
shin-agatte-nanbo-taichiyo-nakuna	standard/通常版	22	手掛かりなし	
shin-agatte-nanbo-taichiyo-nakuna	standard/通常版	23	手掛かりなし	
shin-agatte-nanbo-taichiyo-nakuna	standard/通常版	24	手掛かりなし	
shin-agatte-nanbo-taichiyo-nakuna	standard/通常版	25	手掛かりなし	
shin-agatte-nanbo-taichiyo-nakuna	standard/通常版	26	手掛かりなし	
shin-agatte-nanbo-taichiyo-nakuna	standard/通常版	27	手掛かりなし	
shin-agatte-nanbo-taichiyo-nakuna	standard/通常版	28	手掛かりなし	
shin-agatte-nanbo-taichiyo-nakuna	standard/通常版	29	手掛かりなし	
shin-agatte-nanbo-taichiyo-nakuna	standard/通常版	30	手掛かりなし	
shin-agatte-nanbo-taichiyo-nakuna	standard/通常版	32	手掛かりなし	
shin-furiten-kun	standard/通常版	8	NDL在(適用済)	isbn=9784801977426 date=2024.10
shin-kaiketsu-jouki-tanteidan	standard/通常版	8	JPRO判定初回で適用(楽天実物裏取り済)	
shin-karate-jigokuhen	standard/通常版	14	手掛かりなし	
shin-mimibukuro	standard/通常版	2	手掛かりなし	
shin-mimibukuro	standard/通常版	3	手掛かりなし	
shin-mimibukuro	standard/通常版	4	手掛かりなし	
shin-ranchesutaa-senryaku	standard/通常版	4	NDL在(適用済)	isbn=9784948732056 date=1988.2
shin-ranchesutaa-senryaku	standard/通常版	5	NDL在(適用済)	isbn=9784948732063 date=1988.4
shinigami-ni-totsugu-hi	standard/通常版	13	NDL在(適用済)	isbn=9784049158670 date=2024.9
shinimodori-no-mahou-gakkou-seikatsu-o-moto-koibito-to-puroroogu-kara	standard/通常版	5	NDL在(適用済)	isbn=9784046839343 date=2024.9
shinimodori-reijou-no-karisome-kekkon	standard/通常版	3	NDL在(適用済)	isbn=9784785977597 date=2024.9
shinjuu-kishi-sama-no-senzoku-maid	standard/通常版	2	NDL在(適用済)	isbn=9784065368541 date=2024.9
shinketsu-no-kyuuseishu	standard/通常版	3	NDL在(適用済)	isbn=9784049160697 date=2024.10
shinohayu	standard/通常版	18	NDL在(適用済)	isbn=9784757598171 date=2025.4
shinshin-agatte-nanbo-taichi-yo-nakuna	standard/通常版	10	手掛かりなし	
shinshin-agatte-nanbo-taichi-yo-nakuna	standard/通常版	13	手掛かりなし	
shinshin-agatte-nanbo-taichi-yo-nakuna	standard/通常版	14	手掛かりなし	
shinshin-agatte-nanbo-taichi-yo-nakuna	standard/通常版	15	手掛かりなし	
shinshin-agatte-nanbo-taichi-yo-nakuna	standard/通常版	16	手掛かりなし	
shinshin-agatte-nanbo-taichi-yo-nakuna	standard/通常版	17	手掛かりなし	
shinshin-agatte-nanbo-taichi-yo-nakuna	standard/通常版	2	手掛かりなし	
shinshin-agatte-nanbo-taichi-yo-nakuna	standard/通常版	3	手掛かりなし	
shinshin-agatte-nanbo-taichi-yo-nakuna	standard/通常版	5	手掛かりなし	
shinshin-agatte-nanbo-taichi-yo-nakuna	standard/通常版	6	手掛かりなし	
shinshin-agatte-nanbo-taichi-yo-nakuna	standard/通常版	7	手掛かりなし	
shinshin-agatte-nanbo-taichi-yo-nakuna	standard/通常版	8	手掛かりなし	
shinshin-agatte-nanbo-taichi-yo-nakuna	standard/通常版	9	NDL在(適用済)	isbn=9784862256560 date=2010.10
shirasunamura	standard/通常版	4	手掛かりなし	
shirasunamura	standard/通常版	5	手掛かりなし	
shirasunamura	standard/通常版	6	手掛かりなし	
shirasunamura	standard/通常版	7	手掛かりなし	
shiretsu-to-sugee-koto-itteru-gal	standard/通常版	2	NDL在(適用済)	isbn=9784088934983 date=2024.10
shisaku-nansensu-senshuu	standard/通常版	1	手掛かりなし	
shisaku-nansensu-senshuu	standard/通常版	3	手掛かりなし	
shizuku-chan	standard/通常版	43	JPRO判定初回で適用(楽天実物裏取り済)	
shokuba-to-jitaku-de-gap-no-aru-papa	standard/通常版	5	楽天live在(適用済)	isbn=9784041156056 date=2024年10月24日頃
shokubutsu-mahou-cheat-de-nonbiri-ryoushu-seikatsu-hajimemasu	standard/通常版	9	NDL在(適用済)	isbn=9784040756837 date=2024.11
shota-komi	standard/通常版	2	楽天live在(適用済)	isbn=9784790109785 date=2002年12月
shota-komi	standard/通常版	3	楽天live在(適用済)	isbn=9784790110132 date=2003年02月
shoukan-sareta-kenja-wa-isekai-o-yuku	standard/通常版	12	NDL在(適用済)	isbn=9784046840240 date=2024.10
shousetsu-fajji	standard/通常版	1	手掛かりなし	
shousetsu-fajji	standard/通常版	10	手掛かりなし	
shousetsu-fajji	standard/通常版	2	2周目適用(ndl-live2)	isbn=9784756700261
shousetsu-fajji	standard/通常版	3	2周目適用(ndl-live2)	isbn=9784756700544
shousetsu-fajji	standard/通常版	5	NDL在(適用済)	isbn=9784756709431 date=1995.10
shousetsu-fajji	standard/通常版	6	手掛かりなし	
shousetsu-fajji	standard/通常版	7	手掛かりなし	
shousetsu-fajji	standard/通常版	9	手掛かりなし	
show-chan-no-bouken	standard/通常版	2	手掛かりなし	
show-chan-no-bouken	standard/通常版	3	手掛かりなし	
show-chan-no-bouken	standard/通常版	4	手掛かりなし	
shukujo-no-kagami-yamemashita	standard/通常版	4	NDL在(適用済)	isbn=9784575418651 date=2024.11
shukujo-no-kagami-yamemashita	standard/通常版	5	NDL在(適用済)	isbn=9784575421439 date=2025.5
skill-saisei-to-hakai-kara-hajimaru-saikyou-boukensha-life	standard/通常版	4	NDL在(適用済)	isbn=9784813763857 date=2024.11
sky-high	standard/通常版	3	偽欠番(スカイハイIV混入が原因)=汚染是正で解消。IVはsky-high-fourへ独立頁化	
sleeping-beauty-clinic	standard/通常版	2	手掛かりなし	
sono-monban-saikyou-ni-tsuki	standard/通常版	7	NDL在(適用済)	isbn=9784575420036 date=2024.10
sono-otoko-wagamama-ni-tsuki-alpha	standard/通常版	2	手掛かりなし	
sora-ga-suki	standard/通常版	10	手掛かりなし	
sora-ga-suki	standard/通常版	11	手掛かりなし	
sora-ga-suki	standard/通常版	12	手掛かりなし	
sora-ga-suki	standard/通常版	13	手掛かりなし	
sora-ga-suki	standard/通常版	14	手掛かりなし	
sora-ga-suki	standard/通常版	15	手掛かりなし	
sora-ga-suki	standard/通常版	16	手掛かりなし	
sora-ga-suki	standard/通常版	17	手掛かりなし	
sora-ga-suki	standard/通常版	3	手掛かりなし	
sora-ga-suki	standard/通常版	4	手掛かりなし	
sora-ga-suki	standard/通常版	5	手掛かりなし	
sora-ga-suki	standard/通常版	6	手掛かりなし	
sora-ga-suki	standard/通常版	7	手掛かりなし	
sora-ga-suki	standard/通常版	8	手掛かりなし	
sora-ga-suki	standard/通常版	9	手掛かりなし	
sora-no-ue-no-aren	standard/通常版	1	2周目適用(rakuten-regate)	isbn=9784885705991
sora-no-ue-no-aren	standard/通常版	3	手掛かりなし	
soshite-kozure-ookami-shikaku-no-ko	standard/通常版	2	手掛かりなし	
soshite-kozure-ookami-shikaku-no-ko	standard/通常版	3	手掛かりなし	
soshite-kozure-ookami-shikaku-no-ko	standard/通常版	4	手掛かりなし	
souzou-mahou-o-oboete-bannou-de-saikyou-ni-narimashita	standard/通常版	4	NDL在(適用済)	isbn=9784434344954 date=2024.9
souzou-renkinjutsushi-wa-jiyuu-o-ouka-suru	standard/通常版	5	NDL在(適用済)	isbn=9784041152676 date=2024.10
sugar-spice	standard/通常版	17	手掛かりなし	
suki-ni-sasete-miseru-kara	standard/通常版	2	手掛かりなし	
supaidaaman-kizuna	standard/通常版	2	楽天live在(適用済)	isbn=9784088841779 date=2024年10月04日
sword-oratoria	standard/通常版	29	NDL在(適用済)	isbn=9784757595194 date=2024.11
taishou-shinkon-roman	standard/通常版	3	NDL在(適用済)	isbn=9784596718273 date=2024.11
takeru-1997-2	standard/通常版	3	手掛かりなし	
takeru-1997-2	standard/通常版	4	手掛かりなし	
tales-of-vesperia-4-koma-kings	standard/通常版	3	楽天live在(適用済)	isbn=9784758005197 date=2009年10月
tanku-chea	standard/通常版	7	NDL在(適用済)	isbn=9784065369937 date=2024.10
tenohira-kaitakumura-de-isekai-kenkokuki	standard/通常版	9	NDL在(適用済)	isbn=9784046839428 date=2024.9
tensei-kenja-no-isekai-life	standard/通常版	26	NDL在(適用済)	isbn=9784757595187 date=2024.11
tensei-kizoku-kantei-skill-de-nariagaru	standard/通常版	16	NDL在(適用済)	isbn=9784065370421 date=2024.10
tensei-kizoku-no-bannou-kaitaku	standard/通常版	10	NDL在(適用済)	isbn=9784065375129 date=2024.11
tensei-shita-daiseijo-wa-seijo-de-aru-koto-o-hitakakusu	standard/通常版	11	creator束縛再走で適用(分冊版ノイズ型)	
tensei-shitara-heimin-deshita	standard/通常版	5	NDL在(適用済)	isbn=9784575420388 date=2024.12
tensei-shitara-saikyoushu-tachi-ga-sumau-shima-deshita	standard/通常版	6	NDL在(適用済)	isbn=9784757594692 date=2024.10
tenshi-no-keisei	standard/通常版	4	NDL在(適用済)	isbn=9784065366318 date=2024.11
the-mad-pachi-slot-brother-s	standard/通常版	2	手掛かりなし	
toilet-hakase	standard/通常版	24	手掛かりなし	
toilet-hakase	standard/通常版	25	手掛かりなし	
toilet-hakase	standard/通常版	26	手掛かりなし	
toilet-hakase	standard/通常版	7	手掛かりなし	
tokugawa-otenba-hime	standard/通常版	6	NDL在(適用済)	isbn=9784253308267 date=2024.9
tokumorikobo-chan	standard/通常版	1	手掛かりなし	
tokumorikobo-chan	standard/通常版	10	手掛かりなし	
tokumorikobo-chan	standard/通常版	11	手掛かりなし	
tokumorikobo-chan	standard/通常版	2	手掛かりなし	
tokumorikobo-chan	standard/通常版	3	手掛かりなし	
tokumorikobo-chan	standard/通常版	6	手掛かりなし	
tokumorikobo-chan	standard/通常版	7	手掛かりなし	
tokusen-kobo-chan	standard/通常版	15	手掛かりなし	
tokusen-kobo-chan	standard/通常版	2	手掛かりなし	
tokusen-kobo-chan	standard/通常版	3	手掛かりなし	
totonou-oto	standard/通常版	2	NDL在(適用済)	isbn=9784065417126 date=2025.12
touhou-chirei-kiden	standard/通常版	5	2周目適用(ndl-live2)	isbn=9784049160482
tsuihousareta-kizoku-wa-hazure-skill-kodai-shoukan-de-eireitachi-to-henkyou-ryouchi-o-saikou-suru	standard/通常版	4	NDL在(適用済)	isbn=9784813763826 date=2024.11
tsuihousareta-sareta-kajishi-wa-cheat-skill-de-densetsu-o-tsukurimakuru	standard/通常版	2	creator束縛再走で適用(分冊版ノイズ型)	
tsuihousareta-sareta-otsu-san-kajishi-naze-densetsu-no-daimeikou-ni-naru	standard/通常版	4	NDL在(適用済)	isbn=9784575423143 date=2025.12
tsuihousareta-sareta-tensei-kizoku-hazure-skill-de-naisei-musou	standard/通常版	5	NDL在(適用済)	isbn=9784813763710 date=2024.10
umanari-1-haron-theater	standard/通常版	25	手掛かりなし	
umanari-1-haron-theater	standard/通常版	26	手掛かりなし	
umanari-1-haron-theater	standard/通常版	27	手掛かりなし	
umanari-1-haron-theater	standard/通常版	28	手掛かりなし	
umanari-1-haron-theater	standard/通常版	29	手掛かりなし	
umanari-1-haron-theater	standard/通常版	30	手掛かりなし	
umanari-1-haron-theater	standard/通常版	31	手掛かりなし	
umanari-1-haron-theater	standard/通常版	32	手掛かりなし	
umanari-1-haron-theater	standard/通常版	33	手掛かりなし	
ura-deka	standard/通常版	4	手掛かりなし	
ura-deka	standard/通常版	6	手掛かりなし	
ura-deka	standard/通常版	7	手掛かりなし	
ura-deka	standard/通常版	8	手掛かりなし	
urin-ranse-o-kakeru	standard/通常版	4	NDL在(適用済)	isbn=9784867943700 date=2025.1
uta-no-purinsusamatsu	standard/通常版	2	NDL在(適用済)	isbn=9784048665858 date=2014.5
veeru-no-seijo	standard/通常版	3	NDL在(適用済)	isbn=9784575420326 date=2024.12
waibaan-no-kodomotachi	standard/通常版	3	手掛かりなし	
waibaan-no-kodomotachi	standard/通常版	4	手掛かりなし	
wakaoku-sama-wa-udemakuri	standard/通常版	2	手掛かりなし	
wakiyaku-ni-tensei-shita-hazu-ga-itsunomanika-densetsu-no-renkinjutsushi-ni-natteta	standard/通常版	4	NDL在(適用済)	isbn=9784065370056 date=2024.10
watashi-ga-seijo-iie-akuyaku-reijou-desu	standard/通常版	6	NDL在(適用済)	isbn=9784867166888 date=2025.1
watashi-ni-ai-o-sakebasete	standard/通常版	2	楽天live在(適用済)	isbn=9784088430607 date=2024年11月25日
watashi-no-koto-kirai-tte-iimashitayone	standard/通常版	6	NDL在(適用済)	isbn=9784867781241 date=2024.12
watashitachi-wa-mutsuu-love-ga-shitai	standard/通常版	6	NDL在(適用済)	isbn=9784065374337 date=2024.11
x-men-1994-4	standard/通常版	1	手掛かりなし	
x-men-1994-4	standard/通常版	10	手掛かりなし	
x-men-1994-4	standard/通常版	11	手掛かりなし	
x-men-1994-4	standard/通常版	3	手掛かりなし	
x-men-1994-4	standard/通常版	4	手掛かりなし	
x-men-1994-4	standard/通常版	5	手掛かりなし	
x-men-1994-4	standard/通常版	6	手掛かりなし	
x-men-1994-4	standard/通常版	7	2周目適用(ndl-live2)	isbn=9784884757397
x-men-1994-4	standard/通常版	8	手掛かりなし	
x-men-1994-4	standard/通常版	9	手掛かりなし	
yakushiji-ryouko-no-kaiki-file-kiri-no-houmonsha	standard/通常版	7	手掛かりなし	
yama-o-wataru	standard/通常版	7	NDL在(適用済)	isbn=9784047380950 date=2024.10
yasashii-kazoku-to-taku-san-no-mofumofu-ni-kakomarete-isekai-de-shiawase-ni-kurashimasu	standard/通常版	9	NDL在(適用済)	isbn=9784575420463 date=2024.12
yattara	standard/通常版	2	楽天live在(適用済)	isbn=9784088845289 date=2025年05月02日
yozakura-quartet	standard/通常版	33	NDL在(適用済)	isbn=9784065389584 date=2025.4
yume-ha-taafu-o-kakemeguru	standard/通常版	1	手掛かりなし	
yume-ha-taafu-o-kakemeguru	standard/通常版	2	2周目適用(rakuten-regate)	isbn=9784877190972
yume-ha-taafu-o-kakemeguru	standard/通常版	3	2周目適用(rakuten-regate)	isbn=9784877191092
yume-ha-taafu-o-kakemeguru	standard/通常版	7	NDL在(適用済)	isbn=9784877192129 date=1995.2
yurihime-wild-rose	standard/通常版	2	楽天live在(適用済)	isbn=9784758070294 date=2008年07月
yuugo-akana2011	standard/通常版	2	NDL在(適用済)	isbn=9784063761382 date=2011.10
yuusha-densetsu-no-uragawa-de-ore-wa-eiyuu-densetsu-o-tsukurimasu	standard/通常版	8	2周目適用(ndl-live2)	isbn=9784575420043
yuusha-party-o-tsuihousareta-sareta-shiromadoushi-esuranku-boukensha-ni-hirowareru	standard/通常版	8	NDL在(適用済)	isbn=9784575420289 date=2024.11
yuusha-to-yobareta-nochi-ni	standard/通常版	6	NDL在(適用済)	isbn=9784065371220 date=2024.10
zakoken-maruchou	standard/通常版	4	手掛かりなし	
zeitaku-zanmai-shitai-no-desu	standard/通常版	5	手掛かりなし	
zenkan-shutsugeki	standard/通常版	2	2周目適用(rakuten-regate)	isbn=9784191249882
zettai-bl-ni-naru-sekai-vs-zettai-bl-ni-naritakunai-otoko	standard/通常版	5	楽天live在(適用済)	isbn=9784107727572 date=2024年10月08日
zootopia	standard/通常版	2	手掛かりなし	
akuyaku-reijou-seshiria-shirubii-wa-shinitakunai-node-dansou-suru-koto-ni-shita	standard/通常版	7	楽天cache在	isbn=9784046841100 date=2024年10月17日頃 series=フロース　コミック au=秋山　シノ/秋桜　ヒロロ/ダンミル
asagiiro-no-saudaaji	standard/通常版	2	楽天cache在	isbn=9784041168837 date=2025年11月26日頃 series= au=サクタロー
atagoul-wa-neko-no-mori	standard/通常版	4	楽天cache在	isbn=9784840104562 date=2002年08月23日 series=MFコミックス フラッパーシリーズ au=ますむら・ひろし
atagoul-wa-neko-no-mori	standard/通常版	5	楽天cache在	isbn=9784840104838 date=2003年03月22日 series=MFコミックス フラッパーシリーズ au=ますむら・ひろし
atagoul-wa-neko-no-mori	standard/通常版	6	楽天cache在	isbn=9784840109123 date=2003年11月22日 series=MFコミックス フラッパーシリーズ au=ますむら・ひろし
atagoul-wa-neko-no-mori	standard/通常版	7	楽天cache在	isbn=9784840109598 date=2004年07月23日 series=MFコミックス フラッパーシリーズ au=ますむら・ひろし
atagoul-wa-neko-no-mori	standard/通常版	8	楽天cache在	isbn=9784840109994 date=2005年03月23日 series=MFコミックス フラッパーシリーズ au=ますむら・ひろし
bannou-jochuu-konii-ville	standard/通常版	3	楽天cache在	isbn=9784866697284 date=2024年12月20日頃 series=FK comics au=黒コマリ/百七花亭/krage
bijo-to-kenja-to-mazin-no-ken	standard/通常版	6	楽天cache在	isbn=9784799220443 date=2025年05月08日頃 series=ヴァルキリーコミックス　395 au=モティカ/片遊佐牽太
blue-archive-benriya-68-gyoumu-nisshi	standard/通常版	3	楽天cache在	isbn=9784048996303 date=2024年07月08日頃 series=ブシロードコミックス au=野際　かえで/ブルーアーカイブ
bokura-no-kiseki	standard/通常版	31	楽天cache在	isbn=9784758086158 date=2024年11月28日 series=ZEROSUMコミックス au=久米田夏緒
bon	standard/通常版	1	楽天cache在	isbn=9784845807277 date=1994年05月27日頃 series=SPコミックス au=鈴木岳生/工藤かずや
bon	standard/通常版	2	楽天cache在	isbn=9784845808144 date=1994年09月09日頃 series=SPコミックス au=鈴木岳生/工藤かずや
chouetsusha-to-natta-otsu-san-wa-mai-peesu-ni-isekai-o-sansaku-suru	standard/通常版	6	楽天cache在	isbn=9784434268960 date=2019年12月 series= au=神尾優
daishizen-no-mahoushi-asht-sutareta-ryouchi-de-slow-life	standard/通常版	5	楽天cache在	isbn=9784434284045 date=2021年01月21日頃 series= au=さとう
danzai-sareta-akuyaku-reijou-wa-gyakkou-shite-kanpeki-na-akujo-o-mezasu	standard/通常版	5	楽天cache在	isbn=9784866998657 date=2023年06月20日 series= au=楢山幕府
do-inaka-no-hakugai-reijou-wa-outo-no-elite-kishi-ni-dekiai-dekiaisareru	standard/通常版	4	楽天cache在	isbn=9784434346279 date=2024年10月25日頃 series=DREコミックス au=幸原ゆゆ/青季ふゆ/有谷 実
doku-doku-mori-mori	standard/通常版	3	楽天cache在	isbn=9784864682947 date=2024年10月04日 series=ヒーローズコミックス au=背川昇
etsu-nouryoku-nashi-de-party-tsuihousareta-sareta-ore-ga-zen-zokusei-mahou-tsukai	standard/通常版	4	楽天cache在	isbn=9784434334764 date=2024年02月21日頃 series= au=たかたちひろ
fuguu-skill-no-renkinjutsushi-henkyou-o-kaitaku-suru	standard/通常版	5	楽天cache在	isbn=9784434323164 date=2023年08月23日 series= au=つちねこ
fujiko-efu-fujio-esuefu-tanpen-konpuriito-works	standard/通常版	7	楽天cache在	isbn=9784098618316 date=2023年04月07日 series=ビッグ コミックス au=藤子・F・ 不二雄
fushiou-wa-surooraifu-o-kibou-shimasu	standard/通常版	4	楽天cache在	isbn=9784434315060 date=2023年01月25日 series= au=小狐丸
gold-2004	standard/通常版	2	楽天cache在	isbn=9784785921101 date=2001年08月 series=ヤングキングコミックス au=山本隆一郎
gold-2004	standard/通常版	3	楽天cache在	isbn=9784785921460 date=2001年12月 series=ヤングキングコミックス au=山本隆一郎
gold-2004	standard/通常版	4	楽天cache在	isbn=9784785921859 date=2002年05月 series=ヤングキングコミックス au=山本隆一郎
gold-2004	standard/通常版	5	楽天cache在	isbn=9784785922191 date=2002年08月 series=ヤングキングコミックス au=山本隆一郎
gold-2004	standard/通常版	6	楽天cache在	isbn=9784785922573 date=2003年02月 series=ヤングキングコミックス au=山本隆一郎
gold-2004	standard/通常版	7	楽天cache在	isbn=9784785923334 date=2003年07月 series=ヤングキングコミックス au=山本隆一郎
gold-2004	standard/通常版	8	楽天cache在	isbn=9784785923778 date=2003年11月 series=ヤングキングコミックス au=山本隆一郎
guild-no-uketsukejou-desu-zangyou-wa-iya-nanode-bosu-o-soro-toubatsu-shiyou-to-omoimasu	standard/通常版	5	楽天cache在	isbn=9784049159714 date=2024年10月10日頃 series=電撃コミックスNEXT au=香坂　マト/優木　すず
horegusuri-o-nonda-supadari-ga-yabasugimasu	standard/通常版	3	楽天cache在	isbn=9784911186091 date=2024年07月17日頃 series=caramelコミックス au=南国ばなな
imokusa-reijou-desu-akuyaku-reisoku-o-tasuketara-kiniiraremashita	standard/通常版	6	楽天cache在	isbn=9784824006660 date=2023年11月25日頃 series=オーバーラップノベルスf au=桜あげは/くろでこ
isekai-ja-surooraifu-wa-mamanaranai	standard/通常版	4	楽天cache在	isbn=9784434319242 date=2023年04月19日 series= au=夏柿シン
isekai-meikyuu-no-saishinbu-o-mezasou	standard/通常版	7	楽天cache在	isbn=9784824010025 date=2024年11月25日頃 series=ガルドコミックス au=左藤圭右/割内タリサ/鵜飼沙樹
isshun-de-chiryou-shiteita-noni-yakutatazu-to-tsuihousareta-sareta-tensai-chiyushi-yami-healer	standard/通常版	4	Wiki percaseで適用(漫画版9784815618773)。旧候補9784815616120はGAノベル小説4巻=影武者だった	
kai-riki-ran-shin-quan	standard/通常版	3	楽天cache在	isbn=9784840109499 date=2004年05月22日 series=MFコミックス フラッパーシリーズ au=志水　アキ
kai-riki-ran-shin-quan	standard/通常版	4	楽天cache在	isbn=9784840113601 date=2006年02月23日 series=MFコミックス フラッパーシリーズ au=志水　アキ
kawaii-uso-no-kawauso	standard/通常版	7	楽天cache在	isbn=9784047383654 date=2025年04月03日頃 series= au=Lommy
kimi-ni-sasageru-otokomae	standard/通常版	2	楽天cache在	isbn=9784049161342 date=2024年11月22日頃 series=シルフコミックス au=文之助
kiss-de-goukaku	standard/通常版	2	楽天cache在	isbn=9784088623559 date=1996年10月23日頃 series=YOUコミックス au=粕谷紀子
knitter-s-high	standard/通常版	5	楽天cache在	isbn=9784041154281 date=2024年10月09日 series=角川コミックス・エース au=猫田　ゆかり
koutei-no-yakuzenhi	standard/通常版	4	楽天cache在	isbn=9784046840400 date=2024年09月17日頃 series=フロース　コミック au=かなたろう/尾道　理子/名司生
love-phantom	standard/通常版	13	楽天cache在	isbn=9784098728497 date=2024年11月08日 series=フラワーコミックス α au=みつき かこ
manga-ningen-no-jouken	standard/通常版	2	楽天cache在	isbn=9784794503152 date=1988年05月 series= au=石ノ森　章太郎/五味川　純平
minna-ga-kagayaku-tame-ni	standard/通常版	5	楽天cache在	isbn=9784908555756 date=2024年08月06日頃 series= au=梅田 真理/河西 哲郎
net-no-oshi-to-real-no-oshi-ga-tonari-ni-hikkoshitekita	standard/通常版	3	楽天cache在	isbn=9784824009999 date=2024年11月25日頃 series=ガルドコミックス au=カタケイ/遥 透子/秋乃える
noroi-no-ko-to-shiitagerareta-reijou-wa-koori-no-hakushaku-ni-dekiai-dekiaisareru	standard/通常版	2	楽天cache在	isbn=9784866753836 date=2024年10月15日頃 series=ポラリスCOMICS au=筒井美雪
ookiku-furikabutte	standard/通常版	37	楽天cache在	isbn=9784065373019 date=2024年11月21日 series=アフタヌーンKC au=ひぐち アサ
quartet	standard/通常版	2	楽天cache在	isbn=9784088750620 date=1991年09月19日頃 series=ヤングジャンプコミックス au=山崎花子
saikyou-no-seisanou-wa-nani-ga-nandemo-honobono-shitai	standard/通常版	3	楽天cache在	isbn=9784434316500 date=2023年02月22日 series= au=Erily
shinmai-renkinjutsushi-no-tenpo-keiei	standard/通常版	7	楽天cache在	isbn=9784799220450 date=2025年05月08日頃 series=ヴァルキリーコミックス　396 au=kirero/いつきみずほ
shiori-experience-2021	standard/通常版	10	楽天cache在	isbn=9784757557024 date=2018年04月 series=ビッグガンガンコミックス au=長田悠幸/町田一八
shiori-experience-2021	standard/通常版	11	楽天cache在	isbn=9784757558267 date=2018年08月25日頃 series=ビッグガンガンコミックス au=長田悠幸/町田一八
shiori-experience-2021	standard/通常版	12	楽天cache在	isbn=9784757559875 date=2019年01月25日頃 series=ビッグガンガンコミックス au=長田悠幸/町田一八
shiori-experience-2021	standard/通常版	13	楽天cache在	isbn=9784757562608 date=2019年08月24日頃 series=ビッグガンガンコミックス au=長田悠幸/町田一八
shiori-experience-2021	standard/通常版	14	楽天cache在	isbn=9784757564831 date=2020年01月23日頃 series=ビッグガンガンコミックス au=長田悠幸/町田一八
shiori-experience-2021	standard/通常版	15	楽天cache在	isbn=9784757568136 date=2020年08月25日頃 series=BGC au=長田悠幸;町田一八
shiori-experience-2021	standard/通常版	2	楽天cache在	isbn=9784757543720 date=2014年11月27日頃 series=ビッグガンガンコミックス au=長田悠幸/町田一八
shiori-experience-2021	standard/通常版	3	楽天cache在	isbn=9784757545229 date=2015年02月20日頃 series=ビッグガンガンコミックス au=長田悠幸×町田一八
shiori-experience-2021	standard/通常版	4	楽天cache在	isbn=9784757546516 date=2015年05月25日頃 series=ビッグガンガンコミックス au=長田悠幸/町田一八
shiori-experience-2021	standard/通常版	5	楽天cache在	isbn=9784757547766 date=2015年10月24日頃 series=ビッグガンガンコミックス au=長田悠幸/町田一八
shiori-experience-2021	standard/通常版	6	楽天cache在	isbn=9784757549708 date=2016年04月25日頃 series=ビッグガンガンコミックス au=長田悠幸/町田一八
shiori-experience-2021	standard/通常版	7	楽天cache在	isbn=9784757551657 date=2016年11月25日頃 series=ビッグガンガンコミックス au=長田悠幸/町田一八
shiori-experience-2021	standard/通常版	8	楽天cache在	isbn=9784757552616 date=2017年02月25日頃 series=ビッグガンガンコミックス au=長田悠幸/町田一八
shiori-experience-2021	standard/通常版	9	楽天cache在	isbn=9784757554870 date=2017年09月25日頃 series=ビッグガンガンコミックス au=長田悠幸/町田一八
takane-no-hanao-kun	standard/通常版	6	楽天cache在	isbn=9784910340166 date=2024年10月04日頃 series=Colorful! コミックス au=ココハル
tate-no-yuusha-no-nariagari	standard/通常版	26	楽天cache在	isbn=9784046840738 date=2024年10月22日 series=MFコミックス フラッパーシリーズ au=藍屋球/アネコ　ユサギ/弥南　せいら
tate-no-yuusha-no-nariagari	standard/通常版	29	楽天cache在	isbn=9784046854285 date=2025年12月23日 series=MFコミックス フラッパーシリーズ au=藍屋球/アネコ　ユサギ/弥南　せいら
tetsu-bon	standard/通常版	36	楽天cache在	isbn=9784098631124 date=2024年09月30日 series=ビッグ コミックス au=永松 潔/高橋 遠州
tsugi-ha-anata-ga-yarareru-ban-death	standard/通常版	3	楽天cache在	isbn=9784049163797 date=2025年04月24日頃 series=電撃コミックスNEXT au=原　つもい
virgin-mama	standard/通常版	10	楽天cache在	isbn=9784575821147 date=1996年01月11日頃 series=アクションコミックス au=村生ミオ
virgin-mama	standard/通常版	11	楽天cache在	isbn=9784575821680 date=1996年07月18日頃 series=アクションコミックス au=村生ミオ
yadamon	standard/通常版	2	楽天cache在	isbn=9784197700134 date=1994年05月29日頃 series=アニメージュコミックス au=Suezen
yoku-aru-fantasy-shousetsu-de-gakeppuchi-kisaki-to-shite-ikinokoru	standard/通常版	4	楽天cache在	isbn=9784046846594 date=2025年04月04日頃 series=フロース　コミック au=AhBin/Nokki
yuuutsuna-asa	standard/通常版	7	楽天cache在	isbn=9784199606977 date=2016年11月25日頃 series=CHARA コミックス au=日高ショーコ
bikkuriman-omoshiro-land	standard/通常版	1	種2同題別作疑い(著者不一致)	isbn=9784253099295 date=1988-04-10 series_key=name:企画者104|name:ビックリマン おもしろランド s2au=
bikkuriman-omoshiro-land	standard/通常版	2	種2同題別作疑い(著者不一致)	isbn=9784253099301 date=1988-04-10 series_key=name:企画者104|name:ビックリマン おもしろランド s2au=
