class	slug	title	vols	imprint	publisher	evidence	recommend
再録選集(二重)	golgo-13-readers-choice-best-13-of-g	ゴルゴ13リーダーズ・チョイスBEST 13 OF“G”	1	BIG COMICS SPECIAL	小学館	★楽天題は「改訂版「ゴルゴ13」リーダーズ・チョイス」、CAP「読者が選ぶ至高の13作品決定!!」「2001年に発売された『リーダーズ・チョイス』より…アップ・トゥー・デート」= 上の改訂版。実質同一作品の二重頁	★適用済(2026-09-02 drop)
コンビニ廉価	gorugo1983	ゴルゴ1983	1	None	小学館	★楽天題は「ゴルゴ13クロニクル(18)」ser=My First BIG SPECIAL = コンビニ廉価再録。頁の題「ゴルゴ1983」は実題ではない	★適用済(2026-09-02 drop)
コンビニ廉価	gorugo1987	ゴルゴ1987	1	None	小学館	★楽天題は「ゴルゴ13クロニクル(17)」ser=My First BIG SPECIAL。同上	★適用済(2026-09-02 drop)
データ破損	golgo-13-series	ゴルゴ13シリーズ	11	None	(unknown)	巻52/59/65/68/103/104…がISBNなしで並ぶ。本編 golgo-13(437巻) からの分裂断片。作品ではない	統合 or drop
keep(新作)	golgo-13-supinofu-series	ゴルゴ13スピンオフシリーズ	2	BIG COMICS SPECIAL	小学館	楽天CAP「ゴルゴ13シリーズ“初”スピンオフ連載」「さいとう・たかを氏の遺志を受け継ぎ紡ぎ出された完全新作」= 描き下ろしの新作	keep
keep(別作品)	golgo-san	ゴルゴさんち	1	BIG CUSTOM SERIES	小学館	セツコ・山田(さいとう・たかをの元妻)による家族ギャグ漫画。ゴルゴ13の抜粋本ではない	keep
keep(別作品)	d-no-gorugota	Dの十字架(ゴルゴタ)	6	LINE COMICS	LINE Digital Frontier	井本仁の別作品。「ゴルゴタ」の文字列一致で拾われただけ	keep
要確認	golgo-to-yobareta-otoko	ゴルゴと呼ばれた男	1	None	政策時報社/パワーソフト	著者「プロジェクト=デューク」。楽天/NDLとも書誌のみで内容不明。漫画かどうか未確認	要確認
関連(選集・ゴルゴ外)	saitou-takao-ikenami-shoutarou-jidai-gekiga-waido-selection	さいとう・たかを池波正太郎時代劇画ワイドセレクション	11	SP pocket wide	リイド社	題に「セレクション」。楽天題「(炎之章)(竜之章)」= 池波原作作品の再録選集	drop候補
関連(選集・ゴルゴ外)	sai-tou-takao-jidai-gekiga-tanpen-selection	さいとう・たかを時代劇画短編セレクション	1	SPコミックス	リイド社	題に「セレクション」	drop候補
関連(選集・ゴルゴ外)	gekiga-1964-saitou-takao-gorira-collection	劇画1964 さいとう・たかをゴリラコレクション	1	None	リイド社	題に「コレクション」。楽天題は「劇画1964」	drop候補
関連(アンソロジー)	big-comic-selection-meisaku-tanpenshuu	ビッグコミックセレクション名作短編集	1	BIG COMICS SPECIAL	小学館	★楽天author=あだち充/石ノ森章太郎/一ノ関圭/楳図かずお/浦沢直樹/上村一夫。CAPに18作家の収録一覧 = 多著者アンソロジーの名作選	drop候補
