最終発売日	slug	title	著者	巻数	status	adult
2026-11-05	seijo-janai-to-misuteta-kuseni-imasara-tasukete-toka-iwaretemo	聖女じゃないと見捨てたくせに、今さら助けてとか言われてももう無理です!	てんてんどんどん	1	ongoing	
2026-11-05	kouryaku-fukanou-na-kusogee-no-hiroin-ni-tensei-shiteita	攻略不可能なクソゲーのヒロインに転生していたので、殺される前に離脱したい	菜々	1	ongoing	
2026-11-05	densetsu-no-akuyaku-reijou-rashii-node-honpen-ni-wa-denai-koto	伝説の悪役令嬢らしいので本編には出ないことにしました	イトカワジンカイ	1	ongoing	
2026-11-02	shinjin-henshuu-kun-ga-kawaisugite-muri	新人編集くんが可愛すぎてムリ!	三角すみ	1	ongoing	
2026-11-02	ikinari-singapore-kazoku-de-watashiboshi-shimashita	いきなりシンガポール　家族で渡星しました	有井エリス	1	ongoing	
2026-10-30	zure-koi-biyori	ずれ恋日和	こやまかおり	1	ongoing	
2026-10-30	zenin-ikemen-ni-shiteyaru	全員イケメンにしてやる!	叶輝	1	ongoing	
2026-10-30	teinengo-wa-isekai-de-taneuma-seikatsu	定年後は異世界で種馬生活	URAN	2	ongoing	
2026-10-30	suiken-japan	酔拳JAPAN	山本英夫	1	ongoing	
2026-10-30	shachiku-chan-to-seikatsu-kaizenkei-shota-akuma	社畜ちゃんと生活改善系ショタ悪魔	夢鳥八重	4	ongoing	
2026-10-30	saigo-no-inyoushi-to-sono-tsuma	最後の陰陽師とその妻	山田ツナ子	2	ongoing	
2026-10-30	onsen-shaaku	温泉シャーク	おのでらさん	1	ongoing	
2026-10-30	nanbanjin	南蛮人	松本 大洋	1	ongoing	
2026-10-30	kyoukaisen-no-imuko-san	境怪線の忌子さん	玉井雪雄	2	ongoing	
2026-10-30	isekai-esute	異世界エステ	モティカ	1	ongoing	
2026-10-30	isekai-de-uwamae-hanete-ikite-iku	異世界で上前はねて生きていく	こばみそ	13	ongoing	
2026-10-29	youkoso-shuudouin-e-koko-wa-tsuihou-sareta-onna-tachi-no-rakuen-yo	ようこそ修道院へ、ここは追放された女たちの楽園よ	サコ	1	ongoing	
2026-10-29	yandere-kishidan-no-hikari-no-seijodesu-ga-karera-no-kokoro-no-yami	ヤンデレ騎士団の光の聖女ですが、彼らの心の闇は照らせますか?	たかつじ楓	1	ongoing	
2026-10-29	vitooria-no-kantoku	ヴィトーリアの監督	ちゃんやつ	2	ongoing	
2026-10-29	ore-no-ai-o-yome	俺の愛を読め	青海深太郎	1	ongoing	
2026-10-29	kuchibeni-o-tsukete-shussha-suru-shinnyuu-shine-ga-ki-ni-naru	口紅をつけて出社する新入社員が気になる	篠原とも	3	ongoing	
2026-10-29	jizeru-odetto-no-ryuugi-wazawai-no-reijou-to-13-banme-no-ouji	ジゼル・オデットの流儀 -禍の令嬢と13番目の王子ー	にび	1	ongoing	
2026-10-29	bungou-no-oyatsu	文豪のおやつ	糸なつみ	1	ongoing	
2026-10-28	sumiharu-hammer	スミハルハンマー	三ツ矢だいふく	1	ongoing	
2026-10-28	ouji-wa-muku-na-shinkan-o-koyonaku-aisu	王子は無垢な神官をこよなく愛す	今市子	1	ongoing	
2026-10-28	kokouna-kanojo-to-kanojo-no-heya-de-shi-terukoto	孤高なカノジョと、彼女の部屋でシてること	麦子	1	ongoing	
2026-10-27	sono-hakushaku-reijou-kaedama-nitsuki-kaedama-no-watashi-ga-koushaku	その伯爵令嬢、“替え玉”につき 替え玉のわたし(妹)が侯爵に溺愛されるなんてあり得ません	とんこつ毬藻	1	ongoing	
2026-10-27	sokuhi-ni-natta-kedo-betsu-ni-aisanakute-ii-desuyo	側妃になったけど、別に愛さなくていいですよ?	奥村さとり	2	ongoing	
2026-10-27	skill-tree-no-kaijousha	スキルツリーの解錠者	錬金王	2	ongoing	
2026-10-27	seishun-tetsudou-2027-nendoban	青春鉄道　2027年度版	青春	1	ongoing	
2026-10-27	ochikobore-yuusha-party-no-kitsuenjo	おちこぼれ勇者パーティの喫煙所	まもウィリアムズ	1	ongoing	
2026-10-27	net-idol-no-haishin-o-tetsudatteita-manager-no-ore-naze-bazutte-shimau	ネットアイドルの配信を手伝っていたマネージャーの俺、なぜかバズってしまう	木嶋隆太	3	ongoing	
2026-10-27	kuro-hyou-kakka-no-konyakusha	黒豹閣下の婚約者	三沢ケイ	1	ongoing	
2026-10-27	isekai-sushi-zanmai-maguro-daiou-kimura-shachoushoku-otsuujite-isekai	異世界すしざんまい マグロ大王木村社長、食を通じて異世界改革!	すずの木くろ	2	ongoing	
2026-10-27	hametsu-no-nyotei-11-kaime-no-jinsei-wa-reikoku-nyotei-o-yamete	破滅の女帝 11回目の人生は冷酷女帝を辞めて処刑エンドを回避します	日之影ソラ	1	ongoing	
2026-10-27	boku-wa-kimi-to-yume-o-miru	僕は君とユメをみる。	補欠	1	ongoing	
2026-10-27	ato-wa-go-jiyuu-ni-douzo	あとはご自由にどうぞ!	鬼影スパナ	4	ongoing	
2026-10-26	yaoyorozu-toriatsukai-setsumeisho	やおよろず取扱説明書	最富キョウスケ	1	ongoing	
2026-10-26	shimei-tehaishi	死命手配師	落合裕介	1	ongoing	
2026-10-26	mother-nobemasami2026	Mother	野部優美	1	ongoing	
2026-10-26	minna-no-shokutaku-satoimo-no-nimono	みんなの食卓 サトイモの煮物	アンソロジー	1	ongoing	
2026-10-26	gorilla	ゴリラ	野部優美	1	ongoing	
2026-10-26	gohan-zame	ごはんザメ	さいとう二三	1	ongoing	
2026-10-26	bandage	BANDAGE	航島カズト	1	ongoing	
2026-10-23	yotta-hana-ni-wa-ura-ga-aru	酔った華にはウラがある	ものと	1	ongoing	
2026-10-23	tsuihou-sareta-boukenshatachi-wa-batsubatsubatsu-na-dungeon	追放された冒険者たちは×××なダンジョンでなりあがる!	内田弘樹	2	ongoing	
2026-10-23	toro-wa-furuuru-wa-uso-o-tsuku	トロワ・フルールは嘘をつく	缶乃	1	ongoing	
2026-10-23	mate-ga-dekinai-hinata-kun	待てができない日向くん	しろまゆ	3	ongoing	adult
2026-10-23	kurokami-seiso-no-reikoku-bishoujo-o-tasuketara	黒髪清楚の冷酷美少女を助けたら、俺と二人きりの時だけデレるようになった件	ぷらぷら	2	ongoing	
2026-10-23	kazoku-ni-yakutatazu-to-iwaretsuzuketa-watashi-ga-mashou-no-koushaku-kishi-sama-no-saiai-ni-naru	家族に役立たずと言われ続けたわたしが、魔性の公爵騎士様の最愛になるまで	鳴田るな	8	ongoing	
2026-10-23	imouto-no-haishin-ni-hairikondara-vtuber-atsukai-sareta-ken	妹の配信に入り込んだらVTuber扱いされた件	江波界司	2	ongoing	
2026-10-23	futari-bocchi-no-shitsurakuen	ふたりぼっちの失楽園	一色いち	1	ongoing	
2026-10-23	ereki-seed	エレキシード	ZHENA	1	ongoing	
2026-10-23	chichi-wa-eiyuu-haha-wa-seirei-musume-no-watashi-wa-tenseisha	父は英雄、母は精霊、娘の私は転生者。	大堀ユタカ	15	ongoing	
2026-10-23	byoujaku-na-kizumono-reijou-no-himitsu-no-kekkon	病弱な? 傷物令嬢の秘密の結婚	高嶋サキ	2	ongoing	
2026-10-23	butsurigata-shiromadoushi-no-kiseki	物理型白魔導師の軌跡	桜ノ宮天音	1	ongoing	
2026-10-22	vtuber-kusamura-shigemi	VTuber草村しげみ	さかめがね	3	ongoing	
2026-10-22	tokubetsu-janaihi-toki-o-musubu-hon	特別じゃない日 時をむすぶ本	稲空穂	1	ongoing	
2026-10-22	otoko-no-ko-mo-maid-fuku-de-kawaiku-natte-ii-desu-ka	男の子もメイド服でかわいくなっていいですか?	由紀円香	1	ongoing	
2026-10-22	mizube-no-yoru	水辺の夜	euja	2	ongoing	
2026-10-22	miteru-dake-de-yokatta-noni	見てるだけでよかったのに	木山はる	1	ongoing	
2026-10-22	migawari-kon-no-shohousen	身代わり婚の処方箋	陽香	2	ongoing	
2026-10-22	konyaku-haki-no-tame-reikoku-kishi-ni-kettou-o-idonde-mimashita	婚約破棄のため冷酷騎士に決闘を挑んでみましたが、溺愛されるとか誰か予想できました?	みずき春	2	ongoing	
2026-10-22	kekkon-nochi-love	結婚、のち恋愛。	蘇我空木	5	ongoing	
2026-10-22	kawaii-koi-wa-kikazaranai	カワイイ恋は着飾らない	直正也	4	ongoing	
2026-10-22	girls-ando-panzer-motto-raburabu-sakusen-desu	ガールズ&パンツァーもっとらぶらぶ作戦です!	弐尉マルコ	26	ongoing	
2026-10-22	dansou-joshi-ga-danshikou-de-waidan-suru-hanashi	男装女子が男子校で猥談する話	東山こうき	2	completed	
2026-10-21	hi-no-nagori	日の名残り	カズオ・イシグロ	1	ongoing	
2026-10-20	zieina-drive	ジエイナドライヴ	寺崎 温	1	ongoing	
2026-10-20	yandere-kaineko-chan-tachi-ga-hanashite-kurenai	ヤンデレ飼い猫ちゃんたちが離してくれない	KOTATSU ROOM	1	ongoing	
2026-10-20	yami-ochi-shujinkou-no-mama-ni-narimashita	闇堕ち主人公のママになりました	C.shoes	2	ongoing	
2026-10-20	worst-gaiden-guriko	WORST外伝グリコ	鈴木リュータ	40	ongoing	
2026-10-20	saimu-mahou-shoujo-kurekariboka	債務魔法少女クレカリボカ	夏目りく	1	ongoing	
2026-10-20	poppin-poppin-penalty	ポッピン・ポッピン・ペナルティ	あろめみ	1	ongoing	
2026-10-20	mayonnaise-ou-wa-binbou-ni-naritai-danjohi-1-tai-100-sekai-de-iku-kanchigai	マヨネーズ王は貧乏になりたい!【男女比1:100】世界で逝く勘違い出世街道	神影龍之介	1	ongoing	
2026-10-20	makiba-no-karte	まきばのカルテ	濱原蓮	2	ongoing	
2026-10-20	legal-dock-iryou-bengoshi-arata-no-shoumei	リーガルドック 医療弁護士アラタの証明	五十嵐律人	1	ongoing	
2026-10-20	kuzu-no-kessei	クズの血清	ほじゃな	1	ongoing	
2026-10-20	konyakusha-ni-daredakke-to-iwareta-node-konomama-shiranai-furi	婚約者に「誰だっけ?」と言われたので、このまま知らないフリでいかせて頂きます	編乃肌	1	ongoing	
2026-10-20	fuan-no-tane-asterisk	不安の種*	中山昌亮	11	completed	
2026-10-20	confused-symmetry	コンフューズド・シンメトリー	古川宴	1	ongoing	
2026-10-20	ank-a-mirroring-ape	Ank　：　a　mirroring　ape	佐藤 究	1	ongoing	
2026-10-20	100-nen-ryuunen-shiteru-elf	100年留年してるエルフ	フタロウ	1	ongoing	
2026-10-19	yume-ni-miru-sairai	ゆめにみる再来	ohige	1	ongoing	
2026-10-19	tsui-no-taimashi-endaagaisutaa	終の退魔師-エンダーガイスター-	四方山貴史	27	ongoing	
2026-10-19	puro-no-migawari	プロの身代わり	七生	1	ongoing	
2026-10-19	outei-denka-wa-tenseisha-o-dekiai-suru	王弟殿下は転生者を溺愛する	中堕ち	1	ongoing	
2026-10-19	ouji-ga-kuuki-yomanasugiru	王子が空気読まなすぎる	kae	2	ongoing	
2026-10-19	mobu-na-noni-oshikara-aisare-route-ni-hairimashita	モブなのに推しから愛されルートに入りました	奥原まむ	1	ongoing	
2026-10-19	may-i-help-you	メイ・アイ・ヘルプユー?	merorico	1	ongoing	
2026-10-19	kishi-danchou-wa-isekai-bar-de-koi-ni-ochiru	騎士団長は異世界バーで恋に落ちる	木野藍	1	ongoing	
2026-10-19	dare-ga-komadori-nigashita-no	だれが駒鳥逃がしたの？	長篠もき	1	ongoing	
2026-10-19	arufa-girai-no-omega-reisoku-ga-kamokuna-kishi-ni-dekiai-sarerumade	アルファ嫌いのオメガ令息が寡黙な騎士に溺愛されるまで	白粉こな	1	ongoing	
2026-10-16	zureta-kaishaku-no-bokura	ズレた解釈のぼくら	柏木 香乃	1	ongoing	
2026-10-16	you-tsuma-wa-otona-na-heika-ni-torotoro-ni-amayakasaremakuri-ore	幼妻はオトナな陛下にとろとろに甘やかされまくり 俺の花嫁が無垢すぎて可愛すぎて辛抱たまらんっ!	高山ねむ子	2	ongoing	
2026-10-16	watashi-no-oshi-wa-akuyaku-reijou	私の推しは悪役令嬢。	青乃下	13	ongoing	
2026-10-16	uregoro-majo-no-rozeriasan	熟れごろ魔女のロゼリアさん	ミギ	1	ongoing	
2026-10-16	twilight-hour	トワイライトアワー	いぬおかにい	1	ongoing	
2026-10-16	tsunokakushi	ツノカクシ	しおやてるこ	1	ongoing	
2026-10-16	saikyou-no-sokushitsu	最強の側室	松沢ナツオ	1	ongoing	
2026-10-16	paradise-sauna	パラダイス・サウナ	うさおとめ	1	ongoing	
2026-10-16	ore-no-ojisan-wa-totemo-kawaii	オレの叔従父さんはとても可愛い	麻倉ちり	1	ongoing	
2026-10-16	ore-boukensha	俺、冒険者!	藤本いくら	1	ongoing	
2026-10-16	mukatsuku-omae-ga-amasugiru	ムカつくお前が甘すぎる	へびたま	1	ongoing	
2026-10-16	monogatari-konomu-hime-honmono-no-mikado-kara-masaka-no-chouai	物語好む姫、本物の帝からまさかの寵愛! 平安新婚絵巻	春宮ぱんだ	1	ongoing	
2026-10-16	midara-ni-ochiru-wa-dare-notame	淫らに堕ちるは誰のため	土左まぁる	1	ongoing	
2026-10-16	mei-tantei-konan-tanteitachi-no-chinkonka	名探偵コナン 探偵たちの鎮魂歌	青山剛昌	1	ongoing	
2026-10-16	mangetsu-koohiiten-no-hoshi-yomi	満月珈琲店の星詠み	望月麻衣	1	ongoing	
2026-10-16	koushaku-fujin-ni-fusawashikunai-to-rien-sareta-watashi-no-hanashi	公爵夫人に相応しくないと離縁された私の話。	Disai	2	ongoing	
2026-10-16	kimi-ga-kureta-spotlight	君がくれたスポットライト	河飯じろう	1	ongoing	
2026-10-16	kekkon-shoubai	結婚商売	Antstudio	7	ongoing	
2026-10-16	keiyaku-kikan-wa-haramumade-binbou-stealth-reijou-ga-mashou	契約期間は孕むまで 貧乏ステルス令嬢が魔性の侯爵様の溺愛妻になりまして!?	上原ヨヨギ	2	ongoing	
2026-10-16	kawaiku-naitene-onoderasan	可愛く鳴いてね、小野寺さん	宮野川ゆきたろ	1	ongoing	
2026-10-16	itsuwari-seijo-wa-nemuranai-kaizoku-no-idakimakurani-narimashita	偽り聖女は眠らない海賊の抱き枕になりました	潤宮るか	2	ongoing	
2026-10-16	itomesan-wa-kyun-shitatoki-dake-kaigan-suru	糸目さんはキュンしたときだけ開眼する	七草天音	1	ongoing	
2026-10-16	issunsaki-wa-ai-aru-dameo	一寸先は、愛あるダメ男	土味れど	1	ongoing	
2026-10-16	higashi-no-majo-wa-utaretai	東の魔女は討たれたい	藍葉悠気	1	ongoing	
2026-10-16	heroine-ni-konyakusha-o-torarerumitainanode-akuyaku-reisoku	ヒロインに婚約者を取られるみたいなので、悪役令息(ヤンデレキャラ)を狙います	ぜんら	1	ongoing	
2026-10-16	henai-end-stage	偏愛エンドステージ	みよしあやと	1	ongoing	
2026-10-16	gunyuu-o-tsuzuru	群雄を綴る	御手元	1	ongoing	
2026-10-16	furushiro-hotel-no-seireishi	古城ホテルの精霊師	綴吏	1	ongoing	
2026-10-16	fairy-tail-re-fantasia	FAIRY TAIL RE:FANTASIA	真島ヒロ	1	ongoing	
2026-10-16	dosutoikku-ni-semetekuru	ドストイックに攻めてくる	碗島子	1	ongoing	
2026-10-16	dare-nokoto-mo-suki-janaihazu-ga-jiyuusugiru-ou-otouto-denka	誰のことも好きじゃない はずが自由すぎる王弟殿下に振り回されています	春夏冬ユカ	1	ongoing	
2026-10-15	yumemiru-machi-de-aimashou	夢見る街で会いましょう	朝和	1	ongoing	
2026-10-15	tensei-seikishi-wa-nidome-no-jinsei-de-sekai-saikyou-no-makenshi-ni-naru	転生聖騎士は二度目の人生で世界最強の魔剣士になる	岩瀬昌嗣	3	ongoing	
2026-10-15	teisou-gyakuten-sekai-de-yuiitsu-no-otoko-kishi-no-ore	貞操逆転世界で唯一の男騎士の俺、女騎士学園に入学したらなぜか英雄扱いされた	紅の煮た豆	3	ongoing	
2026-10-15	suzume-kun-wa-kawaiitte-iwaretakunai	雀くんはかわいいって言われたくない	七海まそら	1	ongoing	
2026-10-15	slime-wa-saikyou-taru-kanousei-o-himete-iru-nikaime-no-jinsei-chanto-slime-to-mukiaimasu-comic	スライムは最強たる可能性を秘めている～2回目の人生、ちゃんとスライムと向き合います～@COMIC	犬型大	3	ongoing	
2026-10-15	shiba-reiji-no-hentai	芝玲司の変態	チュン村てんこ	1	ongoing	
2026-10-15	sekai-ikeoji-ikeoba-kikou-europe-asia-hen	世界イケオジ・イケオバ紀行 ヨーロッパ&アジア編	スギモトマユ	1	ongoing	
2026-10-15	saioshi-kouryaku-taishou-ga-irunoni-chuutoriaru-de-shinitaku-arimasen	最推し攻略対象がいるのに、チュートリアルで死にたくありません!(コミック)	桜井ゆっけ	2	ongoing	
2026-10-15	oyasumi-hilda	おやすみヒルダ	丸ノ内ごっこ	1	ongoing	
2026-10-15	neko-no-niya	ねこのニヤ	えんか	1	ongoing	
2026-10-15	muteki-no-ansatsu-madoushi-rasubosu-musume-to-tabi-o-suru	無敵の暗殺魔導士、ラスボス娘と旅をする	ハラカズヒロ	2	ongoing	
2026-10-15	moppu-musou	モップ無双	原田靖生	1	ongoing	
2026-10-15	mahou-ga-tsukaitakute-niku-ga-kuitakute-doryoku-shitemitara-saikyou-ni	魔法が使いたくて肉が食いたくて努力してみたら最強になっていた(コミック)	大野半兵衛	1	ongoing	
2026-10-15	kimi-to-honori-hatatose-no-aida-de	君とほのり、はたとせの間で。	あたる	1	ongoing	
2026-10-15	karubi-momareru	かるび、もまれる。	赤見かるび・Crazy Raccoon	1	ongoing	
2026-10-15	kaifuku-mahou-o-kiwametara-bu-koware-seinou-ni-natta-sobame-no-ko	回復魔法を極めたらぶっ壊れ性能になった。妾の子と迫害されるので実家に頼らず生きていく!(コミック)	にゃ藻	2	ongoing	
2026-10-15	isekai-ni-otosareta-jouka-wa-kihon-attomaaku-comic	異世界に落とされた…浄化は基本!@COMIC	中島鯛	7	ongoing	
2026-10-15	ikemen-joshi-demo-kawaii-heroine-ni-naremasuka	イケメン女子でもかわいいヒロインになれますか?	つみきつき	1	ongoing	
2026-10-15	houkago-chrono-switch	放課後クロノスウィッチ	小森さじ	1	ongoing	
2026-10-15	honsuki-no-gekokujou-hanneroore-no-kizokuin-gonensei-koi-shitemitai	本好きの下剋上 〜ハンネローレの貴族院五年生〜 「恋してみたいお姫様 2」	草壁レイ	1	ongoing	
2026-10-15	fushigi-no-kuni-no-bird	ふしぎの国のバード	佐々大河	14	ongoing	
2026-10-15	efu-manga-golden-retriever-no-come-to-ikura-to-hogo-neko-ume	エフ漫画 ゴールデンレトリバーのコメとイクラと保護猫ウメの続く楽しい暮らし	efrinman	1	ongoing	
2026-10-15	e-guild-nai-de-yuiitsu-o-kiwameteru-ore-o-kubi-desu-ka-comic	え? ギルド内で唯一【コック】を極めてる俺をクビですか?	辻二十日	2	ongoing	
2026-10-15	danjohi-bagu-tte-irunoni-akuyaku-tenseida-to-omoikondeiru-yatsu	男女比バグっているのに悪役転生だと思い込んでいる奴	陽波ゆうい	1	ongoing	
2026-10-15	crbr-crazy-raccoon-battle-royale	CRBR -Crazy Raccoon Battle Royale-	赤坂アカ・Crazy Raccoon	1	ongoing	
2026-10-15	choujou-michi-to-no-souguu	超常!未知との遭遇!?	石川チカ	2	ongoing	
2026-10-15	botsuraku-yotei-no-kizoku-dakedo-hima-datta-kara-mahou-o-kiwamete-mita-comic	没落予定の貴族だけど、暇だったから魔法を極めてみた@COMIC	三木なずな	13	ongoing	
2026-10-13	tokimeki-gohan-go-ki-gen-ebi-chiri	ときめきごはん ごきげん♪エビチリ	アンソロジー	1	ongoing	
2026-10-13	tenkomori-kariage-kun	てんこ盛り!かりあげクン	植田まさし	10	ongoing	
2026-10-13	tatariya-kagyou	祟り屋稼業	井口清満	1	ongoing	
2026-10-13	saki-no-kousetsu-hyakumonogatari	前巷説百物語	日高建男	1	ongoing	
2026-10-13	kono-bishounen-moujuu-deshita	この美少年、猛獣でした	きらた	4	ongoing	adult
2026-10-13	koko-suki-channel-touroku-onegai-shimasu	'#ここすき チャンネル登録お願いします!'	めたりかん	1	ongoing	
2026-10-13	edozeni	エドゼニ	コヤマサトシ	1	ongoing	
2026-10-10	seijoda-kedo-yami-ochi-shitara-hiyoko-ni-narimashita-comic	聖女だけど闇堕ちしたらひよこになりました!	白樫楓	4	ongoing	
2026-10-09	zenze-no-kioku-o-torimodoshita-node-saiai-no-otto-to-rien-shimasu	前世の記憶を取り戻したので最愛の夫と離縁します	三枝えま	3	ongoing	
2026-10-09	tsuihousareta-sareta-koushaku-reijou-viruherumiina-ga-shiawase-ni-naru-made	追放された公爵令嬢、ヴィルヘルミーナが幸せになるまで。	ただのぎょー	4	ongoing	
2026-10-09	tenshou-kengou-zubababaan	転生剣豪ズバババァーン!!	坂崎ふれでぃ	1	ongoing	
2026-10-09	shuumatsu-neko-shounin	終末ねこ商人	鷹嶋大輔	1	ongoing	
2026-10-09	shounen-auru-no-honwaka-isekai-life	少年アウルのほんわか異世界ライフ	なしろ	1	ongoing	
2026-10-09	shokei-flag-no-akuyaku-kizoku-ni-tensei-shita-ga-shinitakunai	処刑フラグの悪役貴族に転生したが、死にたくないので闇魔法を極めてヒロインたちを救います	青空あかな(HJ文庫／ホビージャパン刊)	1	ongoing	
2026-10-09	seishun-buta-yarou-wa-precious-days-no-yume-o-minai	青春ブタ野郎はプレシャスデイズの夢を見ない	じゃこ	1	ongoing	
2026-10-09	saikyou-mahou-kyoushi-emiria-kurein-wa-hohoemu	最強魔法教師エミリア・クレインは微笑む	藍澤さつき	1	ongoing	
2026-10-09	ore-no-genjitsu-wa-love-game-ka-to-omottara-inochigake-no-game-datta	俺の現実は恋愛ゲーム??-かと思ったら命がけのゲームだった	彭傑	23	ongoing	
2026-10-09	nanji-gendai-dungeon-ni-kibou-o-motsubekarazu	汝、現代ダンジョンに希望を持つべからず	鋼我	1	ongoing	
2026-10-09	mitenaito-shouchi-shinaiyo	見てないと しょうちしないよ	ひうち棚	1	ongoing	
