class	isbn13	n_pages	group_shared_n	group_ratio	author_rel	isolated_side	num_mismatch	version_side	pages	group_id
SHARED_FEW	9784324090145	2	1	50%	共通著者あり				kouya-hijiri[高野聖] ed=shinsoban/文芸まんがシリーズ 新装版 vol=1 ed_vols=1 page_vols=2 date=2010-04 | kouyahijiri[高野聖] ed=shinsoban/文芸まんがシリーズ 新装版 vol=1 ed_vols=1 page_vols=2 date=2010-04	kouya-hijiri+kouyahijiri
SHARED_FEW	9784794503152	2	1	50%	共通著者あり				manga-ningen-no-jouken[マンガ人間の條件] ed=standard/草土文化 vol=2 ed_vols=3 page_vols=3 date=1988-05-15 | ningen-no-jouken[人間の條件] ed=standard/草土文化 vol=2 ed_vols=2 page_vols=2 date=1988-05	manga-ningen-no-jouken+ningen-no-jouken
SHARED_FEW	9784344027398	2	1	33%	共通著者あり				mangaban-nobushi-no-gourmet[漫画版野武士のグルメ] ed=standard/幻冬舎 vol=2 ed_vols=2 page_vols=3 date=- | nobushi-no-gourmet[野武士のグルメ] ed=standard/幻冬舎 vol=2 ed_vols=3 page_vols=3 date=2015-03	mangaban-nobushi-no-gourmet+nobushi-no-gourmet
SHARED_FEW	9784098604371	2	1	20%	共通著者あり				mobile-suit-gundam-thunderbolt[機動戦士ガンダムサンダーボルト] ed=standard/BIG SUPERIOR COMICS SPECIAL vol=3 ed_vols=27 page_vols=27 date=2014-03 | mobile-suit-gundam-thunderbolt-gaiden[機動戦士ガンダムサンダーボルト外伝] ed=standard/BIG COMICS SPECIAL vol=3 ed_vols=5 page_vols=5 date=2019-10	mobile-suit-gundam-thunderbolt+mobile-suit-gundam-thunderbolt-gaiden
SHARED_FEW	9784073404347	2	1	33%	共通著者あり				onna-kudouden-rei[女苦道伝れい] ed=standard/主婦の友ヒットシリーズ vol=2 ed_vols=3 page_vols=3 date=- | shin-onna-kudouden-rei[新女苦道伝れい] ed=standard/Comic魂別冊叶精作 vol=2 ed_vols=3 page_vols=3 date=2019-04	onna-kudouden-rei+shin-onna-kudouden-rei
SHARED_FEW	9784758088145	2	1	25%	共通著者あり				ou-taishihi-ni-nante-nari-takunai[王太子妃になんてなりたくない!!] ed=standard/IDコミックス vol=4 ed_vols=4 page_vols=4 date=2025-10-27 | outaishihi-ni-nante-naritakunai-konyakusha-hen[王太子妃になんてなりたくない!!婚約者編] ed=standard/IDコミックス vol=4 ed_vols=5 page_vols=5 date=2025-09-30	ou-taishihi-ni-nante-nari-takunai+outaishihi-ni-nante-naritakunai-konyakusha-hen
SHARED_FEW	9784040678283	2	1	17%	共通著者あり				ri-zero-kara-hajimeru-isekai-seikatsu[Re:ゼロから始める異世界生活] ed=standard/MFコミックス vol=1 ed_vols=13 page_vols=13 date=2015-12-22 | ri-zero-kara-hajimeru-isekai-seikatsu-dai-sanshou-touruusu-obu-zero[Re:ゼロから始める異世界生活 第三章Truth of Zero] ed=standard/MFコミックス vol=1 ed_vols=6 page_vols=6 date=2015-12-22	ri-zero-kara-hajimeru-isekai-seikatsu+ri-zero-kara-hajimeru-isekai-seikatsu-dai-sanshou-touruusu-obu-zero
SHARED_FEW	9784065260791	2	1	33%	共通著者あり				shaman-king-faust-8[SHAMAN KING FAUST 8] ed=standard/マガジンエッジコミックス vol=1 ed_vols=3 page_vols=3 date=2021-10 | shaman-king-the-super-star[SHAMAN KING THE SUPER STAR] ed=standard/プレミアムKC vol=1 ed_vols=10 page_vols=10 date=2018-11	shaman-king-faust-8+shaman-king-the-super-star
SHARED_FEW	9784757508644	2	1	17%	共通著者あり				tales-of-etaania-premium-stories[テイルズオブエターニア プレミアムストーリーズ] ed=standard/GANGAN WING COMICS SPECIAL vol=3 ed_vols=6 page_vols=6 date=2003-02 | tales-of-eternia[テイルズオブエターニア] ed=standard/GANGAN WING COMICS vol=3 ed_vols=9 page_vols=9 date=2003-02-27	tales-of-etaania-premium-stories+tales-of-eternia
SHARED_FEW	9784061759862	2	1	100%	共通著者あり				tezuka-osamu-scenario-shuu[手塚治虫シナリオ集] ed=standard/手塚治虫漫画全集 vol=1 ed_vols=1 page_vols=1 date=1996-07 | tezuka-osamu-shinarioshuu[手塚治虫シナリオ集] ed=standard/手塚治虫漫画全集 vol=1 ed_vols=1 page_vols=1 date=1996-07-17	tezuka-osamu-scenario-shuu+tezuka-osamu-shinarioshuu
SHARED_FEW	9784048665858	2	1	50%	共通著者あり				uta-no-purinsusama-maji-love2000[うたの☆プリンスさまっ♪ マジLOVE2000％] ed=standard/シルフコミックス vol=2 ed_vols=2 page_vols=2 date=2014-05 | uta-no-purinsusamatsu[うたの☆プリンスさまっ♪] ed=standard/シルフコミックス vol=2 ed_vols=3 page_vols=3 date=2014-05-15	uta-no-purinsusama-maji-love2000+uta-no-purinsusamatsu
