分類	slug	題	版type	imprint	publisher	版の巻数	多数派	少数派	少数派ISBN
SERIES高(別叢書の混入)	saraiya-goyou	さらい屋五葉	None	Ikki comix	小学館	8	IKKI　COMIXx7	小学館プラス・アンコミックス	9784091590725
SERIES高(別叢書の混入)	sasensareta-saikyou-kenja-kyoushi-ni-natte-muteki-no-class-o-tsukuriageru	左遷された最強賢者、教師になって無敵のクラスを作り上げる	None	ガンガンコミックスup!	スクウェア・エニックス	11	ガンガンコミックス　UP！x9	GCUP!	9784757569898
SERIES高(別叢書の混入)	satorare	サトラレ	None	モーニングKC	講談社	8	イブニングＫＣx7	モーニングKC	9784063287394
SERIES高(別叢書の混入)	sayasaya-to	清々と	None	YK ours comics	少年画報社	4	ヤングキングコミックスx3	Young king comics YK ours comi	9784785932893
SERIES高(別叢書の混入)	sayonara-eden	さよならエデン	None	ヤングガンガンコミックス	スクウェア・エニックス	4	ヤングガンガンコミックスx3	YGC	9784757568624
SERIES高(別叢書の混入)	sayonara-zetsubou-sensei	さよなら絶望先生	None	講談社コミックス	講談社	30	少年マガジンKCx25	少年マガジンコミックス / 週刊少年マガジンKC	9784063844832,9784063845662,9784063846294,9784063846737,9784063847055
SERIES高(別叢書の混入)	sazukarikon	授か離婚	None	Shusui digital comics YLシリーズ	青泉社	10	秋水デジタルコミックス　YLシリーズx8	秋水デジタルコミックス　異世界シリーズ	9784867782194,9784867782576
SERIES高(別叢書の混入)	schafer-hound	シェイファー・ハウンド	None	Jets comics	白泉社	8	ジェッツコミックスx7	ヤングアニマルコミックス	9784592144793
SERIES高(別叢書の混入)	schluss-no-majo	シュルスの魔女	None	Comicフレーバーズ	日本文芸社	12	ニチブンコミックス　comicフレーバーズx11	ゴラクコミックス　comic フレーバーズ	9784537136487
SERIES高(別叢書の混入)	school-rumble	School Rumble	None	少年マガジンコミックス	講談社	22	少年マガジンKCx17	プレミアムＫＣ　少年マガジン	9784063620290,9784063620306,9784063620368,9784063620467,9784063620498
SERIES高(別叢書の混入)	seibetsu-monariza-no-kimi-e	性別「モナリザ」の君へ。	None	ガンガンコミックスonline	スクウェア・エニックス	10	ガンガンコミックスONLINEx9	GCO	9784757567825
SERIES高(別叢書の混入)	seijo-no-yurikago-dokujo-no-hitsugi	聖女の揺籃、毒女の柩	None	ガンガンコミックスjoker	スクウェア・エニックス	4	ガンガンコミックス　JOKERx3	GCJ	9784757570085
SERIES高(別叢書の混入)	seikentsukai-no-world-break	聖剣使いの禁呪詠唱	None	角川コミックス・エース	KADOKAWA	4	角川コミックス・エースx3	Kadokawa　Comics　A	9784041024652
SERIES高(別叢書の混入)	seikimatsu-darling	世紀末・ダーリン	None	ビーボーイコミックス	ビブロス	4	ビブロスコミックスx3	Be-boy　comics	9784882718307
SERIES高(別叢書の混入)	seinaru-hanayome-no-hanran	聖なる花嫁の反乱	None	KCDX	ソフトバンククリエイティブ	10	Flex　comixx8	フレックスコミックス フレア / フレックスコミックス・フレア	9784593880560,9784593880713
SERIES高(別叢書の混入)	seiryuu	青龍	None	ヤンマガKC	講談社	17	ヤングマガジンKCスペシャルx14	ヤングマガジンKCエグザクタ	9784063350050,9784063350111,9784063350197
SERIES高(別叢書の混入)	seishun-joutou	青春上等!!	None	講談社コミックスkiss	講談社	5	Ｋｉｓｓコミックスx4	KC　Kiss	9784063407099
SERIES高(別叢書の混入)	seishun-kun	青春くん	None	Young sunday comics	小学館	7	ヤングサンデーコミックスx6	YOUNG SUNDAY COMICS	9784091518279
SERIES高(別叢書の混入)	seiso-seijitsu-ni-ikiteitara-konyakusha-ni-uragirareta-no-de-yarinaoshi-no-sekai-de-wa-akuyaku	清楚誠実に生きていたら婚約者に裏切られたので、やり直しの世界では悪役令嬢として生きます	None	SDC YLシリーズ	青泉社	5	秋水デジタルコミックス　YLシリーズx4	秋水デジタルコミックス　異世界シリーズ	9784867782385
SERIES高(別叢書の混入)	seito-sho-kun-kyoushi-hen	生徒諸君!教師編	None	講談社コミックスビーラブ	講談社	25	BE　LOVE　KCx23	講談社コミックスビーラブ	9784063191769,9784063803037
SERIES高(別叢書の混入)	seitokai-yakuindomo	生徒会役員共	None	講談社コミックス	講談社	22	講談社コミックスx18	少年マガジンコミックス	9784063844795
SERIES高(別叢書の混入)	sekai-de-tada-hitori-no-mamonotsukai	世界でただ一人の魔物使い	None	ガンガンコミックスup!	スクウェア・エニックス	11	ガンガンコミックス　UP！x10	GCUP!	9784757569843
SERIES高(別叢書の混入)	sekai-no-hate-de-aimashou	世界の果てで愛ましょう	None	電撃コミックス	角川グループパブリッシング	8	電撃コミックスx7	DC	9784048707060
SERIES高(別叢書の混入)	sekihoku-journal	セキホクジャーナル	None	講談社コミックスるんるん	講談社	4	講談社コミックスるんるんx3	るんるんコミックス	9784063228144
SERIES高(別叢書の混入)	sekkaku-cheat-o-moratte-isekai-ni-teni-shitandakara-suki-na-youni-ikite-mitai	せっかくチートを貰って異世界に転移したんだから、好きなように生きてみたい	None	Ride Comics	マイクロマガジン社	11	ライドコミックスx9	Ride　Comics	9784896378412,9784896378795
SERIES高(別叢書の混入)	sengoku-ittouki	センゴク一統記	None	ヤンマガKC	講談社	15	ヤンマガKCスペシャルx14	ヤングマガジンKC	9784063822526
SERIES高(別叢書の混入)	sengoku-kyoudai	センゴク兄弟	None	ヤンマガKC	講談社	6	ヤングマガジンKCx5	ヤンマガKC	9784063820126
SERIES高(別叢書の混入)	sengoku-strays	戦國ストレイズ	None	GANGAN WING COMICS	スクウェア・エニックス	15	ガンガンコミックスＪＯＫＥＲx12	ガンガンWINGコミックス	9784757522718,9784757523890,9784757524804
SERIES高(別叢書の混入)	sengoku-youko	戦国妖狐	None	Blade comics	マッグガーデン	17	ブレイドコミックスx13	BLADEコミックス	9784800014023,9784800014030,9784800014139,9784800014146
SERIES高(別叢書の混入)	senkai-no-tsurugi	戦海の剣	None	SCオールマン	集英社	6	SCオールマンx5	ヤングジャンプコミックスＢＪ	9784088767246
SERIES高(別叢書の混入)	senken-no-majutsushi-to-yobareta-kenshi	千剣の魔術師と呼ばれた剣士	None	ビッグガンガンコミックス	スクウェア・エニックス	10	ビッグガンガンコミックスx9	BGC	9784757568167
SERIES高(別叢書の混入)	senmetsu-madou-no-saikyou-kenja	殲滅魔導の最強賢者	None	ガンガンコミックスup!	スクウェア・エニックス	10	ガンガンコミックスUP！x9	GCUP!	9784757569980
SERIES高(別叢書の混入)	sensei-ore-ni-kamawazu-ittekudasai	先生、俺にかまわずイッてください!!	None	ヤングガンガンコミックス	スクウェア・エニックス	6	ヤングガンガンコミックスx5	YGC	9784757568082
SERIES高(別叢書の混入)	sentou-hakai-gakuen-dangerous	戦闘破壊学園ダンゲロス	None	ヤンマガKC	講談社	8	ヤングマガジンKCx7	ヤンマガKCスペシャル	9784063826081
SERIES高(別叢書の混入)	seto-no-hanayome	瀬戸の花嫁	None	GANGAN WING COMICS	スクウェア・エニックス	16	ガンガンWINGコミックスx14	ガンガンコミックスJOKER	9784757531413,9784757531420
SERIES高(別叢書の混入)	sex-pistols	SEX PISTOLS	None	Super be-boy comics	リブレ出版	11	スーパービーボーイコミックスx5	Super　be・boy　comics	9784862630865,9784862638540
SERIES高(別叢書の混入)	sexual-hunter-riot	セクシャル・ハンター・ライオット	None	シリウスKC	講談社	5	シリウスKCx4	シリウスコミックス	9784063763546
SERIES高(別叢書の混入)	shachiku-san-wa-youjo-yuurei-ni-iyasaretai	社畜さんは幼女幽霊に癒されたい。	None	ガンガンコミックス	スクウェア・エニックス	14	ガンガンコミックスx13	GC	9784757569355
SERIES高(別叢書の混入)	shakunetsu-no-toki	灼熱の時代	None	Jets comics	白泉社	10	ヤングアニマルコミックスx9	ジェッツコミックス	9784592140078
SERIES高(別叢書の混入)	shaman-king	シャーマンキング	None	ジャンプ・コミックス	集英社	35	ジャンプコミックスx32	マガジンエッジKC	9784065228593,9784065228609,9784065236352
SERIES高(別叢書の混入)	shanaou-yoshitsune	遮那王義経	None	講談社コミックス 月マ	講談社	24	講談社コミックス月刊マガジンx17	月刊少年マガジンKC	9784063337624,9784063337792,9784063337990,9784063338201,9784063338393,9784063338
SERIES高(別叢書の混入)	shanaou-yoshitsune-genpei-no-kassen	遮那王義経源平の合戦	None	MONTHLY SHONEN MAGAZINE COMICS	講談社	29	講談社コミックス月刊マガジンx24	月刊マガジンKC / 月刊少年マガジンコミックス / 講談社コミックス 月刊少年マガジン	9784063712834,9784063712957,9784063713091,9784063713206,9784063713268
SERIES高(別叢書の混入)	shangurira-furonteia	シャングリラ・フロンティア	None	KC magazine	講談社	26	KCデラックスx18	講談社キャラクターズA	9784065218020,9784065367773,9784065384268,9784065390931,9784065400081,9784065411
SERIES高(別叢書の混入)	sherlockian	シャーロッキアン!	None	ACTION COMICS	双葉社	4	アクションコミックスx3	Action　comics	9784575838756
SERIES高(別叢書の混入)	shi-to-kanojo-to-boku-meguru	死と彼女とぼく めぐる	None	講談社コミックスkiss	講談社	6	KC　Kissx5	講談社コミックスキス	9784063408539
SERIES高(別叢書の混入)	shi-to-kanojo-to-boku-yukari	死と彼女とぼくゆかり	None	講談社コミックスkiss	講談社	10	Kissコミックスx8	KC　Kiss	9784063407037,9784063407341
SERIES高(別叢書の混入)	shibuya-kingyo	渋谷金魚	None	ガンガンコミックスjoker	スクウェア・エニックス	11	ガンガンコミックス　JOKERx10	GCJ	9784757568037
SERIES高(別叢書の混入)	shigatsu-wa-kimi-no-uso	四月は君の嘘	None	KCGM	講談社	11	講談社コミックス月刊マガジンx10	月刊少年マガジンコミックス	9784063713176
SERIES高(別叢書の混入)	shii-chan-no-gochisou	しーちゃんのごちそう	None	コミック	少年画報社	12	思い出食堂コミックスx11	コミック　思い出食堂コミックス	9784785960025
SERIES高(別叢書の混入)	shiinake-no-hitobito	四稲家の人々	None	KCGM	講談社	6	月刊少年マガジンKCx5	月刊少年マガジンコミックス	9784063712803
SERIES高(別叢書の混入)	shijou-saikyou-no-daimaou-murabito-a-ni-tenseisuru	史上最強の大魔王、村人Aに転生する	None	ビッグガンガンコミックス	スクウェア・エニックス	7	ビッグガンガンコミックスx6	BGC	9784757568150
SERIES高(別叢書の混入)	shikatsushi	屍活師	None	講談社コミックスBE LOVE	講談社	18	BE LOVE KCx17	講談社コミックスビーラブ	9784063192957
SERIES高(別叢書の混入)	shiki-ono-2008	屍鬼	None	JUMP COMICS SQ.	集英社	11	ジャンプコミックス　SQ．x9	Jump　comics　SQ． / ジャンプコミックス	9784088701998,9784088702674
SERIES高(別叢書の混入)	shiki-orioritsu	四季おりおりっ!	None	4コマkingsぱれっとcomics	一迅社	4	IDコミックス　4コマKINGSぱれっとコミックスx3	IDコミックス／4コマKINGSぱれっとコミックス	9784758081450
SERIES高(別叢書の混入)	shikkakumon-no-saikyou-kenja	失格紋の最強賢者	None	ガンガンコミックスup!	スクウェア・エニックス	34	ガンガンコミックスUP！x32	GCUP!	9784757568419,9784757569966
SERIES高(別叢書の混入)	shin-agatte-nanbo-taichiyo-nakuna	新上ってなンボ!!太一よ泣くな	None	劇画キングシリーズ	小池書院	22	キングシリーズ　漫画スーパーワイドx6	劇画キングシリーズ	9784883154357
SERIES高(別叢書の混入)	shin-akarui-katei-no-tsukurikata	新・明るい家庭のつくり方	None	Young rose´ comics	角川書店	4	Young　rose′　comicsx3	Young　rose´　comics	9784049280111
SERIES高(別叢書の混入)	shin-dora-beesu	新ドラベース	None	コロコロコミックス	小学館	4	コロコロコミックスx3	てんとう虫コミックス	9784091415660
SERIES高(別叢書の混入)	shin-good-job	新good job	None	Kiss	講談社	7	KC　Kissx5	Kissコミックス / 講談社コミックスキス	9784063408546,9784063409062
SERIES高(別叢書の混入)	shin-hana-no-asukagumi	新・花のあすか組!	None	Shodensha feel comics	祥伝社	8	フィールコミックスx7	Feel　comics	9784396764623
SERIES高(別叢書の混入)	shin-kamen-rider-spirits	新仮面ライダーSPIRITS	None	KCDX	講談社	42	KCデラックスx37	プレミアムKC / 月刊マガジンKC	9784063766257,9784065192955,9784065384565,9784065398562,9784065409091
SERIES高(別叢書の混入)	shin-kobo-chan	新コボちゃん	None	Manga time comics	芳文社	61	まんがタイムコミックスx41	Manga time comics / Manga　time　comics	9784832263383,9784832263529,9784832263666,9784832263840,9784832264069,9784832264
SERIES高(別叢書の混入)	shin-reimei-no-kantai	新黎明の艦隊	None	Rekishi gunzo books	学習研究社	12	歴史群像コミックスx9	NORAコミックス　歴史群像コミックス	9784056017908,9784056019285,9784056020199
SERIES高(別叢書の混入)	shin-souta-no-houchou	新・蒼太の包丁	None	Bunkasha comics	ぶんか社	7	ぶんか社コミックスx5	Bunkasha　Gourmet　Comics	9784821136506,9784821138364
SERIES高(別叢書の混入)	shin-tekken-chinmi	新鉄拳チンミ	None	講談社コミックス 月マ	講談社	20	月刊少年マガジンKCx16	講談社コミックス月刊マガジン	9784063338980,9784063339215,9784063339482,9784063709711
SERIES高(別叢書の混入)	shinagawashuku-neko-katari	品川宿猫語り	None	ねこぱんちコミックス	少年画報社	13	ねこぱんちコミックスx12	わんぱんちコミックス	9784785939854
SERIES高(別叢書の混入)	shinjuku-swan	新宿スワン	None	ヤンマガKC	講談社	38	ヤンマガKCスペシャルx29	ヤングマガジンKC / ヤングマガジンコミックス / ヤンマガKC	9784063617887,9784063618334,9784063619935,9784063820188,9784063820584,9784063820
SERIES高(別叢書の混入)	shinmai-maou-no-testament-arashi	新妹魔王の契約者・嵐!	None	Jets comics	白泉社	5	ジェッツコミックスx4	ヤングアニマルコミックス	9784592140948
SERIES高(別叢書の混入)	shinsekai-yori	新世界より	None	SHONEN MAGAZINE COMICS	講談社	7	少年マガジンKCx5	少年マガジンコミックス / 週刊少年マガジンKC	9784063847451,9784063847789
SERIES高(別叢書の混入)	shinu-hodo-aishite	死ぬほど愛して	None	None	光文社	5	光文社コミックスx4	女性自身コミック	9784334808273
SERIES高(別叢書の混入)	shiori-experience	シオリエクスペリエンス	None	ビッグガンガンコミックス	スクウェア・エニックス	15	ビッグガンガンコミックスx14	BGC	9784757568136
SERIES高(別叢書の混入)	shippuu-nijimarugumi	疾風・虹丸組	None	YKコミックス	少年画報社	10	ヤングキングコミックスx7	YKコミックス / YOUNG KING COMICS	9784785936198,9784785937928,9784785950309
SERIES高(別叢書の混入)	shiritsu-shouei-gakuen-otoko-koutoubu-kurashina-sensei-no-junan	私立翔瑛学園男子高等部倉科先生の受難	None	Be-boy comics	リブレ出版	4	Be・boy　comicsx3	ビーボーイコミックス	9784799710036
SERIES高(別叢書の混入)	shishi-no-musume	獅子の娘	None	Lovingコミックス	芳文社	8	LOVINGコミックスx7	ぶんか社コミックス	9784821197958
SERIES高(別叢書の混入)	shitomeya-kagyou-asami	仕留屋稼業あさみ	None	Bunkasha comics	ぶんか社	6	RK　COMICSx5	ぶんか社コミックス	9784821137206
SERIES高(別叢書の混入)	shitsuji-sebasu-chan-no-shokugyou-jijou	執事セバスチャンの職業事情	None	Wings comics	新書館	7	ウィングス・コミックスx6	WINGS　COMICS	9784403622922
SERIES高(別叢書の混入)	shitsurakuen-ni-nureru-hana	失楽園に濡れる花	None	Daito comics TL シリーズ	大都社	4	ダイトコミックス・TLシリーズx3	DaitoComics／TLシリーズ	9784886539786
SERIES高(別叢書の混入)	shiyouyo	しようよ	None	講談社コミックスミミ	講談社	13	Kissコミックスx11	MiMi　KC / ミスターマガジンKC	9784063275063,9784063281422
SERIES高(別叢書の混入)	shizukanaru-don	静かなるドン	None	実業之日本社漫画文庫	小学館	54	コミック文庫（青年）x38	実業之日本社漫画文庫	9784408612447,9784408612454,9784408612461,9784408612478,9784408612485,9784408612
SERIES高(別叢書の混入)	shota-oni	ショタおに	None	ガンガンコミックスBLiss	スクウェア・エニックス	7	ガンガンコミックスBLissx6	SEコミックスプレミアム	9784757597570
SERIES高(別叢書の混入)	shoubu-ha-toki-no-un-daro	勝負は時の…運だろ?	None	ASUKA COMICS CL-DX	角川書店	5	あすかコミックスCL-DXx4	Asuka　comics　CL-DX	9784048525718
SERIES高(別叢書の混入)	shoujo-fight	少女ファイト	None	イブニングKCDX	講談社	18	KCデラックスx16	KC DX / イブニングKCDX	9784063759440,9784063766400
SERIES高(別叢書の混入)	shoujo-kakumei-utena	少女革命ウテナ	None	ちゃおフラワーコミックス	小学館	6	ちゃおフラワーコミックスx5	フラワーコミックス α	9784091398192
SERIES高(別叢書の混入)	shoujo-manga-shujinkou-x-rival-san	少女漫画主人公×ライバルさん	None	ガンガンコミックスjoker	スクウェア・エニックス	4	ガンガンコミックス　JOKERx3	GCJ	9784757569515
SERIES高(別叢書の混入)	shouko-no-file	翔子の事件簿	None	Akita lady's comics	秋田書店	17	ACエレガンスαx13	ACエレガンスa / 秋田レディースコミックス	9784253120821,9784253163378,9784253163385,9784253163415
SERIES高(別叢書の混入)	shoukoku-no-altair	将国のアルタイル	None	シリウスKC	講談社	27	シリウスKCx26	シリウスコミックス	9784063762723
SERIES高(別叢書の混入)	shoukoujo	小煌女	None	講談社コミックスkiss	講談社	5	KC　KISSx4	講談社コミックスKiss	9784063408638
SERIES高(別叢書の混入)	shounan-junai-gumi	湘南純愛組!	None	KCスペシャル	講談社	31	少年マガジンKCx29	KCスペシャル	9784063058376,9784063058383
SERIES高(別叢書の混入)	shounen-mahoushi	少年魔法士	None	Wings comics	新書館	19	Wings　comicsx14	ウィングスコミックス / ウイングスコミックス	9784403618888,9784403621239,9784403621529,9784403621758,9784403622014
SERIES高(別叢書の混入)	shourui-awaremanto-hossu	生類憐マント欲ス	None	Gensou collection	祥伝社	4	幻想コレクションx3	フィールコミックス	9784396790530
SERIES高(別叢書の混入)	shouwa-no-kodomo	昭和のこども	None	Bunkasha comics	ぶんか社	6	ぶんか社コミックスx5	Bunkasha　comics	9784821186099
SERIES高(別叢書の混入)	shura-ga-yuku	修羅がゆく	None	ゴラク・コミックス	日本文芸社	41	ニチブンコミックスx40	Ｇコミックス	9784537153118
SERIES高(別叢書の混入)	shura-no-mon-dai-ni-mon	修羅の門 第弐門	None	KCGM	講談社	18	講談社コミックス月刊マガジンx13	Monthly　shonen　magazine　comics / 月刊マガジンコミックス / 月刊少年マガジンコミックス / 講談社プラチナコミックス	9784063712766,9784065104446,9784065104811,9784063713121,9784063713251
SERIES高(別叢書の混入)	shura-no-toki	修羅の刻	None	KCGM	講談社	26	講談社コミックス月刊マガジンx25	月刊少年マガジンコミックス	9784063339192
SERIES高(別叢書の混入)	single-mother-no-koi-wa-gisou-kekkon-kara-hajimaru	シングルマザーの恋は偽装結婚から始まる	None	Daito comics YLシリーズ	大都社	9	DaitoComics　YLシリーズx8	DaitoComics　一般向け	9784864954686
SERIES高(別叢書の混入)	sketchbook	スケッチブック	None	Blade comics	マッグガーデン	14	ブレイドコミックスx13	Blade　comics	9784861277764
SERIES高(別叢書の混入)	skip-to-loafer	スキップとローファー	None	アフタヌーンKC	講談社	13	アフタヌーンKCx12	プレミアムKC	9784065356302
SERIES高(別叢書の混入)	slime-san-to-yuusha-kenkyuubu	スライムさんと勇者研究部	None	講談社コミックスマガジン	講談社	4	少年マガジンKCx3	週刊少年マガジンKC	9784063847642
SERIES高(別叢書の混入)	slime-tensei	スライム転生。	None	ガンガンコミックス	スクウェア・エニックス	6	ガンガンコミックスx5	GC	9784757570016
SERIES高(別叢書の混入)	smiley	スマイリー	None	Nichibun comics	日本文芸社	11	ニチブンコミクスx10	ニチブンコミックス	9784537149883
SERIES高(別叢書の混入)	smoking-savage	スモーキング・サベージ	None	YKコミックス	少年画報社	14	YKコミックスx13	ヤングキングコミックス	9784785963330
SERIES高(別叢書の混入)	sokonuke-rpg	そこぬけRPG	None	Manga time comics	芳文社	6	まんがタイムコミックスx4	Manga time comics	9784832269620
SERIES高(別叢書の混入)	sommeli-re	ソムリエール	None	ヤングジャンプ・コミックスBJ	集英社	21	ヤングジャンプコミックスBJx19	ヤングジャンプコミックス / ヤングジャンプコミックスGJ	9784088792477,9784088795119
SERIES高(別叢書の混入)	sonnan-ja-neeyo	そんなんじゃねえよ	None	Betsucomiフラワーコミックス	小学館	9	フラワーコミックス　ベツコミx8	小学館プラス・アンコミックス	9784091590442
SERIES高(別叢書の混入)	sono-dekiai-okotowari-shimasu	その溺愛、お断りします	None	Berry's COMICS	スターツ出版	4	Berry's COMICSx3	ベリーズコミックス	9784813760405
SERIES高(別叢書の混入)	sono-rettou-kishi-level-999	その劣等騎士、レベル999	None	ガンガンコミックスup!	スクウェア・エニックス	11	ガンガンコミックス　UP！x10	GCUP!	9784757568785
SERIES高(別叢書の混入)	sonoda-no-uta	園田の歌	None	YKコミックス	少年画報社	6	YKコミックスx5	ヤングキングコミックス	9784785963378
SERIES高(別叢書の混入)	sora-no-otoshimono	そらのおとしもの	None	角川コミックス・エース	角川書店	20	角川コミックス・エースx17	Kadokawa　Comics　A / カドカワコミックスA	9784047151642,9784047155459,9784041201633
SERIES高(別叢書の混入)	sora-no-puratanasu	天のプラタナス	None	MONTHLY SHONEN MAGAZINE COMICS	講談社	28	講談社コミックス月刊マガジンx26	月刊マガジンKC	9784063713213,9784063713329
SERIES高(別叢書の混入)	sora-yori-takaku	天より高く	None	希望コミックス	集英社	27	スーパープレイボーイコミックスx25	プレイボーイコミックス	9784088574110,9784088574127
SERIES高(別叢書の混入)	soredemo-ore-no-mono-ni-naru	それでも俺のものになる	None	あすかコミックスCL-DX	竹書房	4	バンブーコミックス　Qpaコレクションx3	バンブーコミックス　Qpa　collection	9784801960879
SERIES高(別叢書の混入)	soredemo-sekai-wa-utsukushii	それでも世界は美しい	None	花とゆめCOMICS	白泉社	25	花とゆめコミックスx24	［特装版コミック］	9784592105572
SERIES高(別叢書の混入)	soukou-akki-muramasa-makaihen	装甲悪鬼村正 魔界編	None	Blade comics	マッグガーデン	5	ブレイドコミックスx4	Blade　comics	9784861278242
SERIES高(別叢書の混入)	soumatou-kabushiki-kaisha	走馬灯株式会社	None	ACTION COMICS	双葉社	10	アクションコミックスx9	Action comics	9784575837117
SERIES高(別叢書の混入)	spider-man	スパイダーマン	None	サンコミックス	朝日ソノラマ	5	サンワイドコミックスx4	Sun　wide　comics	9784257961239
SERIES高(別叢書の混入)	sprout	スプラウト	None	講談社コミックスB	講談社	7	講談社コミックス別冊フレンドx6	別冊フレンドKC	9784063414745
SERIES高(別叢書の混入)	ss-sisters	SSシスターズ	None	YKコミックス	少年画報社	5	ヤングキングコミックスx4	Monthly young king comics	9784785934835
SERIES高(別叢書の混入)	starmine	スターマイン	None	4コマkingsぱれっとcomics	一迅社	10	IDコミックス　4コマKINGSぱれっとコミックスx7	4コマKINGSぱれっとコミックス / 4コマkingsぱれっとcomics / IDコミックス／4コマKINGSぱれっとコミックス	9784758081207,9784758081481,9784758083379
SERIES高(別叢書の混入)	strange	ストレンジ・プラス	None	IDコミックス	一迅社	20	IDコミックス　ZERO-SUMコミックスx19	IDコミックス／ZERO-SUMコミックス	9784758057141
SERIES高(別叢書の混入)	subete-hai-ni-nattemo	すべて灰になっても	None	ガンガンコミックスup!	スクウェア・エニックス	5	ガンガンコミックス　UP！x4	GCUP!	9784757566408
SERIES高(別叢書の混入)	sudachi-no-maoujou	すだちの魔王城	None	月刊少年マガジン	講談社	13	講談社コミックス月刊マガジンx12	プレミアムKC	9784065382899
SERIES高(別叢書の混入)	sugar-spice	Sugar ＆ Spice	None	Cult comics	笠倉出版社	17	カルトコミックス　Sweet　Selectionx12	Cult comics Sweet selection / Cult　comics / Cult　comics　Sweet　selection / カルトコミックス	9784773006919,9784773095197,9784773096118,9784773097078,9784773097597
SERIES高(別叢書の混入)	sugomori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	スゴ盛!本当にあった(生)ここだけの話極 (ウルトラ)	None	まんがタイムmy pal comics	芳文社	27	まんがタイムマイパルコミックスx13	まんがタイムMY　PAL　COMICS / まんがタイムＭＹ　ＰＡＬ　ＣＯＭＩＣＳ	9784832253070,9784832253230,9784832254534,9784832254862,9784832255029
SERIES高(別叢書の混入)	suiren-unga	水蓮運河	None	ペーパームーンコミックス	新書館	4	ペ-パ-ム-ンコミックスx3	Ｐｅｐｅｒ　ｍｏｏｎ　ｃｏｍｉｃｓ	9784403611919
SERIES高(別叢書の混入)	sukitte-iinayo	好きっていいなよ。	None	講談社コミックスデザート	講談社	18	KC　デザートx17	［特装版コミック］	9784063584493
SERIES高(別叢書の混入)	sumikko-no-sora-san	すみっこの空さん	None	Blade comics	マッグガーデン	8	ブレイドコミックスx7	BLADE COMICS	9784861279737
SERIES高(別叢書の混入)	sun-ken-rock	サンケンロック	None	YKコミックス	少年画報社	25	ヤングキングコミックスx24	YKコミックス	9784785939069
SERIES高(別叢書の混入)	suna-no-eikan	砂の栄冠	None	ヤンマガKC	講談社	25	ヤングマガジンKCx21	ヤングマガジンコミックス / ヤンマガKC	9784063619775,9784063619850,9784063820102,9784063820638
SERIES高(別叢書の混入)	sundere	スンデレ!	None	Nichibun comics	日本文芸社	10	ニチブンコミックス　CH　COMICSx7	NICHIBUN COMICS / ニチブンコミックス	9784537125849,9784537126945,9784537133783
SERIES高(別叢書の混入)	super-mario-kun	スーパーマリオくん	None	None	小学館	61	コロコロコミックスx60	てんとう虫コロコロコミックス	9784091415332
SERIES高(別叢書の混入)	super-robot-taisen-og-ji-inspector-record-of-atx	スーパーロボット大戦OG-ジ・インスペクター-Record of ATX	None	電撃コミックス	KADOKAWA	7	電撃コミックスx6	DC	9784048706339
SERIES高(別叢書の混入)	supi-sanpo-burari-pawasupo-reikan-tabi	スピ☆散歩 ぶらりパワスポ霊感旅	None	HONKOWAコミックス	朝日新聞出版	5	HONKOWAコミックスx4	HOKOWAコミックス	9784022758323
SERIES高(別叢書の混入)	suugaku-joshi	数学女子	None	Bamboo comics	竹書房	5	バンブーコミックスx4	Bamboo comics	9784812474440
SERIES高(別叢書の混入)	suzuka	涼風	None	講談社コミックス	講談社	18	講談社コミックスx17	Shonen magazine comics	9784063638998
SERIES高(別叢書の混入)	suzuki-sensei	鈴木先生	None	ACTION COMICS	双葉社	11	アクションコミックスx9	Action comics / Action　comics	9784575940237,9784575943153
SERIES高(別叢書の混入)	suzumiya-haruhi-no-yuuutsu	涼宮ハルヒの憂鬱	None	角川コミックス・エース	角川書店	20	角川コミックス・エースx19	カドカワコミックスA	9784041201855
SERIES高(別叢書の混入)	switch-2002	Switch	None	stencil comics	スクウェア・エニックス	13	Ｇファンタジーコミックスx11	ステンシルコミックス	9784757507449,9784757508514
SERIES高(別叢書の混入)	taberu-dake	たべるダケ	None	ビッグスピリッツコミックススペシャル	小学館	4	ビッグスピリッツコミックススペシャルx3	ビッグ コミックス〔スピリッツ〕	9784091845498
SERIES高(別叢書の混入)	tabetemo-oishiku-arimasen	食べてもおいしくありません	None	ビーボーイコミックスデラックス	リブレ	5	ビーボーイコミックスデラックスx4	BE×BOY COMICS DELUXE	9784799764091
SERIES高(別叢書の混入)	tachibanakan-try-anguru	立花館to lie (とらい) あんぐる	None	IDコミックス	一迅社	9	IDコミックス　百合姫コミックスx7	百合姫コミックス	9784758079365,9784758021302
SERIES高(別叢書の混入)	tactics	tactics	None	Blade comics	マッグガーデン	15	ブレイドコミックス・アヴァルスx11	アヴァルスコミックス / マッグガーデンコミックス アヴァルスシリーズ / マッグガーデンコミックス・アヴァルスシリーズ / ［特装版コミック］	9784861270208,9784861278457,9784861279683,9784800001634
SERIES高(別叢書の混入)	tada-shiawasena-isekai-kazoku-seikatsu-tenseishite-kondo-koso-shiawase-ni-kurashimasu	ただ幸せな異世界家族生活	None	G fantasy comics	スクウェア・エニックス	4	Gファンタジーコミックスx3	GFC	9784757569188
