slug	vol	isbn13	class	note
ninja-hattori-kun	8	9784091404886	DUP_PAGE	✅二重頁統合適用済(2026-08-05)
ninja-hattori-kun	9	9784091404893	DUP_PAGE	✅二重頁統合適用済(2026-08-05)
abashiri-ikka	6	9784253056564	INDEX_STALE	isbn索引は同頁を指すが現頁に無し=過去に除去/索引stale。再追加候補
bocchan-no-jidai	3	9784575307245	INDEX_STALE	isbn索引は同頁を指すが現頁に無し=過去に除去/索引stale。再追加候補
doyoubi-no-ehon	3	9784086170499	INDEX_STALE	isbn索引は同頁を指すが現頁に無し=過去に除去/索引stale。再追加候補
kamui-gaiden	13	9784091900609	INDEX_STALE	isbn索引は同頁を指すが現頁に無し=過去に除去/索引stale。再追加候補
kamui-gaiden	14	9784091901910	INDEX_STALE	isbn索引は同頁を指すが現頁に無し=過去に除去/索引stale。再追加候補
kamui-gaiden	16	9784091901934	INDEX_STALE	isbn索引は同頁を指すが現頁に無し=過去に除去/索引stale。再追加候補
tiger-mask-nisei	2	9784063601343	INDEX_STALE	isbn索引は同頁を指すが現頁に無し=過去に除去/索引stale。再追加候補
anmitsuhime	2		PRE_ISBN	ISBN無し(1950-70年代)=登録不可規律
asatarou-den	4		PRE_ISBN	ISBN無し(1950-70年代)=登録不可規律
asatarou-den	5		PRE_ISBN	ISBN無し(1950-70年代)=登録不可規律
black-angels	2		PRE_ISBN	ISBN無し(1950-70年代)=登録不可規律
ninja-hattori-kun	5		PRE_ISBN	ISBN無し(1950-70年代)=登録不可規律
robot-santou-hei	6		PRE_ISBN	ISBN無し(1950-70年代)=登録不可規律
seibonjinden	7		PRE_ISBN	ISBN無し(1950-70年代)=登録不可規律
seibonjinden	8		PRE_ISBN	ISBN無し(1950-70年代)=登録不可規律
seibonjinden	9		PRE_ISBN	ISBN無し(1950-70年代)=登録不可規律
shinpan-himitsu-tantei-jieiei	10		PRE_ISBN	ISBN無し(1950-70年代)=登録不可規律
wild-7	18		PRE_ISBN	ISBN無し(1950-70年代)=登録不可規律
apollo-no-uta	2	9784087483048	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
atagoul	6	9784840100168	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
atagoul	7	9784840100359	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
atagoul	8	9784840100366	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
esper-mami-1996-2	3	9784091423177	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
heba-hello-chan	3	9784063348637	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
mobile-suit-z-gundam	7	9784764813250	SEED2_ONLY	頁drop(フィルムコミック=アニメ物・ユーザ発見2026-08-06。候補v7,8=ジ・アニメフィルムコミックスが自白だった)
mobile-suit-z-gundam	8	9784764813267	SEED2_ONLY	頁drop(フィルムコミック=アニメ物・ユーザ発見2026-08-06。候補v7,8=ジ・アニメフィルムコミックスが自白だった)
myououden-rei	1	9784063290356	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
myououden-rei	2	9784063290363	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
myououden-rei	3	9784063290370	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
myououden-rei	4	9784063290387	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
ningen-shikkaku-ito-2010	2	9784107715425	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
pokkapoka	4	9784081062249	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
wild-7	10	9784408612287	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
wild-7	11	9784408612317	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
wild-7	12	9784408612324	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
wild-7	17	9784821186013	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
wild-7	19	9784821186181	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
wild-7	24	9784821186709	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
wild-7	7	9784408612256	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
wild-7	8	9784408612263	SEED2_ONLY	種2に在るがどの頁にも未掲載=真のunder-merge、per-case追加候補
