slug	title	現行	Gemini案	bad_tags	desc
abners	アブナーズ	["action", "drama"]	["comedy", "gag"]	[]	白夜書房から刊行された、いくたまきによる漫画作品。
abno-madams	アブノマダムズ	["drama", "ecchi"]	["horror", "school", "suspense"]	[]	女子高生たちが怪異や超常現象に立ち向かうホラー・サスペンス作品。
abracadabra	アブラカダブラ	["comedy", "fantasy"]	["mystery"]	[]	学研のピチコミックスから刊行された、少女向けのミステリー漫画作品。
abunai-kinyoubi	危ない金曜日	["drama", "mystery"]	["comedy", "school"]	[]	週刊少年ジャンプで連載された、学園生活を舞台にしたコメディ作品。
abunai-nichiyoubi	あぶない日曜日	["drama"]	["romance", "school"]	[]	野崎ふみこの初期短編集。少女漫画誌に掲載された読み切り作品を収録。
abunai-wedding-beru	危ないウエディングベル	["drama", "mystery"]	["romance", "romcom"]	[]	万里村奈加による、結婚をテーマにした少女漫画作品。
abunoomaru-shimasho	アブノーマルしましょ!?	["romance"]	["romcom", "school"]	[]	女子高生と教師の恋愛を描いた学園ラブコメディ。
accomplice	アカンプリス	["fantasy"]	["action", "suspense"]	[]	六道神士による、犯罪者と刑事を巡るサスペンス作品。
achira-no-okyaku-sama-kara	あちらのお客様から	["comedy", "romance"]	["drama", "slice-of-life"]	[]	バーを舞台に、客同士の交流や人間模様を描いた短編集。
act-on-baby	アクトンベイビー	["comedy", "romance"]	["drama"]	[]	元天才子役の青年が、再び俳優の道を目指す芸能界ドラマ。
act-on	アクト・オン!	["action"]	["drama", "school"]	[]	演劇部を舞台にした学園ドラマ作品。
action-poozu-5000	アクションポーズ5000	["other"]	[]	["action", "adventure", "fantasy", "sci-fi", "mystery", "horror", "gag", "comedy", "romcom", "romance", "drama", "slice-of-life", "school", "sports", "baseball", "soccer", "historical", "samurai", "mecha", "yokai", "gourmet", "4-koma", "essay", "isekai", "bl", "suspense", "music", "supernatural", "ecchi", "mind-game", "mahou-shoujo", "war"]	漫画やイラスト制作のためのポーズ集。
adamanto-no-toride	アダマントの砦	["action", "fantasy"]	["drama", "mystery", "suspense"]	[]	野間美由紀による短編集。表題作のほか、ミステリーやサスペンス要素のある作品を収録。
adamuna-ivu	アダムなイヴ	["romance"]	["comedy", "romcom"]	[]	双子の姉妹が入れ替わることで巻き起こる騒動を描いたラブコメディ。
afternoon-potaufen	Afternoon potaufen	["drama"]	["comedy", "ecchi"]	[]	瀬口たかひろの短編集。成人向け作品を含む。
afurodiitenaintei	アフロディーテ'90	["fantasy", "historical"]	["drama", "romance", "sci-fi"]	[]	近未来の日本を舞台に、愛と平和をテーマに描かれたSFロマンス。
agekisu	あげきす	["comedy", "romance"]	["ecchi", "romcom", "school"]	[]	女子高生と教師の恋愛を描いた学園ラブコメディ。
ahiru-no-ofuro	アヒルのお風呂	["comedy", "slice-of-life"]	["4-koma", "gag"]	[]	芳文社のまんがタイム系で連載された、アヒルを題材にした4コマ漫画。
aho-jiru-666	アホ汁666	["comedy", "slice-of-life"]	["essay", "gag"]	[]	ピョコタンによる、自身の体験や日常を題材にしたエッセイ漫画。
ahondara-koshiba-2003	あほんだら	["comedy"]	["baseball", "sports"]	[]	秋田書店より刊行された、こしばしげるによる野球漫画。
ahou-ressha	阿房列車	["comedy"]	["essay", "slice-of-life"]	[]	内田百閒の紀行文『阿房列車』を漫画化した作品。
ai-doll-hiroko	愛・ドールヒロコ	["romance"]	["drama", "sci-fi"]	[]	アンドロイドのヒロコと人間との交流を描いたSF作品。
ai-donto-koi	愛 DON'T 恋	["romance"]	["comedy", "drama", "romcom"]	[]	少年画報社のヤングキングで連載された、恋愛や人間模様を描いた青年漫画。
ai-mai-mii	EYE・麻衣・ME	["drama"]	["sci-fi", "suspense"]	[]	超能力を持つ少女・麻衣を巡るSFサスペンス作品。
ai-niiju	あいにーじゅ♥	["ecchi", "romance"]	["comedy", "school", "slice-of-life"]	[]	双葉社のWebコミックサイトで連載された、女子高生たちの日常を描いた作品。
ai-no-chigiri	アイの契り。	["fantasy", "romance"]	["bl"]	[]	将貴和寿による、BLジャンルの漫画作品。
ai-no-fujitsubo	愛のふじつぼ	["drama", "ecchi"]	["essay"]	[]	こいずみまりによる、自身の結婚生活や日常を描いたエッセイ漫画。
ai-no-memory	愛NOメモリー	["drama", "romance"]	["comedy", "romcom"]	[]	実業之日本社から刊行された山田こうすけの短編集。
ai-no-tatakiuri-bussanten	愛のたたき売り物産展	["comedy", "drama"]	["4-koma", "gag"]	[]	地方物産展を舞台にした、個性的な店員たちが繰り広げる4コマ漫画。
ai-to-yokubou-wa-abunoomaru-de	愛と欲望はアブノーマルで	["drama", "romance"]	["bl"]	[]	梅沢はなによる成人向け短編集。
aibou-2005	あいぼう!	["comedy"]	["essay", "slice-of-life"]	[]	著者と愛犬との生活を描いたエッセイ漫画。
aien-kien	合縁奇縁	["drama"]	["historical"]	[]	沖縄の歴史や伝承を題材にした短編漫画集。
aiiro-densetsu	藍色伝説	["fantasy"]	["horror", "mystery", "supernatural"]	[]	高階良子による短編集。表題作のほか、複数の読み切り作品が収録されている。
aijin-31gou	愛人31号	["drama", "romance"]	["comedy", "essay"]	[]	著者自身の体験を基にした、恋愛や日常をテーマにしたエッセイ漫画。
aijin-miman	愛人未満	["ecchi"]	["drama", "romance"]	[]	大陸書房から刊行された藤田素子による成人向け漫画作品。
aika	Aika	["comedy", "fantasy"]	[]	[]	ワニブックスより刊行された此路あゆみによる全1巻の漫画作品。
aiko-juurokusai	アイコ十六歳	["drama"]	["gag", "horror", "sci-fi"]	[]	駕籠真太郎による、奇想天外な設定やブラックユーモアを含む短編集。
aimu-dachikou	I'mダチ公	["action", "school"]	["comedy", "gag"]	[]	秋田書店から刊行された、木村知夫と立原あゆみによる短編集。
aimu-namu	アイムナム	["action", "comedy"]	["drama", "historical"]	[]	ベトナム戦争を舞台に、戦場カメラマンの視点から戦争の悲劇を描いた作品。
ainokiseki	愛の奇跡	["romance"]	["essay"]	[]	自身の体験や日常を綴ったエッセイ漫画作品。
ainyan-sapuri	愛猫サプリ	["comedy"]	["essay", "slice-of-life"]	[]	猫のサプリとの日常を描いたエッセイ漫画。
aira-buyuuden	あいら武遊伝!	["action", "comedy"]	["romcom", "school"]	[]	陣名まいによる少女漫画。学園を舞台にしたラブコメディ作品。
airabuketsuekigata	アイ・LOVE・血液型	["comedy"]	["essay"]	[]	血液型と性格の関連性を解説した血液型人間学の漫画。
aishadou	愛斜堂	["comedy", "drama"]	["horror", "suspense"]	[]	廃墟となった洋館を舞台にしたホラー・サスペンス作品。
aishite-himeko-san	愛して❤姫子さん	["romance"]	["comedy", "romcom", "school"]	[]	女子高生・姫子を主人公に描かれる、80年代の学園ラブコメディ。
aitsu-1993	あいつ	["romance"]	["comedy", "gag", "school"]	[]	小学館の週刊少年サンデーで連載された、ぶしやまによる学園コメディ漫画。
ajara	アジャラ	["comedy"]	["fantasy", "slice-of-life"]	[]	不思議な生き物アジャラと人間の交流を描く物語。
ajia-paa-den	アジアパー伝	["adventure", "comedy"]	["essay", "gag"]	[]	アジア各国を巡る西原理恵子の旅行記エッセイ漫画。
ajitama	アジ玉。	["comedy"]	["gourmet", "slice-of-life"]	[]	料理店を舞台に、味玉を巡る人間模様を描いたグルメ漫画。
aka-chan-ga-hoshii	赤ちゃんがほしい!!	["comedy", "drama"]	["essay"]	[]	不妊治療の体験を描いた実録エッセイ漫画。
aka-i-ito-no-futari	赤い糸のふ・た・り	["romance"]	["comedy", "romcom"]	[]	阿部ゆたかによる、運命の赤い糸をテーマにしたラブコメディ作品。
aka-meikyuu-niji-meikyuu	赤迷宮・虹迷宮	["fantasy", "mystery"]	["drama", "romance"]	[]	神谷悠による短編集。表題作を含む複数の読み切り作品を収録。
aka-meikyuu	赤迷宮	["fantasy", "mystery"]	["drama", "romance"]	[]	神谷悠による短編集。表題作のほか数編が収録されている。
aka-pink	あかピンク	["drama", "romance"]	["romcom", "school"]	[]	女子高生・赤井ピンクの日常や恋愛を描いた学園ラブコメディ。
aka-to-kiinu	アカとキイヌ	["action", "drama"]	[]	[]	少年画報社から刊行された小幡文生の短編集。
akabako	赤箱。	["drama"]	["horror", "mystery", "supernatural"]	[]	ある日突然届いた赤い箱を巡る、不気味な怪異を描いたホラー作品。
akaboshi-tamiko-no-kurukuru-pitsu	赤星たみこのくるくるピッ	["comedy"]	["essay"]	[]	赤星たみこによる日常や体験を綴ったエッセイ漫画。
akahana-no-azunaburu	赤鼻のアズナブル	["comedy"]	["drama"]	[]	高口里純による短編集。表題作ほか、独特のタッチで描かれる人間ドラマを収録。
akai-aho-jiru	赤いアホ汁	["comedy", "slice-of-life"]	["essay", "gag"]	[]	ピョコタンによる自伝的エッセイ漫画。
akai-himo-no-densetsu	赤いヒモの伝説	["fantasy", "romance"]	["comedy", "gag"]	[]	現代洋子による、赤いヒモを巡る物語を描いた全1巻の漫画作品。
akai-kaze-no-densetsu	赤い風の伝説	["adventure", "fantasy"]	["action"]	[]	週刊少年ジャンプに掲載された、浦川まさるによる短編作品。
akai-kyuuden	赤い宮殿	["drama", "fantasy"]	["horror", "supernatural"]	[]	実業之日本社から刊行された山本まゆりのホラー短編集。
akamehime-no-choukai	赤目姫の潮解	["mystery", "sci-fi"]	["fantasy"]	[]	少女が身体を溶かしながら旅をする、幻想的で退廃的な物語。
akanbo-tte-minna-kawaiino	赤んぼってみんなカワイイの?	["comedy"]	["essay"]	[]	著者の妊娠・出産・育児体験を描いたエッセイ漫画。
akanbo-tte-minna-tenshi-nano	赤んぼってみんな天使なの?	["comedy"]	["essay"]	[]	著者自身の出産・育児体験を描いたエッセイ漫画。
akane-no-daujingu-road	あかねのダウジングロード	["adventure", "fantasy"]	["mystery", "supernatural"]	[]	ダウジング能力を持つ少女あかねが様々な事件を解決する物語。
akariiro-no-douwa	灯色の童話	["fantasy"]	["drama", "romance"]	[]	大谷博子と萩原絹代による短編作品集。
akarui-kazoku-keikaku-1995	明るい家族計画	["drama", "essay"]	["comedy", "romcom", "slice-of-life"]	[]	若夫婦の生活を描いたホームコメディ。
akatsuka-fujio-ga-kataru-64-yonin-no-mangakatachi	赤塚不二夫が語る64人のマンガ家たち	["drama"]	["essay"]	[]	赤塚不二夫が多くの漫画家について語った対談やエッセイをまとめた書籍。
akatsuka-fujio-no-doushitekureru	赤塚不二夫のどうしてくれる!?	["comedy"]	["essay"]	[]	赤塚不二夫によるエッセイ漫画。自身の半生や日常を綴った作品。
akatsuka-fujio-no-hachamecha-tetsugaku	赤塚不二夫のハチャメチャ哲学	["comedy"]	["essay"]	[]	赤塚不二夫による人生哲学や生き方を綴ったエッセイ集。
akatsuka-fujio-no-hata-no-moto-ni	赤塚不二夫の旗の下に	["comedy"]	["essay"]	[]	赤塚不二夫の元で働いた著者が描く、当時の制作現場の回想録。
akatsuka-fujio-no-meigaza-omoshirokan	赤塚不二夫の名画座・面白館	["comedy", "drama"]	["essay", "gag"]	[]	赤塚不二夫による映画評論やエピソードを綴ったエッセイ漫画。
akatsuka-fujio-ura-1000-peeji	赤塚不二夫裏1000ページ	["comedy"]	["essay"]	[]	赤塚不二夫の生涯や作品を振り返るインタビューや対談、資料をまとめたムック本。
akebono-sokkusu	あけぼのソックス	["romance", "school"]	["drama", "slice-of-life"]	[]	安永知澄による、日常の機微を描いた短編集。
aki-ryuuzan-no-sutten-kororin-gekijou	秋竜山のすってんころりん劇場	["comedy"]	["4-koma", "gag"]	[]	秋竜山による、日常の滑稽な場面を描いた一コマ漫画集。
akiko-no-calendar-16-sai	亜紀子のカレンダー 16歳	["drama"]	["romance", "school", "slice-of-life"]	[]	16歳の少女・亜紀子の日常や恋愛を描いた少女漫画作品。
akiko-no-calendar-17-sai	亜紀子のカレンダー17歳	["drama"]	["romance", "school", "slice-of-life"]	[]	17歳の少女・亜紀子の日常や恋愛模様を描いた作品。
akiko-no-calendar-18sai	亜紀子のカレンダー18歳	["drama"]	["romance", "school", "slice-of-life"]	[]	18歳の少女・亜紀子の日常や恋愛模様を描いた少女漫画作品。
akiko-no-hanran	晶子の反乱	["drama"]	["essay", "slice-of-life"]	[]	著者自身の体験を基にした、育児や日常を描いたエッセイ漫画。
akinai-damashii	アキナイ☆ダマシイ	["drama", "essay"]	["comedy", "slice-of-life"]	[]	商店街の活性化を目指す女子高生たちの奮闘を描く物語。
akira-club	Akira club	["other"]	["sci-fi"]	[]	漫画『AKIRA』の制作資料やイラストを収録した公式ファンブック。
ako-chan-no-beautiful-cinema	A子ちゃんのビューティフル・シネマ	["comedy"]	["slice-of-life"]	[]	映画をテーマにした短編作品集。
akogare-rouge-magic	あこがれルージュマジック	["mystery", "supernatural"]	["romance", "school"]	[]	講談社「なかよし」で連載された、少女向けの恋愛漫画作品。
akoku-seikatsu	A国生活	["drama"]	["essay", "slice-of-life"]	[]	著者の海外生活を綴ったエッセイ漫画。
aku-ga-yobu	悪がよぶ!	["action", "drama", "fantasy"]	["horror", "suspense"]	[]	徳間書店から刊行された松本久志によるホラー・サスペンス漫画。
akudama-shigan	悪玉志願	["action", "drama"]	["comedy", "gag"]	[]	悪の組織への就職を目指す主人公を描いたコメディ作品。
akujunkanna	悪循環な××	["drama"]	["bl", "romance", "school"]	[]	女子高生と教師の恋愛を描いたボーイズラブ作品。
akuma-ga-yoru-kuru	悪魔が夜来る	["drama", "horror"]	["comedy", "gag"]	[]	ひさうちみちおによる、不条理でシュールな短編漫画集。
akuma-ha-nemura-nai	悪魔は眠らない	["horror", "supernatural"]	["drama", "romance"]	[]	集英社マーガレットコミックスより刊行された、柿崎普美による少女漫画作品。
akuma-no-hohoemi	悪魔のほほえみ	["horror", "mystery"]	["drama", "romance"]	[]	講談社コミックスフレンドより刊行された、菊川近子の短編集。
akuma-no-kotowaza	悪魔のことわざ	["comedy", "fantasy"]	["gag"]	[]	ことわざや慣用句の由来を、ブラックユーモアを交えて解説するエッセイ漫画。
akuma-no-utatane	悪魔のうたたね	["drama"]	["comedy", "gag"]	[]	喜国雅彦による短編集。独特のシュールな世界観を持つ作品群。
akuma-to-tenshi-no-sentaku	悪魔と天使の選択	["drama", "fantasy"]	["horror", "supernatural"]	[]	霊能者や心霊現象をテーマにしたホラー・オカルト作品。
akutou-1013-mi	悪1013	["action", "drama"]	["horror", "suspense"]	[]	少年マガジンで連載された、悪魔をテーマにしたサスペンス・ホラー作品。
al	AL	["drama", "sports"]	["action", "sci-fi"]	[]	近未来を舞台に、人造人間ALを巡る物語を描いたSFアクション。
alice-club-mihappyou-selection	アリスくらぶ未発表セレクション	["fantasy"]	["ecchi"]	[]	コアマガジンの成人向け雑誌『アリスくらぶ』掲載作品を収録した短編集。
alice12	ALICE12	["drama", "fantasy"]	["action", "sci-fi"]	[]	近未来を舞台に、特殊な能力を持つ少女アリスと仲間たちの戦いを描くSFアクション。
