消えた巻数	slug	title	type	表示label	表示imprint	表示巻数	畳まれた種2版[出版社]	canonical	消えたISBN
0	ookami-koushaku-no-kyuukon	狼公爵の求婚	standard	通常版	Missy comics	3	Missy comics[宙出版] / ネクストFコミックス[ジャイブ]		
0	ore-janee-to-dame-na-kuseni	俺じゃねぇとダメなくせに	standard	通常版	ラブきゅんcomic	3	ラブきゅんcomic[日販アイ・ピー・エス,日販アイ・ピー・エス (発] / ラブきゅんcomic[日販アイ・ピー・エス]		
0	ore-no-kouhai-ga-konnani-kawaii-wake-ga-nai	俺の後輩がこんなに可愛いわけがない	standard	通常版	電撃コミックス	6	電撃コミックス[KADOKAWA,角川グループパブリッシング] / 電撃コミックス[KADOKAWA]		
0	ore-wa-chokkaku	おれは直角	standard	通常版	スーパービジュアル・コミックス	14	スーパービジュアル・コミックス[ビズコミュニケーションズジャパン,小学館] / スーパー・ビジュアル・コミックス[シヨウガクカン] / 少年サンデーコミックス[小学館]		
0	ore-wa-kimi-ni-yokujou-shimakuru-hentai-desu	俺はキミに欲情しまくる変態です…	standard	通常版	PILLOW	5	PILLOW[viviON viviON THOTH] / PILLOW[viviON]		
0	orfina-saga	Orfina SAGA	standard	通常版	Kadokawa Comics Dragon Jr.	7	DRAGON COMICS AGE[角川グループパブリッシング] / Kadokawa Comics Dragon Jr.[角川グループパブリッシング,角川書店]		
0	otona-no-shikumi	おとなのしくみ	standard	通常版	Ascii comix	4	ASPECT COMIX[アスペクト] / BEAM COMICS[エンターブレイン] / BEAM COMIX[エンターブレイン]		
0	ouchi-e-kaerou	おうちへかえろう	standard	通常版	079	3	079[三交社] / Charles Comics[三交社 (発売)]		
0	ouji-no-yuugana-seikatsu-kari	王子の優雅な生活（仮）	standard	通常版	眠れぬ夜の奇妙な話コミックス	3	Asahiコミックス[朝日新聞出版] / 眠れぬ夜の奇妙な話コミックス[朝日新聞出版,朝日新聞社]		
0	pachinko	ぱちん娘(こ)。	standard	通常版	星海社COMICS	8	星海社COMICS[講談社 (発売)] / 星海社COMICS[講談社]		
0	pachisuro-hitoritabi	パチスロひとり旅	standard	通常版	白夜コミックス	15	GW comics[ガイドワークス] / 白夜コミックス[白夜書房]		
0	pastel-kazoku	パステル家族	standard	通常版	ACTION COMICS	15	ACTION COMICS[NHN comico] / ACTION COMICS[双葉社]		
0	phantom-dead-or-arive	PHANTOM DEAD OR ARIVE	standard	通常版	ガンガンコミックス	8	ガンガンコミックス[エニックス,スクウェア・エニックス] / ガンガンコミックス[スクウェア・エニックス]		
0	puchimasu	ぷちます!	standard	通常版	Dengeki Comics EX	15	Dengeki Comics EX[KADOKAWA,角川グループパブリッシング] / Dengeki Comics EX[KADOKAWA] / Dengeki Comics EX[角川グループパブリッシング]		
0	punch	Punch↑	standard	通常版	Be-boy comics	7	Be-boy comics[リブレ出版] / Be×boy comics[リブレ出版] / ビーボーイコミックス[リブレ]		
0	rabauru-reppuu-kuusenroku	ラバウル烈風空戦録	standard	通常版	中公コミック・スーリスペシャル	6	中公コミック・スーリスペシャル[中央公論新社,中央公論社] / 中公コミック・スーリスペシャル[中央公論社]		
0	raijin-to-riiman	雷神とリーマン	standard	通常版	クロフネcomics	5	くろふねピクシブシリーズ[リブレ] / くろふねピクシブシリーズ[リブレ] / クロフネcomics[リブレ,リブレ出版]		
0	raki-suta	らき☆すた	standard	通常版	Kadokawa Comics	10	Kadokawa Comics[角川グループパブリッシング,角川書店] / [Kadokawa Comics][KADOKAWA] / 単行本コミックス[角川グループパブリッシング]		
0	rance-quest	ランス・クエスト	standard	通常版	電撃ジャパンコミックス	3	電撃ジャパンコミックス[KADOKAWA] / 電撃ジャパンコミックス[角川グループパブリッシング]		
0	rashanu	ラシャーヌ!	standard	通常版		7	None[小学館 (発売)] / 花とゆめCOMICS[白泉社] / 花とゆめコミックス[白泉社]		
0	rdg-red-data-girl	RDG レッド データ ガール	standard	通常版	角川コミックス・エース	5	角川コミックス・エース[KADOKAWA] / 角川コミックス・エース[KADOKAWA] / 角川コミックス・エース[角川グループパブリッシング,角川グループホールデ]		
0	re-monster	Re:Monster	standard	通常版	アルファポリスCOMICS	14	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	reijou-wa-mattari-o-goshomou	令嬢はまったりをご所望。	standard	通常版	Regina COMICS	8	Regina COMICS[星雲社,星雲社 (発売)] / Regina COMICS[星雲社]		
0	reikan-doubutsu-tanteisha	霊感動物探偵社	standard	通常版	エルジーエーコミックス	15	LGA comics[青泉社] / エルジーエーコミックス[Bbmfマガジン,青泉社]		
0	reinou-tantei-miko	霊能探偵ミコ	standard	通常版	ワニマガジン・コミックス	7	None[ワニマガジン社] / ワニマガジン・コミックス[ワニマガジン,ワニマガジン社]		
0	ren-soushi-ni-shojo-o-sasagu	漣蒼士に処女を捧ぐ	standard	通常版	Clair TLcomics	7	Clair TLcomics[星雲社,星雲社 (発売)] / Clair TLcomics[星雲社] / Clair TLcomics[星雲社]		
0	rewrite-side-r	Rewrite: SIDE-R	standard	通常版	電撃コミックス	5	電撃コミックス[KADOKAWA] / 電撃コミックス[角川グループパブリッシング]		
0	rikei-ga-koi-ni-ochita-node-shoumei-shite-mita	理系が恋に落ちたので証明してみた。	standard	通常版	メテオCOMICS	21	METEOR COMICS[フレックスコミックス] / [メテオCOMICS][フレックスコミックス] / メテオCOMICS[ほるぷ出版,フレックスコミックス] / メテオCOMICS[フレックスコミックス]		
0	rikei-no-hitobito	理系の人々	standard	通常版		6	KITORA[KADOKAWA] / None[KADOKAWA,中経出版]		
0	risky-safety	リスキー☆セフティ	standard	通常版	DC	3	DC[メディアワークス] / DENGEKI COMICS[角川書店]		
0	robotics-notes-2012	Robotics;Notes	standard	通常版	ヤングジャンプ・コミックス・ウルトラ	4	Blade comics[マッグガーデン] / ヤングジャンプ・コミックス・ウルトラ[集英社]		
0	rockomanga	ROCKOMANGA!	standard	通常版		2	BURRN!叢書[シンコーミュージック・エンタテイメント] / None[リットーミュージック]		
0	roto-no-monshou	ロトの紋章	standard	通常版	ガンガンコミックス	34	ガンガンコミックス[エニックス] / ヤングガンガンコミックス[スクウェア・エニックス] / ヤングガンガンコミックス[スクウェア・エニックス]		
0	roukyuubu	ロウきゅーぶ!	standard	通常版	電撃コミックス	12	アスキー・メディアワークス[KADOKAWA] / アスキー・メディアワークス[角川グループパブリッシング] / 電撃コミックス[KADOKAWA] / 電撃コミックス[角川グループパブリッシング,角川グループホールデ]		
0	rudolf-turkey	ルドルフ・ターキー	standard	通常版	BEAM COMIX	7	BEAM COMIX[KADOKAWA,角川グループホールディングス] / HARTA COMIX[KADOKAWA]		
0	sagishi	詐騎士	standard	通常版	Regina COMICS	15	Regina COMICS[星雲社,星雲社 (発売)] / Regina COMICS[星雲社]		
0	saigo-ni-hitotsu-dake-onegai-shitemo-yoroshii-deshouka	最後にひとつだけお願いしてもよろしいでしょうか	standard	通常版	Regina COMICS	11	Regina COMICS[星雲社,星雲社 (発売)] / Regina COMICS[星雲社] / Regina COMICS[星雲社]		
0	saikin-imouto-no-yousu-ga-chotto-okashiindaga	最近、妹のようすがちょっとおかしいんだが。	standard	通常版	ドラゴンコミックスエイジ	11	DORAGON COMICS AGE[角川グループパブリッシング,角川グループホールデ] / ドラゴンコミックスエイジ[KADOKAWA,角川グループパブリッシング]		
0	saikyou-no-shokugyou-wa-yuusha-demo-kenja-demo-naku-kanteishi-kari-rashii-desu-yo	最強の職業は勇者でも賢者でもなく鑑定士〈仮〉らしいですよ?	standard	通常版	アルファポリスCOMICS	12	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社] / アルファポリスCOMICS[星雲社]		
0	saiyuuki-reload-blast	最遊記 RELOAD BLAST	standard	通常版	IDコミックス	3	IDコミックス[一迅社] / IDコミックス[講談社] / IDコミックススペシャル[一迅社]		
0	saku-wa-edo-nimo-sono-soshitsu	咲くは江戸にもその素質	standard	通常版	ビーズログコミックス	3	ACTION COMICS[NHN comico] / ビーズログコミックス[KADOKAWA]		
0	sakurasou-no-pet-na-kanojo	さくら荘のペットな彼女	standard	通常版	電撃コミックス	8	アスキー・メディアワークス[KADOKAWA] / アスキー・メディアワークス[角川グループパブリッシング] / 電撃コミックス[KADOKAWA] / 電撃コミックス[角川グループパブリッシング]		
0	salty-dog-2012	Salty-dog	standard	通常版		9	None[スタジオDNA,一迅社] / None[一迅社]		
0	samurai-spirits	サムライスピリッツ	standard	通常版	ケイブンシャの大百科 別冊	2	ケイブンシャの大百科 別冊[勁文社] / 講談社コミックスボンボン[講談社]		
0	sayounara-ryuusei-konnichiwa-jinsei	さようなら竜生、こんにちは人生	standard	通常版	アルファポリスCOMICS	16	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	sazukarikon	授か離婚	standard	通常版	Shusui digital comics YLシリーズ	10	Shusui digital comics YLシリーズ[秋水社 (発行元),青泉社] / Shusui digital comics YLシリーズ[青泉社] / Shusui digital comics異世界シリーズ[青泉社]		
0	sega-no-game-wa-sekaiichiiii	セガのゲームは世界いちぃぃぃ!	standard	通常版	SB comics	3	None[ソフトバンククリエイティブ] / SB COMICSドリマガ[ソフトバンクパブリッシング] / SB comics[ソフトバンクパブリッシング]		
0	seihantai-na-watashitachi	正反対なわたしたち	standard	通常版		5	None[講談社,講談社 (発売)] / None[講談社]		
0	seikai-no-monshou	星界の紋章	standard	通常版	DENGEKI COMICS	8	METEOR COMICS[ほるぷ出版] / [メテオCOMICS][フレックスコミックス] / メテオCOMICS[ほるぷ出版,フレックスコミックス]		
0	seiken-no-blacksmith	聖剣の刀鍛冶	standard	通常版	MFコミックス	10	MFコミックス[KADOKAWA,メディアファクトリー] / MFコミックス[メディアファクトリー] / MFコミックス[メディアファクトリー] / MFコミックス[メディアファクトリー]		
0	seikoku-no-ryuukishi	星刻の竜騎士	standard	通常版	MFコミックス	13	MFコミックス[KADOKAWA] / MFコミックス[メディアファクトリー]		
0	seimori-seijo	聖森聖女	standard	通常版		5	LAKE[講談社] / None[講談社,講談社 (発売)]		
0	seinaru-hanayome-no-hanran	聖なる花嫁の反乱	standard	通常版	KCDX	10	Flex comix[ほるぷ出版,ソフトバンククリエイティブ] / フレックスコミックス[ほるぷ出版]		
0	seirei-mamori-no-kusushi-reijou-wa-konyaku-haki-o-tsukitsukerareta-you-desu	精霊守りの薬士令嬢は、婚約破棄を突きつけられたようです	standard	通常版	Regina COMICS	3	Regina COMICS[星雲社 (発売)] / Regina COMICS[星雲社]		
0	seisenki-eruna-saga-tsuu	聖戦記エルナサーガ Ⅱ	standard	通常版	Gファンタジーコミックス	7	Gファンタジーコミックス[エニックス,スクウェア・エニックス] / Gファンタジーコミックス[スクウェア・エニックス]		
0	sengoku-komachi-kurou-tan	戦国小町苦労譚	standard	通常版	EARTH STAR COMICS	20	EARTH STAR COMICS[アース・スターエンターテイメント,泰文堂] / EARTH STAR COMICS[アース・スターエンターテイメント] / EARTH STAR COMICS[泰文堂]		
0	sengokuhime	戦極姫	standard	通常版	Flex comix	5	Flex comix[ほるぷ出版,ソフトバンククリエイティブ] / METEOR COMICS[ほるぷ出版]		
0	senkouka-rubikura	閃光華るびくら	standard	通常版	GFC Gファンタジーコミックス	4	GFC Gファンタジーコミックス[エニックス] / GFC[エニックス,スクウェア・エニックス]		
0	sensei-no-otoriyose	先生のおとりよせ	deluxe	デラックス版	クロフネ comics deluxe	2	クロフネ comics deluxe[リブレ出版] / クロフネdeluxe[リブレ]		
0	seto-no-hanayome	瀬戸の花嫁	standard	通常版	GANGAN WING COMICS	16	GANGAN WING COMICS[エニックス,スクウェア・エニックス] / ガンガンコミックスjoker[スクウェア・エニックス]		
0	shachou-h-nago-houshi-ha-gyoumu-soto-desu	社長、Hなご奉仕は業務外です!	standard	通常版	Daito comics TL (teens love) シリーズ	9	Daito comics TL (teens love) シリーズ[大都社,大都社 (発売)] / Daito comics TLシリーズ[大都社] / Daitosha comic. Daito comics TLシリーズ[大都社]		
0	shakugan-no-shana-x-eternal-song-harukanaru-uta	灼眼のシャナX Eternal song―遥かなる歌―	standard	通常版	DENGEKI COMICS	4	DENGEKI COMICS[アスキー・メディアワークス] / DENGEKI COMICS[角川グループパブリッシング] / DENGEKI COMICS[角川グループパブリッシング]		
0	shibotte-ubatte-risarisa-chan	しぼってうばってリサリサちゃん!	standard	通常版	ヒーローズコミックスわいるど	3	ヒーローズコミックスわいるど[小学館クリエイティブ (発売)] / ヒーローズコミックスわいるど[小学館クリエイティブ]		
0	shin-agatte-nanbo-taichiyo-nakuna	新上ってなンボ!!太一よ泣くな	standard	通常版	劇画キングシリーズ	22	劇画キングシリーズ[スタジオ・シップ,小池書院] / 劇画キングシリーズ[小池書院]	canonical有	
0	shin-mobile-senki-gundam-wing-endless-waltz-haishatachi-no-eikou	新機動戦記ガンダムW Endless Waltz敗者たちの栄光	standard	通常版	角川コミックス・エース	14	角川コミックス・エース[KADOKAWA,角川グループパブリッシング,角] / 角川コミックス・エース[角川グループパブリッシング]		
0	shin-naniwa-kinyuudou	新ナニワ金融道	standard	通常版	通常版	20	GAコミックス[Bbmfマガジン] / GAコミックス[Bbmfマガジン] / SPA!COMICS[扶桑社] / SPA!コミックス[扶桑社] / Spa! comics[扶桑社]	canonical有	
0	shin-piihyoro-ikka	新・ぴーひょろ一家	shinsoban	ミッシィコミックスDX	ミッシィコミックスDX	4	ミッシィコミックスDX[主婦と生活社,宙出版] / ミッシイコミックスDX[主婦と生活社]	canonical有	
0	shinhensei-ron-sensei-no-mushimegane	新編成ロン先生の虫眼鏡	standard	通常版	講談社コミックス	3	None[コミックス] / 講談社コミックス[講談社]		
0	shinigami-doggy	死神DOGGY	standard	通常版	シルフコミックス	3	シルフコミックス[KADOKAWA,角川グループパブリッシング] / シルフコミックス[角川グループパブリッシング]		
0	shinigami-karen	死神可憐	standard	通常版	ミッシィコミックス	2	None[主婦と生活社] / ミッシィコミックス[宙出版]		
0	shinobiyoru-koi-wa-kusemono	忍びよる恋はくせもの	standard	通常版	ビーズログコミックス	5	ビーズログコミックス[KADOKAWA,角川グループパブリッシング] / ビーズログコミックス[角川グループパブリッシング]		
0	shinseiki-evangerion	新世紀エヴァンゲリオン	standard	通常版	角川コミックス・エース	14	Kadokawa Comics A[角川グループパブリッシング] / Kadokawa Comics A[角川書店] / 角川コミックス・エース[KADOKAWA] / 角川コミックス・エース[角川グループパブリッシング,角川書店] / 講談社コミックス・エース[角川書店]		
0	shinseiki-evangerion-ikari-shinji-ikusei-keikaku	新世紀エヴァンゲリオン 碇シンジ育成計画	standard	通常版	角川コミックス・エース	18	角川コミックス・エース[KADOKAWA,角川グループパブリッシング] / 角川コミックス・エース[KADOKAWA] / 角川コミックス・エース[角川グループパブリッシング,角川書店] / 角川コミックス・エース[角川グループパブリッシング] / 角川コミックス・エース[角川グループパブリッシング]		
0	shirobako	SHIROBAKO	standard	通常版	電撃コミックスNEXT	4	ブシロードコミックス[KADOKAWA (発売)] / 電撃コミックスNEXT[KADOKAWA]		
0	shishi-no-musume	獅子の娘	standard	通常版	Lovingコミックス	11	Bunkasha comics[ぶんか社] / Lovingコミックス[芳文社]		
0	shounen-joou	少年王女	standard	通常版	シルフコミックス	5	シルフコミックス[KADOKAWA,角川グループパブリッシング] / シルフコミックス[角川グループパブリッシング]		
0	shutter	シャッター	standard	通常版	アクション・コミックス	15	ACTION COMICS[双葉社] / アクション・コミックス[双葉社] / 劇画キングシリーズ[小池書院]		
0	soil	Soil	standard	通常版	BEAM COMIX	11	BEAM COMIX[エンターブレイン,角川グループパブリッシング] / BEAM COMIX[角川グループパブリッシング]		
0	sonic-the-hedgehog	ソニック・ザ・ヘッジホッグ	standard	通常版		8	None[フェーズシックス (発売)] / None[フェーズシックス (発売)] / None[フェーズシックス,フェーズシックス (発売)] / None[フェーズシックス]		
0	sono-koi-jihanki-de-kaemasuka	その恋、自販機で買えますか?	standard	通常版	063	4	063[三交社] / Charles Comics[三交社 (発売)]		
0	soubi-seisakukei-cheat-de-isekai-o-jiyuu-ni-ikite-ikimasu	装備製作系チートで異世界を自由に生きていきます	standard	通常版	アルファポリスCOMICS	6	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	sougyoushachou	創業社長	standard	通常版	講談社コミックス	5	None[講談社] / 講談社コミックス[講談社/スコラ]		
0	soukon-no-shoujo-to-sourei-no-tabi	送魂の少女と葬礼の旅	standard	通常版	ゼノンコミックス	7	ZENON COMICS[コアミックス] / Zenon comics = ゼノンコミックス[コアミックス] / ゼノンコミックス[コアミックス,徳間書店]		
0	sousei-no-akuerion	創聖のアクエリオン	standard	通常版	Flex comix	6	Flex comix[ほるぷ出版,ソフトバンククリエイティブ] / フレックスコミックス[ほるぷ出版]		
0	souten-no-ken-regenesis	蒼天の拳リジェネシス	standard	通常版	ゼノンコミックス	6	ゼノンコミックス[コアミックス] / ゼノンコミックス[徳間書店]		
0	souzou-mahou-o-oboete-bannou-de-saikyou-ni-narimashita	〈創造魔法〉を覚えて、万能で最強になりました。	standard	通常版	アルファポリスCOMICS	5	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	sowasowa-drawing	そわそわDrawing	standard	通常版	4コマkingsぱれっとcomics	4	4コマkingsぱれっとcomics[一迅社,講談社] / 4コマkingsぱれっとcomics[一迅社]		
0	sozai-saishuka-no-isekai-ryokouki	素材採取家の異世界旅行記	standard	通常版	アルファポリスCOMICS	9	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社] / アルファポリスCOMICS[星雲社]		
0	sprite-arimura-1995	SPRITE	standard	通常版	YKコミックス	9	None[光文社] / YKコミックス[少年画報社] / ヤングキングコミックス[少年画報社]		
0	starry-sky	Starry☆Sky	standard	通常版	ビーズログコミックス	4	ビーズログコミックス[KADOKAWA,角川グループパブリッシング] / ビーズログコミックス[角川グループパブリッシング]		
0	street-fighter-ii-ryu	ストリートファイターⅡ RYU	standard	通常版	トクマインターメディアコミックス	3	トクマインターメディアコミックス[徳間書店,徳間書店インターメディア] / トクマインターメディアコミックス[徳間書店インターメディア]		
0	strike-the-blood	ストライク・ザ・ブラッド	standard	通常版	電撃コミックス	10	アスキー・メディアワークス[角川グループホールディングス] / 電撃コミックス[KADOKAWA]		
0	super-danganronpa-2-nangoku-zetsubou-carnival	スーパーダンガンロンパ2南国ぜつぼうカーニバル!	standard	通常版		4	None[SBクリエイティブ,ソフトバンククリエイティブ] / None[SBクリエイティブ]		
0	super-lovers	SUPER LOVERS	standard	通常版	あすかコミックスCL-DX	21	あすかコミックスCL-DX[KADOKAWA,角川グループパブリッシング] / あすかコミックスCL-DX[角川グループパブリッシング]		
0	super-robot-taisen-og-ji-inspector-record-of-atx	スーパーロボット大戦OG-ジ・インスペクター-Record of ATX	standard	通常版	電撃コミックス	7	アスキー・メディアワークス[角川グループパブリッシング] / 電撃コミックス[KADOKAWA,角川グループパブリッシング] / 電撃コミックス[KADOKAWA]		
0	supoon-nihongoban	SPAWN日本語版	standard	通常版	DENGEKI AMERICAN COMICS	9	DENGEKI AMERICAN COMICS[メディアワークス,主婦の友社] / DENGEKI AMERICAN COMICS[主婦の友社]		
0	suzumiya-haruhi-chan-no-yuuutsu	涼宮ハルヒちゃんの憂鬱	standard	通常版	角川コミックス・エース	12	角川コミックス・エース[KADOKAWA,角川グループパブリッシング] / 角川コミックス・エース[角川グループパブリッシング]		
0	switch-2002	Switch	standard	通常版	stencil comics	13	G fantasy comics[スクウェア・エニックス] / GFC Gファンタジーコミックス[スクウェア・エニックス] / GFC[スクウェア・エニックス] / stencil comics[エニックス]		
0	sword-art-online-fairy-dance	ソードアートオンラインフェアリィ・ダンス	standard	通常版	電撃コミックス	3	電撃コミックス[KADOKAWA,角川グループパブリッシング] / 電撃コミックス[KADOKAWA]		
0	taboo-tattoo	タブー・タトゥー	standard	通常版	MFコミックス	13	MFコミックス[KADOKAWA,メディアファクトリー] / MFコミックス[メディアファクトリー]		
0	tachibanakan-try-anguru	立花館to lie (とらい) あんぐる	standard	通常版	IDコミックス	9	IDコミックス[一迅社] / IDコミックス[講談社] / IDコミックス[講談社]		
0	tajuu-jinkaku-tantei-psycho	多重人格探偵サイコ	standard	通常版	Kadokawa Comics A	24	Kadokawa Comics A[角川グループパブリッシング,角川書店] / Kadokawa Comics A[角川書店] / 角川コミックス・エース[KADOKAWA,角川グループパブリッシング]		
0	tajuu-jinkaku-tantei-psychoco	多重人格探偵サイチョコ	standard	通常版	角川コミックス・エース	4	角川コミックス・エース[角川グループパブリッシング,角川書店] / 角川コミックス・エース[角川書店]		
0	takane-no-hanao-kun	高嶺の花男くん	standard	通常版	Colorful!コミックス	7	Colorful!コミックス[日販アイ・ピー・エス,日販アイ・ピー・エス (発] / Colorful!コミックス[日販アイ・ピー・エス]		
0	tales-of-destiny2	Tales of Destiny2	standard	通常版	G fantasy comics	5	G fantasy comics[スクウェア・エニックス] / Gファンタジーコミックス カバー・帯[スクウェア エニックス] / Gファンタジーコミックス[スクウェア エニックス]		
0	tales-of-etaania-premium-stories	テイルズオブエターニア プレミアムストーリーズ	standard	通常版	GANGAN WING COMICS SPECIAL	6	GANGAN WING COMICS SPECIAL[エニックス,スクウェア・エニックス] / GANGAN WING COMICS SPECIAL[エニックス] / GANGAN WING COMICS SPECIAL[エニックス] / GANGAN WING COMICS[エニックス,スクウェア・エニックス]		
0	tales-of-symphonia-4-koma-kings	テイルズオブシンフォニア4コマkings	standard	通常版	DNAメディアコミックス	3	DNAメディアコミックス[スタジオDNA,一迅社] / DNAメディアコミックス[一迅社]		
0	tales-of-tv	テイルズオブTV	standard	通常版	Dengeki Comics EX	5	Dengeki Comics EX[KADOKAWA] / Dengeki Comics EX[KADOKAWA] / Dengeki Comics EX[角川グループパブリッシング]		
0	tales-of-xillia-side-jude	テイルズオブエクシリア SIDE;JUDE	standard	通常版	電撃コミックス	4	電撃コミックス[KADOKAWA] / 電撃コミックス[角川グループパブリッシング]		
0	tankii	童乩	standard	通常版	YJC・BJ	6	YJC・BJ[小学館,集英社] / ビジネスジャンプ[集英社] / ヤングジャンプ・コミックス[集英社]		
0	teida-neenee	太陽娘	standard	通常版	Judy comics	2	Happy wedding comics[宙出版] / Judy comics[小学館]		
0	tekipaki-waakin-rabu	てきぱきワーキン・ラブ	standard	通常版	アスキーコミックス	6	BEAM COMICS[エンターブレイン] / アスペクトコミックス[アスペクト]		
0	tenisaki-wa-yakushi-ga-sukunai-sekai-deshita	転移先は薬師が少ない世界でした	standard	通常版	Regina COMICS	7	Regina COMICS[星雲社 (発売)] / Regina COMICS[星雲社] / Regina COMICS[星雲社]		
0	tenkousen	天虹船	standard	通常版	ゼロコミックス	2	Zero comics[ビブロス] / ゼロコミックス[青磁ビブロス]		
0	tensei-babaa-wa-misugosenai	転生ババァは見過ごせない!	standard	通常版	Regina COMICS	8	Regina COMICS[星雲社 (発売)] / Regina COMICS[星雲社] / Regina COMICS[星雲社]		
0	tensei-koushaku-reijou-funtouki	転生侯爵令嬢奮闘記	standard	通常版	Regina COMICS	6	Regina COMICS[星雲社,星雲社 (発売)] / Regina COMICS[星雲社]		
0	tensei-kyuuketsuki-san-wa-ohirune-ga-shitai	転生吸血鬼さんはお昼寝がしたい	standard	通常版	EARTH STAR COMICS	13	EARTH STAR COMICS[アース・スターエンターテイメント] / EARTH STAR COMICS[泰文堂]		
0	tensei-shichatta-yo-iya-gomen	転生しちゃったよ〈いや、ごめん〉	standard	通常版	アルファポリスCOMICS	10	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社] / アルファポリスCOMICS[星雲社]		
0	tensei-youjo-shinjuu-to-ouji-to-saikyou-no-oji-san-youheidan-no-naka-de-ikiru	転生幼女。神獣と王子と、最強のおじさん傭兵団の中で生きる。	standard	通常版	Regina COMICS	5	Regina COMICS[星雲社 (発売)] / Regina COMICS[星雲社] / Regina COMICS[星雲社]		
0	tensei-youjo-wa-owabi-cheat-de-isekai-going-my-way	転生幼女はお詫びチートで異世界ごーいんぐまいうぇい	standard	通常版	アルファポリスCOMICS	6	アルファポリスCOMICS[星雲社 (発売)] / アルファポリスCOMICS[星雲社] / アルファポリスCOMICS[星雲社] / アルファポリスCOMICS[星雲社]		
0	tenseisaki-wa-moumoku-youjo-deshita	転生先は盲目幼女でした	standard	通常版	Regina COMICS	4	Regina COMICS[星雲社 (発売)] / Regina COMICS[星雲社] / Regina COMICS[星雲社]		
0	tetsusabi-haien	鉄錆廃園	standard	通常版		6	Biblos comics[ビブロス,青磁ビブロス] / None[青磁ビブロス] / Patsy comics[青磁ビブロス]		
0	the-new-gate	THE NEW GATE	standard	通常版	アルファポリスCOMICS	18	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	the-walking-dead	ウォーキング・デッド	standard	通常版		10	None[ヴィレッジブックス,飛鳥新社] / None[ヴィレッジブックス]		
0	tiger-bunny	TIGER＆BUNNY	standard	通常版	角川コミックス・エース	9	角川コミックス・エース[KADOKAWA,角川グループパブリッシング] / 角川コミックス・エース[KADOKAWA] / 角川コミックス・エース[角川グループパブリッシング]		
0	toaru-chiisana-mura-no-cheat-na-kajiya-san	とある小さな村のチートな鍛冶屋さん	standard	通常版	Regina COMICS	3	Regina COMICS[星雲社 (発売)] / Regina COMICS[星雲社]		
0	toaru-hi-no-kuru	とある日のクル	standard	通常版	Daito comics PCシリーズ	4	Daito comics PC (pet comic) シリーズ[大都社] / Daito comics PCシリーズ[大都社] / Daito comics PCシリーズ[大都社] / ピチコミックス[学習研究社]		
0	toaru-kagaku-no-railgun-2025	とある科学の超電磁砲	standard	通常版	DENGEKI COMICS	20	DENGEKI COMICS[角川グループパブリッシング] / アスキー・メディアワークス[KADOKAWA] / 電撃コミックス[KADOKAWA,アスキー・メディアワークス,角] / 電撃コミックス[KADOKAWA] / 電撃コミックス[KADOKAWA] / 電撃コミックス[KADOKAWA] / 電撃コミックス[KADOKAWA] / 電撃コミック		
0	toaru-otsu-san-no-buiaaruemuemuoo-katsudouki	とあるおっさんのVRMMO活動記	standard	通常版	アルファポリスCOMICS	14	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	tobe-isami	飛べ!イサミ	standard	通常版	テレビコミックス	10	テレビコミックス[NHK出版,日本放送出版協会] / テレビコミックス[日本放送出版協会] / テレビコミックス[日本放送出版協会]		
0	togainu-no-chi	咎狗の血	standard	通常版	B's-LOG COMICS	10	B's-LOG COMICS[エンターブレイン,角川グループパブリッシング] / ビーズログコミックス[角川グループパブリッシング] / ビーズログコミックス[角川グループパブリッシング]		
0	toki-no-gyouja	時の行者	shinsoban	講談社コミックスなかよし	講談社コミックスなかよし	5	None[コミックス] / 講談社コミックスなかよし[講談社]	canonical有	
0	tokuni-aru-hibi	とくにある日々	standard	通常版	ヒーローズコミックスわいるど	8	ヒーローズコミックスわいるど[小学館クリエイティブ,小学館クリエイティブ (発] / ヒーローズコミックスわいるど[小学館クリエイティブ]		
0	tokyo-ravens	東京レイヴンズ	standard	通常版	角川コミックス・エース	15	角川コミックス・エース[KADOKAWA,角川グループパブリッシング] / 角川コミックス・エース[角川グループパブリッシング]		
0	tomodachi-engage	トモダチ・エンゲージ	standard	通常版	Glanz BLcomics	5	Glanz BLcomics[星雲社,星雲社 (発売)] / Glanz BLcomics[星雲社]		
0	tomodachi-no-nee-chan-ni-koi-shita-hanashi	友達の姉ちゃんに恋した話	standard	通常版		4	None[講談社 (発売)] / None[講談社]		
