slug	work_type	current	gemini_proposal	gemini_desc
a-su	short_collection	drama	comedy,gag	しりあがり寿による短編集。日常の歪みやシュールな世界観を描く。
aa-eikan-wa-kimi-niwa-kagayakanai	short_collection	comedy,sports	4-koma,baseball,gag	いしいひさいちによる野球を題材とした4コマ漫画作品集。
abekubo-kyouju-no-rifujin-na-kougi	short_collection	horror,mystery	comedy,gag	大学教授を主人公とした、理不尽な状況や不条理を描いた短編集。
abunai-nichiyoubi	short_collection	drama	romance,school	野崎ふみこの初期短編集。少女漫画誌に掲載された読み切り作品を収録。
adamanto-no-toride	short_collection	action,fantasy	drama,mystery,suspense	野間美由紀による短編集。表題作のほか、ミステリーやサスペンス要素のある作品を収録。
afternoon-potaufen	short_collection	drama	comedy,ecchi	瀬口たかひろの短編集。成人向け作品を含む。
ai-to-yokubou-wa-abunoomaru-de	short_collection	drama,romance	bl	梅沢はなによる成人向け短編集。
aiiro-densetsu	short_collection	fantasy	horror,mystery,supernatural	高階良子による短編集。表題作のほか、複数の読み切り作品が収録されている。
aiko-juurokusai	short_collection	drama	gag,horror,sci-fi	駕籠真太郎による、奇想天外な設定やブラックユーモアを含む短編集。
aka-meikyuu	short_collection	fantasy,mystery	drama,romance	神谷悠による短編集。表題作のほか数編が収録されている。
aka-meikyuu-niji-meikyuu	short_collection	fantasy,mystery	drama,romance	神谷悠による短編集。表題作を含む複数の読み切り作品を収録。
akai-kyuuden	short_collection	drama,fantasy	horror,supernatural	実業之日本社から刊行された山本まゆりのホラー短編集。
akariiro-no-douwa	short_collection	fantasy	drama,romance	大谷博子と萩原絹代による短編作品集。
akebono-sokkusu	short_collection	romance,school	drama,slice-of-life	安永知澄による、日常の機微を描いた短編集。
ako-chan-no-beautiful-cinema	short_collection	comedy	slice-of-life	映画をテーマにした短編作品集。
akuma-no-hohoemi	short_collection	horror,mystery	drama,romance	講談社コミックスフレンドより刊行された、菊川近子の短編集。
akuma-no-utatane	short_collection	drama	comedy,gag	喜国雅彦による短編集。独特のシュールな世界観を持つ作品群。
alice-club-mihappyou-selection	short_collection	fantasy	ecchi	コアマガジンの成人向け雑誌『アリスくらぶ』掲載作品を収録した短編集。
all-stars	short_collection	romance	fantasy,sci-fi	眠田直の初期短編集。SFやファンタジー要素を含む短編が収録されている。
allergy	short_collection	drama	comedy,gag,slice-of-life	玖保キリコによる短編集。日常の些細な出来事を描く。
alpha-2004	short_collection	drama,romance	fantasy,slice-of-life	天野こずえの初期短編集。ファンタジーや日常系など複数の短編を収録。
amai-wana-1994	short_collection	ecchi	drama,romance	魔木子による短編集。表題作を含む複数の読み切り作品を収録。
amasia	short_collection	drama	fantasy,sci-fi	「空想」をテーマにした豪華作家陣によるアンソロジー作品。
anima-ni-aru	short_collection	comedy	romance,school	山川あいじのデビュー作を含む短編集。
ano-akuma	short_collection	horror,supernatural	drama,school,slice-of-life	小山田いくの短編集。表題作のほか、日常や青春を描いた短編が収録されている。
ao-meikyuu	short_collection	fantasy,mystery	drama,romance	神谷悠による短編集。表題作のほか数編が収録されている。
ao-meikyuu-fumi-meikyuu	short_collection	fantasy,mystery	drama,romance	神谷悠による短編集。表題作を含む複数の読み切りを収録。
api	short_collection	comedy,slice-of-life	4-koma	芳文社のアンソロジーコミックシリーズ。
aquarium	short_collection	drama	slice-of-life	須藤真澄による短編集。日常の機微を描いた作品群。
aran-iyan-naito	short_collection	fantasy	drama,romance	西尚美による短編集。表題作のほか、少女漫画的な情緒を持つ作品が収録されている。
arisa-to-maria	short_collection	drama,romance	mystery,supernatural	和田慎二の短編集。表題作のほか、初期の読み切り作品などが収録されている。
arnold	short_collection	comedy	drama,slice-of-life	本秀康の短編集。表題作のほか、音楽や日常をテーマにした作品が収録されている。
artificial-memory	short_collection	drama	sci-fi	島田ひろかずによる短編集。白夜書房より刊行。
aru-asa-panic	short_collection	drama	comedy,horror	日常の些細な出来事が突如として不条理なパニックへと変貌する短編集。
arufabettochichi-no-omote-to-ura	short_collection	comedy	romance,slice-of-life	山科ティナによる、恋愛や日常をテーマにした短編集。
aruiha-azuma-hideo-de-ippai-no-azuma-hideo	short_collection	comedy	gag,sci-fi	吾妻ひでおの短編作品を収録したアンソロジー的短編集。
asagi-no-kazaoto	short_collection	fantasy,historical	drama	篠原烏童による短編集。表題作のほか、独特の空気感を持つ短編が収録されている。
asobi-shimashou	short_collection	comedy,romance	drama,horror	長浜幸子による短編集。表題作ほか収録。
atomic	short_collection	drama	sci-fi,suspense	カネコアツシの初期短編集。独特のタッチで描かれるSFやサスペンス要素のある短編を収録。
ayakashi-no-mitsurin	short_collection	fantasy,supernatural	horror,mystery,suspense	高階良子のホラー・サスペンス短編集。
ayashii-hana	short_collection	drama	mystery,suspense	柳沢きみおによる短編ミステリー作品集。
bakappuru-taisenki	short_collection	comedy,romance	romcom,school	藤原ゆかの初期短編集。表題作のほか、複数の読み切り作品が収録されている。
bara-no-kobeya-ni-yurino-shindai	short_collection	ecchi	drama,romance	宮西計三による短編集。耽美的な作風の作品が収録されている。
basuruumu-no-ihoujin	short_collection	drama	mystery,suspense	長浜幸子による短編集。表題作ほか数編を収録。
battle-machine	short_collection	action,sci-fi	horror,suspense	朝日ソノラマから刊行されたホラー・サスペンス系の短編集。
bigguwan	short_collection	drama,sports	gag,sci-fi	藤子不二雄（藤子・F・不二雄）のSF短編集。
biijiiemu-ga-kikoenai	short_collection	drama	romance,school	九月姫の初期短編集。少女漫画誌に掲載された作品を収録。
blue-moon-makiko	short_collection	ecchi	drama,romance	魔木子による短編集。表題作ほか、人間ドラマや恋愛模様を描いた作品を収録。
blueberry-doll	short_collection	drama	horror,sci-fi	石川賢による短編集。表題作のほか、複数の短編が収録されている。
body-shock	short_collection	romance	fantasy,sci-fi	碧ゆかこの短編集。表題作ほか、SFやファンタジー要素のある短編を収録。
bokeman	short_collection	comedy	drama,slice-of-life	いましろたかしによる、日常の機微や哀愁を描いた短編集。
boku-to-kaeru-to-koutei-de	short_collection	drama,slice-of-life	gag	みうらじゅんの初期短編集。独特の感性で描かれるシュールな作品群。
boku-to-kanojo-to-norimono-to	short_collection	other	slice-of-life	藤島康介による、乗り物をテーマにした短編集。
bokushin-no-gogo	short_collection	drama	fantasy,horror,sci-fi	山岸凉子の短編集。表題作のほか、SFや幻想的な作品が収録されている。
bonus-track	short_collection	drama	fantasy	山田章博の短編集。幻想的な世界観や独特の筆致で描かれる短編が収録されている。
bouken-shounen	short_collection	adventure	drama,slice-of-life	あだち充による短編集。少年時代をテーマにした作品などが収録されている。
bugiugi-arigeetaa	short_collection	comedy,music	fantasy,gag,sci-fi	あろひろしの初期短編集。SFやファンタジー要素を含むギャグ・コメディ作品集。
bukiyou-na-mahoutsukai	short_collection	comedy,fantasy	drama,romance	森本里菜の初期短編集。表題作ほか、少女漫画的な情緒を描いた作品を収録。
buna-no-kodachi	short_collection	mystery	drama,romance	Jetによる短編集。表題作ほか、繊細な心理描写の作品を収録。
bungou-shunjuu	short_collection	comedy	4-koma,gag	文豪たちを題材にした、いしいひさいちによるギャグ漫画作品。
buriki-no-kaikosareta	short_collection	drama	fantasy,horror	湊谷夢吉による短編集。独特の退廃的で幻想的な世界観を持つ作品群。
buruutorein-obake-gou	short_collection	fantasy	horror,supernatural,yokai	水木しげるによる怪奇・幻想的な短編を収録した児童向け作品集。
bus-boy-q	short_collection	sports	drama,slice-of-life	矢口高雄の短編集。表題作のほか、釣りや自然を題材とした作品が収録されている。
butagoyahatsuinugoyaiki	short_collection	comedy,drama	gag	根本敬による、過激で不条理な作風の短編集。
buyo-buyo	short_collection	fantasy	gag,sci-fi	藤原カムイの初期短編集。実験的な作風やギャグ、SF要素を含む。
cancel	short_collection	action,drama	horror,mystery,suspense	池田さとみによる短編集。ホラーやサスペンス要素を含む作品が収録されている。
castratura	short_collection	drama	fantasy	鳩山郁子による、耽美で幻想的な世界観を描いた短編集。
celebrate	short_collection	drama	romance,school	永遠幸による読み切り作品などを収録した短編集。
celluloid-knight	short_collection	drama	fantasy,sci-fi	矢野健太郎による短編集。表題作のほか、SFやファンタジー要素のある短編が収録されている。
chakkari-shachou-to-ukkari-shine	short_collection	comedy	4-koma,gag	いしいひさいちによる、社長と社員のやり取りを描いた4コマ漫画。
chan-chan-variety	short_collection	comedy	4-koma,gag	いしいひさいちによる、シュールな笑いが特徴の4コマ漫画作品集。
chiisana-mikkokusha	short_collection	drama,mystery	horror,suspense	山本まゆりによるホラー・サスペンス短編集。
chijoku-hime	short_collection	drama,historical	horror,suspense	竹書房から刊行された、複数の作家によるオムニバス形式のホラー・サスペンス作品集。
chijoku-no-kokuin	short_collection	ecchi	drama	笠間しろうによる短編集。青林工藝舎より刊行。
chikku-takku	short_collection	comedy	drama,slice-of-life	玉置勉強による短編集。独特の筆致で描かれる人間ドラマや日常の断片。
children-play	short_collection	comedy,slice-of-life	fantasy,sci-fi	寺島令子による短編集。SFやファンタジー要素を含む作品が収録されている。
chima-chan-no-wadansu	short_collection	comedy	drama,slice-of-life	佐野未央子の短編集。表題作ほか、日常や人間模様を描いた作品を収録。
chimuchimu-parade	short_collection	comedy	slice-of-life	鈴木志保による、独特の感性と世界観で描かれた短編集。
01-2001	story_manga	drama	sci-fi	近未来を舞台にしたSF作品。全1巻。
0rii-uchikoshi-0-n	story_manga	school,sports	comedy,gag	麻雀を題材にしたギャグ漫画作品。
1-nichi-ikkai-ero-seikatsu	story_manga	romance	comedy,ecchi,romcom	性的な衝動を抑えられない主人公が、ヒロインと協力して生活を送るコメディ作品。
1-oku-issenman-no-watashi	story_manga	comedy,romance	drama	多重人格の主人公が織りなす人間模様を描いたヒューマンドラマ。
1-orange	story_manga	comedy,romance	school,slice-of-life	女子高生たちの日常や友情を描いた青春ストーリー。
1-tasu-ichi-wa-0	story_manga	comedy,drama	romance,school	女子高生と教師の恋愛を描いた作品。
10-2000	story_manga	drama	sci-fi	近未来を舞台にしたSF作品。全1巻。
1000-no-kodou	story_manga	drama,romance	sports	ボクシングを題材にしたスポーツ漫画。
100chou-no-otoko	story_manga	drama	comedy,gag	100兆円の遺産を相続した男が巻き込まれる騒動を描くコメディ作品。
100mandoru-kid	story_manga	drama,sports	mind-game,mystery	天才的な頭脳を持つ少年が、様々な難事件を解決していく推理漫画。
13dogs	story_manga	action,drama,mystery	adventure,fantasy	13匹の犬と少年が織りなす、不思議な力を持つ犬たちとの冒険ファンタジー。
15-sai-purokanojo	story_manga	drama,romance	comedy,romcom	15歳の少女がプロ彼女を目指す物語。
198x-memories	story_manga	drama,essay	romance,school,slice-of-life	80年代の地方都市を舞台に、少年たちの青春と淡い恋模様を描いたノスタルジックな作品。
1dk	story_manga	comedy,romance	romcom,slice-of-life	同棲生活を送る男女の日常を描いた作品。
2-2-game	story_manga	comedy,ecchi	romcom,school	日本文芸社より刊行された、全1巻の漫画作品。
2-bunnoichi-engage	story_manga	romance	romcom,school	女子高生と人気アイドルの同居生活を描いたラブコメディ。
2-densetsu-dai-2shou	story_manga	action,drama,school	sports	ゴルフ漫画。天才ゴルファーの活躍を描く。
20-jisugi-no-houkokukai	story_manga	drama	comedy,slice-of-life	会社帰りのOLたちが居酒屋で仕事や日常の愚痴を語り合う、大人の日常系作品。
21-g	story_manga	drama	action,sci-fi	近未来を舞台にしたSFアクション作品。
3-nen-a-gumi-obake-kyoushitsu	story_manga	comedy,horror	fantasy,school,yokai	おばけたちが通う学校を舞台にした水木しげるの児童向け漫画作品。
30-akuzuma-kana-30sai	story_manga	ecchi	drama,suspense	夫を支配し、周囲を翻弄する悪女・花奈の姿を描いたサスペンス・ドラマ作品。
365ho-no-ryuuta	story_manga	drama,sports	comedy,school	小学館の学年誌で連載された、少年竜太の成長を描く物語。
3saijikun	story_manga	comedy	gag,slice-of-life	3歳児の視点から日常を描いた、いがらしみきおによるシュールなギャグ漫画。
4-sha-no-yokkakan	story_manga	drama,mystery	action,suspense	望月三起也によるサスペンス・アクション作品。
4ldk-company	story_manga	romance	romcom,slice-of-life	同居生活をテーマにした荻丸雅子の少女漫画作品。
4p-no-jijou	story_manga	comedy	drama,romance	男女の恋愛模様を描いた短編集。
5-nenme-no-u-turn	story_manga	romance	drama,slice-of-life	地方へUターンした主人公の生活を描くドラマ作品。
5ji-kara-0ji-made	story_manga	drama	romcom,slice-of-life	望月あきらによる、OLの日常や恋愛模様を描いた作品。
7-rayukihime-to-7nin-no-kodomo	story_manga	drama,fantasy	comedy,slice-of-life	7人の子供を育てることになった主人公の奮闘を描くホームコメディ。
777	story_manga	drama,romance	fantasy,school	女子高生が不思議な力を持つコインを拾う物語。
8-miri-no-akuma-vs-tokumeihan	story_manga	action	horror,supernatural	8ミリフィルムに映る怪異と特命班の戦いを描くホラー作品。
9-de-ware	story_manga	drama,historical	adventure	釣りや自然を題材とした矢口高雄による漫画作品。
a-boy	story_manga	romance	drama	遊園地を舞台に、アトラクションの整備士である主人公の活躍を描く物語。
a-c-d-c-2	story_manga	action,sci-fi	fantasy,school	秋田書店の月刊プリンセスで連載された、学園を舞台にしたファンタジー作品。
a-homance	story_manga	drama	action,mystery,supernatural	記憶を失った男が、超能力を駆使して事件を解決していくハードボイルド作品。
a-or-abc	story_manga	drama,romance	bl	ビブロスから刊行された、吹山りこによるボーイズラブ作品。
ab-furyaa	story_manga	drama	comedy,gag	小学館の学年誌等で連載された、清水洋三によるギャグ漫画作品。
abc-arbacks	story_manga	action	baseball,sports	野球を題材にしたスポーツ漫画。
abmotion	story_manga	drama,sports	action,school,sci-fi	学園を舞台にした、超能力やSF要素を含むアクション漫画。
abners	story_manga	action,drama	comedy,gag	白夜書房から刊行された、いくたまきによる漫画作品。
abno-madams	story_manga	drama,ecchi	horror,school,suspense	女子高生たちが怪異や超常現象に立ち向かうホラー・サスペンス作品。
abracadabra	story_manga	comedy,fantasy	mystery	学研のピチコミックスから刊行された、少女向けのミステリー漫画作品。
abunai-kinyoubi	story_manga	drama,mystery	comedy,school	週刊少年ジャンプで連載された、学園生活を舞台にしたコメディ作品。
abunai-wedding-beru	story_manga	drama,mystery	romance,romcom	万里村奈加による、結婚をテーマにした少女漫画作品。
abunoomaru-shimasho	story_manga	romance	romcom,school	女子高生と教師の恋愛を描いた学園ラブコメディ。
accomplice	story_manga	fantasy	action,suspense	六道神士による、犯罪者と刑事を巡るサスペンス作品。
achira-no-okyaku-sama-kara	story_manga	comedy,romance	drama,slice-of-life	バーを舞台に、客同士の交流や人間模様を描いた短編集。
act-on	story_manga	action	drama,school	演劇部を舞台にした学園ドラマ作品。
act-on-baby	story_manga	comedy,romance	drama	元天才子役の青年が、再び俳優の道を目指す芸能界ドラマ。
adamuna-ivu	story_manga	romance	comedy,romcom	双子の姉妹が入れ替わることで巻き起こる騒動を描いたラブコメディ。
afurodiitenaintei	story_manga	fantasy,historical	drama,romance,sci-fi	近未来の日本を舞台に、愛と平和をテーマに描かれたSFロマンス。
agekisu	story_manga	comedy,romance	ecchi,romcom,school	女子高生と教師の恋愛を描いた学園ラブコメディ。
ahondara-koshiba-2003	story_manga	comedy	baseball,sports	秋田書店より刊行された、こしばしげるによる野球漫画。
ai-doll-hiroko	story_manga	romance	drama,sci-fi	アンドロイドのヒロコと人間との交流を描いたSF作品。
ai-donto-koi	story_manga	romance	comedy,drama,romcom	少年画報社のヤングキングで連載された、恋愛や人間模様を描いた青年漫画。
ai-mai-mii	story_manga	drama	sci-fi,suspense	超能力を持つ少女・麻衣を巡るSFサスペンス作品。
ai-niiju	story_manga	ecchi,romance	comedy,school,slice-of-life	双葉社のWebコミックサイトで連載された、女子高生たちの日常を描いた作品。
ai-no-chigiri	story_manga	fantasy,romance	bl	将貴和寿による、BLジャンルの漫画作品。
ai-no-memory	story_manga	drama,romance	comedy,romcom	実業之日本社から刊行された山田こうすけの短編集。
aijin-miman	story_manga	ecchi	drama,romance	大陸書房から刊行された藤田素子による成人向け漫画作品。
aimu-dachikou	story_manga	action,school	comedy,gag	秋田書店から刊行された、木村知夫と立原あゆみによる短編集。
aimu-namu	story_manga	action,comedy	drama,historical	ベトナム戦争を舞台に、戦場カメラマンの視点から戦争の悲劇を描いた作品。
aira-buyuuden	story_manga	action,comedy	romcom,school	陣名まいによる少女漫画。学園を舞台にしたラブコメディ作品。
aishadou	story_manga	comedy,drama	horror,suspense	廃墟となった洋館を舞台にしたホラー・サスペンス作品。
aishite-himeko-san	story_manga	romance	comedy,romcom,school	女子高生・姫子を主人公に描かれる、80年代の学園ラブコメディ。
aitsu-1993	story_manga	romance	comedy,gag,school	小学館の週刊少年サンデーで連載された、ぶしやまによる学園コメディ漫画。
ajara	story_manga	comedy	fantasy,slice-of-life	不思議な生き物アジャラと人間の交流を描く物語。
ajitama	story_manga	comedy	gourmet,slice-of-life	料理店を舞台に、味玉を巡る人間模様を描いたグルメ漫画。
aka-i-ito-no-futari	story_manga	romance	comedy,romcom	阿部ゆたかによる、運命の赤い糸をテーマにしたラブコメディ作品。
aka-pink	story_manga	drama,romance	romcom,school	女子高生・赤井ピンクの日常や恋愛を描いた学園ラブコメディ。
akabako	story_manga	drama	horror,mystery,supernatural	ある日突然届いた赤い箱を巡る、不気味な怪異を描いたホラー作品。
akahana-no-azunaburu	story_manga	comedy	drama	高口里純による短編集。表題作ほか、独特のタッチで描かれる人間ドラマを収録。
akai-himo-no-densetsu	story_manga	fantasy,romance	comedy,gag	現代洋子による、赤いヒモを巡る物語を描いた全1巻の漫画作品。
akai-kaze-no-densetsu	story_manga	adventure,fantasy	action	週刊少年ジャンプに掲載された、浦川まさるによる短編作品。
akamehime-no-choukai	story_manga	mystery,sci-fi	fantasy	少女が身体を溶かしながら旅をする、幻想的で退廃的な物語。
akane-no-daujingu-road	story_manga	adventure,fantasy	mystery,supernatural	ダウジング能力を持つ少女あかねが様々な事件を解決する物語。
akarui-kazoku-keikaku-1995	story_manga	drama,essay	comedy,romcom,slice-of-life	若夫婦の生活を描いたホームコメディ。
akiko-no-calendar-16-sai	story_manga	drama	romance,school,slice-of-life	16歳の少女・亜紀子の日常や恋愛を描いた少女漫画作品。
akiko-no-calendar-17-sai	story_manga	drama	romance,school,slice-of-life	17歳の少女・亜紀子の日常や恋愛模様を描いた作品。
akiko-no-calendar-18sai	story_manga	drama	romance,school,slice-of-life	18歳の少女・亜紀子の日常や恋愛模様を描いた少女漫画作品。
akinai-damashii	story_manga	drama,essay	comedy,slice-of-life	商店街の活性化を目指す女子高生たちの奮闘を描く物語。
akogare-rouge-magic	story_manga	mystery,supernatural	romance,school	講談社「なかよし」で連載された、少女向けの恋愛漫画作品。
aku-ga-yobu	story_manga	action,drama,fantasy	horror,suspense	徳間書店から刊行された松本久志によるホラー・サスペンス漫画。
akudama-shigan	story_manga	action,drama	comedy,gag	悪の組織への就職を目指す主人公を描いたコメディ作品。
akujunkanna	story_manga	drama	bl,romance,school	女子高生と教師の恋愛を描いたボーイズラブ作品。
akuma-ha-nemura-nai	story_manga	horror,supernatural	drama,romance	集英社マーガレットコミックスより刊行された、柿崎普美による少女漫画作品。
akuma-to-tenshi-no-sentaku	story_manga	drama,fantasy	horror,supernatural	霊能者や心霊現象をテーマにしたホラー・オカルト作品。
akutou-1013-mi	story_manga	action,drama	horror,suspense	少年マガジンで連載された、悪魔をテーマにしたサスペンス・ホラー作品。
al	story_manga	drama,sports	action,sci-fi	近未来を舞台に、人造人間ALを巡る物語を描いたSFアクション。
alice12	story_manga	drama,fantasy	action,sci-fi	近未来を舞台に、特殊な能力を持つ少女アリスと仲間たちの戦いを描くSFアクション。
all-in	story_manga	drama,sports	mind-game	麻雀を題材とした勝負漫画。
all-last	story_manga	action	drama	死刑囚が死の直前に過去を回想するオムニバス形式の人間ドラマ。
amayaka-na-yoru-no-otogibanashi	story_manga	drama,romance	bl	辰巳仁によるBL作品。短編集。
amazing-grace	story_manga	drama,fantasy	slice-of-life	梱枝りこによる、少女たちの絆や日常を描いた作品。
amazonesu-no-matsuei	story_manga	action,fantasy	drama,romance	女戦士の血を引く女性が、現代社会で葛藤しながら生きる姿を描いた人間ドラマ。
ameta	story_manga	drama	fantasy	正木秀尚による、雨を操る少年を描いたファンタジー作品。
ametora-ametora	story_manga	drama,romance	action,fantasy	雨を操る力を持つ少年と、彼を狙う組織との戦いを描いたファンタジー作品。
ana-ga-aiteru	story_manga	comedy,ecchi	drama	実業之日本社から刊行された増田剛による短編集。
anata-no-tonari-ni-suwarasete	story_manga	drama	bl,romance	蓮川愛によるボーイズラブ作品。
anata-no-tonari-no-satsui	story_manga	drama	mystery,suspense	万里村奈加によるサスペンス・ミステリー作品。
anata-to-watashi-no-tanteisha	story_manga	mystery	drama,romance	探偵社を舞台に、男女の恋愛模様や人間関係を描いた柴門ふみの短編集。
anata-to-watashi-wa-waruku-nai	story_manga	drama,ecchi	school,slice-of-life	女子高生たちの日常や人間関係を描いた作品。
angel-wars	story_manga	action,fantasy	drama,romance	秋田書店から刊行された、真崎春望による少女漫画作品。
angura	story_manga	drama,slice-of-life	4-koma,comedy,school	女子高生たちの日常や部活動を描いた4コマ漫画作品。
animal-channel	story_manga	comedy	fantasy	動物と会話ができる少女を描いたファンタジー作品。
anime-952	story_manga	drama,sci-fi	comedy,gag	春原ロビンソンによる、アニメ制作を題材としたコメディ作品。
anime-no-jikan	story_manga	comedy	drama,slice-of-life	アニメ制作会社を舞台に、新人制作進行の奮闘を描くお仕事漫画。
ankokusei	story_manga	action,sci-fi	horror,supernatural,suspense	秋田書店のサスペンス・ホラー系作品。超常的な現象や怪奇を扱った短編連作。
ano-sendan-o-oe	story_manga	drama	action,war	太平洋戦争を舞台にした戦記漫画。魚雷艇の活躍を描く。
anoa-no-mori	story_manga	drama	adventure,fantasy	森を舞台に、不思議な力を持つ少女アノアと仲間たちの冒険を描いたファンタジー作品。
anon	story_manga	drama	comedy,gag	メディアックスから刊行された遠山光の短編集。
anta-no-dorei-no-mama-de-ii	story_manga	ecchi	bl	トウテムポールによる成人向けBL作品。
anti-virgin-desu-nanika	story_manga	comedy,romance	romcom,school	女子高生の恋愛模様を描いた少女漫画作品。
aoi-tori-no-densetsu-1989	story_manga	fantasy,romance	baseball,sports	秋田書店より刊行された、上田久治による少年漫画作品。
aoki-daichi-bufu	story_manga	action,historical	adventure,fantasy	異世界を舞台にしたファンタジー冒険譚。
aoki-honoo-1991	story_manga	drama,sports	action,fantasy	週刊少年ジャンプで連載された、炎を操る能力を持つ少年を描いた格闘アクション。
aozora-kaa-chan	story_manga	comedy	drama,slice-of-life	母と子の絆や日常を描いたヒューマンドラマ作品。
aozora-kazoku	story_manga	comedy	drama,slice-of-life	大鳥書院から刊行された、家族をテーマにした漫画作品。
aozora-no-gurifon	story_manga	drama,sports	adventure,fantasy	ファンタジー世界を舞台にした冒険活劇。
aozora-zukan	story_manga	comedy	drama,fantasy	少年と不思議な力を持つ少女の交流を描くファンタジー作品。
appare-satsuki	story_manga	drama	romance,school	集英社の少女漫画誌に掲載された、三山節子による全1巻の作品。
apple-cinderella	story_manga	fantasy,romance	action,sci-fi	近未来を舞台にしたSFアクション作品。
arakure-neverland	story_manga	action,drama	adventure,comedy,fantasy	サンカクヘッドによる、ネバーランドを舞台にしたファンタジー作品。
arika-alive	story_manga	ecchi	school	女子高生がネットアイドルとして活動する姿を描いた作品。
arknights-rhodes-kitchen	story_manga	comedy	gourmet,slice-of-life	ゲーム『アークナイツ』のオペレーターたちが料理を通じて交流する日常系スピンオフ。
arugamama	story_manga	drama	sports	大島やすいちによる、ゴルフを題材としたスポーツ漫画。
aruki-henro-zukan	story_manga	adventure,essay	drama,slice-of-life	歩き遍路を題材にした、四国八十八ヶ所巡礼を描く旅の物語。
asa-made-isshokenmei	story_manga	romance	romcom,school	女子高生と教師の恋愛を描いたラブコメディ作品。
asagaya-kaiwai-kaijin-guraidaa	story_manga	comedy	drama,slice-of-life	阿佐谷を舞台に、奇妙な住人たちとの交流を描いた永島慎二の短編集。
asagaya-zippy	story_manga	drama,romance	fantasy,slice-of-life	阿佐ヶ谷を舞台に、不思議な力を持つ少年と仲間たちの日常を描くファンタジー。
asatte-kun	story_manga	comedy,slice-of-life	4-koma,gag	毎日新聞で長年連載された、サラリーマン・アサッテ君の日常を描く4コマ漫画。
ashita-haru-kara	story_manga	drama,romance	comedy,slice-of-life	竹書房から刊行された永松潔による漫画作品。
astro-twin	story_manga	drama	fantasy,sci-fi	双子の姉妹が宇宙を舞台に繰り広げるSFファンタジー作品。
asura-1986	story_manga	action,fantasy	sports	ボクシングを題材としたスポーツ漫画。
