slug	title	authors	canonical済	worst	page_shape	cluster_shape
akuma-ha-nemura-nai	悪魔は眠らない	柿崎普美		9年 standard 1巻(1991-07-10)→2巻(1982-03-30)	standard[通常版]/マーガレット・コミックス 3冊 1982-03-30〜1991-07-10 ; bunkobon[文庫版]/集英社文庫 2冊 2001-07〜2001-07	sid19711/ed23212 standard[マーガレット・コミックス] 2冊 1982-02〜1982-03-30 ISBN0 || sid19711/ed23213 standard[SGコミックス] 1冊 1991-07-10〜1991-07-10 ISBN1 || sid19711/ed23214 bunkobon[集英社文庫] 2冊 2001-07〜2001-07 ISBN2 || sid154565/ed172476 standard[マーガレット・コミックス] 1冊 1982-04〜1982-04 ISBN0
akumagari	悪魔狩り	戸土野正内郎		5年 standard 1巻(2009-01)→4巻(2004-02-10)	standard[通常版]/ガンガンコミックス 7冊 2004-02-10〜2009-02	sid16926/ed19881 standard[Blade comics] 14冊 2002-10-10〜2009-03 ISBN14 || sid16926/ed19882 standard[GANGAN WING COMICS] 6冊 1999-03〜2001-11-27 ISBN6 || sid16926/ed19883 standard[ガンガンコミックス] 1冊 1998-04-22〜1998-04-22 ISBN1 || sid101211/ed116946 standard[爆弾野郎シリーズ] 1冊 -〜- ISBN0
anta-no-dairinin	あんたの代理人	高井研一郎・浅野拓		5年 standard 1巻(1993-05)→2巻(1988-10)	standard[通常版]/ビッグコミックス 6冊 1988-10〜1993-05	sid29730/ed34792 standard[ビッグコミックス] 4冊 1988-10〜1990-01 ISBN4 || sid29730/ed34793 standard[-] 1冊 -〜- ISBN1 || sid133694/ed151081 standard[スーパー・ビジュアル・コミックス] 3冊 1993-05〜1993-07-15 ISBN3 || sid133694/ed151082 standard[ビッグコミックス] 1冊 1990-08〜1990-08 ISBN1
arms	ARMS	皆川亮二・七月鏡一		6年 wideban 5巻(2014-08-12)→9巻(2008-02-23)	standard[通常版]/少年サンデーコミックススペシャル 22冊 1997-11〜2002-07-15 ; wideban[ワイド版]/少年サンデーコミックスワイド版 12冊 2007-06-18〜2014-11-15 ; bunkobon[文庫版]/小学館文庫 15冊 2014-04-15〜2015-06-13	sid40726/ed49038 wideban[少年サンデーコミックスワイド版] 4冊 2008-02-23〜2008-05-21 ISBN4 || sid48200/ed59313 wideban[少年サンデーコミックスワイド版] 4冊 2007-06〜2007-09 ISBN4 || sid127304/ed144389 bunkobon[小学館文庫] 15冊 2014-04〜2015-06 ISBN15 || sid127304/ed144390 standard[SHONEN SUNDAY COMICS WIDE EDITION] 4冊 2007-10-23〜2008-01-23 ISBN4 || sid127304/ed144391 standard[少年サンデーコミックススペシャル] 21冊 1997-11〜2002-07-15 ISBN21 || sid127304/ed144392 standard[少年サンデーコミツクススペシャル] 1冊 2002-04-15〜2002-04-15 ISBN1
asami-mitsuhiko-mystery-special	浅見光彦ミステリースペシャル	日下部拓海・羽柴麟・千村青		5年 standard 20巻(2020-09-16)→21巻(2015-04)	standard[通常版]/マンサンコミックス 25冊 2006-12〜2020-09-16	sid107035/ed123041 standard[マンサンコミックス] 5冊 2009-09〜2013-11 ISBN5 || sid125728/ed142738 standard[マンサンコミックス] 1冊 2013-07〜2013-07 ISBN1 || sid126464/ed143497 standard[マンサンコミックス] 2冊 2014-07〜2015-04 ISBN2 || sid128017/ed145151 standard[マンサンコミックス] 5冊 2010-11〜2016-06 ISBN5 || sid158190/ed176202 standard[マンサンコミックス] 1冊 2008-02〜2008-02 ISBN1 || sid158191/ed176203 standard[マンサンコミックス] 3冊 2006-12〜2010-02 ISBN3 || sid158192/ed176204 standard[マンサンコミックス] 4冊 2007-12〜2012-05 ISBN4 || sid158193/ed176205 standard[マンサンコミックス] 1冊 2012-04〜2012-04 ISBN1 || sid158194/ed176206 standard[マンサンコミックス] 1冊 2015-12〜2015-12 ISBN1 || sid158195/ed176207 standard[マンサンコミックス] 1冊 2016-12〜2016-12 ISBN1 || sid158199/ed176211 standard[マンサンコミックス] 1冊 2020-09〜2020-09 ISBN1
aurora-housoukyoku	オーロラ放送局	ますむらひろし		5年 standard 2巻(1998-03-30)→3巻(1993-07-01)	standard[通常版]/ピチコミックスEX 3冊 1993-06-01〜1998-03-30	sid44474/ed54214 standard[ますむら・ひろし作品集[第2期]] 1冊 1998-03-30〜1998-03-30 ISBN1 || sid44474/ed54215 standard[ますむら・ひろし作品集] 1冊 1998-02-25〜1998-02-25 ISBN1 || sid44474/ed54216 standard[ピチコミックスEX] 2冊 1993-06-01〜1993-07-01 ISBN2
bad-da-ne-yoshio-kun	BADだねヨシオくん!	浅田弘幸		9年 standard 3巻(1999-09-03)→4巻(1990-11-15)	(本番yml無し)	
baromu-1	バロム・1	さいとう・たかを		5年 standard 2巻(2003-02)→3巻(1998-05-28)	standard[通常版]/- 3冊 1998-05-28〜2003-02 ; bunkobon[文庫版]/リイド文庫 1冊 2003-01-27〜2003-01-27	sid38148/ed45632 standard[-] 5冊 1998-05-28〜2003-03 ISBN4 || sid38148/ed45633 bunkobon[リイド文庫] 1冊 2003-01-27〜2003-01-27 ISBN1
battle-thunder	バトルサンダー	島本和彦		7年 standard 1巻(1998-12-18)→2巻(1991-07-06)	standard[通常版]/講談社コミックスボンボン 3冊 1991-07-06〜1998-12-18	sid32217/ed38013 standard[講談社コミックスボンボン] 3冊 1991-07-06〜1991-07-06 ISBN2 || sid32217/ed38014 standard[KCフェニックス] 2冊 1998-12〜1998-12 ISBN2
blue-hole	ブルーホール	星野之宣		6年 bunkobon 1巻(2002-03)→2巻(1996-01)	deluxe[デラックス版]/ミスターマガジンKCデラックス 2冊 1992-08-08〜1993-02-09 ; bunkobon[文庫版]/スコラ漫画文庫シリーズ 2冊 1996-01〜2002-03 ; standard[通常版]/KCDX 2冊 2012-02〜2012-02	sid31788/ed37450 standard[KCDX] 2冊 2012-02〜2012-02 ISBN2 || sid31788/ed37451 deluxe[ミスターマガジンKCデラックス] 2冊 1992-08-08〜1993-02-09 ISBN2 || sid31788/ed37452 bunkobon[スコラ漫画文庫シリーズ] 2冊 1996-01〜1996-01 ISBN2 || sid31788/ed37453 bunkobon[講談社漫画文庫] 1冊 2002-03〜2002-03 ISBN1
bolt-and-nut	ボルト＆ナット	田中むねよし		6年 standard 2巻(2004-08)→4巻(1998-04)	standard[通常版]/Neko mook 16冊 1998-04〜2010-04	sid23261/ed27340 standard[Neko mook] 16冊 1998-04〜2010-04 ISBN16
bunchou-sama-to-watashi	文鳥様と私	今市子		6年 standard 1巻(2009-02-06)→4巻(2003-04)	standard[通常版]/あおばコミックス 26冊 2003-04〜2026-03-13	sid53473/ed66218 standard[エルジーエーコミックス] 18冊 2009-01〜2026-03-13 ISBN18 || sid53473/ed66219 standard[あおばコミックス] 4冊 2003-04〜2006-10 ISBN4
burai-za-kid	無頼・ザ・キッド	永井豪		8年 standard 1巻(1986-02)→4巻(1978-08)	standard[通常版]/マンガくんコミックス 5冊 1978-08〜1986-04-30	sid47281/ed58224 standard[マンガくんコミックス] 13冊 1977-12〜1978-09 ISBN0 || sid47281/ed58225 standard[SUN WIDE COMICS] 3冊 1986-02〜1986-04-30 ISBN3 || sid47281/ed58226 standard[ヤマト・コミックス・スペシャル] 1冊 1991-02〜1991-02 ISBN1
burunga1sei	ブルンガ1世	手塚治虫		9年 standard 1巻(1989-11-10)→2巻(1980-03-20)	standard[通常版]/Star comics 2冊 1980-03-20〜1989-11-10 ; bunkobon[文庫版]/秋田文庫 1冊 1996-02-10〜1996-02-10 ; bunkobon[手塚治虫文庫全集(2012)]/手塚治虫文庫全集 1冊 2012-01〜2012-01 ; standard[手塚治虫漫画全集(1983)]/手塚治虫漫画全集 2冊 1983-09〜1983-10	sid35042/ed41499 standard[手塚治虫漫画全集] 2冊 1983-09〜1983-10 ISBN2 || sid35042/ed41500 standard[サンデーコミックス] 2冊 1980-12〜1981-02 ISBN0 || sid35042/ed41501 standard[Star comics] 1冊 1980-03-20〜1980-03-20 ISBN0 || sid35042/ed41502 standard[スターコミックス] 2冊 1979-10-30〜1989-11-10 ISBN1 || sid35042/ed41503 standard[-] 1冊 2019-09〜2019-09 ISBN1 || sid35042/ed41504 standard[TEZUKA OSAMU THE COMPLETE WORKS] 1冊 2012-01〜2012-01 ISBN1 || sid35042/ed41505 bunkobon[秋田文庫] 1冊 1996-02〜1996-02 ISBN1
chinpui	チンプイ	藤子・F・不二雄・藤子不二雄Ⓐ		7年 standard 3巻(1997-04-25)→4巻(1990-02)	standard[通常版]/F.F.ランド・スペシャル 4冊 1985-11-29〜1997-04-25	sid34086/ed40138 standard[F.F.ランド・スペシャル] 6冊 1985-11-29〜1997-04-25 ISBN6 || sid34086/ed40139 standard[藤子・F・不二雄大全集] 2冊 2011-03-02〜2011-05-30 ISBN2 || sid34086/ed40140 standard[てんとう虫コミックス] 4冊 2017-12〜2018-03 ISBN4 || sid79795/ed94524 standard[F.F.ランド・スペシャル] 1冊 1988-12-16〜1988-12-16 ISBN0
chrome-kidoutai	攻殻機動隊	士郎正宗		7年 deluxe 1巻(2008-03)→2巻(2001-06)	standard[通常版]/ヤングマガジンKCDX 1冊 1991-10-02〜1991-10-02 ; deluxe[デラックス版]/ヤングマガジンKCデラックス 2冊 2001-06〜2008-03	sid44120/ed53680 deluxe[KCデラックス] 1冊 2008-03〜2008-03 ISBN1 || sid44120/ed53681 deluxe[ヤングマガジンKCデラックス] 1冊 2001-06〜2001-06 ISBN1 || sid44120/ed53682 standard[ヤングマガジンKCDX] 1冊 1991-10〜1991-10 ISBN1 || sid44120/ed53683 standard[Kodansha bilingual comics] 2冊 2002-09〜2011-03 ISBN2
cleopatra-d-c	クレオパトラD.C.	新谷かおる		6年 standard 2巻(1995-01-28)→5巻(1989-09-16)	standard[通常版]/バーガーKC 8冊 1989-09-16〜1995-03-29 ; bunkobon[文庫版]/スコラ漫画文庫シリーズ 6冊 1997-02〜1997-07	sid56557/ed70199 bunkobon[スコラ漫画文庫シリーズ] 6冊 1997-02〜1997-07 ISBN6 || sid56557/ed70200 bunkobon[MF文庫] 6冊 2000-03〜2000-05 ISBN6 || sid56557/ed70201 standard[バーガーSC] 6冊 1988-07-13〜1990-09-14 ISBN6 || sid56557/ed70202 standard[バーガーKC] 5冊 1987-08〜1991-03-16 ISBN5 || sid56557/ed70203 standard[バーガーSCスペシャル] 1冊 -〜- ISBN1 || sid129997/ed147246 standard[バーガーSCスペシャル] 4冊 1995-01〜1995-04 ISBN4
comic-inagawa-junji-no-sugooku-kowai-hanashi	コミック稲川淳二のすごーく恐い話	琴川彩・風忍・洋介犬・河原達弘・瀬河美紀・井上芳之助・稲川淳二・桜水樹・ダイナミックプロダクション・野口千里・津上柊子・河村万理・鯖玉弓・黒百合姫・こきま大		7年 standard 1巻(2005-07)→3巻(1998-07-26)	standard[通常版]/SPコミックス 4冊 1998-07-26〜2005-07	sid140839/ed158425 standard[SPコミックス] 1冊 1998-07-26〜1998-07-26 ISBN0 || sid140839/ed158426 standard[SP pocket wide] 2冊 2012-06〜2012-07 ISBN2 || sid140840/ed158427 standard[-] 1冊 -〜- ISBN1 || sid140841/ed158428 standard[SPコミックス] 1冊 2005-07〜2005-07 ISBN1 || sid140842/ed158429 standard[SPコミックス] 1冊 1999-07〜1999-07 ISBN1
dai-san-no-gokudou	第三の極道	村上和彦		9年 standard 7巻(2005-03-27)→9巻(1996-06)	(本番yml無し)	
damenzu-walker	だめんず・うぉ～か～	倉田真由美		8年 standard 1巻(2009-12)→2巻(2001-12-20)	standard[通常版]/SPA!COMICS 20冊 2001-07〜2013-06 ; bunkobon[文庫版]/扶桑社SPA!文庫 15冊 2004-07〜2013-11-02	sid10258/ed11965 bunkobon[扶桑社SPA!文庫] 12冊 2004-07〜2013-11 ISBN12 || sid10258/ed11966 standard[SPA!COMICS] 8冊 2001-12〜2013-06 ISBN8 || sid10258/ed11967 standard[扶桑社MOOK] 2冊 2009-08〜2009-12 ISBN2
dameoyaji	ダメおやじ	古谷三敏		6年 standard 4巻(1979-02)→5巻(1973-01-31)	standard[通常版]/Akebono-Comics 21冊 1972-02-29〜1982-03 ; bunkobon[文庫版]/双葉文庫 7冊 1998-06〜1998-07-25	sid42504/ed51570 standard[Akebono-Comics] 18冊 1972-02-29〜1976-07 ISBN0 || sid42504/ed51571 standard[少年サンデーコミックス] 27冊 1978-08〜1982-09 ISBN0 || sid42504/ed51572 standard[AkeBono Comics] 3冊 1976-05〜1976-05 ISBN0 || sid42504/ed51573 bunkobon[双葉文庫] 7冊 1998-06〜1998-07 ISBN7
desire-2nd-season	DESIRE 2nd season	小谷憲一		9年 deluxe 1巻(2007-03)→3巻(1998-10-02)	standard[通常版]/SJ 2冊 1997-11-04〜1998-05-06 ; deluxe[デラックス版]/ジャンプ・コミックスデラックス 25冊 1998-10-02〜2007-09	sid14687/ed17199 deluxe[ジャンプコミックスデラックス] 7冊 2007-03〜2010-04 ISBN7 || sid14689/ed17201 deluxe[ジャンプ・コミックスデラックス] 23冊 1998-10〜2006-05 ISBN23 || sid14689/ed17202 standard[SJ] 2冊 1997-11〜1998-05-06 ISBN2
diamond-no-a-act-2	ダイヤのA act 2	寺嶋裕二		9年 standard 1巻(2025-05-16)→2巻(2016-02-17)	standard[通常版]/SHONEN MAGAZINE COMICS 34冊 2016-02-17〜2025-05-16	sid52210/ed64597 standard[SHONEN MAGAZINE COMICS] 13冊 2015-11-17〜2018-03 ISBN13 || sid129183/ed146379 standard[SHONEN MAGAZINE COMICS] 23冊 2018-06〜2023-05 ISBN23 || sid129184/ed146380 standard[講談社コミックス. 週刊少年マガジン] 1冊 2025-05-09〜2025-05-09 ISBN1
dokkiri-doctor	どっきりドクター	細野不二彦		9年 standard 1巻(1991-08-15)→3巻(1982-04-15)	standard[通常版]/少年サンデーコミックス 4冊 1982-04-15〜1991-09-15 ; wideban[ワイド版]/少年サンデーコミックスワイド版 1冊 1998-11〜1998-11	sid52656/ed65195 standard[少年サンデーコミックス] 4冊 1981-11-15〜1982-05-15 ISBN2 || sid52656/ed65196 standard[少年サンデーコミックススペシャル] 1冊 1998-10-15〜1998-10-15 ISBN1 || sid52656/ed65197 wideban[少年サンデーコミックスワイド版] 1冊 1998-11〜1998-11 ISBN1 || sid52656/ed65198 standard[スーパー・ビジュアル・コミックス] 2冊 1991-08-15〜1991-09-15 ISBN2
double-call	Double call	緋色れーいち		6年 standard 2巻(2004-10-09)→4巻(1998-11-10)	standard[通常版]/Gust comic 5冊 1996-11-08〜2004-10-20	sid131129/ed148422 standard[Gust comic] 3冊 1996-11〜1999-11 ISBN3
doubutsu-no-oshaberi	動物のおしゃべり♥	神仙寺瑛		8年 standard 1巻(2015-03-07)→2巻(2007-06)	standard[通常版]/Bamboo comics 29冊 2007-06〜2025-12-02	sid24445/ed28727 standard[Bamboo comics] 1冊 2015-03〜2015-03 ISBN1 || sid24446/ed28728 standard[Bamboo comics] 24冊 2006-09〜2025-12-02 ISBN24 || sid24447/ed28729 standard[Bamboo comics] 2冊 2016-03〜2017-03 ISBN2 || sid124245/ed141161 standard[Bamboo comics] 2冊 2018-07〜2018-12 ISBN2 || sid124246/ed141162 standard[Bamboo comics] 1冊 2024-01〜2024-01 ISBN1
eien-no-nohara	永遠の野原	逢坂みえこ		5年 wideban 1巻(1995-10-25)→3巻(1990-07)	standard[通常版]/ぶ～けコミックス 2冊 1989-05-20〜1989-12-13 ; wideban[ワイド版]/ぶ～けコミックスワイド版 16冊 1990-07〜1998-03-25 ; bunkobon[文庫版]/集英社文庫 コミック版 9冊 2001-06〜2001-10	sid27771/ed32547 wideban[ぶ～けコミックスワイド版] 8冊 1990-07〜1995-10 ISBN8 || sid27771/ed32548 standard[ぶ～けコミックス] 1冊 1989-05-20〜1989-05-20 ISBN1 || sid27771/ed32549 bunkobon[集英社文庫 コミック版] 9冊 2001-06〜2001-10 ISBN9 || sid158005/ed176010 wideban[ぶ～けコミックスワイド版] 8冊 1993-09〜1998-03 ISBN8 || sid158005/ed176011 standard[ぶ～けコミックス] 1冊 1989-12-13〜1989-12-13 ISBN1
enueichikee-darwin-ga-kita	NHKダーウィンが来た!	講談社・日本放送協会・戸井原和巳		6年 standard 1巻(2014-12-11)→2巻(2008-05-30)	standard[通常版]/発見!マンガ図鑑 5冊 2008-05-30〜2017-06-14	sid60108/ed73978 standard[発見!マンガ図鑑] 5冊 2008-05-30〜2017-06-14 ISBN5 || sid60108/ed73979 standard[-] 1冊 2014-12-11〜2014-12-11 ISBN1 || sid132048/ed149400 standard[発見!マンガ図鑑] 1冊 2016-03-17〜2016-03-17 ISBN1
g-defend	G・defend	森本秀		5年 standard 25巻(2015-02)→37巻(2010-08)	bunkobon[文庫版]/冬水社文庫 28冊 2007-08〜2016-08 ; standard[通常版]/ラキッシュ・コミックス no.34 76冊 2010-08〜2024-01	sid20266/ed23847 bunkobon[冬水社文庫] 26冊 2007-08〜2016-08 ISBN26 || sid20266/ed23848 standard[ラキッシュ・コミックス] 60冊 2011-04〜2017-12 ISBN60 || sid123550/ed140412 standard[ラキッシュ・コミックス] 49冊 1996-07〜2018-04 ISBN49 || sid123550/ed140413 standard[150] 2冊 2018-10〜2019-01 ISBN2 || sid123550/ed140414 standard[149] 2冊 2018-08〜2018-10 ISBN2 || sid123550/ed140415 standard[151] 2冊 2019-01〜2019-04 ISBN2 || sid123550/ed140416 standard[152] 2冊 2019-04〜2019-07 ISBN2 || sid123550/ed140417 standard[153] 2冊 2019-07〜2019-10 ISBN2 || sid123550/ed140418 standard[154] 2冊 2019-10〜2020-01 ISBN2 || sid123550/ed140419 standard[155] 2冊 2020-01〜2020-04 ISBN2 || sid123550/ed140420 standard[156] 2冊 2020-04〜2020-07 ISBN2 || sid123550/ed140421 standard[157] 2冊 2020-10〜2021-01 ISBN2 || sid123550/ed140422 standard[158] 2冊 2021-01〜2021-04 ISBN2 || sid123550/ed140423 standard[159] 2冊 2021-04〜2021-07 ISBN2 || sid123550/ed140424 standard[160] 3冊 2021-07〜2021-10 ISBN3 || sid123550/ed140425 standard[148] 1冊 2018-06〜2018-06 ISBN1 || sid123550/ed140426 standard[161] 1冊 2022-01〜2022-01 ISBN1 || sid123550/ed140427 standard[162] 2冊 2022-01〜2022-04 ISBN2 || sid123550/ed140428 standard[163] 2冊 2022-07〜2022-10 ISBN2 || sid123550/ed140429 standard[164] 2冊 2022-10〜2023-01 ISBN2 || sid123550/ed140430 standard[165] 2冊 2023-01〜2023-04 ISBN2 || sid123550/ed140431 standard[166] 2冊 2023-04〜2023-07 ISBN2 || sid123550/ed140432 standard[167] 2冊 2023-07〜2023-10 ISBN2 || sid123550/ed140433 standard[ラキッシュ・コミックス no.46] 1冊 1995-07〜1995-07 ISBN1 || sid123550/ed140434 standard[ラキッシュ・コミックス no.34] 1冊 1995-02〜1995-02 ISBN1
gakuran-kaikyou	がくらん海峡	中島徳博		9年 standard 1巻(1989-03-01)→5巻(1980-05)	standard[通常版]/プレイボーイcomics 5冊 1980-05〜1989-06-01	sid8413/ed9794 standard[文華社コミックス] 4冊 1989-03〜1989-06 ISBN4 || sid8413/ed9795 standard[プレイボーイcomics] 5冊 1979-08-25〜1980-05 ISBN0
garouden-boy	餓狼伝BOY	板垣恵介		8年 standard 1巻(2012-09-20)→2巻(2004-08)	standard[通常版]/SHONEN MAGAZINE COMICS 3冊 2004-08〜2012-09-20	sid118885/ed135539 standard[少年チャンピオン・コミックス] 2冊 2012-09-20〜2012-09-20 ISBN2 || sid118885/ed135540 standard[Akita top comics wide] 1冊 2014-01〜2014-01 ISBN1 || sid118887/ed135542 standard[SHONEN MAGAZINE COMICS] 2冊 2004-07〜2004-08 ISBN2
genji-monogatari-shin	源氏物語	臣新蔵		9年 standard 1巻(1991-12)→2巻(1982-08)	(本番yml無し)	
genji-monogatari-yanagawa	源氏物語	柳川創造		7年 standard 1巻(1989-10-30)→3巻(1982-10)	(本番yml無し)	
gilgamesh	ギルガメッシュ	石ノ森章太郎		7年 standard 1巻(1985-09-20)→5巻(1978-01-15)	standard[通常版]/ヒットコミックス 6冊 1978-01-15〜1985-12-25 ; bunkobon[文庫版]/竹書房文庫 4冊 1996-04-27〜1996-04-27	sid45207/ed55221 standard[ヒットコミックス] 6冊 1977-01-11〜1978-04-01 ISBN0 || sid45207/ed55222 bunkobon[竹書房文庫] 4冊 1996-04-27〜1996-04-27 ISBN4 || sid45207/ed55223 standard[サンコミックス] 3冊 1985-09-20〜1985-11-20 ISBN3 || sid45207/ed55224 standard[石ノ森章太郎萬画大全集] 5冊 -〜- ISBN0 || sid140295/ed157863 standard[サンコミックス] 1冊 1985-12-25〜1985-12-25 ISBN1
go-go-purin-teikoku	GO GO!ぷりん帝国	くぼたまこと		8年 standard 1巻(2007-08)→5巻(1999-12-22)	standard[通常版]/ガンガンコミックスSPECIAL 6冊 1999-12-22〜2007-09	sid46122/ed56637 standard[ガンガンコミックスSPECIAL] 6冊 1997-05-22〜2000-07-22 ISBN6 || sid128076/ed145210 standard[ヤングガンガンコミックス] 4冊 2007-08〜2007-09 ISBN4
gokudoumeshi	極道めし	土山しげる		5年 standard 1巻(2012-03)→2巻(2007-10-27)	standard[通常版]/ACTION COMICS 10冊 2007-10-27〜2012-10-27	sid12399/ed14566 standard[ACTION COMICS] 5冊 2012-03〜2017-03 ISBN5
gokujou-drops	極上ドロップス	三国ハヂメ		6年 standard 1巻(2015-09)→3巻(2009-12)	standard[通常版]/IDコミックス 3冊 2009-12〜2015-09	sid105448/ed121384 standard[IDコミックス] 1冊 2009-12〜2009-12 ISBN1 || sid105460/ed121396 standard[IDコミックス] 3冊 2015-09〜2015-09 ISBN3
