slug	title	vol	isbn	other_cluster
manga-grimm-douwa	まんがグリム童話	22	9784821174522	金瓶梅
manga-grimm-douwa	まんがグリム童話	23	9784821174836	金瓶梅
manga-grimm-douwa	まんがグリム童話	24	9784821175246	金瓶梅
manga-grimm-douwa	まんがグリム童話	25	9784821175659	金瓶梅
manga-grimm-douwa	まんがグリム童話	26	9784821176052	金瓶梅
manga-grimm-douwa	まんがグリム童話	27	9784821176557	金瓶梅
manga-grimm-douwa	まんがグリム童話	28	9784821177004	金瓶梅
manga-grimm-douwa	まんがグリム童話	29	9784821177455	金瓶梅
manga-grimm-douwa	まんがグリム童話	30	9784821177462	金瓶梅
manga-grimm-douwa	まんがグリム童話	31	9784821178223	金瓶梅
manga-grimm-douwa	まんがグリム童話	32	9784821178582	金瓶梅
manga-grimm-douwa	まんがグリム童話	33	9784821178995	金瓶梅
manga-grimm-douwa	まんがグリム童話	34	9784821179442	金瓶梅
manga-grimm-douwa	まんがグリム童話	35	9784821179893	金瓶梅
manga-grimm-douwa	まんがグリム童話	36	9784821134373	金瓶梅
manga-grimm-douwa	まんがグリム童話	37	9784821135479	金瓶梅
manga-grimm-douwa	まんがグリム童話	38	9784821136063	金瓶梅
toaru-kagaku-no-railgun	とある科学の超電磁砲	13	9784048934251	とある科学の超電磁
toaru-kagaku-no-railgun	とある科学の超電磁砲	14	9784049121469	とある科学の超電磁砲(レールガン)
toaru-kagaku-no-railgun	とある科学の超電磁砲	15	9784049128383	とある科学の超電磁砲(レールガン)
toaru-kagaku-no-railgun	とある科学の超電磁砲	16	9784049134810	とある科学の超電磁砲(レールガン)
toaru-kagaku-no-railgun	とある科学の超電磁砲	17	9784049142556	とある科学の超電磁砲(レールガン)
toaru-kagaku-no-railgun	とある科学の超電磁砲	18	9784049149593	とある科学の超電磁砲(レールガン)
uta-no-purinsusamatsu	うたの☆プリンスさまっ♪	2	9784048665858	うたの☆プリンスさまっ♪ マジLOVE2000％
yuu-gi-ou-5ds	遊・戯・王5D's	3	9784088703237	遊・戯・王ファイブディーズ
yuu-gi-ou-5ds	遊・戯・王5D's	5	9784088705644	遊☆戯☆王ファイブディーズ
yuu-gi-ou-5ds	遊・戯・王5D's	6	9784088707938	遊☆戯☆王ファイブディーズ
yuu-gi-ou-5ds	遊・戯・王5D's	7	9784088800394	遊☆戯☆王ファイブディーズ
yuu-gi-ou-5ds	遊・戯・王5D's	8	9784088802053	遊☆戯☆王ファイブディーズ
robotics-notes-2012	Robotics;Notes	4	9784800002051	Robotics ; notes
robotics-notes-2012	Robotics;Notes	5	9784800002976	Robotics ; Notes
bou-kun-vaaderu-no-hanayome	暴君ヴァーデルの花嫁	4	9784776740407	暴君ヴァーデルの花嫁 初夜編
bou-kun-vaaderu-no-hanayome	暴君ヴァーデルの花嫁	5	9784776741473	暴君ヴァーデルの花嫁 初夜編
bou-kun-vaaderu-no-hanayome	暴君ヴァーデルの花嫁	6	9784776742234	暴君ヴァーデルの花嫁 初夜編
bou-kun-vaaderu-no-hanayome	暴君ヴァーデルの花嫁	7	9784776742739	暴君ヴァーデルの花嫁 初夜編
bou-kun-vaaderu-no-hanayome	暴君ヴァーデルの花嫁	8	9784776743590	暴君ヴァーデルの花嫁 初夜編
bou-kun-vaaderu-no-hanayome	暴君ヴァーデルの花嫁	9	9784776744276	暴君ヴァーデルの花嫁 初夜編
bou-kun-vaaderu-no-hanayome	暴君ヴァーデルの花嫁	10	9784776745037	暴君ヴァーデルの花嫁 初夜編
bou-kun-vaaderu-no-hanayome	暴君ヴァーデルの花嫁	11	9784776745952	暴君ヴァーデルの花嫁 初夜編
bou-kun-vaaderu-no-hanayome	暴君ヴァーデルの花嫁	12	9784776746539	暴君ヴァーデルの花嫁 初夜編
shin-mimibukuro	新耳袋	2	9784834231960	新耳袋 怪談百物語
shin-mimibukuro	新耳袋	3	9784834232110	新耳袋 怪談百物語
shin-mimibukuro	新耳袋	4	9784834232158	新耳袋 怪談百物語
gurazeni-2014	Gurazeni	5	9784063885491	グラゼニ～東京ドーム編～
gurazeni-2014	Gurazeni	6	9784063885842	グラゼニ～東京ドーム編～
gurazeni-2014	Gurazeni	14	9784063883275	グラゼニ
gurazeni-2014	Gurazeni	15	9784063883527	グラゼニ
chibi-hontou-ni-atta-waraeru-hanashi	ちび本当にあった笑える話	204	9784821129782	本当にあったちび笑える話
chibi-hontou-ni-atta-waraeru-hanashi	ちび本当にあった笑える話	207	9784821154562	本当にあったちび笑える話
chibi-hontou-ni-atta-waraeru-hanashi	ちび本当にあった笑える話	208	9784821154890	本当にあったちび笑える話
fate-strange-fake-2019	フェイト/ストレンジフェイク	2	9784047309890	Fate strange Fake
mobile-suit-gundam-emuesuvui-aaru	機動戦士ガンダムMSV-R	8	9784041051115	機動戦士ガンダムMSV-R 宇宙世紀英雄伝説
mobile-suit-gundam-emuesuvui-aaru	機動戦士ガンダムMSV-R	9	9784041054659	機動戦士ガンダムMSV-R 宇宙世紀英雄伝説
douyara-watashi-no-karada-wa-kanzen-muteki-no-youdesune	どうやら私の身体は完全無敵のようですね	2	9784040730387	どうやら私の身体(からだ)は完全無敵のようですね
douyara-watashi-no-karada-wa-kanzen-muteki-no-youdesune	どうやら私の身体は完全無敵のようですね	3	9784040733579	どうやら私の身体(からだ)は完全無敵のようですね
isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	異世界に来たみたいだけど如何すれば良いのだろう	2	9784344852723	異世界に来たみたいだけど如何すれば良いのだろう
isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	異世界に来たみたいだけど如何すれば良いのだろう	3	9784344854154	異世界に来たみたいだけど如何すれば良いのだろう
