# カタカナ題の英語綴りslug候補(AI生成+Web検証780件・★未適用)。 workflow 2026-06-05。
key	title	hepburn	en_slug	status
name:HTロクシス|name:ムカンノテイオー	ムカンノテイオー	mukanno-teio	mukan-no-teio	ai_low
name:HUN|name:ナビレラ	ナビレラ	nabirera	navillera	ai_high
name:HUN|name:ナビレラ.	ナビレラ.	nabirera	navillera	ai_high
name:Hypergryph|name:アークナイツロドスキッチン|sub:TIDBITS	アークナイツロドスキッチン	aakunaitsu-rodosu-kitchin	arknights-rhodes-kitchen	web_confirmed
name:Ishiko|name:ハンドレッドノート-ホークアイズ-	ハンドレッドノート-ホークアイズ-	handoreddo-noto-hoku-aizu	hundred-note-hawk-eyes	web_confirmed
name:JH|name:ザ・ボクサー	ザ・ボクサー	za-bokusaa	the-boxer	ai_high
name:Jim Davis|name:ガーフィールド	ガーフィールド	gaafiirudo	garfield	ai_high
name:Judal|name:カーバンクル	カーバンクル	kaabankuru	carbuncle	ai_high
name:Kagezi|name:チビトラ	チビトラ	chibitora	chibitora	ai_low
name:Kan Fujita|name:M ＆ミルミル	M ＆ミルミル	m-mirumiru	m-and-mirumiru	unresolved
name:KATARIBE.bot|name:カタリベ	カタリベ	kataribe	KEEP_HEPBURN	keep_hepburn
name:Ken-G|name:パンピンプリン	パンピンプリン	panpin-purin	panpin-pudding	unresolved
name:KINGPAWN|name:バレット×ファング	バレット×ファング	baretto-fangu	bullet-fang	ai_high
name:KURONEKO|name:クイーンズブレイドアンソロジーコミック	クイーンズブレイドアンソロジーコミック	kuiinzu-bureido-ansorojii-komikku	queens-blade-anthology-comic	ai_high
name:L・LIME|name:パンプキン	パンプキン	panpukin	pumpkin	ai_high
name:L.ブリティッシュ|name:ウルティマ	ウルティマ	uruteima	ultima	ai_high
name:L∞p Inc.|name:ウソツキチョコレート	ウソツキチョコレート	usotsuki-chokoreeto	usotsuki-chocolate	unresolved
name:LemaireReno|name:ドリームランド	ドリームランド	doriimurando	dreamland	ai_high
name:LEN〈A-7〉|name:ラブスコア	ラブスコア	rabu-sukoa	love-score	ai_high
name:Linda|name:フシダラ|sub:妻が不倫をする理由	フシダラ	fushidara	KEEP_HEPBURN	keep_hepburn
name:M. Wolverine|name:パッチワークス・パスウェイ	パッチワークス・パスウェイ	patchiwaakusu-pasuei	patchworks-pathway	web_confirmed
name:M.A.T.|name:G.ボーイ	G.ボーイ	jii-boi	g-boy	web_confirmed
name:Magi Wu|name:エピキュア・ルアラ	エピキュア・ルアラ	epikyua-ruara	epicure-luara	web_confirmed
name:Magica Quartet|name:マギアレコード	マギアレコード	magia-rekodo	magia-record	ai_high
name:Maro|name:ダークエートス	ダークエートス	daaku-eetosu	dark-ethos	web_confirmed
name:MEE＆サンダルマン|name:コミック・ラム	コミック・ラム	komikku-ramu	comic-lamb	web_corrected
name:Meimu|name:メルティ・レモン FOR BOYS	メルティ・レモン FOR BOYS	meruteiremonfoaboizu	melty-lemon-for-boys	ai_high
name:MISS BLACK|name:ジグラット	ジグラット	jiguratto	ziggurat	ai_high
name:Misumi|name:オルターエゴ	オルターエゴ	orutaa-ego	alter-ego	ai_high
name:naked ape|name:ツツジモリ	ツツジモリ	tsutsujimori	KEEP_HEPBURN	keep_hepburn
name:Nardack|name:ワールド・ティーチャー	ワールド・ティーチャー	waarudo-teiichaa	world-teacher	ai_high
name:osogo|name:マリッジ・ゲーム.	マリッジ・ゲーム.	marijji-geemu	marriage-game	ai_high
name:PH|name:ソーラーエクリプス	ソーラーエクリプス	soraa-ekuripusu	solar-eclipse	ai_high
name:Pinkish・2|name:パイレーツ	パイレーツ	paireetsu	pirates	ai_high
name:Poya|name:セイレン	セイレン	seiren	the-siren	web_corrected
name:Project 1031|name:ハロウィンタウン	ハロウィンタウン	haroin-taun	halloween-town	ai_high
name:PutriYasmine|name:ダークナイツ・オブ・スティール	ダークナイツ・オブ・スティール	daaku-naitsu-obu-suteiiru	dark-knights-of-steel	ai_high
name:pyramid753|name:クロスファイトビーダマン	クロスファイトビーダマン	kurosu-faito-biidaman	cross-fight-b-daman	ai_high
name:Quily|name:カードファイト!!ヴァンガードYouthQuake	カードファイト!!ヴァンガードYouthQuake	kaado-faito-vangaado-yusu-kueiku	cardfight-vanguard-youthquake	ai_high
name:Rosebleu|name:Stellar・theater	Stellar・theater	suteraa-shiataa	stellar-theater	ai_high
name:Ryota-H|name:イグナイトエイト	イグナイトエイト	igunaito-eito	ignite-eight	ai_high
name:S-nery Angel|name:イイナ～Feel for Love～	イイナ～Feel for Love～	iina-feel-for-love	iina-feel-for-love	ai_low
name:S・L・ガラント|name:ミュータントタートルズラスト・ローニンLOST YEARS.	ミュータントタートルズラスト・ローニンLOST YEARS.	myutanto-taatoruzu-rasuto-ronin-rosuto-iyaazu	mutant-turtles-the-last-ronin-lost-years	ai_high
name:sacom works|name:ラッキーキャッツルアーフィッシングスクール	ラッキーキャッツルアーフィッシングスクール	rakkii-kyattsu-ruaa-fisshingu-sukuru	lucky-cats-lure-fishing-school	web_confirmed
name:SASAYUKi|name:フラワーナイトガール-prequel-	フラワーナイトガール-prequel-	furawaa-naito-gaaru-purikueru	flower-knight-girl-prequel	ai_high
name:SBS|name:シークレット・ガーデン	シークレット・ガーデン	shiikuretto-gaaden	secret-garden	ai_high
name:SNK|name:ワールドヒーローズ	ワールドヒーローズ	waarudo-hiirozu	world-heroes	ai_high
name:SOLIDLUM|name:ピアスクラブ	ピアスクラブ	piasu-kurabu	pierce-club	web_confirmed
name:soonkki|name:チーズ・イン・ザ・トラップ	チーズ・イン・ザ・トラップ	chiizu-in-za-torappu	cheese-in-the-trap	ai_high
name:SPOON|name:キング・ザ・ランド	キング・ザ・ランド	kingu-za-rando	king-the-land	ai_high
name:Sugisaki|name:D・N・Angel	D・N・Angel	dii-enu-enjieru	dn-angel	ai_high
name:TAEKO|name:ロイド	ロイド	roido	lloyd	unresolved
name:Tali|name:チェンジH	チェンジH	chenji-h	change-h	ai_high
name:TALI|name:ナナジン	ナナジン	nanajin	nanajin	ai_low
name:Teamバンミカス|name:クリスマス・キャロル	クリスマス・キャロル	kurisumasu-kyaroru	christmas-carol	ai_high
name:TETSUO|name:マイルド	マイルド	mairudo	mild	web_confirmed
name:Tono|name:コーラル	コーラル	koraru	coral	ai_high
name:Tono|name:ラビット・ハンティング	ラビット・ハンティング	rabitto-hanteingu	rabbit-hunting	ai_high
name:tupera tupera|name:ツペラパラパラ	ツペラパラパラ	tsupera-parapara	KEEP_HEPBURN	keep_hepburn
name:TYPE-MOON|name:Fate/Grand OrderアンソロジーコミックSTAR RELIGHT	Fate/Grand OrderアンソロジーコミックSTAR RELIGHT	feito-gurando-odaa-ansorojii-komikku-sutaa-riraito	fate-grand-order-anthology-comic-star-relight	ai_high
name:Type-Moon|name:Fate/grand orderコミックコレクション	Fate/grand orderコミックコレクション	grand-order-komikku-korekushon	fate-grand-order-comic-collection	ai_high
name:TYPE-MOON|name:Fate/stay night［Unlimited Blade Works］コミックアラカルト	Fate/stay night［Unlimited Blade Works］コミックアラカルト	feito-sutei-naito-anrimiteddo-bureido-waakusu-komikku-a-ra-karuto	fate-stay-night-unlimited-blade-works-comic-a-la-carte	ai_high
name:TYPE-MOON|name:フェイト/エクストラCCC	フェイト/エクストラCCC	feito-ekusutora-shiishiishii	fate-extra-ccc	ai_high
name:U.G.E|name:マクロスプラス タックネーム	マクロスプラス タックネーム	makurosupurasu-takkuneemu	macross-plus-tac-name	web_confirmed
name:UMA|name:チェンジング・ナウ	チェンジング・ナウ	chenjingu-nau	changing-now	ai_high
name:Yono|name:レノン	レノン	renon	lennon	unresolved
name:アーロン・ブレイビー|name:バッドガイズ	バッドガイズ	baddo-gaizu	the-bad-guys	ai_high
name:あいかわ菜都|name:ハッピーエンド	ハッピーエンド	happii-endo	happy-end	ai_high
name:あおしまたかし|name:タヒチガール	タヒチガール	tahichi-gaaru	tahiti-girl	ai_high
name:あがりえ侑市|name:コトクリ	コトクリ	kotokuri	KEEP_HEPBURN	keep_hepburn
name:アスノタカシ|name:デウス・エクス・マキナ	デウス・エクス・マキナ	deusu-ekusu-makina	deus-ex-machina	ai_high
name:アバタロー作家|name:クズレス・オブリージュ	クズレス・オブリージュ	kuzuresu-oburiiju	kuzuless-oblige	unresolved
name:あべまん|name:ネコダマシ	ネコダマシ	nekodamashi	nekodamashi	ai_low
name:あべもとこ|name:サボカッパ	サボカッパ	sabokappa	sabokappa	ai_low
name:あまねかずみ|name:ミッキー❤マイラブ	ミッキー❤マイラブ	mikkii-mai-rabu	mickey-my-love	web_confirmed
name:アラン・ムーア|name:バットマン キリングジョーク	バットマン キリングジョーク	battoman-kiringu-joku	batman-the-killing-joke	ai_high
name:アラン・ムーア|name:プロビデンス	プロビデンス	purobidensu	providence	ai_high
name:アラン・ムーア|name:フロム・ヘル	フロム・ヘル	furomu-heru	from-hell	ai_high
name:アラン・ムーア|name:プロメテア	プロメテア	purometea	promethea	ai_high
name:アランジアロンゾ|name:アランジアワー	アランジアワー	aranji-awaa	aranzi-hour	web_confirmed
name:アリス・オズマン|name:ハートストッパー	ハートストッパー	haato-sutoppaa	heartstopper	ai_high
name:アリソン・ベクダル|name:ファン・ホーム	ファン・ホーム	fan-homu	fun-home	ai_high
name:アレックス・ミルン|name:トランスフォーマー:モア・ザン・ミーツ・ジ・アイ	トランスフォーマー:モア・ザン・ミーツ・ジ・アイ	toransufomaa-moa-zan-miitsu-ji-ai	transformers-more-than-meets-the-eye	ai_high
name:アレハンドロ・ホドロフスキー|name:アンカル	アンカル	ankaru	the-incal	ai_high
name:いくしまみつぐ|name:クラッシュビスケット	クラッシュビスケット	kurasshu-bisuketto	crush-biscuit	web_confirmed
name:いずみ誠|name:ベストイレブン	ベストイレブン	besuto-irebun	best-eleven	ai_high
name:イタガキノブオ|name:ネコムシ・ストーリーズ	ネコムシ・ストーリーズ	nekomushi-sutoriizu	nekomushi-stories	web_confirmed
name:イタバシマサヒロ|name:ピアノドクター	ピアノドクター	piano-dokutaa	piano-doctor	ai_high
name:いでまゆみ|name:エンジェル・アイズ	エンジェル・アイズ	enjieru-aizu	angel-eyes	ai_high
name:いとうれいこ|name:オレンジ・シップ	オレンジ・シップ	orenji-shippu	orange-ship	ai_high
name:いとう杏六|name:ショウUP	ショウUP	sho-appu	show-up	ai_high
name:いなずまたかし|name:リバイバル	リバイバル	ribaibaru	revival	ai_high
name:イナレ|name:ハニーブラッド	ハニーブラッド	hanii-buraddo	honey-blood	ai_high
name:イム・ジュヨン|name:シエル	シエル	shieru	ciel	ai_high
name:いわさわ正泰|name:サブテン!	サブテン!	sabuten	sub-ten	web_confirmed
name:ウィズ|name:Pa Pi Puペット	Pa Pi Puペット	papipu-petto	papipu-pet	web_confirmed
name:ウィスット・ポンニミット|name:ブランコ	ブランコ	buranko	blanco	web_confirmed
name:ウィリアム・ウッド|name:チェックメイト	チェックメイト	chekkumeito	checkmate	ai_high
name:ウォルト・ディズニー・ジャパン株式会社|name:ディズニーツイステッドワンダーランド|sub:アンソロジーコミック	ディズニーツイステッドワンダーランド	dizunii-tsuisuteddo-wandaarando	disney-twisted-wonderland	ai_high
name:うちやましゅうぞう|name:ハードロック	ハードロック	haado-rokku	hard-rock	ai_high
name:エイト企画|name:ポーズ・ファイル	ポーズ・ファイル	pozu-fairu	pose-file	ai_high
name:エサウ・エスコルザ|name:ミュータントタートルズラスト・ローニン|sub:完全版	ミュータントタートルズラスト・ローニン	myutanto-taatoruzu-rasuto-ronin	mutant-turtles-the-last-ronin	ai_high
name:エンターブレイン|name:アマガミサマ	アマガミサマ	amagami-sama	amagami-sama	ai_low
name:オーエスビー出版|name:バナナキッズ	バナナキッズ	banana-kizzu	banana-kids	ai_high
name:おおのいも|name:アストリア・アクティベート	アストリア・アクティベート	asutoria-akuteibeeto	astoria-activate	web_confirmed
name:おおやま黎|name:マイコンランデブー	マイコンランデブー	maikon-randebu	maicon-rendezvous	unresolved
name:おおや舞|name:コミックチューリップ	コミックチューリップ	komikku-churippu	comic-tulip	ai_high
name:オカモト|name:ランキンガール	ランキンガール	rankin-gaaru	ranking-girl	web_confirmed
name:オズノらいおん|name:キョムノヒガン	キョムノヒガン	kyomu-no-higan	kyomu-no-higan	ai_low
name:おだひびき|name:ムゲンボーグ	ムゲンボーグ	mugen-bogu	mugenborg	web_confirmed
name:おときたたかお|name:デュアン・サーク	デュアン・サーク	deyuan-saaku	duan-surk	web_confirmed
name:おもて空良|name:メタモ・キス	メタモ・キス	metamo-kisu	metamo-kiss	web_confirmed
name:オリビア・コワペル|name:スパイダーバース	スパイダーバース	supaidaa-baasu	spider-verse	ai_high
name:おわる|name:ストリーミング♥ラブアディクション	ストリーミング♥ラブアディクション	sutoriimingu-rabu-adikushon	streaming-love-addiction	ai_high
name:お子様ランチ|name:トランススイッチ	トランススイッチ	toransu-suitchi	trans-switch	unresolved
name:ガース・エニス|name:ザ・ボーイズ	ザ・ボーイズ	za-boizu	the-boys	ai_high
name:ガース・ヱニス|name:ヒットマン	ヒットマン	hittoman	hitman	ai_high
name:カーラ編集部|name:カーラ|sub:レディースコミックス	カーラ	kaara	KEEP_HEPBURN	keep_hepburn
name:かえんぐるま|name:G☆パッション	G☆パッション	gorudo-passhon	gold-passion	unresolved
name:かきざき和美|name:タルナ	タルナ	taruna	KEEP_HEPBURN	keep_hepburn
name:ガチタロウ|name:ツノパンツ	ツノパンツ	tsunopantsu	KEEP_HEPBURN	keep_hepburn
name:がなり龍|name:アズールレーンthe animation|sub:碧き航路にバカンスを	アズールレーンthe animation	azurureen-the-animation	azur-lane-the-animation	ai_high
name:カネタケ製菓|name:ブックイーター	ブックイーター	bukku-iitaa	book-eater	ai_high
name:かのえゆうし|name:レディ・ファウスト	レディ・ファウスト	redi-fausuto	lady-faust	ai_high
name:かのこ|name:アブノーマル・スイッチ|sub:誘惑の誤算	アブノーマル・スイッチ	abunomaru-suitchi	abnormal-switch	ai_high
name:カプコン|name:ロストプラネットバウンドレイブン	ロストプラネットバウンドレイブン	rosuto-puranetto-baundo-reibun	lost-planet-bound-raven	web_confirmed
name:カプコン|name:ロックマンマニアックス	ロックマンマニアックス	rokkuman-maniakkusu	rockman-maniax	ai_high
name:ガブリエル・ヘルナンデス・ウォルタ|name:ヴィジョン	ヴィジョン	vijon	vision	ai_high
name:かやのさちこ|name:タンデム・ハイ	タンデム・ハイ	tandemu-hai	tandem-high	web_confirmed
name:かゆまみむ|name:アンド、ラブ!	アンド、ラブ!	ando-rabu	and-love	ai_high
name:ガラナ|name:モンスターセラピー!|sub:カラダの悩み、この子たちにお任せください	モンスターセラピー!	monsutaa-serapii	monster-therapy	ai_high
name:ガリぞう|name:プロスロ	プロスロ	puro-suro	KEEP_HEPBURN	keep_hepburn
name:カルロ・パグラヤン|name:プラネット・ハルク	プラネット・ハルク	puranetto-haruku	planet-hulk	ai_high
name:かわせひろし|name:ケッタ・ゴール!	ケッタ・ゴール!	ketta-goru	ketta-goal	web_confirmed
name:かわだ寛|name:カーショップMMK	カーショップMMK	kaashoppu-mmk	car-shop-mmk	web_confirmed
name:かわらじまコウ|name:リカレント・ブルー	リカレント・ブルー	rikarento-buru	recurrent-blue	ai_high
name:ガンホー・オンライン・エンターテイメント|name:パズドラクロス	パズドラクロス	pazudora-kurosu	puzzle-and-dragons-x	web_corrected
name:キノ|name:マファルダ	マファルダ	mafaruda	mafalda	ai_high
name:キム・ウンスク|name:オンエアー	オンエアー	on-eaa	on-air	ai_high
name:キムクァンヒョン|name:モノクローム	モノクローム	monokuromu	monochrome	ai_high
name:きむらはじめ|name:ホットDOC	ホットDOC	hotto-doku	hot-doc	web_confirmed
name:きんこうじたま|name:H-アッシュ	H-アッシュ	asshu	h-ash	web_corrected
name:クギ|name:キリング・ストーキング	キリング・ストーキング	kiringu-sutokingu	killing-stalking	ai_high
name:くも子|name:ウラクラ!	ウラクラ!	urakura	KEEP_HEPBURN	keep_hepburn
name:グラント・モリソン|name:バットマン・インコーポレイテッド	バットマン・インコーポレイテッド	battoman-inkoporeiteddo	batman-incorporated	ai_high
name:くりきまる|name:ダンジョンシーカーズ	ダンジョンシーカーズ	danjon-shiikaazu	dungeon-seekers	ai_high
name:クリス・マウリー|name:ゴジラ:ルーラーズ・オブ・アース	ゴジラ:ルーラーズ・オブ・アース	gojira-ruraazu-obu-aasu	godzilla-rulers-of-earth	ai_high
name:グリヒル|name:ワスプ	ワスプ	wasupu	wasp	ai_high
name:クレイグ・トンプソン|name:ハビビ	ハビビ	habibi	habibi	ai_high
name:クレイグ・マクラッケン|name:パワーパフガールズ	パワーパフガールズ	pawaapafu-gaaruzu	powerpuff-girls	ai_high
name:グレッグ・ルッカ|name:バットマン:ノーマンズ・ランド	バットマン:ノーマンズ・ランド	battoman-nomanzu-rando	batman-no-mans-land	ai_high
name:ケイケイ|name:ジュゲム・ジュゲム	ジュゲム・ジュゲム	jugemu-jugemu	jugemu-jugemu	ai_low
name:ケイケイ|name:ワンダフルライフ?	ワンダフルライフ?	wandafuru-raifu	wonderful-life	ai_high
name:けんたろう|name:ブラック・バイヤー・ガールズ	ブラック・バイヤー・ガールズ	burakku-baiyaa-gaaruzu	black-buyer-girls	ai_high
name:こおはらしおみ|name:サークルゲーム	サークルゲーム	saakuru-geemu	circle-game	ai_high
name:こしばしげる|name:レディ・ナイツ	レディ・ナイツ	redei-naitsu	lady-knights	ai_high
name:コミックゲーメスト編集部|name:ヴァンパイアコミックアンソロジー	ヴァンパイアコミックアンソロジー	uanpaia-komikku-ansorojii	vampire-comic-anthology	ai_high
name:コミックゲーメスト編集部|name:ヴァンパイアセイヴァーコミックアンソロジー	ヴァンパイアセイヴァーコミックアンソロジー	vanpaia-seivaa-komikku-ansorojii	vampire-savior-comic-anthology	ai_high
name:コミックゲーメスト編集部|name:ヴァンパイアハンターコミックアンソロジー	ヴァンパイアハンターコミックアンソロジー	vanpaia-hantaa-komikku-ansorojii	vampire-hunter-comic-anthology	ai_high
name:コミックゲーメスト編集部|name:ストリートファイターⅡ コミックアンソロジー	ストリートファイターⅡ コミックアンソロジー	sutoriito-faitaa-tsu-komikku-ansorojii	street-fighter-2-comic-anthology	ai_high
name:コミックゲーメスト編集部|name:ネオ・ジオ・ギャルズ・コミック・アンソロジー	ネオ・ジオ・ギャルズ・コミック・アンソロジー	neo-jio-gyaruzu-komikku-ansorojii	neo-geo-gals-comic-anthology	ai_high
name:コヲノスミレ|name:ディズニーツイステッドワンダーランドザコミック|sub:エピソードオブハーツラビュル	ディズニーツイステッドワンダーランドザコミック	dizunii-tsuisuteddo-wandaarando-za-komikku	disney-twisted-wonderland-the-comic	ai_high
name:ゴンカロ・ロペス|name:レッドマン	レッドマン	reddoman	redman	web_confirmed
name:コンプティーク|name:Clannadコミックアラカルト	Clannadコミックアラカルト	clannad-komikku-arakaruto	clannad-comic-a-la-carte	ai_high
name:コンプティーク|name:Fate/hollow ataraxiaコミックアラカルト	Fate/hollow ataraxiaコミックアラカルト	feito-horo-atarakushia-komikku-arakaruto	fate-hollow-ataraxia-comic-a-la-carte	ai_high
name:コンプティーク|name:Fate/stay nightコミックアラカルト	Fate/stay nightコミックアラカルト	feito-sutei-naito-komikku-arakaruto	fate-stay-night-comic-a-la-carte	ai_high
name:コンプティーク|name:Fate/stay nightコミックバトル	Fate/stay nightコミックバトル	fate-stay-night-komikku-batoru	fate-stay-night-comic-battle	ai_high
name:コンプティーク|name:SHUFFLE!コミックアラカルト	SHUFFLE!コミックアラカルト	shaffuru-komikku-arakaruto	shuffle-comic-a-la-carte	ai_high
name:さーもにずむ|name:カニバルカーニバル!	カニバルカーニバル!	kanibaru-kaanibaru	cannibal-carnival	ai_high
name:さいきなおこ|name:ヴァンパイア・キス	ヴァンパイア・キス	uanpaia-kisu	vampire-kiss	ai_high
name:さいきなおこ|name:フラワープロジェクト	フラワープロジェクト	furawaa-purojiekuto	flower-project	ai_high
name:サイトウケンジ|name:トリニティセブン	トリニティセブン	torinitei-sebun	trinity-seven	ai_high
name:さいとう夫婦|name:バックパッカー・パラダイス	バックパッカー・パラダイス	bakkupakkaa-paradaisu	backpacker-paradise	ai_high
name:さいふうめい|name:バサラ	バサラ	basara	basara	ai_low
name:サキヒトミ|name:サムタイムラバー	サムタイムラバー	samutaimu-rabaa	sometime-lover	ai_high
name:さくまあきら|name:チョコバナナ	チョコバナナ	chokobanana	choco-banana	ai_high
name:サク研|name:マンティコア	マンティコア	manteikoa	manticore	ai_high
name:さとう智子|name:フラッパー★アーミー	フラッパー★アーミー	furappaa-aamii	flapper-army	ai_high
name:さらみ|name:ピカエル	ピカエル	pikaeru	KEEP_HEPBURN	keep_hepburn
name:ジェーン・オースティン|name:エマ	エマ	ema	emma	ai_high
name:ジェフ・ジョーンズ|name:ジャスティス・リーグ	ジャスティス・リーグ	jasuteisu-riigu	justice-league	ai_high
name:ジェフ・ジョーンズ|name:ジャスティス・リーグ:ダークサイド・ウォー	ジャスティス・リーグ:ダークサイド・ウォー	jasuteisu-riigu-daakusaido-uo	justice-league-darkseid-war	ai_high
name:ジェフ・スミス|name:ボーン	ボーン	bon	bone	ai_high
name:ジェフ・ローブ|name:バットマン ロング・ハロウィーン	バットマン ロング・ハロウィーン	battoman-rongu-haroiin	batman-the-long-halloween	ai_high
name:しばたさび|name:ロスト・キャッツ	ロスト・キャッツ	rosuto-kyattsu	lost-cats	ai_high
name:しまんだきよの|name:モンコレキッズ	モンコレキッズ	monkore-kizzu	mon-colle-kids	web_confirmed
name:ジャスミン・ギュ|name:バックストリートガールズ	バックストリートガールズ	bakku-sutoriito-gaaruzu	back-street-girls	ai_high
name:シャロン・サラ|name:スウィート・ベイビー	スウィート・ベイビー	suiito-beibii	sweet-baby	ai_high
name:ジャンプSQ.編集部|name:ジャンプSQ.Comic Selection	ジャンプSQ.Comic Selection	janpu-sq-comic-selection	jump-sq-comic-selection	ai_high
name:じゅりあーの|name:ハムスターファミリー	ハムスターファミリー	hamusutaa-famirii	hamster-family	ai_high
name:ジョアン・ロス|name:オートクチュール	オートクチュール	oto-kuchuru	haute-couture	ai_high
name:ジョー・サッコ|name:パレスチナ	パレスチナ	paresuchina	palestine	ai_high
name:ジョンディー|name:ダンジョン+ハーレム+マスター	ダンジョン+ハーレム+マスター	danjon-purasu-haaremu-purasu-masutaa	dungeon-harem-master	ai_high
name:シルヴィア・アンドルー|name:セラフィーナ	セラフィーナ	serafiina	seraphina	ai_high
name:しろー|name:ダブルブリッド	ダブルブリッド	daburu-buriddo	double-breed	web_corrected
name:じんこ|name:モカイヌ	モカイヌ	mokainu	KEEP_HEPBURN	keep_hepburn
name:スコッティ・ヤング|name:ストレンジ・アカデミー	ストレンジ・アカデミー	sutorenji-akademii	strange-academy	ai_high
name:スコット・スナイダー|name:バットマン	バットマン	battoman	batman	ai_high
name:スコット・スナイダー|name:バットマン:エターナル	バットマン:エターナル	battoman-etaanaru	batman-eternal	ai_high
name:スズキ唯知|name:アサルト・アディクトxR	アサルト・アディクトxR	asaruto-adikuto-ekkusuaaru	assault-addict-xr	web_confirmed
name:すずはら篠|name:プラチナジャングル	プラチナジャングル	purachina-janguru	platinum-jungle	ai_high
name:スタジオジブリ|name:ファインディングニモ	ファインディングニモ	faindingu-nimo	finding-nemo	ai_high
name:すたんだっぷ|name:イマージュ	イマージュ	imaaju	image	unresolved
