wrong_n	slug	label_author	title	wrong_isbn_trueauthor
6	kamichamakarinchu	こげどんぼ*	かみちゃまかりんchu	9784063641332(コゲどんぼ); 9784063641455(コゲどんぼ); 9784063641523(コゲどんぼ)
6	gin-no-oni-1986	茶木宏実	銀の鬼	9784088492223(茶木ひろみ); 9784088492476(茶木ひろみ); 9784088492643(茶木ひろみ)
6	doku-mushi	伊野ナユタ	ドクムシ	9784575843064(合田蛍冬); 9784575843965(合田蛍冬); 9784575845334(合田蛍冬)
6	amagi-brilliant-park	吉岡公威	甘城ブリリアントパーク	9784040702568(なかじまゆか); 9784040704081(なかじまゆか); 9784040704098(なかじまゆか)
6	akai-ito-2008	柏屋コッコ	赤い糸	9784777190751(メイ); 9784777190768(メイ); 9784777190775(メイ)
6	teizokurei-monophobia	刻夜セイゴ	低俗霊MONOPHOBIA	9784047154186(奥瀬サキ); 9784047154414(奥瀬サキ); 9784047155077(奥瀬サキ)
6	tantei-wa-mou-shinde-iru	麦子	探偵はもう、死んでいる。	9784046800077(うみぼうず); 9784046803795(うみぼうず); 9784046806345(うみぼうず)
6	daikaizoku-doumei-extra-edition	(unknown)	大海賊同盟 EXTRA EDITION	9784860021061(ノアール出版); 9784860021177(ノアール出版); 9784860021351(ノアール出版)
6	dungeon-ni-deai-o-motomeru-nowa-machigatte-iru-darouka-2	矢町大成	ダンジョンに出会いを求めるのは間違っているだろうかⅡ	9784757567696(大森藤ノ); 9784757571693(大森藤ノ); 9784757576476(大森藤ノ)
6	ichika-bachika	益子リョウヘイ	イチカバチカ	9784098538164(本間仁助); 9784098540846(本間仁助); 9784098541713(本間仁助)
6	di-e-ce	山本佳奈	di［e］ce	9784758053082(咲木音穂); 9784758053495(咲木音穂); 9784758054003(咲木音穂)
6	heart-no-kuni-no-alice	ほしの総明	ハートの国のアリス	9784861275173(quinrose); 9784861275807(quinrose); 9784861276323(quinrose)
6	shin-naniwa-kinyuudou-aaru	青木雄二プロダクション	新ナニワ金融道R	9784594609825(朝倉誠一); 9784594610067(朝倉誠一); 9784594610470(朝倉誠一)
6	fukushuu-no-dokko	ときゎ	復讐の毒鼓	9784040646763(meenxbaekdoo); 9784040647630(meenxbaekdoo); 9784040648224(meenxbaekdoo)
6	shinken-de-watashi-ni-koishinasai	犬江しんすけ	真剣で私に恋しなさい!	9784047155534(みなとそふと); 9784047157064(みなとそふと); 9784041200216(みなとそふと)
6	girigiri-out	青インク	ギリギリアウト	9784048662475(ソウマトウ); 9784048669870(ソウマトウ); 9784048652964(ソウマトウ)
6	majutsushi-oofen-haguretabi	連	魔術士オーフェンはぐれ旅	9784047121751(沢田一/秋田禎信/草河遊也); 9784047121812(沢田一/秋田禎信/草河遊也); 9784047121959(沢田一/秋田禎信/草河遊也)
6	tensei-shitara-ken-deshita-another-wish	いのうえひなこ	転生したら剣でしたAnother Wish	9784867160602(るろお); 9784867161203(るろお); 9784867161876(るろお)
5	rental-magica	成宮アキホ	レンタルマギカ	9784049250442(pako); 9784049250527(pako); 9784049250596(pako)
5	red-list-zetsumetsushinkaron	村瀬克俊	レッドリスト	9784088826707(安生正); 9784088827483(安生正); 9784088828183(安生正)
5	mame-sengoku-basara	スメラギ	まめ戦国BASARA	9784048866675(加藤陽一); 9784048911566(加藤陽一); 9784048914512(加藤陽一)
5	konya-wa-tsuki-ga-kirei-desu-toriaezu-shine-last	月並甲介	今夜は月が綺麗ですが、とりあえず死ね-last-	9784065165898(要マジュロ); 9784065176283(要マジュロ); 9784065191415(要マジュロ)
5	eiyuu-densetsu-sora-no-kiseki	啄木鳥しんき	英雄伝説空の軌跡	9784048992039(日本ファルコム); 9784048992213(日本ファルコム); 9784048992404(日本ファルコム)
5	pazudora-z	井上桃太	パズドラ	9784091427595(ガンホーオンラインエンターテイメント); 9784091428202(ガンホーオンラインエンターテイメント); 9784091430076(ガンホーオンラインエンターテイメント)
5	captain-tsubasa-kids-dream	戸田邦和	キャプテン翼KIDS DREAM	9784088816838(高橋陽一); 9784088820941(高橋陽一); 9784088823140(高橋陽一)
5	toppu-o-nerae	かぼちゃ	トップをねらえ!	9784047157514(gainax); 9784041200889(gainax); 9784041203675(gainax)
5	mobile-suit-gundam-alive	高山瑞穂	機動戦士ガンダムALIVE	9784063722604(皆川ゆか); 9784063723045(皆川ゆか); 9784063723564(皆川ゆか)
