slug	title	std_vols	covered	missing	covered_pct	gap_start_vol	type	missing_volumes	missing_isbns
one-zero	ワン・ゼロ	4	1	3	25	2	vol1偏	2,3,4	9784091785428,9784091785435,9784091785442
porikouman	ポリ公マン	4	1	3	25	2	vol1偏	2,3,4	9784063129540,9784063129724,9784063130041
roboko-san	ロボ子さん	4	1	3	25	2	vol1偏	2,3,4	
ryouko-no-shinrei-file	陵子の心霊事件簿	4	1	3	25	2	vol1偏	2,3,4	9784091327826,9784091327833,9784091327840
1-love-9	1〔LOVE〕9	3	1	2	33	2	vol1偏	2,3	9784048679626,9784048685573
anata-ni-aete-yokatta	あなたに、逢えてよかった!!	3	1	2	33	2	vol1偏	2,3	9784883155064,9784883154944
bokutachi-otokonoko	ぼくたち男の子	3	1	2	33	2	vol1偏	2,3	9784049248531,9784049248623
chakkari-kun	ちゃっかりくん	3	1	2	33	2	vol1偏	2,3	9784884754693
chikuro-youchien	ちくろ幼稚園	3	1	2	33	2	vol1偏	2,3	9784091791023,9784091791030
d-c-s-g	D.C.S.G.	3	1	2	33	2	vol1偏	2,3	9784047137776,9784047138476
daughter-maker	ドーターメーカー	3	1	2	33	2	vol1偏	2,3	9784063337730,9784063338027
dragon-screw	DRAGON SCREW	3	1	2	33	2	vol1偏	2,3	9784253200622,9784253200639
easy-writer	イージー・ライター	3	1	2	33	2	vol1偏	2,3	9784063259308,9784063259469
feathertouch-operation	フェザータッチ・オペレーション	3	1	2	33	2	vol1偏	2,3	9784403611063,9784403611339
gi-king	GIキング	3	1	2	33	2	vol1偏	2,3	9784887415249,9784887415508
golf-jinsei	ゴルフ・人生	3	1	2	33	2	vol1偏	2,4	9784575821796,9784575822922
happy-ends	HAPPY ENDS	3	1	2	33	2	vol1偏	2,3	9784091343826,9784091343833
heroes	Heroes	3	1	2	33	2	vol1偏	2,3	9784063335453,9784063335477
honoka-ni-purple	ほのかにパープル	3	1	2	33	2	vol1偏	2,3	9784091321824,9784091321831
hotel-tantei-doll	ホテル探偵Doll	3	1	2	33	2	vol1偏	2,3	9784091807229,9784091807236
kekkoukamen	けっこう仮面	3	1	2	33	2	vol1偏	2,3	
kou-u-to-ryuu-hou-sentaro-1987	項羽と劉邦	3	1	2	33	2	vol1偏	2,3	9784163639604
mahou-shoujo-pretty-sammy	魔法少女プリティサミー	3	1	2	33	2	vol1偏	2,3	9784047121423,9784047121645
mikara-deta-saba	身から出た鯖	3	1	2	33	2	vol1偏	2,3	9784785914868
mouryou-senki-madara-basara	魍魎戦記摩陀羅BASARA	3	1	2	33	2	vol1偏	2,3	9784047131620,9784047131637
oneesamatooyobitsu	お姉さまとお呼びっ!!	3	1	2	33	2	vol1偏	2,3	
ookamiotoko-ni-ki-o-tsukete	オオカミ男に気をつけて!	3	1	2	33	2	vol1偏	2,3	9784091366429,9784091366436
pachislo-diohead	パチスロダイオヘッド	3	1	2	33	2	vol1偏	2,3	9784893677181,9784893677679
ri-ryou	李陵	3	1	2	33	2	vol1偏	2,3	9784163639802
robot-nichou-kenjuu	ロボット二挺拳銃	3	1	2	33	2	vol1偏	2,3	
rurou-no-tabi	流狼の旅	3	1	2	33	2	vol1偏	2,3	9784861762116,9784861762895
sandaa-daiou	サンダー大王	3	1	2	33	2	vol1偏	2,3	
shijou-saitei-no-regatta	史上最低のレガッタ	3	1	2	33	2	vol1偏	2,3	9784063462241,9784063462326
shin-hige-no-ol-yabuuchi-sasako	真ヒゲのOL藪内笹子	3	1	2	33	2	vol1偏	2,3	9784757715233,9784757717732
sugar-darling	シュガー・ダーリン	3	1	2	33	2	vol1偏	2,3	9784063259346,9784063259513
w-s	W's	3	1	2	33	2	vol1偏	2,3	9784063129632,9784063130157
wakaoku-sama-to-seerusuman	若奥様とセールスマン	3	1	2	33	2	vol1偏	2,3	9784821198153,9784821198917
young-and-tears	Young and tears	3	1	2	33	2	vol1偏	2,3	9784821197606,9784821197644
