base	verdict	src	n_pages	titles	outliers	evidence	isbn_audit	reps	rekey
dragon-quest-princess-aleana	merge_all	SAME_TITLE	2	ドラゴンクエスト プリンセスアリーナ || ドラゴンクエスト～プリンセスアリーナ～		ja.wikipedia.org『ドラゴンクエスト プリンセスアリーナ』=八坂麻美子作・全5巻の単一シリーズ。2ページの差は波ダッシュ〜〜の有無のみ(同読み)。同一作。	版違い疑い	qid:Q11443794|name:ドラゴンクエスト～プリンセスアリーナ～	
dreams	merge_all	ORTHO	2	Dreams || ドリームス		Amazon/booklive: 七三太朗・川三番地『Dreams』は野球漫画の単一作(原本71巻)。『Dreams』(latin)と『ドリームス』(カナ)は同一作の表記違い、8巻2013は新装/文庫版。著者・読み一致。	ISBN確認	name:七三太朗|name:Dreams	
fool-for-the-city	merge_all	ORTHO	2	FOOL for THE CITY || フール・フォー・ザ・シティ		ja.wikipedia.org/フール・フォー・ザ・シティ + KADOKAWA: 永野護のデビュー作。latin題FOOL for THE CITY=カタカナ題フール・フォー・ザ・シティの同一作(2025 EDITIONは復刻)。	ISBN確認	qid:Q1057739|name:FOOL for THE CITY	
fukujinchou-ki-tan	merge_all	ORTHO	2	福神町奇譚 || 福神町綺譚		藤原カムイの同一作。連載題『福神町奇譚』(1999ウルトラジャンプ)→単行本題『福神町綺譚』(全3巻/cmoa title 111437)に奇→綺の改題。同読み・計3巻一致。	ISBN確認	qid:Q6359803|name:福神町綺譚	
gifuu-doudou-naoe-kanetsugu-maeda-deka-hanagatari	merge_all	SAME_TITLE	2	義風堂々!!直江兼続-前田慶次花語り || 義風堂々!!直江兼続～前田慶次花語り～		原哲夫/堀江信彦/出口真人『義風堂々!!直江兼続 ～前田慶次花語り～』全14巻(bookwalker/series/46420,haratetsuo.com)。区切り記号(-/～～)差のみの同題・同kana(花語り;月語りとは別作だが両頁とも花語り)。	ISBN確認	qid:Q11395578|name:義風堂々!!直江兼続-前田慶次花語り	
gigant	merge_all	ORTHO	2	Gigant || ギガント		奥浩哉『GIGANT(ギガント)』ビッグコミックスペリオール。ラテンGIGANTとカナ ギガントの同一作。shogakukan-comic.jp公式。	ISBN確認	qid:Q2608898|name:ギガント	
golden-lucky	merge_all	ORTHO	2	Golden lucky || ゴールデンラッキー		榎本俊二『GOLDEN LUCKY』(ja.wikipedia GOLDEN LUCKY)。ワイドKC全10巻と太田出版完全版全3巻あり、両page(ラテン/カナ・同読み)は同作の別版。	版違い疑い	qid:Q7505079|name:Golden lucky	
golondrina	merge_all	ORTHO	2	Golondrina || ゴロンドリーナ		えすとえむ『Golondrina-ゴロンドリーナ-』(小学館IKKI/cmoa title 69628・全5巻)。ラテン+カナ一連表記を3巻+2巻=5巻で分割登録した同一作。	ISBN確認	qid:Q5399979|name:Golondrina	
gringo	merge_all	ORTHO	2	GRINGO || グリンゴ		手塚治虫『グリンゴ(GRINGO)』ビッグコミック連載の絶筆作。英字GRINGOとカナ グリンゴの同一作。tezukaosamu.net公式/ja.wikipedia.org。	版違い疑い	qid:Q193300|name:グリンゴ	
gurazeni-tokyo-doomuhen	merge_all	SAME_TITLE	3	グラゼニ ～東京ドーム編～ || グラゼニ～東京ドーム編～ || グラゼニ～東京ドーム編～		森高夕次/アダチケイジ『グラゼニ～東京ドーム編~』全15巻(morning.moae.jp/lineup/416,amazon)。3頁とも同題・同kana(全角空白差のみ)で4+9+2=15巻整合。	ISBN確認	qid:Q11303326|name:グラゼニ～東京ドーム編～	
hageshiina-sakurai-kun	merge_all	SAME_TITLE	2	ハゲしいな!桜井くん || ハゲしいな!桜井くん		cmoa/Amazon: 高倉あつこ『ハゲしいな!桜井くん』(全17巻、文庫11巻)。両page完全同題で版違い(巻数28/3は版・誤集計差)、新婚編は別作だが本群に含まれず。同一作。	ISBN確認	qid:Q11668751|name:ハゲしいな!桜井くん	
happy-people	merge_all	SAME_TITLE	2	ハッピーピープル || ハッピーピープル		Wikipedia/楽天: 釋英勝『ハッピーピープル』はYJ連載のホラー短編集(全11巻+新装版)。両ページ題・読み完全一致(著者欄空)、2005版は新装版再刊。同一特異題で別作可能性極小。	版違い疑い	qid:Q11644550|name:ハッピーピープル	
hatago	merge_all	ORTHO	2	HATAGO 旅篭 || HATAGO 旅籠		石ノ森章太郎『HATAGO[旅籠]』(小学館1994/csbs book_group 15094)。篭/籠は同字の異体字、同読みハタゴ・同一作(1994初版/1996は再録)。	ISBN確認	qid:Q471103|name:HATAGO 旅篭	
hey-bluesman	merge_all	ORTHO	2	Hey!!ブルースマン || ヘイ!!ブルースマン		kodansha.co.jp/amazon: 山本おさむ『Hey!!ブルースマン』全3巻(2003-2004)。『ヘイ!!ブルースマン』はHey→カナ化のみ、同読み・同作。	ISBN確認	qid:Q11468762|name:Hey!!ブルースマン	
himegasaki-sakurako-wa-kyou-mo-fubin-kawaii	merge_all	ORTHO	2	姫ヶ崎櫻子は今日も不憫可愛い || 姫ケ崎櫻子は今日も不憫可愛い		『姫ヶ崎櫻子は今日も不憫可愛い』。差は『ヶ』(小書き)と『ケ』(大書き)のみ=同一作の表記揺れ。読み・残り字面完全一致。	ISBN確認	qid:Q97031321|name:姫ヶ崎櫻子は今日も不憫可愛い	
himitsu-wa-kiss-de-abakareru	merge_all	SAME_TITLE	2	秘密はキスで暴かれる || 秘密はキスで暴かれる		cmoa/ebookjapan/ちるちる: 篁アンナ『秘密はキスで暴かれる』(BL)。両page=題・著者・読み完全一致、巻数差(3/5)・年差は版/再版(彗星社→竹書房)による同一作の重複登録。	版違い疑い	name:篁アンナ|name:秘密はキスで暴かれる|sub:qpa edition	
hitokui-origin	merge_all	SAME_TITLE	2	ヒトクイ origin || ヒトクイ-origin-		cmoa/小学館/ニコニコ: MITA原作・太田羊羹作画『ヒトクイ-origin-』の単一作。両page=ハイフン表記(origin vs -origin-)のみの違い、著者・読み・年一致。	ISBN確認	name:太田羊羹|name:ヒトクイ-origin-	
houkago-sekigahara	merge_all	ORTHO	2	放課後関ヶ原 || 放課後関ケ原		『放課後関ヶ原/関ケ原』はヶ(小書き)/ケの表記差のみ、kana同一。同一作のorthographic差。	ISBN確認	qid:Q11657821|name:放課後関ヶ原	
hole-in-one	merge_all	ORTHO	2	ホールインワン || HOLEIN ONE		ja.wikipedia『ホールインワン』(金井たつお作画,1977-79少年ジャンプ,合本版あり)。'HOLE IN ONE'はラテン綴り版でkana一致、同一作。	版違い疑い	qid:Q11669300|name:ホールインワン	
hop-step-show-selection	merge_all	SAME_TITLE	2	ホップ☆ステップ賞 SELECTION || ホップ☆ステップ賞SELECTION		Wikipedia/Amazon: 『週刊少年ジャンプ新人漫画賞ホップ☆ステップ賞SELECTION』は全19巻のアンソロジー単一シリーズ(ホーム社/集英社)。両ページは『賞 SELECTION』と『賞SELECTION』の空白差のみ=同一シリーズ。	ISBN確認	name:ホーム社|name:ホップ☆ステップ賞SELECTION	
hotel	merge_all	ORTHO	2	HOTEL || ホテル		ja.wikipedia/小学館/講談社: 石ノ森章太郎『HOTEL(ホテル)』の単一作(ビッグコミック連載)。両page=ラテン/カナ表記違い、読みホテル一致。巻数差は版違い(原本58巻 vs 別edition)で同一シリーズ。	版違い疑い	qid:Q471103|name:ホテル	
i-m-home	merge_all	ORTHO	2	I'm home || アイムホーム		wikipedia/shogakukan: 石坂啓『アイ'ム ホーム』全2巻。2015年新版でアポストロフィ除去。I'm home(ローマ字)/アイムホーム(カナ)は同一作の表記揺れ。	ISBN確認	qid:Q11585349|name:I'm home	
inu-kessakushuu	merge_all	ORTHO	2	犬傑作集 || 手塚治虫アンソロジー犬傑作集		手塚治虫『手塚治虫アンソロジー 犬傑作集』(秋田書店, ISBN4253104185)。短縮題『犬傑作集』と正式題は同一書籍(1巻)。Amazon/kosho.or.jp。※アンソロジー本だが両ページは同一商品。	ISBN確認	qid:Q193300|name:犬傑作集	REKEYED
giant-killing-extra-giant-killing-hatsu-sakkaa-entaateinmento-magazine	merge_all	SAME_TITLE	2	Giant killing extra ジャイアントキリング発サッカーエンターテインメントマガジン || GIANT KILLING extra ジャイアントキリング発サッカーエンターテインメントマガジン		講談社BOOK倶楽部/Amazon: 『GIANT KILLING extra ジャイアントキリング発サッカーエンターテインメントマガジン』は講談社MOOK単一シリーズ(15巻超)。『Giant killing』と『GIANT KILLING』の大小文字差のみ、出版社・読み一致。	ISBN確認	name:講談社|name:GIANT KILLING extra ジャイアントキリング発サッカーエンターテインメントマガジン	
jajauma-guruumin-appu	merge_all	SAME_TITLE	2	じゃじゃ馬グルーミン★UP! || じゃじゃ馬グルーミン★ＵＰ!		ja.wikipedia: ゆうきまさみ『じゃじゃ馬グルーミン★UP!』(全26巻,少年サンデー)。両pageは半角UP/全角ＵＰの差のみ、同一作。	ISBN確認	qid:Q1207548|name:じゃじゃ馬グルーミン★ＵＰ!	
jinki-extend-relation	merge_all	SAME_TITLE	2	ジンキ・エクステンド リレイション || ジンキ・エクステンド～リレイション～		kadokawa/cmoa: 綱島志朗『ジンキ・エクステンド〜リレイション〜』全5巻。波ダッシュ〜〜の有無のみの差、同読み。同作。	ISBN確認	qid:Q11607132|name:ジンキ・エクステンド リレイション	
kaibutsu-kun-best-selection	merge_all	SAME_TITLE	2	怪物くん ベストセレクション || 怪物くんベスト・セレクション		両page共に2010年・vol1の『怪物くんベストセレクション』。差は半角空白と中黒(・)のみ=同一作の表記揺れ。	ISBN確認	qid:Q7784543|name:怪物くん ベストセレクション	
karakai-jouzu-no-moto-takagi-san	merge_all	ORTHO	2	からかい上手の（元）高木さん || からかい上手の〈元〉高木さん		山本崇一朗+稲葉光史画『からかい上手の(元)高木さん』(全23巻スピンオフ)。両pageとも'(元)高木さん'で(元)/〈元〉の括弧差のみ。本編『高木さん』とは別だが本群は両方'元'版なので同一作、merge可。	ISBN確認	qid:Q17230626|name:からかい上手の〈元〉高木さん	REKEYED
kashi-battle	merge_all	ORTHO	2	KASHI BATTLE || カシバトル		両page=『KASHI BATTLE/カシバトル』で唯一の差はラテン表記とカナ表記。読みカシバトル一致、年(2022/2023)隣接=同一作のローマ字/カナ表記揺れ。	ISBN確認	qid:Q105258445|name:カシバトル	
keishichou-totsugawa-keibu-no-file-ando-tetsudou-mystery-best-comic	merge_all	SAME_TITLE	2	警視庁十津川警部の事件簿&鉄道ミステリーベストコミック || 警視庁十津川警部の事件簿＆鉄道ミステリーベストコミック		宗美智子作、同一題『警視庁十津川警部の事件簿＆鉄道ミステリーベストコミック』。差は半角『&』対全角『＆』のみ=純粋な表記違い、著者・読み完全一致。	ISBN確認	name:宗美智子|name:警視庁十津川警部の事件簿&鉄道ミステリーベストコミック	
kenkaku-shoubai-best-selection	merge_all	ORTHO	2	剣客商売 BEST SELECTION || 剣客商売ベストセレクション		BOOK☆WALKER等: 大島やすいち/池波正太郎原作『剣客商売』のBEST SELECTION編。両page=『BEST SELECTION』ラテン/カナ表記違いのみ、同一の傑作選product、著者・読み一致。	ISBN確認	name:池波正太郎|name:剣客商売ベストセレクション	
key-jack-teenage-edition	merge_all	ORTHO	2	KEY JACK TEENAGE EDITION || KEY JACK TEENAGE EDITTION		akitashoten.co.jp + ja.wikipedia.org/wiki/潮見知佳: 『KEY JACK TEENAGE EDITION』(潮見知佳,全2巻)。EDITION vs EDITTION=明白な誤字=同一作。	ISBN確認	qid:Q9310006|name:KEY JACK TEENAGE EDITION	
kindaichi-shounen-no-file-tanpenshuu	merge_all	SAME_TITLE	2	「金田一少年の事件簿」短編集 || 金田一少年の事件簿　短編集		booklive title_id 147953: 『金田一少年の事件簿 短編集』(天樹征丸/さとうふみや,全6巻)。差は鉤括弧「」と全角空白のみ=同一作の表記揺れ。	ISBN確認	qid:Q966701|name:金田一少年の事件簿　短編集	
kuro-no-mirage	merge_all	ORTHO	2	黒のミラージュ || 黒のミラージユ		万里村奈加『黒のミラージュ』(講談社,1985)。ミラージュ(小ュ)とミラージユ(大ユ)の表記/OCR揺れのみの同一作。cmoa/Amazon/bookwalker。	ISBN確認	qid:Q24045825|name:黒のミラージュ	
kyou-kara-ore-wa	merge_all	SAME_TITLE	2	今日から俺は || 今日から俺は!!		西森博之『今日から俺は!!』全38巻クラスの本編。『今日から俺は』(!!無)は同題の表記揺れ・同読みキョウカラオレワ。続編/外伝名なしで同一本編。	ISBN確認	qid:Q1153258|name:今日から俺は!!	
kyuubo-sonchou-san	merge_all	ORTHO	2	〈急募〉村長さん || 【急募】村長さん		両page『〈急募〉村長さん』『【急募】村長さん』は同一題で括弧表記(山括弧/隅付き括弧)のみ差。kana同一・著者共有。括弧スタイルのorthographic差。	ISBN確認	qid:Q11623533|name:〔○急募〕村長さん	REKEYED
la-blue-girl	merge_all	ORTHO	2	La★Blue Girl || ラ・ブルー・ガール		前田俊夫『La☆BlueGirl(ラ・ブルー・ガール)』。Wikipediaは同一作の単行本2形態(リイド社版2巻/シベール版が続刊)として1作扱い。題名・読み・作者一致。ja.wikipedia.org/La☆BlueGirl。	版違い疑い	qid:Q2517702|name:ラ・ブルー・ガール	
made-in-abyss	merge_all	ORTHO	2	Made in Abyss || メイドインアビス		ja.wikipedia.org/wiki/メイドインアビス: つくしあきひと作。Made in Abyss=メイドインアビスのラテン/カナ表記、同一作。	版違い疑い	qid:Q29561711|name:メイドインアビス	
majima-hazeru	merge_all	ORTHO	2	真島、爆ぜる!! || 陣内流柔術流浪伝 真島、爆ぜる!!		にわのまこと『陣内流柔術流浪伝 真島、爆ぜる!!』全21巻(amazon,nihonbungeisha.co.jp)。'真島、爆ぜる!!'はシリーズ名prefix省略の同一作、同kana(15+5整合)。	ISBN確認	qid:Q11274881|name:真島、爆ぜる!!	
makai-sangokushi-kimaira	merge_all	ORTHO	2	魔界三国志chimaera || 魔界三国志キマイラ		両page共に読みマカイサンゴクシキマイラ・同年1995・主題魔界三国志同一で、副題のchimaera(ラテン)⇔キマイラ(カナ)差のみ=同一作の表記揺れ。	ISBN確認	qid:Q3267171|name:魔界三国志chimaera	
mamiana-shijuusoudan	merge_all	ORTHO	2	まみあな四重奏団 || まみなあ四重奏団		shueisha/wikipedia: 槇村さとる『まみあな四重奏団』。『まみなあ』はあ↔な転置の誤字、同読みマミアナシジュウソウダン。同作。	ISBN確認	qid:Q11541939|name:まみあな四重奏団	
manga-yuuenchi	merge_all	SAME_TITLE	2	漫画ゆうえんち || 漫画ゆうえんち		cmoa/ja.wikipedia(夢枕獏): 原作夢枕獏『漫画ゆうえんち』(バキ外伝とは別の本編)。両page=題・著者・読み・巻数4完全一致、年2022/2024差は再版/分割登録=同一作。	ISBN確認	name:夢枕獏|name:漫画ゆうえんち	
megami-ibunroku-persona	merge_all	SAME_TITLE	2	女神異聞録～ペルソナ～ || 女神異聞録ペルソナ		上田信舟『女神異聞録ペルソナ』エニックス(mangapedia,ja.wikipedia)。波ダッシュ有無の同題・同kana・同作者。旧版/新装版の同一作で別作者版は存在せず。	版違い疑い	qid:Q11359703|name:女神異聞録ペルソナ|sub:Be your true mind	
meitantei-hokenshitsu-no-oba-san	merge_all	ORTHO	2	名探偵保健室のオバさん || 名探偵保健室のオバサン		ja.wikipedia『名探偵保健室のオバさん』(宮脇明子)全8巻の単一作。両page=末尾『さん/サン』のひら・カナ表記揺れのみ、読み一致。	ISBN確認	qid:Q11455234|name:名探偵保健室のオバさん	REKEYED
mina-sama-no-omocha-desu	merge_all	ORTHO	2	皆様の玩具(オモチャ)です || 皆様の玩具です		cmoa/ebookjapan: 石井康之『皆様の玩具です』全9巻の単一作。両page=ふりがな括弧(オモチャ)有無のみの違い、著者・読み一致。	ISBN確認	name:石井康之|name:皆様の玩具(オモチャ)です	REKEYED
mujin	merge_all	ORTHO	2	MUJIN～無尽～ || 無尽		岡田屋鉄蔵『MUJIN-無尽-』ヤングキング連載。正式題はMUJIN-無尽-で、一方が短縮題『無尽』。読みムジン一致。ja.wikipedia.org。	ISBN確認	qid:Q22127460|name:MUJIN～無尽～	
murci-lago	merge_all	ORTHO	2	Murcielago || Murciélago		よしむらかな『MURCIÉLAGO -ムルシエラゴ-』ヤングガンガン。Murcielago/Murciélago(アクセント記号有無)の同一作。ja.wikipedia.org/square-enix公式。	版違い疑い	qid:Q24863382|name:Murciélago	
naruto-soushuuhen	merge_all	SAME_TITLE	3	Naruto総集編 || NARUTO総集編 || Naruto総集編		岸本斉史『NARUTO総集編 うずまき大巻』集英社マンガ総集編シリーズ。NARUTO/Naruto表記とカナ揺れのみの同一総集編。kinokuniya/Amazon集英社。	ISBN確認	qid:Q1993|name:Naruto総集編|sub:うずまき大巻	
obotchama-naisu-desune	merge_all	ORTHO	2	お坊ちゃまナイスですね || お坊っちゃまナイスですね		『お坊ちゃま/お坊っちゃまナイスですね』はkana同一(オボッチャマ)で促音っの有無のみ。orthographic差で同一作。	ISBN確認	qid:Q11644242|name:お坊ちゃまナイスですね	
oedo-kunoichi-henge-no-onagi-jikenchou	merge_all	ORTHO	2	お江戸くノ一変化のお梛事件帖 || お江戸くノ一変化のお椰事件帖		魔木子『お江戸くノ一変化のお梛事件帖』(ぶんか社/cmoa title 11131)が正題。『お椰事件帖』は梛→椰のOCR/誤字で同読みオナギ、隣接年(2008/2009)の同一作。	ISBN確認	qid:Q41698730|name:お江戸くノ一変化のお梛事件帖	
okinosawa-graffiti	merge_all	ORTHO	2	沖の澤グラフィティ || 沖ノ澤グラフィティ		庄司陽子『沖ノ澤グラフィティ』(講談社/kc product 30510)が正題。の/ノは助詞の仮名表記揺れ、同読みオキノサワグラフィティの同一作。	ISBN確認	qid:Q5398742|name:沖ノ澤グラフィティ	
oshigoto-desu	merge_all	SAME_TITLE	2	お仕事です! || お仕事です!		両page『お仕事です!』完全同題・kana同一。版違い(巻数5/3)で同一作。	ISBN確認	qid:Q1319777|name:お仕事です!	REKEYED
otona-no-hontou-ni-atta-waraeru-hanashi	merge_all	ORTHO	2	オトナの本当にあった笑える話 || 大人の本当にあった笑える話		ぶんか社『本当にあった笑える話』派生アンソロ。オトナ(カナ)/大人(漢字)は同読み・同2016年の同一題の表記揺れ。別アンソロ線でなく同一タイトル。	ISBN確認	qid:Q11538067|name:大人の本当にあった笑える話	
pineapple-army	merge_all	ORTHO	2	Pineapple army || パイナップルARMY		ja.wikipedia.org/wiki/パイナップルARMY: 浦沢直樹/工藤かずや作。Pineapple army=パイナップルARMYの英/カナ表記揺れ、同一作(全8巻/文庫6巻の版違い)。	ISBN確認	qid:Q3194504|name:パイナップルARMY	
point-d	merge_all	SAME_TITLE	2	Point D || Point・D		Amazon/bookwalker: 伊月慶悟(とんぼはうす作画)『Point D』は秋田書店の単一作、全10巻完結(1989-92)。『Point D』と『Point・D』は中黒有無の表記違い、3巻2004は同作の再刊版。著者・読み一致。	版違い疑い	name:伊月慶悟|name:Point D	
pretty-tough	merge_all	ORTHO	2	PRETTY TOUGH || プリティ・タフ		佐野タカシ『PRETTY TOUGH』全2巻(茜新社,comicspace.jp/title/46038)=『プリティ・タフ』(amazon ISBN4886536417)。同作者・同題のlatin/カナ表記の同一作(成人作)。	版違い疑い	qid:Q11384930|name:PRETTY TOUGH	
princess-lucia	merge_all	ORTHO	2	Princess Lucia || プリンセスルシア		ja.wikipedia.org/wiki/Princess_Lucia & amazon: 瀬尾公治作。Princess Lucia=プリンセスルシアのラテン/カナ表記、同一作。	版違い疑い	qid:Q3089616|name:Princess Lucia	
red-eyes	merge_all	ORTHO	2	red Eyes || レッドアイズ		ja.wikipedia.org/wiki/RedEyes + 講談社/cmoa: 神堂潤の単一作品『redEyes(レッドアイズ)』。両page=同題のラテン表記/カナ表記違いのみ、著者・読み一致。	ISBN確認	name:神堂潤|name:red Eyes	REKEYED
rokunin-no-usotsuki-na-daigakusei-plus-1	merge_all	ORTHO	2	六人の嘘つきな大学生〈プラス1〉 || 六人の噓つきな大学生〈プラス1〉		kadokawa.co.jp: 浅倉秋成原作/大沢形画『六人の嘘つきな大学生【プラス1】』。差は嘘⇔噓の異体字のみ、同一作。	ISBN確認	qid:Q377944|name:六人の嘘つきな大学生〈プラス1〉	
saikyou-mahoushi-no-inton-keikaku	merge_all	SAME_TITLE	2	最強魔法師の隠遁計画 || 最強魔法師の隠遁計画		booklive/cmoa: イズシロ原作の漫画『最強魔法師の隠遁計画』(うおぬまゆう作画)は単一シリーズ。両ページとも『ージ・オルターネイティブー』suffix無し=同一原作漫画。著者・読み・題完全一致の分割記録。	版違い疑い	name:イズシロ|name:最強魔法師の隠遁計画|sub:ジ・オルターネイティブ	
seito-sho-kun-saishuushou-tabidachi	merge_all	SAME_TITLE	2	生徒諸君! 最終章・旅立ち || 生徒諸君!最終章・旅立ち		庄司陽子『生徒諸君！最終章・旅立ち』(ja.wikipedia/全30巻)。両pageの差はスペース有無のみ、同読みで11巻+19巻に分割された同一シリーズ。	ISBN確認	qid:Q5398742|name:生徒諸君!最終章・旅立ち	
