slug	title	edition	our_vol	isbn	rakuten_vol	rakuten_title
warito-yokuaru-danshikou-teki-love-jijou-2	わりとよくある男子校的恋愛事情2	standard	1	9784896016222	2	わりとよくある男子校的恋愛事情（2）
yadamon	ヤダモン	standard	3	9784197700134	2	ヤダモン（2）
yagyuu-hyougonosuke	柳生兵庫助	standard	3	9784845846252	2	柳生兵庫助（2）
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	standard	8	9784022557186	1986	山藤章二のブラック＝アングル（8（1986））
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	standard	9	9784022557193	1987	山藤章二のブラック＝アングル（9（1987））
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	standard	10	9784022557209	1988	山藤章二のブラック＝アングル（10（1988））
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	standard	11	9784022561756	1989	山藤章二のブラック＝アングル（11（1989））
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	standard	12	9784022563033	1990	山藤章二のブラック＝アングル（12（1990））
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	standard	13	9784022564320	1991	山藤章二のブラック＝アングル（13（1991））
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	standard	14	9784022566188	1992	山藤章二のブラック＝アングル（14（1992））
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	standard	15	9784022567376	1993	山藤章二のブラック＝アングル（15（1993））
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	standard	16	9784022568519	1994	山藤章二のブラック・アングル（16（1994））
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	standard	17	9784022569622	1995	山藤章二のブラック・アングル（17（1995））
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	standard	18	9784022571144	1996	山藤章二のブラック・アングル（18（1996））
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	standard	19	9784022572486	1997	山藤章二のブラック・アングル（19（1997））
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	standard	20	9784022573667	1998	山藤章二のブラック・アングル（20（1998））
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	standard	21	9784022574763	1999	山藤章二のブラック・アングル（21（1999））
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	standard	22	9784022575968	2000	山藤章二のブラック・アングル（22（2000））
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	bunkobon	1	9784101237022	1977	山藤章二のブラック＝アングル（1977）
yamamoto-mayuri-special	山本まゆりスペシャル	standard	1	9784785936778	2011	山本まゆりスペシャルRESET（2011）
zoku-adoribu-hakusho	続 アドリブ白書	standard	1	9784592131144	2	続　アドリブ白書（2）
zoku-kizudarake-no-tenshitachi	続 傷だらけの天使たち	standard	1	9784091780799	2	傷だらけの天使たち 2
zoom-in-age-25	ズームインage25	standard	1	9784061753358	25	ズームインage　25
