page	page_title	page_author	n_remove	n_total	would_empty	sample_wrong_isbn	isbn_belongs_to
blazblue	BLAZBLUE	吉岡榊	4	4	YES	9784040701042	ブレイブルー リミックスハート(スメラギ|赤尾でこ)
darker-than-black-okamura-2007	Darker than black	野奇夜	4	4	YES	9784757527065	DARKER THAN BLACK(岡村天斎|岩原裕二)
mahouka-koukou-no-rettousei-2012	魔法科高校の劣等生	きたうみつな	4	8		9784757558038	魔法科高校の劣等生(マジコ!|佐島勤)
tsumitobatsu	罪と罰	手塚治虫	4	5		9784107716347	罪と罰(ドストエフスキー|岩下博)
gi-king	GIキング	河惣益巳	3	3	YES	9784887415010	King(瀬名真紗也)
king-shinmura-2002	King	しんむらけーいちろー	3	3	YES	9784887415010	King(瀬名真紗也)
king-z	キングZ	一峰大二	3	3	YES	9784887415010	King(瀬名真紗也)
joker-1998-3	Joker	野間美由紀	3	3	YES	9784048530118	Joker(河奈マリオ)
valkyrie-profile-2000	VALKYRIE PROFILE	魔神ぐり子	3	4		9784757502895	VALKYRIE PROFILE(佐伯弥四郎)
24colors	24COLORS	千葉コズエ	3	3	YES	9784408431109	COLORS カラーズ(説話社|麻生歩)
box-1991	BOX	池上遼一	3	4		9784088783604	Box(六田登)
complex-kikuchi-2002	COMPLEX	菊池久美子	3	10		9784257723813	コンプレックス(まんだ林檎)
cue	Cue	花見沢Q太郎	3	4		9784091873811	CUE(村上かつら)
elite	エリート	平井和正|桑田二郎	3	3	YES	9784253009997	エリート(吉永啓之輔|岩橋健一郎|)
esper-mami-1996	エスパー魔美	藤子・F・不二雄	3	15		9784091941015	エスパー魔美(小学館ドラえもんルーム)
fire-emblem-thracia-776-2000	ファイアーエムブレム トラキア776	日野慎之助	3	3	YES	9784757502338	FIRE EMBLEMトラキア776(たかなぎ優名)
hakkou-1985	白虹	長岡良子	3	4		9784253097529	白虹(中村理恵)
hayou-no-ken	破妖の剣	厦門潤	3	6		9784088450155	破妖の剣(前田珠子|松元陽|馬場美)
isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	異世界に来たみたいだけど如何すれば良いのだろう	森ゆきなつ	3	5		9784344852723	異世界に来たみたいだけど如何すれば良いの(天野こひつじ|白石新)
karate-baka-ichidai	空手バカ一代	影丸穣也|影丸譲也とJ・Kプロ	3	23		9784061010017	空手バカ一代(つのだじろう|梶原一騎)
kiss-2014	キス	森田ゆき	3	4		9784086188388	Kissxxxx(楠本まき)
mint-1997	MINT	池谷理香子	3	3	YES	9784086188999	眠兎(浅田弘幸)
partner	PARTNER	名香智子	3	33		9784091690425	パートナー(麻乃真純)
pure-1993	純愛	深見じゅん	3	4		9784088755014	Pure(會川昇|柿本ケンジロウ)
refrain-1988	リフレイン	ささやななえこ	3	4		9784061021594	Rifrein(岡田ユキオ)
ringo-takamochi	リンゴ	たかもちげん	3	3	YES	9784063366822	Ringo(こいおみなと)
spotlight	スポットライト	里中満智子	3	6		9784063757521	スポットライト(鳴海涼)
spotlight-miura-2021	スポットライト	三浦風	3	3	YES	9784063757521	スポットライト(鳴海涼)
face	フェイス	ゆきもりりょう	2	2	YES	9784882717249	Face(逢坂みや)
face-1992	Face	六本木綾	2	2	YES	9784882717249	Face(逢坂みや)
face-2019	フェイス	サカワキヒロ太	2	2	YES	9784882717249	Face(逢坂みや)
ginga-tetsudou-no-yoru	銀河鉄道の夜	ますむらひろし	2	3		9784052057779	銀河鉄道の夜(Teamバンミカス|宮沢)
ginga-tetsudou-no-yoru-miyazawa-1992	銀河鉄道の夜	松田一輝	2	2	YES	9784052039201	銀河鉄道の夜(宮沢賢治|木野陽)
gingatetsudou-no-yoru	銀河鉄道の夜	北原文野|永島慎二|石原はるひこ	2	3		9784052039201	銀河鉄道の夜(宮沢賢治|木野陽)
joker-2012	JOKER	上杉可南子	2	3		9784048530118	Joker(河奈マリオ)
valkyrie-profile	VALKYRIE PROFILE	藍山恵	2	5		9784757502895	VALKYRIE PROFILE(佐伯弥四郎)
x-men	X-MEN		2	7		9784796873390	X-MEN(HickmanJonat)
aya-2004	絢	やまねあやの	2	2	YES	9784812414811	Aya(克・亜樹)
comic-tulip	コミックチューリップ	おおや舞	2	5		9784803310627	コミックチューリップ(よりちかびびる)
doll-2000	DOLL	緒方剛志	2	2	YES	9784063145649	Doll(岡戸達也)
genji-monogatari-miyagi-2010	源氏物語	真崎春望	2	2	YES	9784051002640	源氏物語(赤塚不二夫)
gift-2002	ギフト	中村かなこ	2	2	YES	9784063191080	Gift(秋本尚美)
gift-2012	gift	塩森恵子	2	2	YES	9784063191080	Gift(秋本尚美)
home	HOME	内田春菊	2	3		9784088472591	ホーム(上田倫子|創美社)
home-sugihara-2010	HOME	杉原マチコ	2	2	YES	9784088472591	ホーム(上田倫子|創美社)
tales-of-destiny-inomata-2000	Tales of Destiny	杉基イクラ	2	6		9784757503991	Tales of Destiny(佐伯弥四郎)
crusader-kawaso-2002	クルセイダー	河惣益巳	2	2	YES	9784403611865	Crusader(水縞とおる)
desire-1989	デザイアー	森園みるく	2	2	YES	9784756714015	Desire(金沢有倖)
egao-no-yukue-2003	笑顔の行方	逢沢雪名	2	2	YES	9784596979070	笑顔の行方(SalaSharon|瀧)
fight-1996	ファイト!	国樹由香	2	2	YES	9784408430584	Fight!(説話社|阿部ゆたか)
gadget	がじぇっと	衛藤ヒロユキ	2	3		9784048529280	Gadget(わたなべ京|佐野まさき)
get-azuma-1999	GET!	東まゆみ	2	2	YES	9784756713322	Get!(金沢有倖)
gift-2009	ぎふと	山田J太	2	2	YES	9784047138490	Gift(ONE|ユキヲ)
gym-2000	ジム	池上遼一	2	2	YES	9784091840318	Gym(柳沢きみお)
hai-time	はい Time	耕野裕子	2	3		9784088654133	High(渡辺未知|登坂恵里香)
hataraku-onee-san	はたらくおねえさん	後藤ユタカ	2	4		9784088473819	はたらくおねえさん(細井玲子)
joker-1998-2	JOKER	野村あきこ	2	3		9784061753228	Joker(森谷幸子)
joker-2000-2	ジョーカー	万里村奈加	2	3		9784061753228	Joker(森谷幸子)
junk-2005	ジャンク	ゆみみ	2	2	YES	9784063140798	JUNK(土光てつみ|戸井十月)
k-shitsuki-1988	K	谷口ジロー	2	4		9784063806205	K(GoHands|GoRA)
karen	Karen	やぶうち優	2	9		9784091350398	花恋(刑部真芯)
koori-no-joou-2013	氷の女王	真崎春望	2	2	YES	9784063418965	氷の女王(リカチ|佐藤千恵)
kurotokage-2019	黒トカゲ	森下裕美	2	2	YES	9784061082106	黒とかげ(江戸川乱歩|高階良子)
last-order-2000	ラストオーダー	高田裕三	2	3		9784065208182	ラストオーダー(ひいろ莎々|浜松春日)
majuugari	魔獣狩り	葉月秋子	2	3		9784253148924	魔獣狩り(夢枕獏|青木雅彦)
step-mother	Stepマザー	萩森千聖	2	2	YES	9784796297301	Mother(工藤かずや|秋原龍彦)
otome-wa-boku-ni-koishiteru	乙女はお姉さまに恋してる	あらきかなお	2	3		9784041200612	乙女はお姉さまに恋してる(ういらあくる|キャラメル)
perman	パーマン	藤子・F・不二雄	2	16		9784124101942	パーマン(藤子不二雄)
romanshingu-saga	ロマンシング サ・ガ2	面堂かずき	2	3		9784197900039	Romancing sa・ga(紺野さおり)
samurai-spirits-1995	SAMURAI SPIRITS	石川賢	2	3		9784063217186	サムライスピリッツ(島本和彦)
steins-gate-2011	しゅたいんず・げーと!	nini	2	3		9784840133272	シュタインズ・ゲート(5pb.|さらちよみ|ニ)
tales-of-the-abyss-2006	テイルズオブジアビス	遠藤久美子	2	2	YES	9784048543842	テイルズオブジアビス(バンダイナムコゲームス|)
to-heart-2	To heart 2	御形屋はるか	2	5		9784757523401	To heart 2(AQUAPLUS|きたう)
trinity-seven	トリニティセブン	奈央晃徳	2	21		9784040738390	トリニティセブン アナスタシア聖伝(Bcoca|サイトウケン)
tsuukaa	つうかあ	入江紀子	2	2	YES	9784040696508	つうかあ(しのはらしのめ)
venus-2015	ヴィーナス	麻生歩	2	2	YES	9784845805594	Venus(関口シュン)
you-2003	陽	上条明峰	2	2	YES	9784063194333	YOH(菊池としを)
15sai	15才	あさぎ龍	1	3		9784575817027	Sigh(矢島正雄|遊人)
16-sai-kiss	16歳KISS	宮坂香帆	1	1	YES	9784575817027	Sigh(矢島正雄|遊人)
17sai	17歳	清水洋三	1	2		9784575817027	Sigh(矢島正雄|遊人)
19sai	19歳	北川夕夏	1	1	YES	9784575817027	Sigh(矢島正雄|遊人)
27sai	27歳	わたなべ志穂	1	1	YES	9784575817027	Sigh(矢島正雄|遊人)
sai-1998	彩	いのまたむつみ	1	1	YES	9784575817027	Sigh(矢島正雄|遊人)
sai-2002	彩	小畑健	1	1	YES	9784575817027	Sigh(矢島正雄|遊人)
doraemon-1994	ドラえもん	藤子・F・不二雄	1	1	YES	9784091940018	ドラえもん(たてかべ和也|よこざわけ)
joker	JOKER	道原かつみ	1	12		9784048530880	Joker(河奈マリオ)
aya	AYA	速水翼	1	3		9784812414811	Aya(克・亜樹)
doll-1996	DOLL	惣領冬実	1	2		9784063145946	Doll(岡戸達也)
gegege-no-kitarou	ゲゲゲの鬼太郎	ラルフ・マッカーシー|松本しげのぶ	1	39		9784061004894	ゲゲゲの鬼太郎(水木プロ)
genji-monogatari-2023	源氏物語	Teamバンミカス|紫式部平安中期	1	2		9784051002640	源氏物語(赤塚不二夫)
genji-monogatari-masaki-1983	源氏物語	赤塚不二夫	1	2		9784052058622	源氏物語(Teamバンミカス|紫式)
gifuu-doudou-naoe-kanetsugu-maeda-deka-hanagatari	義風堂々!!直江兼続-前田慶次花語り	出口真人	1	12		9784199802287	義風堂々!!(八津弘幸|原哲夫|堀江信)
ginga-tetsudou-no-yoru-2023	銀河鉄道の夜	Teamバンミカス	1	2		9784052039201	銀河鉄道の夜(宮沢賢治|木野陽)
joker-yamane-1997	JOKER	山根和俊	1	3		9784575334838	JOKER(上杉可南子|斎田晴子)
star-ocean-second-story	スターオーシャン セカンドストーリー	天麻灯	1	2		9784757503724	スターオーシャン セカンドストーリー(竜騎らみゅー)
star-ocean-sekando-story	スターオーシャン セカンドストーリー	魔神ぐり子	1	2		9784757503724	スターオーシャン セカンドストーリー(竜騎らみゅー)
star-ocean-the-second-story	スターオーシャン セカンドストーリー	東まゆみ	1	7		9784757503724	スターオーシャン セカンドストーリー(竜騎らみゅー)
takeda-shingen-1987	武田信玄	小島剛夕|小池一夫	1	7		9784063703160	風林火山 武田信玄(井上靖|宮崎惇|横山まさ)
takeda-shingen-1988	武田信玄	田辺節雄	1	2		9784063703160	風林火山 武田信玄(井上靖|宮崎惇|横山まさ)
takeda-shingen-2023	武田信玄	佐藤修弘|木村栄志|深谷陽	1	2		9784063703160	風林火山 武田信玄(井上靖|宮崎惇|横山まさ)
angel	Angel	遊人	1	13		9784091326768	エンジェル(高瀬由香)
bad-blood	BAD BLOOD	尾崎南	1	2		9784916085375	バッドブラッド(松森正|狩撫麻礼)
catwalk	キャットウォーク	けろりん	1	1	YES	9784885705342	CAT WALK(佐多みさき)
cinderella-2004	シンデレラ	寺館和子	1	2		9784575724318	シンデレラ(村崎百郎|森園みるく|西)
comic-higashino-keigo-mystery-2014	コミック東野圭吾ミステリー	松枝尚嗣	1	2		9784253249393	コミック東野圭吾ミステリー(オキモト・シュウ|東野圭)
cool	COOL	許斐剛	1	6		9784088641461	Cool(桜沢エリカ)
cue-2004	CUE	村上かつら	1	4		9784091574916	Cue(花見沢Q太郎)
yu-no-hana-tubame	湯の花つばめ	こなみ詔子	1	4		9784049247268	大都会にほえろ(楠桂)
doubles-1992	Doubles	小谷憲一	1	2		9784088492940	ダブルス(佐野未央子)
doubles-1987	ダブルス	佐野未央子	1	2		9784088717555	Doubles(小谷憲一)
fire-emblem-fuyuki-1999	ファイアーエムブレム	冬季ねあ	1	5		9784894250475	ファイアーエムブレム(しまんだきよの|吉田裕之)
fire-emblem-nintendo-1996	ファイアーエムブレム	うさ銀太郎	1	12		9784894250475	ファイアーエムブレム(しまんだきよの|吉田裕之)
fukkokuban-shounen-magazine-dai-zenshuu	復刻版少年マガジン大全集	ジョージ秋山	1	2		9784063131888	復刻版少年マガジン大全集(杉田健一)
fukkokuban-shounen-magazine-daizenshuu	復刻版少年マガジン大全集	赤塚不二夫	1	2		9784063131888	復刻版少年マガジン大全集(杉田健一)
gakkou-no-kaidan-koga-1994	学校の怪談	古賀新一	1	2		9784253128131	学校の怪談(破邪)
girl	ガール	早坂いあん	1	2		9784063028225	Girl(真柴ひろみ)
girl-1990	Girl	真柴ひろみ	1	2		9784063406689	ガール(奥田英朗|早坂いあん)
pastel-kazoku	パステル家族	セイ	1	15		9784575850550	ゴルフ・人生(いけうち誠一)
high	High	渡辺未知	1	3		9784088600536	はい Time(耕野裕子)
hal-ayase-2017	ハル	hal	1	2		9784088670560	Hal(牧野あおい)
kantai-collection-kancolle-4-koma-comic	艦隊これくしょん-艦これ-4コマコミック		1	7		9784047346963	艦隊これくしょん-艦これ-4コマコミック(角川ゲームス)
kantai-collection-kancolle-4-koma-comic-fubuki-ganbarimasu	艦隊これくしょん-艦これ-4コマコミック 吹雪、	「艦これ」運営鎮守府	1	9		9784047346963	艦隊これくしょん-艦これ-4コマコミック(角川ゲームス)
kibun-wa-mou-sensou-2002	気分はもう戦争	藤原カムイ	1	2		9784047133877	気分はもう戦争(大友克洋|矢作俊彦)
kochira-katsushikaku-kameari-kouen-mae-hashutsujo	こちら葛飾区亀有公園前派出所	秋本治	1	9		9784087030327	こちら葛飾区亀有公園前派出所(小山高生)
kochira-katsushikaku-kameari-kouenmae-hashutsujo	こちら葛飾区亀有公園前派出所	吉村作治|秋本治	1	226		9784087030327	こちら葛飾区亀有公園前派出所(小山高生)
kouya-hijiri	高野聖	田辺節雄	1	2		9784324090145	高野聖(杲栄順|泉鏡花)
mahouka-koukou-no-rettousei-2018	魔法科高校の劣等生	マジコ!	1	7		9784757591271	魔法科高校の劣等生(佐島勤|竹田羽角)
mahouka-koukou-no-rettousei	魔法科高校の劣等生	柚木N'|蒼和伸	1	8		9784049161670	魔法科高校の劣等生(佐島勤)
mazinger-z	マジンガーZ	ダイナミックプロダクション|ダイナミック	1	9		9784063300727	Mazinger(永井豪)
meitantei-conan-tokubetsuhen-2016	名探偵コナン 特別編	太田勝|窪田一裕	1	15		9784091404152	名探偵コナン特別編(丸伝次郎|平良隆久|阿部)
oz-itsuki-2004	OZ	樹なつみ	1	10		9784840137898	Oz(刻夜セイゴ|岩井恭平)
peace-2004	Peace	橋本勝	1	1	YES	9784894862173	PEACE(えのもと椿)
peace-mashuko	PEACE	摩周子	1	3		9784894862173	PEACE(えのもと椿)
pure	Pure	柿本ケンジロウ	1	4		9784088622392	純愛(深見じゅん)
real-kiss-2014	リアルキス	小純月子	1	1	YES	9784091316462	Real kiss(宮坂香帆)
rifrein	Rifrein	岡田ユキオ	1	4		9784061754843	リフレイン(ささやななえこ)
ri-zero-kara-hajimeru-isekai-seikatsu	Re:ゼロから始める異世界生活		1	12		9784040678283	Re:ゼロから始める異世界生活(マツセダイチ|長月達平)
ring-1996	リング	永井幸二郎	1	3		9784048530408	リング(稲垣みさお|鈴木光司|高)
ring-suzuki-2005	リング	MEIMU	1	2		9784048530408	リング(稲垣みさお|鈴木光司|高)
romancing-saga	Romancing sa・ga	紺野さおり	1	3		9784197900091	ロマンシング サ・ガ2(葉月まゆみ|面堂かずき)
sakura-2020	さくら	フクシマハルカ	1	1	YES	9784887741140	Sakura(いずみきょうた)
sakura-moon	桜moon	吉村明美	1	2		9784887741140	Sakura(いずみきょうた)
samurai-7	SAMURAI 7	浅野まいこ	1	3		9784063722741	Samurai 7(周防瑞孝|黒澤明)
samurai-japan	さむらいJapan	ダイナミックプロダクション|永井豪	1	2		9784063722741	Samurai 7(周防瑞孝|黒澤明)
samurai-spirits	サムライスピリッツ	島本和彦	1	3		9784063196610	SAMURAI SPIRITS(石川賢)
sengoku-jieitai-2014	戦国自衛隊	森秀樹	1	5		9784418085040	戦国自衛隊(半村良|田辺節雄)
sleeping-beauty-yoshikawa-2003	スリーピングビューティー	吉川新	1	4		9784775500866	Sleeping beauty(芳崎せいむ)
the-combat	ザ・コンバット	望月三起也	1	2		9784257900757	ザ・コンバット(南聖二)
the-konbatto	ザ・コンバット	あさりよしとお	1	2		9784257900757	ザ・コンバット(南聖二)
ultra-seven	ウルトラセブン	桑田二郎	1	3		9784775910184	ウルトラセブン(一峰大二)
wonder-three	WONDER THREE	貴島煉瓦	1	5		9784061087415	W3(手塚治虫)
zero-matsumoto	ZERO	松本大洋	1	4		9784344834347	ZERO(冬目景)
