idx	title	seg	cur_slug	new_slug	conf	changed	flag	note
16	ラッキードッグ1 BLAST	ラッキードッグ ワン ブラスト	rakkiidoggu-wan-burasuto	rakkiidoggu-1-blast	OK	CHANGED		OK: ラッキードッグ=和製カナ固有名rakkiidoggu。隣接数字1 keep。BLAST→字面blast
17	ラッキードッグ1BLAST	ラッキードッグ ワン ブラスト	rakkiidoggu-wan-burasuto	rakkiidoggu-1-blast	OK	CHANGED		OK: idx16同一作(空白なし表記)。1 keep、BLAST字面
18	Lv 1魔王とワンルーム勇者	レベル ワン マオウ ト ワンルーム ユウシャ	reberu-wan-mao-to-wanrumu-yusha	lv-1-mao-to-wanrumu-yusha	OK	CHANGED		OK: Lv 1→ラテンrun字面lv-1。魔王とワンルーム勇者→mao-to-wanrumu-yusha(ワンルーム=room部音不完全一致だが和製カナ→ヘボンwanrumu)
19	Lv 1魔王とワンルーム勇者	Lv 1 マオウ ト ワンルーム ユウシャ	lv-1-mao-to-wanrumu-yusha	lv-1-mao-to-wanrumu-yusha	OK			OK: idx18同一作。Lv 1字面、以下同
20	Fate/Grand Order-Epic of Remnant-亜種特異点2伝承地底世界アガルタ アガルタの女	フェイト グランド オーダー エピック オブ レムナント アシュ トクイテン ニ デンショウ チテイ セカイ アガルタ アガルタ ノ オンナ	feito-gurando-odaa-epikku-obu-remunanto-ashu-tokuiten-ni-densho-chitei-sekai-agaruta-agaruta-no-onna	fate-grand-order-epic-of-remnant-ashu-tokuiten-2-densho-chitei-sekai-agaruta-agaruta-no-onna	OK	CHANGED		OK: Fate/Grand Order-Epic of Remnant-→字面(/と-をハイフン)。亜種特異点=ashu-tokuiten、点2隣接数字keep。伝承地底世界アガルタ等ヘボン
21	Fate/Grand Order-Epic of Remnant-亜種特異点3/亜種並行世界 屍山血河舞台 下総国 英霊剣豪七番勝負	フェイト グランド オーダー エピック オブ レムナント アシュ トクイテン サン アシュ ヘイコウ セカイ シザン ケツガ ブタイ シモウサノクニ エイレイ ケンゴウ ナナバン ショウブ	feito-gurando-odaa-epikku-obu-remunanto-ashu-tokuiten-san-ashu-heiko-sekai-shizan-ketsuga-butai-shimosanokuni-eirei-kengo-nanaban-shobu	fate-grand-order-epic-of-remnant-ashu-tokuiten-3-ashu-heiko-sekai-shizan-ketsuga-butai-shimosanokuni-eirei-kengo-nanaban-shobu	OK	CHANGED		OK: 同シリーズ。特異点3/亜種→3-ashu(/ハイフン,数字keep)。以下ヘボン
22	プリズマ☆イリヤ3rei!!	プリズマ イリヤ ドライ	purizuma-iriya-dorai	purizuma-iriya-3rei	OK	CHANGED		OK: プリズマ☆イリヤ→purizuma-iriya(☆除去,和製カナ)。3rei!!→ラテンrun字面3rei(!除去)
23	ぼくらの17-ON!	ボクラ ノ ジュウナナ オン	bokura-no-junana-on	bokura-no-17-on	OK	CHANGED		OK: ぼくらの→bokura-no。17-ON!→ラテンrun字面17-on(!除去)
24	機動戦士ガンダム第08MS小隊	キドウ センシ ガンダム ダイ ゼロハチ エムエス ショウタイ フィルムコミック	kido-senshi-gandamu-dai-zerohachi-emuesu-shotai-firumukomikku	kido-senshi-gandamu-dai-08-ms-shotai	OK	CHANGED		OK: 機動戦士ガンダム→kido-senshi-gandamu(和製固有名)。第08MS小隊→dai-08-ms-shotai(08はラテンrun字面、MS字面)。segのフィルムコミック=字面題に無く除外
25	ペルソナ4 4コマkings	ペルソナ フォー ヨンコマ キングス	perusona-fo-yonkoma-kingusu	perusona-4-4-komakingusu	OK	CHANGED		OK: ペルソナ4→perusona-4(和製カナ,数字keep)。4コマkings→4-koma...だがkingsはラテン字面→正しくは4-koma-kings。seg音写kingusu抑制
26	ペルソナ4 4コマKINGS	ペルソナ 4 4コマ kings	perusona-4-4koma-kings	perusona-4-4-koma-kings	OK	CHANGED		OK: idx25同一作の別表記。4コマKINGS→4-koma-kings(KINGSラテン字面)
27	ペルソナQシャドウオブザラビリンスSide:P4	ペルソナ キュー シャドウ オブ ザ ラビリンス サイド ピー フォー	perusona-kyu-shado-obu-za-rabirinsu-saido-pii-fo	perusona-q-shado-obu-za-rabirinsu-side-p4	OK	CHANGED		OK: ペルソナQ→perusona-q(Q字面)。シャドウオブザラビリンス=和製カナヘボン。Side:P4→ラテンrun字面side-p4(:ハイフン)
28	男と女の2DK	オトコ ト オンナ ノ 2DK	otoko-to-onna-no-2dk	otoko-to-onna-no-2dk	OK			OK: 男と女の→otoko-to-onna-no。2DK→ラテンrun字面2dk
29	王子さまlv 1	オウジサマ レベル ワン	oji-sama-reberu-wan	oji-sama-lv-1	OK	CHANGED		OK: 王子さま→oji-sama(オウジサマ長音落とし)。lv 1→ラテンrun字面lv-1
30	ワイルドアームズ2ndイグニッション 4コママンガ劇場	ワイルド アームズ 2nd イグニッション 4コマ マンガ ゲキジョウ	wairudo-aamuzu-2nd-igunisshon-4koma-manga-gekijo	wild-arms-2nd-igunisshon-4-koma-manga-gekijo	OK	CHANGED		OK: ワイルドアームズ=公式英題wild-arms(読み一致)。2nd字面。イグニッション=和製カナヘボンigunisshon。4コママンガ劇場→4-koma-manga-gekijo
31	大図書館の羊飼い Library 4 you	ダイトショカン ノ ヒツジカイ library 4 you	daitoshokan-no-hitsujikai-library-4-yo	daitoshokan-no-hitsujikai-library-4-you	OK	CHANGED		OK: 大図書館の羊飼い→daitoshokan-no-hitsujikai。Library 4 you→ラテンrun字面library-4-you
32	スライムは最強たる可能性を秘めている～2回目の人生、ちゃんとスライムと向き合います～@COMIC	スライム ワ サイキョウ タル カノウセイ ヲ ヒメテ イル ニカイメ ノ ジンセイ チャント スライム ト ムキアイマス コミック	suraimu-wa-saikyo-taru-kanosei-wo-himete-iru-nikaime-no-jinsei-chanto-suraimu-to-mukiaimasu-komikku	suraimu-wa-saikyo-taru-kanosei-wo-himete-iru-nikaime-no-jinsei-chanto-suraimu-to-mukiaimasu-comic	OK	CHANGED		OK: 全日本語ヘボン(ヲ→wo、2回目隣接数字keep)。@COMIC→ラテンrun comic
33	機動戦士クロスボーン・ガンダムX-11	キドウ センシ クロスボーン ガンダム エックス イレブン	kido-senshi-kurosubon-gandamu-ekkusu-irebun	kido-senshi-kurosubon-gandamu-x-11	OK	CHANGED		OK: 機動戦士クロスボーン・ガンダム→kido-senshi-kurosubon-gandamu(・ハイフン,和製カナ)。X-11→ラテンrun字面x-11
34	5★G★B-ファイブ・ジーナー・ブラザーズ-	ファイブ ジーナー ブラザーズ	faibu-jiinaa-burazaazu	5-g-b-faibu-jiinaa-burazaazu	OK	CHANGED		OK: 5★G★B→ラテンrun字面(★除去→5-g-b)。-ファイブ・ジーナー・ブラザーズ-=和製カナ読みヘボンfaibu-jiinaa-burazaazu(音英不一致)
35	戦国BASARA3 -Bloody Angel-	センゴク バサラ スリー ブラッディ エンジェル	sengoku-basara-surii-buraddei-enjieru	sengoku-basara-3-bloody-angel	OK	CHANGED		OK: 戦国BASARA→sengoku-basara(BASARAラテン字面)。3隣接数字keep。-Bloody Angel-→ラテンrun字面bloody-angel
36	DQ4コマドラゴンクエストⅢそして伝説へ…	ディーキュー ヨンコマ ドラゴン クエスト スリー ソシテ デンセツ エ	diikyu-yonkoma-doragon-kuesuto-surii-soshite-densetsu-e	dq-4-komadoragon-kuesuto-3-soshite-densetsu-e	OK	CHANGED		OK: DQ→ラテンrun字面dq。4コマ→4-koma。ドラゴンクエストⅢ=和製カナheボンdoragon-kuesuto、Ⅲ→3。そして伝説へ…→soshite-densetsu-e。注:seg音写整理しkoma独立
37	ドラゴンクエスト1Pコミック劇場	ドラゴンクエスト ワン ピー コミック ゲキジョウ	doragonkuesuto-wan-pii-komikku-gekijo	doragonkuesuto-1p-comic-gekijo	OK	CHANGED		OK: ドラゴンクエスト=和製カナdoragonkuesuto。1Pコミック劇場→1Pはラテンrun字面1p、コミック?字面題はコミック日本語カナ→comic音一致採用、劇場gekijo
38	保留荘の奴ら season1	ホリュウソウ ノ ヤツラ	horyuso-no-yatsura	horyuso-no-yatsura-season1	OK	CHANGED		OK: 保留荘の奴ら→horyuso-no-yatsura(ホリュウソウ長音落とし)。season1→ラテンrun字面season1
39	ゲームギャグ1Pコミック	ゲーム ギャグ 1P コミック	geemu-gyagu-1p-komikku	geemu-gyagu-1p-comic	OK	CHANGED		OK: ゲームギャグ→geemu-gyagu(和製カナヘボン)。1Pコミック→1Pラテン字面1p、コミック→comic音一致
40	Angel Beats! the 4コマ	Angel beats the 4コマ	angel-beats-the-4koma	angel-beats-the-4-koma	OK	CHANGED		OK: Angel Beats! the→字面angel-beats-the。4コマ→4-koma
41	**(はな)とキス付き2DK	ハナ ト キスツキ ニディーケー	hana-to-kisutsuki-nidiikee	hana-to-kisu-tsuki-2dk	OK	CHANGED		OK: **(はな)→hana(記号除去,フリガナ)。とキス付き→to-kisu-tsuki。2DK→ラテンrun字面2dk
42	PSYCHO-PASS サイコパス 3	サイコパス スリー	saikopasu-surii	psycho-pass-3	OK	CHANGED		OK: latin PSYCHO-PASS=psycho-pass; サイコパスは英語の日本語表記の重複なので英綴り採用; 数字3 keep
43	PSYCHO-PASS サイコパス 3 FIRST INSPECTOR	サイコパス サン ファースト インスペクター	saikopasu-san-faasuto-insupekutaa	psycho-pass-3-first-inspector	OK	CHANGED		OK: psycho-pass + 数字3 + latin FIRST INSPECTOR=first-inspector
44	SD頑駄無 武者○伝3	エスディー ガンダム ムシャ マルデン スリー	esudii-gandamu-musha-maruden-surii	sd-gundam-musha-maruden-3	OK	CHANGED		OK: latin SD=sd; 頑駄無=ガンダム公式ローマ字gundam; 武者=musha; ○伝=マルデンmaruden(○=丸maru); 数字3 keep
45	機動戦士ガンダム0083 REBELLION	キドウ センシ ガンダム ダブルオー エイティスリー リベリオン	kido-senshi-gandamu-daburuo-eiteisurii-riberion	kido-senshi-gundam-0083-rebellion	OK	CHANGED		OK: 機動戦士=kido-senshi(長音落とし); ガンダム=gundam; 0083=latin字面; REBELLION=rebellion
46	アイドルマスター2 Colorful Days	アイドル マスター 2 カラフル デイズ	aidoru-masutaa-2-karafuru-deizu	idolmaster-2-colorful-days	OK	CHANGED		OK: アイドルマスター=英語音写idol master→idolmaster; 数字2 keep; Colorful Days=colorful-days
47	2ndバージンのじょうずな捨て方	セカンド バージン ノ ジョウズ ナ ステカタ	sekando-baajin-no-jozu-na-sutekata	2nd-virgin-no-jozu-na-sutekata	OK	CHANGED		OK: latin 2nd; バージン=英語音写virgin; の=no; じょうず=jozu(長音落とし); な=na; 捨て方=sutekata
48	濡れトロ3P	ヌレトロ サンピー	nuretoro-sanpii	nuretoro-3p	OK	CHANGED		OK: 濡れトロ=nuretoro; 3P=latin字面→3p
49	PSO2ニュージェネシスせんとらるっ!	ピーエスオーツー ニュー ジェネシス セントラル	piiesuotsu-nyu-jieneshisu-sentoraru	pso2-new-genesis-central	OK	CHANGED		OK: PSO2=latin字面; ニュージェネシス=公式英題New Genesis; せんとらる=英語central音写(ひらがな表記)
50	戦場のヴァルキュリア2 our only days	センジョウ ノ ヴァルキュリア ツー アワー オンリー デイズ	senjo-no-varukyuria-tsu-awaa-onrii-deizu	senjo-no-valkyria-2-our-only-days	OK	CHANGED		OK: 戦場=senjo; の=no; ヴァルキュリア=公式Valkyria; 数字2 keep; our only days=our-only-days
51	GRAVITY DAZE2 重力的眩暈追想譚	グラビティ デイズ ツー ジュウリョクテキ ゲンウン ツイソウ タン	gurabitei-deizu-tsu-juryokuteki-genun-tsuiso-tan	gravity-daze-2-juryokuteki-genun-tsuiso-tan	OK	CHANGED		OK: GRAVITY DAZE=latin字面; 数字2 keep; 重力的=juryokuteki; 眩暈=genun; 追想譚=tsuiso-tan(長音落とし)
52	キューティーハニー90's激闘伝説	キューティー ハニー ナインティーズ ゲキトウ デンセツ	kyuteii-hanii-nainteiizu-gekito-densetsu	cutie-honey-90s-gekito-densetsu	OK	CHANGED		OK: キューティーハニー=公式英題Cutie Honey; 90's=latin字面→90s(アポストロフィ除去); 激闘=gekito; 伝説=densetsu
53	1Fの騎士	イッカイ ノ キシ	ikkai-no-kishi	1f-no-kishi	OK	CHANGED		OK: 1F=latin字面→1f(segのイッカイは音写なので不使用); の=no; 騎士=kishi
54	GALS POLICE24時	GALS POLICE24ジ	gals-police24ji	gals-police24-ji	OK	CHANGED		OK: GALS POLICE24=latin run字面(空白→hyphen,24はPOLICE隣接)→gals-police24; 時=ji
55	転生難民少女は市民権を0から目指して働きます!@COMIC	テンセイ ナンミン ショウジョ ワ シミンケン ヲ ゼロ カラ メザシテ ハタラキマス コミック	tensei-nanmin-shojo-wa-shiminken-wo-zero-kara-mezashite-hatarakimasu-komikku	tensei-nanmin-shojo-wa-shiminken-wo-0-kara-mezashite-hatarakimasu-comic	OK	CHANGED		OK: 純和語ヘボン; を=wo; 数字0 keep; @COMIC=latin→comic(@除去)
56	天使の3P!	テンシ ノ スリーピース	tenshi-no-suriipiisu	tenshi-no-3p	OK	CHANGED		OK: 天使=tenshi; の=no; 3P=latin字面→3p
57	天使の3P!の3P!!	テンシ ノ スリーピース ノ サンページ	tenshi-no-suriipiisu-no-sanpeeji	tenshi-no-3p-no-3p	OK	CHANGED		OK: 天使=tenshi; の=no; 両3Pとも字面latin→3p(2つ目segはサンページ wordplay だが字面優先)
58	「雑魚には鍛冶がお似合いだwww」と言われた鍛冶レベル9999の俺、追放されたので冒険者に転職する	ザコ ニワ カジ ガ オニアイ ダ ト イワレタ カジ レベル キュウセン キュウヒャク キュウジュウキュウ ノ オレ ツイホウ サレタ ノデ ボウケンシャ ニ テンショク スル	zako-niwa-kaji-ga-oniai-da-to-iwareta-kaji-reberu-kyusen-kyuhyaku-kyujukyu-no-ore-tsuiho-sareta-node-bokensha-ni-tenshoku-suru	zako-niwa-kaji-ga-oniai-da-www-to-iwareta-kaji-reberu-9999-no-ore-tsuiho-sareta-node-bokensha-ni-tenshoku-suru	OK	CHANGED		OK: 純和語ヘボン; www=latin字面; 9999=latin字面(レベル数字keep)
59	新世紀エヴァンゲリオン鋼鉄のガールフレンド2nd4コママンガ劇場	シンセイキ エヴァンゲリオン コウテツ ノ ガールフレンド セカンド ヨンコマ マンガ ゲキジョウ	shinseiki-evangerion-kotetsu-no-gaarufurendo-sekando-yonkoma-manga-gekijo	shinseiki-evangelion-kotetsu-no-girlfriend-2nd-4-koma-manga-gekijo	OK	CHANGED		OK: 新世紀=shinseiki; エヴァンゲリオン=公式ローマ字evangelion(造語); 鋼鉄=kotetsu; ガールフレンド=英語音写girlfriend; 2nd=latin; 4コマ=4-koma; マンガ=manga; 劇場=gekijo
60	133cmの景色	ヒャクサンジュウサン センチ ノ ケシキ	hyakusanju-san-senchi-no-keshiki	133cm-no-keshiki	OK	CHANGED		OK: 133cm=latin run字面; の=no; 景色=keshiki
61	異世界クラス召喚されたらR1〇のスキルを獲得したので、〇りたい放題させてもらいます!	イセカイ クラス ショウカン サレタラ アール ジュウハチ ノ スキル ヲ カクトク シタ ノデ ヤリタイ ホウダイ サセテ モライマス	isekai-kurasu-shokan-saretara-aaru-juhachi-no-sukiru-wo-kakutoku-shita-node-yaritai-hodai-sasete-moraimasu	isekai-kurasu-shokan-saretara-r1-no-sukiru-wo-kakutoku-shita-node-yaritai-hodai-sasete-moraimasu	OK	CHANGED		OK: R1〇(=R18伏字)latin→r1(〇除去); クラス=kurasu; を=wo; 〇りたい=yaritai(伏字復元); 残り純和語/カタカナ
62	LV999の村人	レベル キュウヒャクキュウジュウキュウ ノ ムラビト	reberu-kyuhyakukyujukyu-no-murabito	lv999-no-murabito	OK	CHANGED		OK: LV999=latin run字面→lv999; の=no; 村人=murabito
63	機動戦士ガンダムF90クラスター	キドウ センシ ガンダム エフ キュウジュウ クラスター	kido-senshi-gandamu-efu-kyuju-kurasutaa	kido-senshi-gundam-f90-cluster	OK	CHANGED		OK: 機動戦士=kido-senshi; ガンダム=gundam; F90=latin字面; クラスター=英語音写cluster(Cluster Gundam由来)
64	D4DJ-4コマmix!-	ディーフォー ディージェー ヨンコマ ミックス	diifo-diijiee-yonkoma-mikkusu	d4dj-4-koma-mix	OK	CHANGED		OK: D4DJ=latin字面; 4コマ=4-koma; mix=latin字面
65	PSO2ニュージェネシスせんとらるっ!	ピーエスオーツー ニュー ジェネシス セントラル	piiesuotsu-nyu-jieneshisu-sentoraru	pso2-new-genesis-central	OK	CHANGED		OK: idx49と同一作; PSO2=latin; ニュージェネシス=New Genesis; せんとらる=central
66	マジキュー4コマ STEINS;GATE	マジキュー ヨンコマ シュタインズ ゲート	majikyu-yonkoma-shutainzu-geeto	majikyu-4-koma-steins-gate	OK	CHANGED		OK: マジキュー=造語ヘボンmajikyu; 4コマ=4-koma; STEINS;GATE=latin字面(;→hyphen)→steins-gate
67	マジキュー4コマ真剣で私に恋しなさい!S	マジキュー ヨンコマ マジ デ ワタシ ニ コイシナサイ エス	majikyu-yonkoma-maji-de-watashi-ni-koishinasai-esu	majikyu-4-koma-maji-de-watashi-ni-koishinasai-s	OK	CHANGED		OK: マジキュー=majikyu; 4コマ=4-koma; 真剣=当て字マジmaji; 私に=watashi-ni; 恋しなさい=koishinasai; S=latin→s
68	未完成NO.1	ミカンセイ no.1	mikansei-no1	mikansei-no-1	OK	CHANGED		OK: 未完成=mikansei; NO.1=latin run字面(.→hyphen)→no-1
69	山田くんとLv999の恋をする	ヤマダ クン ト レベル キュウヒャクキュウジュウキュウ ノ コイ オ スル	yamada-kun-to-reberu-kyuhyakukyujukyu-no-koi-o-suru	yamada-kun-to-lv999-no-koi-wo-suru	OK	CHANGED		OK: 山田くん=yamada-kun; と=to; Lv999=latin字面; の=no; 恋=koi; を=wo; する=suru
70	魔法少女育成計画F2P	マホウ ショウジョ イクセイ ケイカク エフツーピー	maho-shojo-ikusei-keikaku-efutsupii	maho-shojo-ikusei-keikaku-f2p	OK	CHANGED		OK: 魔法少女=maho-shojo(長音落とし); 育成計画=ikusei-keikaku; F2P=latin字面
71	No. 1の絶頂とろあま恋愛指南	ナンバー ワン ノ ゼッチョウ トロアマ レンアイ シナン	nanbaa-wan-no-zetcho-toroama-renai-shinan	no-1-no-zetcho-toroama-renai-shinan	OK	CHANGED		OK: No. 1=latin run字面(.空白→hyphen collapse)→no-1; の=no; 絶頂=zetcho; とろあま=toroama; 恋愛=renai; 指南=shinan
72	ドS社長と交際0日婚	ドS シャチョウ ト コウサイ 0ニチコン	dos-shacho-to-kosai-0nichikon	do-s-shacho-to-kosai-0-nichikon	OK	CHANGED		OK: ド=do(JP)+S=latin s; 社長=shacho; と=to; 交際=kosai; 数字0 keep; 日婚=nichikon
73	16bitセンセーション	ジュウロクビット センセーション	jurokubitto-senseeshon	16bit-sensation	OK	CHANGED		OK: 16bit=latin run字面; センセーション=英語音写sensation
74	Adventure2030学園	アドベンチャー ニセン サンジュウ ガクエン	adobenchaa-nisen-sanju-gakuen	adventure2030-gakuen	OK	CHANGED		OK: Adventure2030=latin run字面(数字隣接); 学園=gakuen
75	鉄鍋のジャン!!2nd	テツナベ ノ ジャン セカンド	tetsunabe-no-jan-sekando	tetsunabe-no-jan-2nd	OK	CHANGED		OK: 鉄鍋=tetsunabe; の=no; ジャン=造語jan; 2nd=latin字面
76	ルートサーティスリー～ROUTE 33～	ルート サーティ スリー	ruto-saatei-surii	route-33	OK	CHANGED		OK: ルートサーティスリー=ROUTE 33の音写読み(重複); latin公式ROUTE 33→route-33採用
77	VS騎士ラムネ＆40炎	バーサス ナイト ラムネ アンド シジュウ ファイヤー	baasasu-naito-ramune-ando-shiju-faiyaa	vs-knight-ramune-40-fire	LOW	CHANGED		LOW: VS=latin; 騎士=当て字ナイトknight(seg裏取り); ラムネ=造語ramune; ＆=和(記号除去); 40=latin; 炎=当て字ファイヤーfire(seg裏取り)。公式VS Knight Lamune&40 Fire想定
78	U12(アンダートゥエルブ)	アンダー トゥエルブ	andaa-toerubu	u12	OK	CHANGED		OK: U12=latin字面; (アンダートゥエルブ)はU12のフリガナ重複なので不採用
79	デジモンアドベンチャーVテイマー01	デジモン アドベンチャー V テイマー 01	dejimon-adobenchaa-v-teimaa-01	digimon-adventure-v-tamer-01	OK	CHANGED		OK: デジモン=公式Digimon; アドベンチャー=adventure; V=latin; テイマー=英語音写tamer; 01=latin字面(公式Digimon Adventure V-Tamer 01)
80	F-1伝説	F-1 デンセツ	f1-densetsu	f-1-densetsu	OK	CHANGED		OK: F-1=latin run字面→f-1; 伝説=densetsu
81	マジンガーZ 2022	マジンガー ゼット ニセン ニジュウニ	majingaa-zetto-nisen-nijuni	mazinger-z-2022	OK	CHANGED		OK: マジンガー=公式ローマ字Mazinger; Z=latin; 2022=latin字面
82	ミラーマン2D	ミラーマン ツーディー	miraaman-tsudii	mirrorman-2d	OK	CHANGED		OK: ミラーマン=公式英題Mirrorman; 2D=latin字面→2d
83	29とJK	ニジュウキュウ ト ジェーケー	nijukyu-to-jieekee	29-to-jk	OK	CHANGED		OK: 29=latin字面; と=to; JK=latin字面→jk
84	24時間オチないkiss	24ジカン オチナイ kiss	24jikan-ochinai-kiss	24-jikan-ochinai-kiss	OK	CHANGED		OK: 24時間=24-jikan(num keep),オチない=ochinai,kiss(latin)字面
85	スパイゲームA.D.1600	スパイ ゲーム エーディー センロッピャク	supai-geemu-eedii-senroppyaku	supai-geemu-a-d-1600	OK	CHANGED		OK: スパイゲーム=supai-geemu(katakana ヘボン),A.D.1600(latin)字面→a-d-1600
86	まめ戦国BASARA4	マメ センゴク バサラ フォー	mame-sengoku-basara-fo	mame-sengoku-basara4	OK	CHANGED		OK: まめ戦国=mame-sengoku,BASARA4(latin run)字面→basara4
87	アフター5はkissの雨	アフター 5 ワ kiss ノ アメ	afutaa-5-wa-kiss-no-ame	afutaa-5-wa-kiss-no-ame	OK			OK: アフター=afutaa,5 num keep,は=wa,kiss latin,の=no,雨=ame
88	2ndハウス	2nd ハウス	2nd-hausu	2nd-hausu	OK			OK: 2nd(latin)字面,ハウス=hausu
89	機動戦士ガンダムU.C.0096ラスト・サン	キドウ センシ ガンダム ユーシー ゼロキュウロク ラスト サン	kido-senshi-gandamu-yushii-zerokyuroku-rasuto-san	kido-senshi-gandamu-uc-0096-rasuto-san	OK	CHANGED		OK: 機動戦士ガンダム=kido-senshi-gandamu,U.C.0096(latin)→uc-0096,ラスト・サン=rasuto-san
90	R15+じゃダメですか?	アール ジュウゴ プラス ジャ ダメ デス カ	aaru-jugo-purasu-ja-dame-desu-ka	r15-ja-dame-desu-ka	OK	CHANGED		OK: R15+(latin)→r15(+記号除去),じゃダメですか=ja-dame-desu-ka
91	LV999の村人	レベル キュウヒャク キュウジュウキュウ ノ ムラビト	reberu-kyuhyaku-kyujukyu-no-murabito	lv999-no-murabito	OK	CHANGED		OK: LV999(latin)字面,の村人=no-murabito
