slug	title	authors	nvol	pubgrps	yearspan	cm104_editions
tensai-bakabon	天才バカボン	赤塚不二夫	31	061,063,090	1969-2005	14
ribbon-no-kishi-nakayoshi-orijinaruban-fukkoku-daizenshuu	リボンの騎士 ≪なかよしオリジナル版≫ 復刻大全集	手塚治虫	3	835,894	2004-2016	13
doraemon	ドラえもん	藤子・F・不二雄/手塚企画/朝松健	45	091,124	1974-1990	12
totteoki-doraemon	とっておきドラえもん	藤子・F・不二雄	15	091,099	2020-2026	12
atashinchi	あたしンち	けらえいこ	21	040,840,889	1995-2015	10
osomatsu-kun	おそ松くん	赤塚不二夫	34	061,090	1979-2005	9
shin-kamen-rider-spirits	新仮面ライダーSPIRITS	石ノ森章太郎	41	063,065	2009-2025	9
versailles-no-bara	ベルサイユのばら	池田理代子	14	088,124	1972-2017	9
violence-jack	バイオレンス・ジャック	永井豪/ダイナミックプロダクション	31	061,537	1977-1990	9
w3	W3	手塚治虫	3	061,253	1968-1981	9
ashita-tenki-ni-naare	あした天気になあれ	ちばてつや	58	061,063	1981-1991	8
barbara	ばるぼら	手塚治虫	3	048,061	1974-1992	8
kaze-no-tani-no-naushika	風の谷のナウシカ	宮崎駿	7	061,197	1984-1995	8
hitsuji-no-uta	羊のうた	冬目景	7	344,789,796	1997-2003	7
shadow-skill	Shadow skill	岡田芽武	8	063,812,884	1993-2014	7
dennou-nao-san	電脳なをさん	唐沢なをき	5	756,893	1996-2003	7
golgo-13	ゴルゴ13	さいとう・たかを/さいとうプロダクション	219	091,845	1973-2025	7
hakaba-kitarou	墓場鬼太郎	水木しげる	6	048,257	1986-1997	7
asaki-yume-mishi	あさきゆめみし	大和和紀	13	061,063	1980-1993	6
baribari-densetsu	バリバリ伝説	しげの秀一	38	061,063	1983-1991	6
chinmoku-no-kantai	沈黙の艦隊	かわぐちかいじ	32	061,063	1989-1996	6
devilman-saga	デビルマンサーガ	永井豪	13	091,098	2015-2020	6
fushigi-na-melmo	ふしぎなメルモ	手塚治虫	2	061,097	1984-1994	6
harris-no-kaze	ハリスの旋風	ちばてつや	8	061,063	1969-1991	6
ikkimandara	一輝まんだら	手塚治虫	3	048,886	1979-1990	6
ludwig-b	ルードウィヒ・B	手塚治虫	2	061,267	1989-1994	6
naniwa-kinyuudou	ナニワ金融道	青木雄二	19	061,063	1991-1997	6
shin-naniwa-kinyuudou	新ナニワ金融道	青木雄二プロダクション	20	594,766	2008-2014	6
shin-salaryman-kintarou	新サラリーマン金太郎	本宮ひろ志	6	081,088	2009-2026	6
tomie	富江	伊藤潤二	3	022,257	1997-2011	6
akumagari	悪魔狩り	戸土野正内郎	7	757,861,870	1998-2005	5
hoshirenge	星恋華	佐伯かよの	12	391,776,872	1987-2004	5
the-skull-man	スカルマン	MEIMU/石ノ森章太郎	6	063,778,889	1970-2023	5
animal-x	ANIMAL X	杉本亜未	8	048,834	1992-2011	5
chiisana-koi-no-monogatari	小さな恋のものがたり	みつはしちかこ	46	054,651	1967-2022	5
clamp-premium-collection-clamp-gakuen-tanteidan	CLAMP PREMIUM COLLECTION CLAMP学園探偵団	CLAMP	2	048,049	1992-1997	5
cobra-1995	Cobra	寺沢武一	13	040,081	2003-2018	5
dekichatta-otoko	できちゃった男子	御景椿	2	799,862	2011-2017	5
fukufuku-funyaan	ふくふくふにゃーん	こなみかなた	12	061,063	1990-2007	5
haikara-san-ga-tooru	はいからさんが通る	大和和紀	9	061,063	1975-2002	5
jotei	女帝	和気一作	24	537,832	1997-2005	5
mazin-garon	魔神ガロン	手塚治虫	5	061,253	1968-1997	5
mud-men	マッドメン	諸星大二郎	2	253,420	1985-2000	5
neo-faust	ネオ・ファウスト	手塚治虫	2	022,061	1989-1995	5
ore-no-shinsengumi	俺の新選組	望月三起也	5	766,834	1989-2003	5
orochi	おろち	楳図かずお	6	091,253	1971-2006	5
roto-no-monshou	ロトの紋章	藤原カムイ	25	757,870	1991-2020	5
sazae-san	サザエさん	長谷川町子	68	022,784	1948-2021	5
shiori-to-shimiko	栞と紙魚子	諸星大二郎	4	022,257	1996-2015	5
silent-m-bius-qd	サイレントメビウスQD	麻宮騎亜	5	063,065	2014-2019	5
silent-m-bius	サイレントメビウス	麻宮騎亜	15	047,049	1989-2001	5
tasogare-ryuuseigun	黄昏流星群	弘兼憲史	76	091,098	1996-2026	5
ushironohyakutarou	うしろの百太郎	つのだじろう	8	061,063	1974-2002	5
wakatono-wa-tsuraiyo	若殿はつらいよ!	ケン月影	4	821,867	2016-2022	5
yamikin-ushijima-kun-gaiden-nikumamushi-densetsu	闇金ウシジマくん外伝肉蝮伝説	真鍋昌平	24	091,098	2017-2026	5
yamikin-ushijima-kun	闇金ウシジマくん	真鍋昌平	46	091,098	2004-2019	5
yaminodoki	闇の土鬼	横山光輝	5	061,845	1974-1993	5
yorinuki-sazae-san	よりぬきサザエさん	長谷川町子	13	022,784	1971-2013	5
zerozero-nine-one	009ノ1	石ノ森章太郎	5	048,253	1985-2006	5
bonobono	ぼのぼの	いがらしみきお	48	801,812,884	1987-2023	4
giant-robo	ジャイアントロボ	横山光輝/戸田泰成/水田麻里	9	048,063,253	1992-2011	4
ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	真鍋譲治	27	047,073,840	1990-2001	4
nekomeewaku	ねこめ～わく	竹本泉	8	022,257,872	1993-2012	4
pokkapoka	ぽっかぽか	深見じゅん	19	081,087,088	1995-2011	4
3-3eyes	3×3EYES	高田裕三	40	061,063	1988-2002	4
3x3-eyes-kiseki-no-yami-no-keiyakusha	3×3EYES鬼籍の闇の契約者	高田裕三	8	063,065	2017-2023	4
beru-star-goutoudan	ベル☆スタア強盗団	伊藤明弘	3	049,829	1993-1998	4
big-x	ビッグX	手塚治虫	5	253,835	1972-2023	4
bouei-mantama-nikki	防衛漫玉日記	桜玉吉	2	756,757	1996-2001	4
change	チェンジ	小山ゆう	4	063,886	1988-1996	4
drsuranpu	Dr.スランプ	鳥山明	18	087,088	1980-2007	4
ebihara-san-wa-kyou-mo-taihen	海老原さん家は今日も大変!	東宮千子	9	253,887	1991-1997	4
fushigi-no-tatari-chan	不思議のたたりちゃん	犬木加奈子	7	061,063	1992-1998	4
fuuunjitachi	風雲児たち	みなもと太郎	34	267,845	1982-2020	4
gallery-fake	ギャラリーフェイク	細野不二彦	40	091,098	1992-2026	4
gekai-toumori-akira-no-shoken	外科医東盛玲の所見	池田さとみ	10	391,872	1993-2001	4
giniro-no-shiyousei	銀色の照星	新谷かおる	2	257,796	1979-1989	4
gorilla-man	ゴリラーマン	ハロルド作石	19	061,063	1989-2011	4
gto-paradise-lost	GTOパラダイス・ロスト	藤沢とおる	20	063,065	2014-2022	4
hachimitsu-to-clover	ハチミツとクローバー	羽海野チカ	10	088,796	2001-2006	4
hamster-no-kenkyuu-report	ハムスターの研究レポート	大雪師走	8	030,592	1990-2007	4
happyaku-yachou-hyouri-no-kewaishi	八百八町表裏化粧師	石ノ森章太郎	4	091,343	1984-2002	4
hello-harinezumi	ハロー張りネズミ	弘兼憲史	24	061,063	1981-1996	4
higanjima-48-nichigo	彼岸島48日後…	松本光司	50	063,065	2014-2026	4
hissatsu-yami-doushin	必殺闇同心	神江里見	3	074,862	2009-2018	4
itchoume-no-torakichi	一丁目のトラ吉	セツコ・山田	10	835,845	1983-2011	4
jjm-joshi-juudoubu-monogatari	JJM女子柔道部物語	小林まこと	15	063,065	2016-2023	4
jun-ishinomori-2003	ジュン	石ノ森章太郎	4	257,780	1993-2011	4
juu	十	せがわまさき	13	063,065	2013-2018	4
katana	KATANA	かまたきみこ	21	041,821	2006-2021	4
kenrou-densetsu	犬狼伝説	藤原カムイ	2	056,890	1990-2010	4
kougyou-aika-volley-boys	工業哀歌バレーボーイズ	村田ひろゆき	50	061,063	1989-2006	4
kujakuou-rising	孔雀王ライジング	荻野真	10	091,098	2012-2019	4
mahoujin-guruguru-2	魔法陣グルグル2	衛藤ヒロユキ	21	301,757	2013-2025	4
mahoujin-guruguru	魔法陣グルグル	衛藤ヒロユキ	16	757,870	1993-2003	4
major-2nd	MAJOR 2nd	満田拓也	31	091,098	2015-2026	4
maou-dante	魔王ダンテ	永井豪/ダイナミックプロダクション	4	063,257	1973-2004	4
meimon-takonishi-ouendan	名門!多古西応援団	所十三	21	061,063	1984-1992	4
rekka-no-honoo	烈火の炎	安西信行	33	091,099	1995-2002	4
rontai-baby	ロンタイbaby	高口里純	15	061,063	1988-1996	4
shin-gekai-toumori-akira-no-shoken	新外科医東盛玲の所見	池田さとみ	10	022,257	2005-2012	4
shin-petshop-of-horrors	新Petshop of Horrors	秋乃茉莉	12	022,257	2005-2013	4
shounen-jet	少年ジェット	武内つなよし	4	778,795	1991-2009	4
ten-carat-torute	天からトルテ!	近藤るるる	14	756,757	1997-2002	4
ten	天	福本伸行	18	812,884	1989-2002	4
tenshi-no-tamago	天使のたまご	岸香里	3	051,900	1993-2005	4
tobaku-datenroku-kaiji	賭博堕天録カイジ	福本伸行	17	063,065	2004-2018	4
tokimeki-tonight	ときめきトゥナイト	池野恋/原えりこ	30	083,088	1982-1995	4
tonari-no-yamada-kun	となりの山田くん	いしいひさいち	11	022,488	1992-2003	4
uryuudou-yumebanashi	雨柳堂夢咄	波津彬子	18	022,257	1993-2021	4
yaguruma-kennosuke	矢車剣之助	堀江卓	10	795,872	1958-1996	4
zipang-shinsou-kairyuu	ジパング深蒼海流	かわぐちかいじ	23	063,065	2013-2018	4
nono-chan	ののちゃん	いしいひさいち	14	197,488,575,924	1997-2024	3
akagi	アカギ	福本伸行	36	801,812,884	1992-2018	3
atagoul	アタゴオル	ますむらひろし	4	257,840,889	1978-2005	3
bou-kun-vaaderu-no-hanayome-shoya-hen	暴君ヴァーデルの花嫁 初夜編	松本帆加	17	776,861,867	2014-2021	3
doraneko-theater	ドラネコシアター	餅月あんこ	4	756,757,893	1994-2001	3
exit	EXIT	藤田貴美	11	344,592,789	1990-2008	3
meitantei-conan	名探偵コナン	青山剛昌	107	091,098,099	1994-2026	3
seinaru-hanayome-no-hanran	聖なる花嫁の反乱	紫堂恭子	10	063,593,797	2007-2014	3
10dance	10DANCE	井上佐藤	8	065,812	2013-2025	3
aa-harimanada	ああ播磨灘	さだやす圭	28	061,063	1991-1996	3
aka-tan-ao-tan	紅たん碧たん	新谷かおる	2	091,592	1985-1994	3
arekusandaa-daiou	アレクサンダー大王	赤石路代	3	049,091	1998-2011	3
asahi-nagu	あさひなぐ	こざき亜衣	34	091,098	2011-2020	3
baaverian-quartet	バーヴェリアン四重奏	羽音こうき	10	835,882	1991-2002	3
bakusou-kyoudai-let-s-goo-return-racers	爆走兄弟レッツ&ゴー!!Return Racers!!	こしたてつひろ	6	091,099	2016-2021	3
blood-of-matools	マトゥルスの血族	沢田一	6	049,829	1992-1999	3
bokura-no-oukoku	僕らの王国	こうじま奈月	6	835,862	2000-2007	3
chaos-damonne	カオスだもんね!	水口幸広	18	048,756	1994-2009	3
charisma	カリスマ	石原理	4	882,886	1987-1996	3
chihiro	ちひろ	安田弘之	2	063,253	2001-2007	3
coji-coji	COJI‐COJI	さくらももこ	4	344,789	1995-2002	3
dear-boys-act-3	DEAR BOYS ACT 3	八神ひろき	21	063,065	2009-2016	3
defense-line	ディフェンスライン	青海信濃	3	835,862	2001-2010	3
dien-bien-phu	ディエンビエンフー	西島大介	12	048,091	2005-2016	3
dokuhime	毒姫	三原ミツカズ	5	022,257	2004-2013	3
douki	童鬼	御茶漬海苔	2	885,916	1987-1998	3
elf-17	エルフ・17	山本貴嗣	8	592,861	1985-2005	3
fairy-tail	FAIRY TAIL	真島ヒロ	63	063,065	2006-2017	3
full-moon-ni-sasayaite	Full moonにささやいて	真東砂波	2	253,882	1993-1998	3
furisode-ichima	振袖いちま	須藤真澄	3	030,757	1993-2002	3
fushigi-yuugi-byakko-senki	ふしぎ遊戯白虎仙記	渡瀬悠宇	5	098,099	2018-2025	3
g-defend	G・defend	森本秀	76	864,887	1995-2024	3
gang-king	ギャングキング	柳内大樹	35	065,785	2004-2021	3
genjuu-no-kuni-monogatari	幻獣の國物語	猫十字社/Team猫十字社	16	391,872	1992-1998	3
gomenasobase	ごめんあそばせ	細野不二彦	3	537,789	1999-2008	3
gunnm-kasei-senki	銃夢火星戦記	木城ゆきと	11	063,065	2015-2025	3
haamerun-no-baiorinhiki	ハーメルンのバイオリン弾き	渡辺道明	37	757,870	1991-2001	3
haruchin	ハルチン	魚喃キリコ	2	396,838	1998-2008	3
hoshi-furu-mori-no-little-majo	星降る森のリトル魔女	めるへんめーかー	6	039,895	1989-1996	3
hyper-anna	ハイパーあんな	近藤るるる	4	756,757	1994-2004	3
juuoku-shoujo	￥十億少女	酒井美羽	10	049,592	1999-2004	3
kapsel-jodtinktur	カプセル ヨードチンキ	石原理	2	799,882	1995-2011	3
kira-kira	キラキラ!	安達哲	8	063,796	1989-1995	3
kodomotachiwosemenaide	子供達をせめないで	新井理恵	2	344,789	1996-2004	3
kuooto-ando-half	1/4×1/2	篠原烏童	7	022,257	1993-2016	3
kuroda-sanjuurokkei	黒田・三十六計	平田弘史	8	396,845	1984-2011	3
kusatta-kyoushi-no-houteishiki	腐った教師の方程式	こだか和麻	10	835,882	1993-2002	3
kyuukyoku-choujin-aaru	究極超人あ～る	ゆうきまさみ	10	091,098	1986-2018	3
last-continent	ラスト・コンチネント	山田章博	3	344,885	1986-2014	3
makenkitsu	マケン姫っ!	武田弘光	24	040,047	2008-2020	3
maps	マップス	長谷川裕一	17	051,056	1987-1995	3
mizu-no-mori-ki-tan	水の森綺譚	坂田靖子	4	030,895	1990-1997	3
munekatakyoujudenkikou	宗像教授伝奇考	星野之宣	8	091,267	1996-2008	3
nekomushi-stories	ネコムシ・ストーリーズ	イタガキノブオ	5	030,895	1989-1995	3
nobunaga-concerto	信長協奏曲	石井あゆみ	22	091,098	2009-2022	3
ookiku-furikabutte	おおきく振りかぶって	ひぐちアサ	38	063,065	2004-2025	3
oruchuban-ebichu	おるちゅばんエビちゅ	伊藤理佐	4	391,575	1992-2007	3
ossu-tonko-chan	オッス!トン子ちゃん	タナカカツキ	3	591,594	2003-2009	3
ozanari-dungeon	おざなりダンジョン	こやま基夫	17	051,056	1989-1997	3
papa-to-odorou	パパと踊ろう	地下沢中也	18	061,063	1992-1997	3
perman	パーマン	藤子・F・不二雄	12	091,124	1979-1988	3
pippira-note	ぴっぴら帳	こうの史代	3	575,867	2017-2022	3
raika	雷火	藤原カムイ	21	796,882	1988-1999	3
rozen-maiden	Rozen Maiden	Peach-Pit	10	088,344	2003-2014	3
ryouta	良太	畑中純	2	160,267	1986-1998	3
sabaku-ni-fuku-kaze	砂漠に吹く風	明智抄	2	592,757	1996-2003	3
samurider	サムライダー	すぎむらしんいち	5	061,063	1989-2004	3
sengoku-1991	SENGOKU	山科けいすけ	3	812,884	1991-1996	3
shakotan-boogie	シャコタン☆ブギ	楠みちはる	32	061,063	1986-1996	3
shounen-ninja-butai-gekkou	少年忍者部隊月光	吉田竜夫	4	257,775	1986-2007	3
shura-no-toki	修羅の刻	川原正敏	24	063,065	1990-2025	3
shuudoushi-falco	修道士ファルコ	青池保子/斉藤麻実子	5	253,592	1992-2015	3
slayers	スレイヤーズ	あらいずみるい/トミイ大塚	6	047,049	1995-2005	3
tekken-chinmi-legends	鉄拳チンミLegends	前川たけし	28	063,065	2007-2021	3
tekken-chinmi	鉄拳チンミ	前川たけし	35	061,063	1984-1997	3
toki-no-daichi	刻の大地	夜麻みゆき	10	757,870	1997-2002	3
tokumei-kakarichou-tadano-hitoshi-final	特命係長只野仁ファイナル	柳沢きみお	4	821,867	2015-2020	3
tokyo-babylon	東京BABYLON	CLAMP	2	041,403	1992-2012	3
uchuu-eiyuu-monogatari	宇宙英雄物語	伊東岳彦	8	047,834	1989-1996	3
vinland-saga	ヴィンランド・サガ	幸村誠	29	063,065	2005-2025	3
what-s-michael	What's Michael?	小林まこと	9	061,063	1985-2003	3
yume-furu-rabbit-town	夢降るラビット・タウン	ますむらひろし	10	879,915	1990-1999	3
yume-no-kodomo	夢の子供	浜田翔子	6	835,882	1993-2001	3
yuureigari	幽霊狩り	曽祢まさこ	2	061,063	1975-2000	3
akarito-shirono-shinrei-yawa	あかりとシロの心霊夜話	西尚美	35	766,867,873,907,910	2008-2025	2
bunchou-sama-to-watashi	文鳥様と私	今市子	22	766,867,873,907,910	2003-2026	2
aku-no-hana	悪の華	柳沢きみお	6	197,408,777	1996-2017	2
arashi-no-destiny	嵐のデスティニィ	高城可奈	7	022,391,420	1991-2012	2
break-blade	ブレイクブレイド	吉永裕ノ介	20	593,797,866	2007-2022	2
eden-no-tohoku	エデンの東北	深谷かほる	22	801,812,884	1991-2021	2
eikyuu-shimei-onegai-shimasu	永久指名おねがいします!	カナエサト	16	864,866,908	2014-2025	2
kurumi-no-naka	胡桃の中	川唯東子	4	799,835,862	2002-2022	2
kyoushoku-soukou-guyver	強殖装甲ガイバー	高屋良樹	32	041,047,198	1986-2016	2
makyou-gakuen-fuuunki-half-ando-half	魔境学園風雲記ハーフ＆ハーフ	巣田祐里子	3	047,812,884	1995-2001	2
nekketsu-daibouken-tairiku	熱血!大冒険大陸	茶々組	6	894,931,938	1993-2000	2
ol-shinkaron	OL進化論	秋月りす	42	061,063,065	1990-2020	2
p-b-b	P.B.B.	鹿乃しうこ	6	799,835,862	2003-2016	2
sabaku-no-usagi	砂漠のウサギ	M.Wolverine	3	802,812,863	2007-2015	2
satori-show	サトリ抄	藤貴紀子	3	051,056,334	1993-2001	2
shin-megami-tensei-ifu	真・女神転生if…	柳澤一明/ATLUS	9	756,757,893	1995-2002	2
shin-megami-tensei-kaan	真・女神転生〔カーン〕	柳澤一明	9	756,757,893	1996-2002	2
sleeping-beauty	Sleeping beauty	芳崎せいむ	3	775,778,872	2001-2009	2
tekipaki-waakin-rabu	てきぱきワーキン・ラブ	竹本泉	6	756,757,893	1996-2001	2
watari-kun-no-batsubatsu-ga-houkai-sunzen	渡くんの××が崩壊寸前	鳴見なる	16	041,063,065	2015-2023	2
yamato-takeru	ヤマトタケル	安彦良和	6	041,048,049	1988-2018	2
yomawari-neko	夜廻り猫	深谷かほる	11	047,063,065	2016-2024	2
zettai-karen-children	絶対可憐チルドレン	椎名高志	63	091,098,099	2005-2021	2
acid-flower	アシッド・フラワー	天咲吉実	3	864,877	2004-2012	2
aitsu-to-lullaby	あいつとララバイ	楠みちはる/岡村浩司	39	061,063	1982-1989	2
akashiro-tamago	赤白たまご	東宮千子	13	864,887	2005-2010	2
akera-to-magozou	明楽と孫蔵	森田信吾	8	575,862	1995-2013	2
akira	AKIRA	大友克洋	27	061,063	1988-2004	2
anata-ni-honoji	あなたにホの字	こやまゆかり	11	061,063	1989-2002	2
aoi-hitsuji-no-yume	青い羊の夢	立野真琴	9	537,592	2000-2015	2
aria	ARIA	天野こずえ	12	861,901	2002-2008	2
aurora-housoukyoku	オーロラ放送局	ますむらひろし	3	056,257	1993-1998	2
avnai-yatsura	AVない奴ら	みやすのんき	3	088,835	2001-2015	2
banana-fish	BANANA FISH	吉田秋生	20	091,099	1987-2018	2
battery	バッテリー	柚庭千景	10	041,049	2005-2023	2
be-blues	BE BLUES!	田中モトユキ	49	091,098	2011-2022	2
be-bop-highschool	Be-bop-highschool	きうちかずひろ	48	061,063	1984-2004	2
bingo	BINGO!	葉芝真己	16	091,887	1996-2006	2
biomega	バイオメガ	弐瓶勉	6	063,088	2004-2009	2
blood-alone	BLOOD ALONE	高野真之	10	063,840	2005-2013	2
blue-inferior	ブルー・インフェリア	紫堂恭子	4	048,267	1994-2001	2
bomber-girl	Bomber girl	にわのまこと	2	088,785	1994-2002	2
break-age	ブレイク-エイジ	馬頭ちーめい	10	756,757	1994-2000	2
buriki-zaiku-no-to-tan-yane	ブリキ細工のトタン屋根	三山のぼる	5	061,063	1983-2008	2
carbuncle	カーバンクル	Judal	6	056,403	1998-2003	2
cheers	Cheers!	チャーリーにしなか	21	575,873	2005-2018	2
chihayafuru	ちはやふる	末次由紀/とよざきようこ	50	063,065	2008-2022	2
chizuka-map	ちづかマップ	衿沢世衣子	3	063,091	2010-2015	2
complex	コンプレックス	まんだ林檎	4	835,882	1996-2002	2
cooking-papa	クッキングパパ	うえやまとち	175	063,065	1986-2026	2
copernicus-no-kokyuu	コペルニクスの呼吸	中村明日美子	2	778,872	2002-2015	2
corseltel-no-ryuujitsushi	コーセルテルの竜術士	石動あゆま	11	420,758	2001-2020	2
cronos-haze	クロノスヘイズ	高野真之	3	575,840	2001-2015	2
danchi-tomoo	団地ともお	小田扉	33	091,098	2004-2019	2
dare-nimo-aisarenai	誰にも愛されない	山田ユギ	2	812,862	2007-2013	2
dark-whisper	ダークウィスパー	山下いくと	3	840,891	1992-2004	2
detatoko-princess	でたとこプリンセス	奥田ひとし	6	049,829	1994-1999	2
dorakuuun	ドラクゥーン	真鍋譲治	5	049,829	1988-2003	2
dounikanaru-hibi	どうにかなる日々	志村貴子	2	778,872	2004-2015	2
douseiai	同棲愛	水城せとな	11	835,882	1996-2001	2
dream-king	ドリームキングⓇ	柳内大樹	6	056,785	2005-2010	2
e-s	E'S	結賀さとる	16	757,870	1998-2010	2
eat-man-the-main-dish	EAT-MAN THE MAIN DISH	吉富昭仁	6	063,065	2014-2019	2
eat-man	EAT-MAN	吉富昭仁	19	073,840	1997-2003	2
enkiriya-de-gozaimasu	縁切り屋でございます	篠原とおる	2	845,862	2000-2009	2
es	ES	惣領冬実	8	063,893	1989-2004	2
eternal-heart	Eternal heart	高群保	2	756,877	2001-2009	2
f1-guranpuri-tengoku	F1グランプリ天国	村山文夫	2	575,891	1995-2004	2
fade-out	Fade out	いけだたかし	2	091,840	2002-2009	2
faibu-star-stories	ファイブスター物語	永野護	18	041,048	1987-2025	2
fake	Fake	真東砂波	7	835,882	1994-2000	2
fortune-quest	フォーチュン・クエスト	迎夏生/胡原おみ	3	073,079	1992-1997	2
freesia	フリージア	松本次郎	12	088,091	1991-2009	2
fuchin-senkan-kii	不沈戦艦紀伊	神矢みのる	7	056,814	1998-2018	2
gate-2002	Gate	如月弘鷹	4	835,862	2002-2011	2
genyou	幻羽	葉月しのぶ	9	403,930	1991-2004	2
getsurei-15	月齢・15	徳丸佳貴	3	871,877	1993-2008	2
girly-hypers	ガーリーハイパーズ	藤末さくら	3	396,796	2000-2007	2
golden-lucky	Golden lucky	榎本俊二	10	061,063	1990-1996	2
gunslinger-girl	GUNSLINGER GIRL	相田裕	15	048,840	2002-2012	2
guranpuri-tengoku	グランプリ天国	村山文夫	4	779,891	2007-2016	2
hajime-no-ippo	はじめの一歩	森川ジョージ	145	063,065	1990-2026	2
hakkenden	八犬伝	あべ美幸	24	041,048	1991-2024	2
hanazakari-no-niwa	花盛りの庭	坂井久仁江	2	088,834	1994-2008	2
happy-happy	ハッピー!ハッピー♪	波間信子	15	063,065	2011-2021	2
hasegawa-chouji	HASEGAWA長治	柳内大樹	3	063,785	1999-2005	2
hatarakiman	働きマン	安野モヨコ	5	063,065	2004-2024	2
hatenkou-yuugi	破天荒遊戯	遠藤海成	24	757,758	2000-2022	2
hayate-cross-blade	はやて×ブレード	林家志弦	18	088,840	2004-2013	2
hayate-no-gotoku	ハヤテのごとく!	畑健二郎	52	091,099	2005-2017	2
hidoku-shinaide	酷くしないで	ねこ田米蔵	9	799,862	2007-2019	2
hina-chan-no-nichijou	ひなちゃんの日常	南ひろこ	24	819,902	2005-2021	2
historie	ヒストリエ	岩明均	12	063,065	2004-2024	2
hokusai-to-meshi-sae-areba	ホクサイと飯さえあれば	鈴木小波	9	063,065	2015-2020	2
hoozuki-no-reitetsu	鬼灯の冷徹	江口夏実	31	063,065	2011-2020	2
hospital	ホスピタル	唐沢なをき	2	592,757	1990-2003	2
hotel-hibiscus	ホテル・ハイビスカス	仲宗根みいこ	4	899,938	1989-2003	2
hyakki-yagyou-show	百鬼夜行抄	今市子	32	022,257	1995-2026	2
hyougemono	へうげもの	山田芳裕	25	063,065	2005-2018	2
ichigeki-satchuu-hoihoi-san	一撃殺虫!!ホイホイさん	田中久仁彦	2	049,840	2004-2019	2
iguna-cross-reigoueki	イグナクロス零号駅	Choco	5	048,840	2000-2012	2
ikiru	生きる	根本敬	2	792,883	1986-2001	2
in-hand	インハンド	朱戸アオ	5	063,065	2016-2021	2
isshokenmei-ni-sounanshitai-hito	一緒に遭難したいひと	西村しのぶ	4	063,391	1997-2013	2
isshou-tsuzukerarenai-shigoto	一生続けられない仕事	山田ユギ	4	801,812	2010-2018	2
jinki-extend	JINKI:EXTEND	綱島志朗	9	861,901	2002-2007	2
jinsei-wa-barairo-da	人生はバラ色だ。	はしだ由花里	2	756,877	2000-2008	2
k2	K2	真船一雄	51	063,065	2004-2026	2
kageki-shoujo	かげきしょうじょ!!	斉木久美子	16	088,592	2013-2025	2
kageo	影男	佐藤まさあき	3	253,944	1987-2001	2
kamen-rider-kuuga	仮面ライダークウガ	横島一	27	864,868	2015-2025	2
kannou-shousetsuka-wa-otome-ni-sasayaku	官能小説家は乙女にささやく	ユカ	2	801,812	2013-2019	2
kashimashi-house	かしましハウス	秋月りす	8	812,884	1994-2003	2
kaze-hikaru-1997	風光る	渡辺多恵子	45	091,098	1997-2021	2
keishichou-tokuhanka-007	警視庁特犯課007	舵英里	11	864,887	2007-2012	2
keroro-gunsou	ケロロ軍曹	吉崎観音	35	041,047	1999-2025	2
kiko-chan-smile	きこちゃんすまいる	布浦翼	5	061,063	1993-2001	2
kochira-tsubaki-sanfujinka	こちら椿産婦人科	あまねかずみ	26	087,088	1996-2001	2
koisuiren	恋水蓮	垣野内成美	5	056,834	1997-2007	2
kokodake-no-futari	ここだけのふたり!!	森下裕美	7	812,884	1989-1999	2
kootaroo-makaritooru	コータローまかりとおる!	蛭田達也	60	061,063	1983-2004	2
kotaroo-wa-hitorigurashi	コタローは1人暮らし	津村マミ	10	091,098	2016-2023	2
kuchibiru-tameiki-sakurairo	くちびるためいきさくらいろ	森永みるく	2	575,758	2006-2012	2
kugutsu-takahashi-1999	傀儡	高橋明	3	334,403	1999-2004	2
kujira-no-oyako	くじらの親子	くりた陸	10	061,063	1996-2002	2
kunitachi-monogatari	くにたち物語	おおの藻梨以	12	061,063	1987-1994	2
kurage-hime	海月姫	東村アキコ	17	063,065	2009-2017	2
kuruneko	くるねこ	くるねこ大和	20	047,757	2008-2017	2
kyattsuai	キャッツ❤アイ	北条司	19	088,107	1982-2002	2
kyoushi-mo-iroiro-aru-wake-de	教師も色々あるわけで	大和名瀬	2	799,862	2010-2016	2
lemon-angel	レモンエンジェル	わたべ淳	10	088,796	1988-1994	2
lettuce-burger-please-ok-ok	レタスバーガープリーズ.OK,OK!	松田奈緒子	10	088,309	2001-2017	2
lightning-brigade	ライトニング・ブリゲイド	永福一成	2	063,309	1994-2001	2
loan-knight	ローンナイト	吉富昭仁	5	047,835	1991-2012	2
love-love-senya-ichiya-monogatari	Love love千夜一夜物語	わたなべまさこ	2	088,834	1986-1995	2
lovely	ラブリー!	桜沢エリカ	4	396,796	1999-2009	2
mato	魔都	魔木子	2	253,821	2004-2009	2
meirei-kuchou-no-kuchibiru-de	命令口調の唇で	あかま日砂紀	2	756,877	2001-2008	2
mierundesu	視えるんです。	伊藤三巳華	8	022,840	2010-2022	2
misu-misou	ミスミソウ	押切蓮介	3	575,821	2008-2013	2
miyamoto-musashi-1985	宮本武蔵	神田たけ志/吉川英治	10	061,924	1984-1995	2
mononoke	モノノ怪	蜷川ヤエコ	3	199,757	2008-2015	2
mugen-yasou	夢幻夜想	佐々木みすず	6	331,803	1987-1992	2
mune-ga-naru-noha-kimi-no-sei	胸が鳴るのは君のせい	紺野りさ	6	091,098	2013-2021	2
