slug	title	title_kana	romaji(kana)	slug一致度	flag
1	1・2作戦	ワンツーサクセン	wantsusakusen	0.0	
10-2000	10	テン	ten	0.0	
10-2016	10	テン	ten	0.0	
10-bunnoichi-no-hanayome	1/10の花嫁	ジュウブンノイチノハナヨメ	juubunnoichinohanayome	0.92	
10-bunnoichi-no-naisho-banashi	1/10のないしょ話	ジュウブンノイチノナイショバナシ	juubunnoichinonaishobanashi	0.9	
10-bunnoichi	10万分の1	ジュウマンブンノイチ	juumanbunnoichi	0.78	
10-dai-no-ninshin-to-kekkon	10代の妊娠と結婚	ジュウダイノニンシントケッコン	juudainoninshintokekon	0.83	
10-dance-dance-dance	10ダンス!ダンス!ダンス!!	テンダンスダンスダンス	tendansudansudansu	0.57	
10-gatsu-no-mangetsu-ni-ichiban-chikai-doyoubi	10月の満月に一番近い土曜日	ジュウガツノマンゲツニイチバンチカイドヨウビ	juugatsunomangetsuniichibanchikaidoyoubi	0.94	
10-gatsu-no-shoujotachi	10月の少女たち	ジュウガツノショウジョタチ	juugatsunoshoujotachi	1.0	
10-kai-konyaku-haki-sareta-watashi-ga-reitetsu-koushaku-ni-dekiai-dekiaisareru-nante-wana-desu-ka	10回婚約破棄された私が冷徹公爵様に溺愛されるなんて罠ですか?	ジッカイコンヤクハキサレタワタシガレイテツコウシャクサマニデキアイサレルナンテワナデスカ	jikaikonyakuhakisaretawatashigareitetsukoushakusamanidekiaisarerunantewanadesuka	0.88	
10-ko-iri-hani-tarou-desu	10コ入りハニ太郎です。	10コイリハニタロウデス	10koirihanitaroudesu	1.0	
10-n-10dai-de-mama-ni-natta-onnanoko	新・10代でママになった女の子	シン10ダイデママニナッタオンナノコ	shin10daidemamaninataonnanoko	1.0	
10-nen-goshi-no-fukushuu	10年越しの復讐	10ネンゴシノフクシュウ	10nengoshinofukushuu	1.0	
10-nen-goshi-no-hiki-niito-o-yamete-gaishutsu-shitara-jitaku-goto-isekai-ni-teni-shiteta	10年ごしの引きニートを辞めて外出したら自宅ごと異世界に転移してた	ジュウネンゴシノヒキニートオヤメテガイシュツシタラジタクゴトイセカイニテンイシテタ	juunengoshinohikinitooyametegaishutsushitarajitakugotoisekainitenishiteta	1.0	
10-nen-shitenai-sudachi-san	10年シてないスダチさん	ジュウネンシテナイスダチサン	juunenshitenaisudachisan	0.91	
10-nenburi-no-hatsukare-ga-sugoi	10年ぶりの初カレがすごい	ジュウネンブリノハツカレガスゴイ	juunenburinohatsukaregasugoi	0.93	
10-nenkan-karada-o-nottorare-akujo-ni-natte-ita-watashi-ni-nido-to-kao-o-miseru-na-to-konyaku-haki	10年間身体を乗っ取られ悪女になっていた私に、二度と顔を見せるなと婚約破棄してきた騎士様が今日も縋ってくる	ジュウネンカンカラダオノットラレアクジョニナッテイタワタシニニドトカオオミセルナトコンヤクハキシテキタキシサマガキョウモスガッテクル	juunenkankaradaonotorareakujoninateitawatashininidotokaoomiserunatokonyakuhakishitekitakishisamagakyoumosugatekuru	0.94	
10-nenkan-tomodachi-dato-omotteta-otokonoko-ni-kokuhaku-dekiaisareru-ohanashi	10年間友達だと思ってた男の子に告白されるお話	ジュウネンカントモダチダトオモッテタオトコノコニコクハクサレルオハナシ	juunenkantomodachidatoomotetaotokonokonikokuhakusareruohanashi	0.93	
10-routo-no-uchi-ga-10nichikan-de-manga-genkou-o-kanseisaseru-hanashi	素人のウチが10日間で漫画原稿を完成させる話	シロウトノウチガ10ニチカンデマンガゲンコウオカンセイサセルハナシ	shiroutonouchiga10nichikandemangagenkouokanseisaseruhanashi	1.0	
10-sai-kaasan	10歳かあさん	ジッサイカアサン	jisaikaasan	0.83	
10-sai-shita-no-osananajimi-ni-kyuukon-sarete-imasu	10歳下の幼なじみに求婚されています	ジッサイシタノオサナナジミニキュウコンサレテイマス	jisaishitanoosananajiminikyuukonsareteimasu	1.0	
10-zai	罪×10	ジュウザイ	juuzai	0.6	
100-100paasento	いちご100％	イチゴ100パーセント	ichigo100pasento	1.0	
100-handred	100-HANDRED-	ハンドレッド	handoredo	0.86	
100-kai-naku-koto	100回泣くこと	ヒャッカイナクコト	hyakainakukoto	0.78	
100-kai-omiai-shita-ota-joshi-no-konkatsuki	100回お見合いしたヲタ女子の婚活記	ヒャッカイオミアイシタオタジョシノコンカツキ	hyakaiomiaishitaotajoshinokonkatsuki	0.92	
100-kai-omiai-shita-ota-joshi-no-shussanki	100回お見合いしたヲタ女子の出産記	ヒャッカイオミアイシタオタジョシノシュッサンキ	hyakaiomiaishitaotajoshinoshusanki	0.92	
100-karatto-bambino	100カラット★バンビーノ	ヒャクカラットバンビーノ	hyakukaratobanbino	0.73	
100-man-doru-kid	100万＄キッド	ヒャクマンドルキッド	hyakumandorukido	0.82	
100-man-no-inochi-no-ue-ni-ore-wa-tatte-iru	100万の命の上に俺は立っている	ヒャクマンノイノチノウエニオレワタッテイル	hyakumannoinochinoueniorewatateiru	0.86	
100-mandoru-naito	100万＄ナイト	ヒャクマンドルナイト	hyakumandorunaito	0.82	
100-manen-no-onnatachi	100万円の女たち	ヒャクマンエンノオンナタチ	hyakumanennoonnatachi	0.82	
100-manengoe-no-koukyuu-tokei-o-kau-otoko-tte-baka-nano	100万円超えの高級時計を買う男ってバカなの?	ヒャクマンエンゴエノコウキュウドケイオカウオトコッテバカナノ	hyakumanengoenokoukyuudokeiokauotokotebakanano	0.86	
100-mankai-kikaseteyo	100万回きかせてよ	100マンカイキカセテヨ	100mankaikikaseteyo	1.0	
100-mankai-no-suki-o-ageru	100万回のスキをあげる	ヒャクマンカイノスキオアゲル	hyakumankainosukioageru	0.85	
100-nen-no-kyou	100年の経	ヒャクネンノタテイト	hyakunennotateito	0.75	
100-nen-no-raira	100年のライラ	100ネンノライラ	100nennoraira	1.0	
100-nengo-ni-tensei-shita-watashi-zense-no-juukishi-ni-kyuukon-saremashita	100年後に転生した私、前世の従騎士に求婚されました	ヒャクネンゴニテンセイシタワタシゼンセノジュウキシニキュウコンサレマシタ	hyakunengonitenseishitawatashizensenojuukishinikyuukonsaremashita	1.0	
100-nichi-go-ni-shinu-akuyaku-reijou-wa-mainichi-ga-totemo-tanoshii	100日後に死ぬ悪役令嬢は毎日がとても楽しい。	ヒャクニチゴニシヌアクヤクレイジョウワマイニチガトテモタノシイ	hyakunichigonishinuakuyakureijouwamainichigatotemotanoshii	1.0	
100-nichigo-ni-shinu-bai-nezumi	100日後に死ぬ×ネズミ	ヒャクニチゴニシヌバッテンネズミ	hyakunichigonishinubatennezumi	0.87	
100-nichigo-ni-shinu-wani	100日後に死ぬワニ	ヒャクニチゴニシヌワニ	hyakunichigonishinuwani	0.83	
100-nin-no-eiyuu-o-sodateta-saikyou-yogensha-wa-boukensha-ni-nattemo-sekaijuu-no-deshi-kara	100人の英雄を育てた最強預言者は、冒険者になっても世界中の弟子から慕われてます@comic	ヒャクニンノエイユウオソダテタサイキョウヨゲンシャワボウケンシャニナッテモセカイジュウノデシカラシタワレテマスアットマークコミック	hyakuninnoeiyuuosodatetasaikyouyogenshawaboukenshaninatemosekaijuunodeshikarashitawaretemasuatomakukomiku	1.0	
100-ninbun-no-kairaku	100人分の快楽	ヒャクニンブンノカイラク	hyakuninbunnokairaku	0.8	
100-ninme-no-sumaafu	100人めのスマーフ	100ニンメノスマーフ;ニセモノスマーフ	100ninmenosumafunisemonosumafu	1.0	
100-no-shippo-monogatari	100のしっぽ物語	ヒャクノシッポモノガタリ	hyakunoshipomonogatari	0.85	
100-oku-no-hoshi-no-naka-demo	100億の星の中でも	ヒャクオクノホシノナカデモ	hyakuokunohoshinonakademo	0.92	
100-oku-no-otoko	100億の男	ヒャクオクノオトコ	hyakuokunootoko	0.71	
100-paasento-jorei-suru-otoko	100%除霊する男	ヒャクパーセントジョレイスルオトコ	hyakupasentojoreisuruotoko	0.86	
100-paasento-pasukaru-sensei	100%パスカル先生	ヒャクパーセントパスカルセンセイ	hyakupasentopasukarusensei	0.85	
100-paasento	100％	ヒャクパーセント	hyakupasento	0.78	
100-se-ari-kare-no-jundo-wa-100	癖あり彼の純度は100%	クセアリカレノジュンドワ100%	kusearikarenojundowa100	1.0	
100-ten-hyakunin-kyoudai-hyaku-monogatari	100点!!100人兄弟100物語	ヒャクテンヒャクニンキョウダイヒャクモノガタリ	hyakutenhyakuninkyoudaihyakumonogatari	1.0	
100	100	ヒャク	hyaku	0.0	
1000-nen-joou	1000年女王	センネンジョオウ	sennenjoou	0.83	
1000-nen-no-kaze	1000年の疾風	センネンノカゼ	sennennokaze	0.86	
1000-nichi-no-hitomi	1000日の瞳	センニチノヒトミ	sennichinohitomi	0.78	
1000-no-kodou	1000の鼓動	1000ノコドウ	1000nokodou	1.0	
1000-sai-toshishita-no-koutei-ni-shuuchaku-dekiaisaretemasu	1000歳年下の皇帝に執着されてます	センサイトシシタノコウテイニシュウチャクサレテマス	sensaitoshishitanokouteinishuuchakusaretemasu	1.0	
1000bun-no-1	1000分の1	1000ブンノ1	1000bunno1	1.0	
1000man-scandal	1000万@スキャンダル	1000マンスキャンダル	1000mansukyandaru	0.78	
1000nengo-no-sekai	火星博士 一千年后の世界	1000ネンゴノセカイ	1000nengonosekai	1.0	
1000nichi-no-diana	1000日のディアナ	1000ニチノディアナ	1000nichinodeiana	1.0	
100banme-no-hitsuji	100番めの羊	100バンメノヒツジ	100banmenohitsuji	1.0	
100chou-no-otoko	100兆の男	100チョウノオトコ	100chounootoko	1.0	
100m-jumper	100Mジャンパー	100メートルジャンパー	100metorujanpa	1.0	
100manboruto-no-kanojo	100万ボルトの彼女	100マンボルトノカノジョ	100manborutonokanojo	1.0	
100mandoru-kid	100万ドルキッド	100マンドルキッド	100mandorukido	1.0	
100mandoru-no-onna	100万ドルの女	100マンドルノオンナ	100mandorunoonna	1.0	
100manen-begasukun	100万円!ベガスくん	100マンエンベガスクン	100manenbegasukun	1.0	
100manpondo-no-ai	100万ポンドの愛	100マンポンドノアイ	100manpondonoai	1.0	
100nen-tattara-minnashinu	100年たったらみんな死ぬ	100ネンタッタラミンナシヌ	100nentataraminnashinu	1.0	
100paasento-kotton	100％コットン	100パーセントコットン	100pasentokoton	1.0	
100paasento-no-kimi-e	100％の君へ	100パーセントノキミエ	100pasentonokimie	1.0	
101-pikininjadai-koushin	101匹忍者大行進	ヒャクイッピキニンジャダイコウシン	hyakuipikininjadaikoushin	0.92	
101	101	マツモト,タイヨウ,1967-	matsumototaiyou1967	0.5	
101kaime-no-torabaayu	101回目のトラバーユ	101カイメノトラバーユ	101kaimenotorabayu	1.0	
101ninme-no-alice	101人目のアリス	101ニンメノアリス	101ninmenoarisu	0.8	
108-kai-korosareta-akuyaku-reijou	108回殺された悪役令嬢	ヒャクハチカイコロサレタアクヤクレイジョウ	hyakuhachikaikorosaretaakuyakureijou	0.85	
108p	108P!	ヒャクハチピー	hyakuhachipi	0.25	
109banme-no-boku-no-hime	109ばんめのぼくの姫	109バンメノボクノヒメ	109banmenobokunohime	1.0	
10dai-de-mama-10-natta-onnanoko	10代でママになった女の子	10ダイデママニナッタオンナノコ	10daidemamaninataonnanoko	1.0	
10dai-no-hontouni-atta-kandou-taiken	10代の本当にあった感動体験	10ダイノホントウニアッタカンドウタイケン	10dainohontouniatakandoutaiken	1.0	
10dance	10DANCE	テンダンス	tendansu	0.57	
10gatsu-no-puranetariumu	10月のプラネタリウム	10ガツノプラネタリウム	10gatsunopuranetariumu	1.0	
10nen-sufure	10年スフレ	10ネンスフレ	10nensufure	1.0	
10nenburi-ni-saikai-shita-kusogaki-wa-seijun-bishoujo-jk-ni-seichou-shiteita	10年ぶりに再会したクソガキは清純美少女JKに成長していた	ジュウネンブリニサイカイシタクソガキワセイジュンビショウジョジェーケーニセイチョウシテイタ	juunenburinisaikaishitakusogakiwaseijunbishoujojiekeniseichoushiteita	1.0	
10nengo-no-kazumichan	10年後の和美ちゃん	10ネンゴノカズミチャン	10nengonokazumichan	1.0	
10sai-10-ta-no-kare-dakedo	10歳下の彼だけど	10サイシタノカレダケド	10saishitanokaredakedo	1.0	
10sai-kara-no-kazoku-keikaku	10歳からの家族計画	10サイカラノカゾクケイカク	10saikaranokazokukeikaku	1.0	
10saishita-demo-anata-o-dakitai	10歳下でも、アナタを抱きたい。	10サイシタデモ、アナタオダキタイ。	10saishitademoanataodakitai	1.0	
10th	10th	テンス	tensu	0.25	
11-banme-no-neko-wa-nene	11番目のねこはねね	ジュウイチバンメノネコワネネ	juuichibanmenonekowanene	0.89	
11-eyes	11 eyes	イレブンアイズ	irebunaizu	0.25	
11-gatsu-no-gymnasium	11月のギムナジウム	ジュウイチガツノギムナジウム	juuichigatsunogimunajiumu	0.82	
11-gatsudemohanabi	11月でも花火	ジュウイチガツデモハナビ	juuichigatsudemohanabi	0.93	
11-gatsumonogatari	11月物語	ジュウイチガツモノガタリ	juuichigatsumonogatari	0.91	
11-nin-iru	11人いる!	ジュウイチニンイル	juuichininiru	0.8	
11-piki-no-neko-doronko	11ぴきのねこどろんこ	ジュウイッピキノネコドロンコ	juuipikinonekodoronko	0.89	
110-yooji-kun-no-manga-bungaku-zenshuu-110sen	ショージ君の漫画文学全集110選	ショージクンノマンガブンガクゼンシュウ110セン	shojikunnomangabungakuzenshuu110sen	1.0	
11gatsu-no-kodomo	11月の子供	11ガツノコドモ	11gatsunokodomo	1.0	
12-12kagetsu	シシ12か月	シシ12カゲツ	shishi12kagetsu	1.0	
12-daasu-no-ikareru-onna	12ダースの怒れる女	ジュウニダースノイカレルオンナ	juunidasunoikareruonna	0.91	
12-gatsu-no-rabu-sketch	12月のラブ・スケッチ	ジュウニガツノラブスケッチ	juunigatsunorabusukechi	0.87	
12-n-12-no-kekkon-monogatari	新12の結婚物語	シン12ノケッコンモノガタリ	shin12nokekonmonogatari	1.0	
12-nijuuyo-suki-na-hito	12/24.好きな人。	1224.スキナヒト	1224sukinahito	0.92	
12-no-kekkon-monogatari	12の結婚物語	ジュウニノケッコンモノガタリ	juuninokekonmonogatari	0.83	
12-no-tsuki-no-meguru-aida-12	12の月のめぐる間に	12ノツキノメグルアイダニ	12notsukinomeguruaidani	1.0	
12-seiza-no-serenade	12星座のセレナーデ	12セイザノセレナーデ	12seizanoserenade	1.0	
120-paasento-kutsu-rajiwo	120%くつラヂヲ	ヒャクニジッパーセントクツラジオ	hyakunijipasentokutsurajio	0.86	
123-npopo-1-2-3	にんぽぽ123	ニンポポ123	ninpopo123	1.0	
12beast	12BEAST	トゥエルヴビースト	touerubisuto	0.57	
12gatsu-12-wa-jazz-o-kiku	12月にはジャズを聴く	12ガツニワジャズオキク	12gatsuniwajazuokiku	1.0	
12gatsu-kanojo-wa-omou	12月、彼女は思う	12ガツカノジョワオモウ	12gatsukanojowaomou	1.0	
12gatsu-umare-no-12-younen	12月生まれの少年	12ガツウマレノショウネン	12gatsuumarenoshounen	0.92	
12ji-kara-hajimaru	12時からはじまる	12ジカラハジマル	12jikarahajimaru	1.0	
12ji-no-kenryokusha	12時の権力者	12ジノケンリョクシャ	12jinokenryokusha	1.0	
12kagetsu	12ヵ月	12カゲツ	12kagetsu	1.0	
12nin-no-yasashii-koroshiya	12人の優しい殺し屋	12ニンノヤサシイコロシヤ	12ninnoyasashiikoroshiya	1.0	
12renkyuu	12連休	12レンキュウ	12renkyuu	1.0	
12sai	12歳。	12サイ	12sai	1.0	
12shoku-no-cocktail	12色のカクテル	12ショクノカクテル	12shokunokakuteru	0.83	
12shokumonogatari	12色物語	12ショクモノガタリ	12shokumonogatari	1.0	
13-banme-no-tenisha-isekai-de-kami-o-mezasu	13番目の転移者、異世界で神を目指す	ジュウサンバンメノテンイシャイセカイデカミオメザス	juusanbanmenotenishaisekaidekamiomezasu	0.93	
13-gakkou-kaidan	13-学校怪談-	ジュウサンガッコウカイダン	juusangakoukaidan	0.8	
13-gatsu-no-hanataba	13月の花束	ジュウサンガツノハナタバ	juusangatsunohanataba	0.9	
13-kaime-no-ashiato	13回目の足跡	ジュウサンカイメノアシアト	juusankaimenoashiato	0.83	
13-mai-tsuzuri-no-okyakujin	13枚綴りのお客人	ジュウサンマイツズリノオキャクジン	juusanmaitsuzurinookyakujin	1.0	
13-nichi-niha-hana-o-kazatte	13日には花を飾って	ジュウサンニチニワハナオカザッテ	juusannichiniwahanaokazate	0.83	
13-nichi-no-ochazukenori	13日の御茶漬海苔	ジュウサンニチノオチャズケノリ	juusannichinoochazukenori	0.85	
130senchi-no-dandy	130センチのダンディ	130センチノダンディ	130senchinodandei	1.0	
133cm-no-keshiki	133cmの景色	133cmノケシキ	133cmnokeshiki	1.0	
138-e	138°E	ワンスリーエイトイー	wansurieitoi	0.25	
13club	13club	サーティーンクラブ	sateinkurabu	0.33	
13dogs	13DOGs	サーティーンドッグス	sateindogusu	0.67	
13game	13GAME	13game	13game	1.0	
13gatsu-no-higeki	13月の悲劇	13ガツノヒゲキ	13gatsunohigeki	1.0	
13gatsu-no-yuurei	13月のゆうれい	13ガツノユウレイ	13gatsunoyuurei	1.0	
13gou-hasshinseyo	13号発進せよ	13ゴウハッシンセヨ	13gouhashinseyo	1.0	
13nengo-no-kimi	13年後の君	13ネンゴノキミ	13nengonokimi	1.0	
13nichi-wa-kinyoubi	13日は金曜日?	13ニチワキンヨウビ	13nichiwakinyoubi	1.0	
14-juicy	14ジューシー	14ジューシー	14jushi	0.71	
14-kai-no-koibito	14階の恋人	ジュウヨンカイノコイビト	juuyonkainokoibito	0.78	
14-sai-no-heishi-zaza	14歳の兵士ザザ	ジュウヨンサイノヘイシザザ	juuyonsainoheishizaza	0.8	
14-sai-no-koi	14歳の恋	ジュウヨンサイノコイ	juuyonsainokoi	0.75	
14-sai-no-season	14歳の季節	ジュウヨンサイノシーズン	juuyonsainoshizun	0.62	
14	14歳	フォーティーン	fuotein	0.0	
14r	14R	14アール	14aru	1.0	
14sai-manual	14さいマニュアル	14サイマニュアル	14saimanyuaru	0.89	
14sai-no-satoyama-recipe	14歳の里山レシピ	14サイノサトヤマレシピ	14sainosatoyamareshipi	0.93	
14sai-ootomateikku	14さいオートマティック	14サイオートマティック	14saiotomateiku	1.0	
15-15sai-no-ouhi-deshita	転生したら15歳の王妃でした	テンセイシタラ15サイノオウヒデシタ	tenseishitara15sainoouhideshita	1.0	
15-de-shoujo-wa-are-ni-naru	15で少女は、あれになる。	ジュウゴデショウジョワアレニナル	juugodeshoujowaareninaru	0.92	
